"Complex","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"1c5z",-216.39,1.91,-7.78,-11.57,0,220.7,-25.31,3.42,-5.540019734
"1c70",-40.12,-0.43,-3.07,-74.01,-0.58,71.9,-88.74,18.67,-14.22997587
"1c83",-138.19,4.18,-11.13,-14.06,-0.97,132.55,-38.22,2.8,-6.700522621
"1c84",-69.42,4.41,-9.48,-16.49,-0.7,88.18,-40.69,3.31,-6.907755279
"1c86",-100.58,2.93,-9.87,-21.96,-0.73,109.23,-38.85,2.61,-6.493289962
"1c87",-141.83,3.11,-11.15,-23.07,-0.88,134.9,-38.02,2.28,-5.802514434
"1c88",-143.8,2.38,-12.5,-22.46,-0.93,133.1,-37.59,1.57,-7.308405085
"1caq",97.58,4.55,-1.85,-49.49,-3.53,-29.48,-69.77,10.41,-10.66557415
"1cbx",-4.96,1.02,-13.78,-20.89,-0.13,62.49,-26.27,4.73,-8.772849204
"1ce5",-217.78,0.65,-7.35,-11.53,-0.22,227.97,-26.91,1.58,-6.548552004
"1cea",-63.09,2.49,-5.78,-18.59,0,58.03,-17.46,1.65,-6.852493237
"1ceb",-72.4,1.91,-7.86,-21.88,0,66.78,-13.21,1.55,-8.289306335
"1cet",4.2,-1.88,-1.18,-32.49,-0.41,-8.82,-28.84,7.96,-3.992682551
"1cgl",104.89,3.17,-4.19,-38.38,-3.11,-42.23,-60.93,8.43,-9.491255753
"1ch8",-8.09,5.31,-20.16,-9.57,0,15.93,-57.07,7.61,-9.670857391
"1cil",-36.39,2.79,-3.18,-22.93,-0.5,24.47,-39.22,2.68,-13.02802646
"1cim",-28.01,2.27,-3,-18.54,-0.53,12.61,-31.66,2.17,-12.18528031
"1cin",-21.1,2.33,-2.81,-20.82,-0.53,7.09,-32.91,2.65,-12.06094072
"1ciz",113.9,4.65,-0.9,-49.17,-2.98,-29.25,-71.86,9.03,-10.27873986
"1cnw",0.09,1.57,-2.73,-24.76,-0.76,-7.46,-33.55,4.58,-10.66557415
"1cnx",8.52,1.21,-2.55,-24.39,-0.53,-10.6,-35.6,3.56,-10.18203128
"1cny",-2.8,2.02,-2.56,-25.31,-0.73,-0.92,-35.16,4.67,-10.84517579
"1ct8",-74.66,0.84,-6.5,-32.57,-4.87,71.06,-65.87,13.14,-9.007712884
"1ctt",-33.74,4.47,-2.07,-32.39,0,36.09,-41.33,8.12,-6.244610772
"1ctu",-20.49,1.88,-2.88,-25.95,-0.42,59.05,-44.81,4.19,-16.46808859
"1d2e",35.03,2.8,-17.2,-8.01,0,-56.93,-48.44,10.76,-8.289306335
"1d4y",-18.52,4.55,-2.74,-59.4,-2.33,31.02,-75.63,10.56,-15.33521672
"1d6v",27.57,5.93,-2.05,-44.87,-2.44,-0.73,-44.99,7.56,-8.524170014
"1d6w",-39.78,5.59,-4.99,-40.29,-1.5,81.55,-65.63,16.01,-8.234044293
"1d7i",-20.31,0.54,-0.48,-18.83,0,9.03,-20.74,0.91,-4.973583801
"1d9i",-103.86,3.56,-1.7,-42.57,-0.3,121.1,-51.51,13.83,-12.58593012
"1dfo",-88.08,7.4,-10.27,-32.03,-0.9,97.13,-67.62,5.18,-9.256392074
"1dhj",-47.89,-2.28,-12.74,-24.38,-1.21,50.61,-51.7,4.11,-9.049159415
"1dif",-48.7,5.4,-4.01,-72.46,-5.43,65.87,-109.82,23.54,-14.72733425
"1dl7",-22.4,1.18,-2.56,-24.39,-2.95,29.31,-42.66,5.6,-8.966266352
"1dqn",-58.92,3.62,-12.05,-15.45,-4.65,76.32,-42.92,7.31,-11.05240845
"1dqx",-78.68,2.63,-10.46,-16.34,-0.07,86.31,-40.51,4.83,-15.26613917
"1drj",-49.86,1.71,-6.69,-16.15,0,21.19,-19.4,1.57,-10.22347781
"1drk",-43.68,0.41,-7.38,-16.13,0,19.72,-20.69,5.83,-9.422178201
"1dud",-12.78,5.48,-9.43,-14.16,0,7.33,-36.91,3.47,-6.659076089
"1duv",-7.76,3.13,-15.79,-14.05,0,0.5,-43.66,4.44,-16.30230246
"1dy4",-322.32,2.03,-3.33,-31.13,-7.22,381.66,-49.82,2.46,-6.023562603
"1dzk",-1.68,0.1,-0.02,-28.92,-0.02,7.24,-30.27,0.19,-8.42746144
"1e3v",73.44,4.94,-1.02,-52.86,0,-28.54,-39.66,6.81,-5.995931582
"1e4h",1.5,0.58,0,-44.52,0,8.2,-34.38,0.87,-11.61884438
"1e6q",-149.06,2.14,-5.41,-14.88,-2.05,95.52,-29.82,7.38,-4.351885826
"1e6s",-36.63,4.07,-4.82,-14.96,0,67.59,-29.92,9.06,-4.4485944
"1ec9",8.83,6.48,-10.23,-7.32,0,1.58,-24.21,8.9,-4.282808273
"1ecq",125.16,6.76,-12.26,-9.85,0,-44.24,-20.24,15.91,-4.144653167
"1ecv",-136.32,3.57,-11.02,-17,-0.71,130.59,-37.63,2.59,-6.700522621
"1efy",-33.34,1.33,-1.83,-18.61,-5.75,29.02,-42.52,1.47,-11.35634968
"1egh",-98.21,1.03,-14.58,-3.97,0,101.19,-18.72,0.72,-7.874841018
"1eix",-69.83,0.55,-18.89,-17.87,0,58.64,-31.89,3.62,-15.27995468
"1ejn",-228.1,3.1,-8.71,-38.13,-0.13,265.57,-50.83,5.02,-7.764316934
"1elc",-82.02,13,-1.06,-45.13,-0.09,115.47,-55.01,20.15,-9.201130032
"1eld",-15.11,3.48,-0.91,-29.52,-0.42,39.47,-49.57,12.51,-9.256392074
"1ele",-24.24,0.91,-1,-27.04,-0.44,28.77,-44.13,4.92,-9.463624732
"1elr",-289.55,-0.31,-21.11,-20.35,0,248.67,-63.94,13.79,-6.852493237
"1ent",72.07,1.72,-2.7,-55.31,-0.06,15.62,-82.31,14.41,-9.615595348
"1epo",-60.14,5.31,-4.67,-58.13,0,95.42,-83.42,14.01,-10.9971464
"1erb",-4.19,1.73,-0.06,-88.82,0,26.97,-61.66,3.41,-11.19056355
"1ew8",222.95,3.27,-6.05,-2.29,0,-122.73,-8.81,3.62,-3.122305386
"1ew9",98,1.9,-4.6,-1.3,0,-73.95,-4.24,2.61,-4.4485944
"1ex8",-97.43,17.76,-31.35,-17.89,-6.81,87.18,-75.98,23.73,-8.745218183
"1ez9",-74.88,0.86,-7.52,-43.88,0,68.18,-65.81,19.41,-7.045910385
"1ezq",-249.3,1.73,-8.01,-45.77,-2.66,292.1,-58.19,9.36,-12.50303705
"1f0r",-53.28,6.44,-2.86,-42.27,-6.81,90.96,-54.19,6.96,-10.58268109
"1f0s",-55.94,5.31,-0.61,-40.5,-7.36,99.39,-52.14,6.4,-10.69320517
"1f0t",-283.04,3.95,-8.46,-31.33,-0.42,279.34,-52.21,4.45,-8.289306335
"1f0u",-265.95,3.73,-8.22,-33.62,-0.73,334.42,-55.91,9.54,-9.89190556
"1f3e",-38.75,1.44,-3.89,-16.5,-3.61,40.87,-33.71,0.97,-9.256392074
"1f4x",-40.69,4.81,-2.47,-26.99,0,22.81,-31,9.47,-7.722870402
"1f5l",-200.35,1.78,-8.49,-13.63,0,190,-33.27,2.46,-7.294589575
"1f9g",-12.3,-0.19,-1.58,-9.18,0,13.65,-16.99,1.34,-1.768385351
"1fao",-476.12,2.38,-34.23,-6.57,0,475.72,-23.89,2.41,-10.18203128
"1fcy",-38.51,1.02,-5.3,-74.42,-1.89,34.94,-71.08,1.65,-11.770815
"1fdq",-18.15,4.46,-3.64,-55.97,0,39.17,-50.62,12.36,-10.04387618
"1fhd",-29.33,-0.5,-5.38,-19.62,-3.19,48.29,-41.06,12.54,-9.422178201
"1fiv",-82.59,1.43,-7.52,-85.43,-5.34,87.77,-104.66,11.33,-9.104421458
"1fj4",-20.33,1.74,-0.95,-43.82,0,10.71,-39.5,2.89,-6.341319346
"1fjs",-107.51,3.35,-8.61,-36.06,-1.05,130.77,-62.05,10.11,-13.76024852
"1fkf",-38.43,-1.48,-2.37,-56.87,0,40.37,-78.24,9.8,-12.98657992
"1fkg",-21.52,2.89,-0.53,-45.89,-0.71,18.97,-49.19,8.76,-11.05240845
"1fkh",-28.06,3.05,-1.04,-41.5,-0.76,21.29,-41.91,6.3,-11.2596411
"1fkw",-32.85,0.22,-3.67,-18.96,-4.85,25.42,-41.01,6.68,-6.976832832
"1fl3",-49.06,3.59,-2.37,-48.77,-4.93,69.3,-56.3,2.34,-9.394547179
"1fm9",37.48,-0.47,-1.75,-65.93,-2.98,-38,-73.94,23.8,-12.4339595
"1fpc",-177.88,3.63,-5.55,-42.71,-0.03,183.57,-55.9,14.6,-9.670857391
"1fq5",-58.47,0.09,-3.25,-69.83,-1.16,81.08,-97,16.91,-11.60502887
"1fv0",83.77,1.29,-2.05,-23.91,-0.47,-29.34,-49.73,2.58,-8.192597761
"1fwu",-39.14,2.66,-5.37,-12.47,0,15.52,-24.69,5.57,-5.111738906
"1fwv",-15.19,-2.13,-4.57,-12.58,0,17.76,-31.17,8.98,-5.139369928
"1fzq",-108.13,1.93,-18.35,-6.44,-0.01,96.35,-47.81,4.08,-10.52741905
"1g1d",-6.12,1.53,-2.64,-19.52,-0.7,-2.37,-30.98,3.05,-13.04184197
"1g2k",6.17,4.08,-3.14,-59.72,-0.66,14.35,-92.76,9.21,-10.9971464
"1g2l",-185.8,3.33,-8.32,-43.34,-2.51,200.77,-64.68,6.83,-10.00242964
"1g2o",-97.97,5.74,-2.35,-30.42,-0.51,84.41,-43.22,4.57,-14.57536364
"1g30",-138.09,1.02,-7.92,-43.27,-0.72,135.22,-57.78,13.07,-9.463624732
"1g32",-128.27,2.56,-7.6,-37.81,-0.71,141.02,-57.97,8.89,-8.441276951
"1g35",6.94,5.09,-4.18,-62.49,-0.4,16.06,-91.57,11.62,-11.24582559
"1g36",-217.68,1.56,-8.03,-28.9,-2.07,243.6,-50.71,7.01,-9.90572107
"1g3b",-145.27,1.68,-9.19,-13.83,0,182.45,-36.08,-2.75,-7.93010306
"1g3c",-124.16,4.38,-9.07,-15.37,-0.54,147.69,-29.76,4.82,-8.012996124
"1g3d",-149.15,6.48,-7.48,-13.96,0,167.08,-31.14,5.35,-7.66760836
"1g3e",-121.78,6.65,-9.57,-14.2,0,149.41,-29.2,8.14,-7.43274468
"1g45",-9.22,2.15,-2.71,-16.73,-0.29,-3.42,-29.77,3.24,-11.93660112
"1g46",-2.74,1.32,-2.45,-18.38,-0.38,-3.12,-28.65,2.34,-12.15764929
"1g48",-18.92,1.27,-2.93,-17.57,-0.69,6.8,-31.67,5.08,-11.61884438
"1g4j",-9.23,1.76,-2.8,-15.3,-0.5,-2.97,-28.59,5,-12.01949419
"1g4o",-11.53,2.76,-2.3,-17.5,-0.8,-0.27,-29.39,5.82,-11.39779621
"1g52",0.93,1.94,-2.49,-19.63,-0.71,-10.16,-29.51,3.94,-13.17999707
"1g53",-9.7,0.9,-2.9,-18.51,-0.29,-0.73,-31.23,4.33,-12.48922154
"1g54",8.15,1.1,-2.2,-16.8,-1.56,-12.18,-30.24,2.36,-12.18528031
"1g7g",-143.41,11.34,-15.07,-39.02,-0.48,158.21,-61.31,17.42,-9.118236968
"1g7v",-115.38,4.86,-6.03,-16.96,0,171.39,-42.74,9.87,-8.841926757
"1g85",-1.91,1.46,0,-34.57,0,8.25,-26.49,1.6,-7.570899786
"1g98",-208.01,1.44,-16.11,-12.13,0,198.18,-27.21,15.15,-7.874841018
"1gaf",-47.35,0.71,-6.04,-21.94,-0.81,51.95,-41.12,3.14,-11.05240845
"1gah",-210.17,4.57,-8.44,-48.78,0,170.72,-61.24,25.1,-16.57861267
"1gai",-220.99,7.69,-8.25,-46.9,0,185.41,-66.03,26.13,-11.05240845
"1gcz",-17.18,1.03,-1.48,-30.88,-0.34,16.33,-38.52,1.89,-7.087356916
"1ghv",-141.69,2.43,-2.71,-14.24,-0.03,161.51,-33.15,5.08,-6.009747093
"1ghw",-151.55,1.83,-3.14,-15.93,-0.11,174.15,-36.93,4.34,-5.802514434
"1ghy",-138.18,8.24,-3.03,-17.88,-1.13,190.9,-36.02,8.56,-11.19056355
"1ghz",-208.73,1.44,-3.38,-13.54,-1.57,217.22,-34.49,3.98,-6.631445068
"1gi1",-221.91,1.16,-3.56,-14.05,-2.93,237.57,-35.57,2.37,-7.557084275
"1gi4",-210.48,3.61,-2.84,-14.82,-0.77,280.21,-31.93,11.24,-9.933352091
"1gi6",-214.77,1.22,-3.14,-16.95,-1.53,256.17,-37.39,3.7,-8.593247567
"1gi8",-198.79,1.58,-1.9,-14.21,-2.38,261.79,-37.81,10.04,-6.976832832
"1gi9",-215.31,2.47,-2.22,-14.93,-1.99,263.03,-37.61,10.88,-7.211696511
"1gj4",-145.33,2.93,-2.86,-34.76,-0.31,186.12,-43.01,6.43,-5.622912797
"1gj6",-185.24,1.93,-2.55,-33.02,-2.3,232.44,-49.99,4.27,-9.670857391
"1gj7",-206.6,3.24,-2.97,-32.03,-1.64,266.75,-48.59,7,-10.90043783
"1gj8",-187.26,4.88,-1.92,-22.4,-1.57,288.56,-48.4,15.84,-9.615595348
"1gja",-215.48,4.98,-8.78,-17.93,-0.89,211.29,-39.91,10.31,-7.488006722
"1gjb",-197.05,4.98,-2.86,-21.33,-0.45,269.69,-42.88,13.67,-8.772849204
"1gjc",-198.63,3.33,-2.6,-21.14,-0.46,287.05,-40.81,13.93,-8.772849204
"1gjd",-216.12,5.14,-8.66,-30.01,-0.78,227.74,-49.76,8.77,-7.211696511
"1gnm",-55.75,6.45,-9.29,-58.14,0,65.82,-70.61,14.01,-8.634694099
"1gnn",-43.8,3.68,-8.29,-59.01,0,36.07,-67.8,10.91,-7.847209997
"1gno",-44.44,11.4,-6.97,-61.92,0,33.05,-71.43,14.82,-10.63794313
"1gny",-64.01,2.69,-5.61,-24.3,0,53.85,-45.81,19.76,-5.719621371
"1grp",121.91,2.87,-20.96,-6.23,0,-80.66,-19.96,5.04,-5.139369928
"1gt1",-4.1,0.99,0,-28.06,-4.21,17.37,-33.71,0.77,-8.289306335
"1gu1",-13.66,-0.39,-5.79,-18.54,0,4.88,-27.51,2.98,-6.244610772
"1gwv",-73.02,3.5,-3.12,-20.86,0,33,-30.06,-3.94,-3.550586213
"1gyx",-9.53,0.36,-6.26,-11.69,-3.2,0.18,-20.06,0.31,-3.426246618
"1gyy",-13.62,0.44,-5.72,-17.43,-0.85,-3.17,-22.35,0.9,-5.028845843
"1gz3",-64.35,4.32,-15.38,-8.94,0,101.77,-60.82,12.25,-5.111738906
"1gz9",-95.95,0.6,-5.33,-26.79,0,59.41,-39.95,9.79,-4.849244206
"1gzc",-71.22,1.89,-4.14,-20.41,0,41.24,-25.9,5.9,-4.821613185
"1h1d",-12.95,-1.52,-2.36,-23.14,-1.4,25.54,-30.69,12.96,-11.35634968
"1h1h",-258.06,0.38,-17.3,-0.26,-0.2,256.63,-16.77,1.16,-7.211696511
"1h2t",-64.01,8.56,-15.49,-27.07,-10.38,66.57,-69.24,13.15,-10.90043783
"1h46",5.27,2.99,-0.18,-26.53,-12.39,124.63,-46.32,2.52,-4.932137269
"1h6h",-132.43,4.66,-19.43,-15.33,0,112.82,-37.65,7.64,-7.322220596
"1h9z",-16.85,-0.44,-0.71,-35.72,-0.86,32.34,-46.2,2.89,-7.488006722
"1hbv",-27.24,9.48,-2.92,-63.31,-0.66,21.54,-66.28,26.06,-8.800480225
"1heg",-56.8,8.36,-4.27,-53.78,0,60.51,-73.13,8.66,-10.69320517
"1hi3",-201.05,4.1,-14.22,-3.19,-5.72,188.25,-27.07,6.34,-5.788698924
"1hi5",-124.36,1.55,-14.84,-3.17,-1.33,119.58,-34.22,10.33,-5.581466265
"1hih",-62.79,3.33,-3.11,-63.18,-0.78,62.36,-84.01,13.84,-11.121486
"1hii",-62.93,2.71,-3.14,-72.56,0,64.85,-84.62,13.3,-10.05769169
"1hlk",74.76,6.74,-3.1,-20.56,-5.35,-40.55,-36.55,6.75,-6.907755279
"1hmr",-39.12,-0.17,-5.3,-51.29,0,39.42,-46.19,9.24,-9.049159415
"1hms",-35.15,1.27,-5.36,-53.17,0,37.4,-44.02,5.66,-8.800480225
"1hmt",-38.21,0.72,-5.34,-51.78,0,37.78,-47.67,5.59,-7.999180613
"1hn2",-2.75,1.04,0,-28.63,-3.2,17.73,-35.28,0.54,-8.289306335
"1hnn",32.49,0.59,-1.36,-22.97,-3.62,3.85,-35.97,1.22,-8.620878588
"1hos",-12.09,5.92,-2.01,-67.76,-0.1,61.48,-92.19,13.99,-11.81226153
"1hpo",-9.18,6.93,-2.72,-47.97,-2.83,16.48,-66.4,10.38,-12.73790073
"1hps",-47.19,4.8,-2.97,-71.63,-0.59,57.92,-83.7,9.35,-12.73790073
"1hpv",-6.89,4.28,-3.79,-57.15,-0.02,19.68,-70.19,10.83,-12.73790073
"1hpx",-35.55,-3.45,-2.34,-69.85,-0.1,42.22,-80.48,12.33,-15.55626489
"1hsh",-41.79,2.52,-3.43,-73.95,-0.47,60.68,-88.54,12.51,-13.01421095
"1hvh",2.62,4.11,-4.77,-59.95,0,4.03,-69.9,11.07,-10.9971464
"1hvi",-34.13,1.98,-3.42,-74.82,-4.93,61.86,-105.83,21,-15.08653753
"1hvj",-41,5.41,-2.65,-73.82,-5.05,63.83,-103.12,17.18,-15.74968204
"1hvk",-45.27,2.95,-3.94,-79.54,-4.75,63.09,-105.97,8.67,-15.14179957
"1hvl",-50.49,6.99,-4,-76.75,-4.88,62.95,-101.59,9.33,-13.74643301
"1hvr",-29.5,4.78,-2.69,-72.08,0,49.64,-78.94,17.05,-13.13855054
"1hvs",-27.43,3.54,-2.97,-70.61,-4.44,61.38,-100.01,23.34,-14.22997587
"1hwr",-22.14,2.4,-2.71,-53.58,0,40.59,-54.19,5.28,-11.50832029
"1hxb",-33.58,4.46,-5.1,-71.43,-0.31,62.13,-94.33,14.04,-13.70498647
"1hxw",-52.27,2.37,-3,-74.48,-2.04,63.45,-97.64,11.47,-14.94838242
"1hyo",-16.11,0.26,-11.25,-11.53,0,43.87,-22.73,5.06,-5.622912797
"1i00",-29.72,4.87,-1.47,-30.21,-0.28,57.71,-47.99,5.47,-8.759033694
"1i5r",-81.88,10.47,-6.25,-92.45,-0.42,51.26,-91.22,22.95,-11.770815
"1i7z",-14.73,2.03,-0.46,-43.32,0,39.17,-49.64,2.47,-8.841926757
"1i80",-24.78,0.2,-1.67,-10.05,-0.29,17.35,-26.34,0.26,-8.855742268
"1i9l",5.02,0.33,-2.25,-17.28,-0.75,-10.83,-27.97,2.09,-11.71555295
"1i9m",-5.91,2.97,-3.25,-16.93,-0.28,0.97,-31.84,6.78,-11.71555295
"1i9n",-7.42,1.86,-2.5,-16.57,-0.34,-1.74,-25.81,2.18,-11.96423214
"1i9o",-7.77,2.4,-2.53,-15.4,-0.36,2.56,-24.17,4.92,-11.63265989
"1i9p",-8.53,1.43,-2.57,-14.02,-0.58,0.53,-27.6,2.52,-11.61884438
"1i9q",-10.69,1.67,-2.9,-16.06,-0.59,-4.48,-29.27,3.83,-11.61884438
"1icj",-34.8,3.08,-1.55,-47.05,0,38.7,-50.85,7.86,-3.067043344
"1if8",5.91,2.18,-2.25,-26,-0.58,-9.31,-35.62,2.25,-13.31815218
"1igb",-158.94,1.8,-1.8,-36.63,-2.7,225.89,-32.72,2.48,-8.841926757
"1igj",-8.34,2.02,-0.04,-60.1,0,29.66,-48.94,2.83,-13.81551056
