"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","Experimental"
"1dud",9,129,10,25,0,26,50,27,1,9,18,0,0,0,1,7,-6.659076089
"1duv",24,258,14,0,33,114,52,69,6,14,7,0,0,0,3,10,-16.30230246
"1dy4",4,144,0,0,1,0,65,82,3,1,26,2,4,0,4,7,-6.023562603
"1dzk",0,26,0,2,0,0,22,2,0,0,11,0,1,0,0,3,-8.42746144
"1e3v",1,42,4,0,0,19,20,0,0,1,12,0,0,0,0,6,-5.995931582
"1e4h",0,35,0,0,0,0,35,0,0,0,6,0,0,0,0,1,-11.61884438
"1e6q",13,140,0,0,0,0,63,90,6,3,10,0,1,0,0,5,-4.351885826
"1e6s",13,137,0,0,0,0,70,80,5,4,13,0,0,0,0,6,-4.4485944
"1ec9",17,211,0,5,21,15,73,114,4,7,6,0,0,0,5,8,-4.282808273
"1ecq",15,193,0,4,11,0,72,121,2,6,9,0,0,0,8,8,-4.144653167
"1ecv",8,139,8,0,4,34,12,89,0,9,28,0,0,0,2,3,-6.700522621
"1efy",3,97,1,17,0,43,38,1,1,2,29,0,2,0,0,3,-11.35634968
"1egh",11,102,11,5,6,57,23,11,0,11,2,0,0,0,4,3,-7.874841018
"1eix",20,214,0,10,10,16,78,120,3,9,18,0,0,0,2,7,-15.27995468
"1ejn",6,166,0,20,80,0,2,70,4,2,21,0,0,0,1,4,-7.764316934
"1elc",1,159,0,13,31,0,21,95,1,0,32,0,0,0,1,14,-9.201130032
"1eld",2,118,0,24,29,0,17,50,2,1,11,0,0,0,0,9,-9.256392074
"1ele",4,133,0,29,15,0,21,72,2,1,11,0,0,0,0,8,-9.463624732
"1elr",12,173,2,0,0,183,0,0,2,10,26,0,0,0,3,22,-6.852493237
"1ent",5,146,0,4,48,0,28,71,3,3,25,0,0,0,0,19,-9.615595348
"1epo",9,184,0,3,50,7,52,81,4,2,25,0,0,0,0,17,-10.9971464
"1erb",0,58,0,0,12,0,25,21,0,1,26,0,0,0,0,6,-11.19056355
"1ew8",7,83,3,1,0,28,7,51,0,2,7,0,0,0,6,2,-3.122305386
"1ew9",1,41,1,1,0,16,1,23,0,0,3,0,0,0,3,1,-4.4485944
"1ex8",23,309,0,29,37,9,73,184,6,14,29,0,4,0,6,17,-8.745218183
"1ez9",5,119,1,0,5,43,14,61,5,1,23,0,0,0,0,29,-7.045910385
"1ezq",5,194,0,4,95,0,5,95,4,1,55,0,2,1,0,12,-12.50303705
"1f0r",2,131,0,29,36,0,11,57,2,1,43,0,2,1,0,6,-10.58268109
"1f0s",2,123,0,18,38,0,14,55,0,1,50,0,2,1,0,5,-10.69320517
"1f0t",5,141,0,4,70,0,4,68,4,2,21,0,0,0,0,8,-8.289306335
"1f0u",5,159,0,4,83,0,4,73,4,1,24,0,1,0,0,12,-9.89190556
"1f3e",8,101,0,3,20,25,18,43,2,2,20,0,2,0,0,2,-9.256392074
"1f4x",8,103,0,19,16,0,56,20,1,4,15,0,0,0,0,9,-7.722870402
"1f5l",8,143,0,16,70,0,6,59,5,0,9,0,0,0,1,3,-7.294589575
"1f9g",1,65,0,0,0,21,0,45,0,1,1,0,0,0,0,6,-1.768385351
"1fao",13,168,0,6,16,0,132,27,0,11,0,0,0,0,6,10,-10.18203128
"1fcy",6,95,17,5,5,53,7,14,0,3,42,0,0,1,1,3,-11.770815
"1fdq",2,69,0,1,3,3,49,15,0,2,23,0,0,0,1,14,-10.04387618
"1fhd",12,157,0,0,0,0,35,134,2,5,12,0,1,1,0,7,-9.422178201
"1fiv",13,261,0,35,53,0,58,128,6,5,44,2,0,0,0,23,-9.104421458
"1fj4",2,78,1,11,17,0,25,26,0,2,24,0,0,0,0,3,-6.341319346
"1fjs",3,178,0,29,54,0,23,75,3,1,38,0,1,2,0,11,-13.76024852
"1fkf",3,141,0,0,20,12,52,60,1,2,35,0,0,0,0,10,-12.98657992
"1fkg",2,77,0,0,6,13,30,30,0,2,29,0,0,0,0,10,-11.05240845
"1fkh",2,77,0,0,8,10,25,36,0,2,27,0,0,0,0,10,-11.2596411
"1fkw",6,115,0,5,6,20,9,81,3,3,21,3,1,0,0,5,-6.976832832
"1fl3",0,80,0,1,20,0,49,10,0,0,49,0,2,2,0,7,-9.394547179
"1fm9",6,153,19,0,1,108,11,20,1,4,65,0,1,1,2,12,-12.4339595
"1fpc",4,129,0,25,32,0,13,63,3,1,28,0,0,0,1,10,-9.670857391
"1fq5",8,201,0,17,53,0,58,81,4,4,43,0,0,1,0,11,-11.60502887
"1fv0",4,113,6,0,35,42,0,34,1,1,20,0,0,0,0,4,-8.192597761
"1fwu",5,77,0,0,18,0,15,49,1,5,8,0,0,0,0,17,-5.111738906
"1fwv",5,82,0,0,19,0,19,49,1,4,6,0,0,0,0,17,-5.139369928
"1fzq",15,202,30,3,23,57,1,103,2,10,16,0,0,0,1,9,-10.52741905
"1g1d",6,86,0,0,3,4,47,38,0,2,14,0,0,0,1,5,-13.04184197
"1g2k",5,174,0,14,45,0,55,65,2,3,38,0,0,0,0,13,-10.9971464
"1g2l",4,179,0,11,72,5,5,90,4,1,56,0,1,3,0,13,-10.00242964
"1g2o",6,155,2,37,0,18,50,54,4,1,18,0,0,1,0,5,-14.57536364
"1g30",3,152,0,32,35,0,22,66,3,1,52,0,0,4,0,13,-9.463624732
"1g32",3,146,0,28,35,0,22,64,3,1,48,0,0,4,0,7,-8.441276951
"1g35",6,184,0,16,46,0,58,70,2,3,41,0,0,0,0,16,-11.24582559
"1g36",5,132,0,26,37,0,21,53,4,0,26,0,0,2,0,7,-9.90572107
"1g3b",7,112,0,8,42,0,6,63,4,0,10,0,0,0,1,6,-7.93010306
"1g3c",7,115,0,9,47,0,3,63,3,0,14,0,0,0,1,6,-8.012996124
"1g3d",7,99,0,10,38,0,5,53,2,0,15,0,0,0,0,6,-7.66760836
"1g3e",7,113,0,8,44,0,6,62,3,0,19,0,0,0,0,6,-7.43274468
"1g45",6,82,0,0,3,0,48,37,0,2,14,0,0,0,1,5,-11.93660112
"1g46",7,82,0,0,5,1,43,40,0,1,16,0,0,0,1,5,-12.15764929
"1g48",7,80,0,0,4,1,41,41,0,1,14,0,0,0,1,5,-11.61884438
"1g4j",7,89,0,0,4,1,47,44,0,2,14,0,0,0,1,5,-12.01949419
"1g4o",6,81,0,0,3,1,39,44,0,1,16,0,0,0,0,5,-11.39779621
"1g52",7,80,0,0,3,3,42,39,0,2,13,0,0,1,1,5,-13.17999707
"1g53",6,89,0,0,4,5,47,39,0,2,15,0,0,0,0,5,-12.48922154
"1g54",8,80,0,0,3,10,35,40,0,1,12,0,0,1,0,5,-12.18528031
"1g7g",12,172,8,0,9,26,3,138,3,8,41,0,1,0,3,19,-9.118236968
"1g7v",4,115,0,0,21,0,21,77,0,1,6,0,0,0,3,16,-8.841926757
"1g85",0,19,0,0,0,0,16,3,0,0,4,0,0,0,0,6,-7.570899786
"1g98",13,158,9,4,31,64,8,55,1,8,0,0,0,0,1,9,-7.874841018
"1gaf",6,106,0,3,21,0,49,39,0,6,31,0,1,0,2,8,-11.05240845
"1gah",13,216,0,0,45,44,20,120,10,2,28,0,0,0,1,22,-16.57861267
"1gai",14,205,0,0,44,44,19,112,8,2,26,0,0,0,1,22,-11.05240845
"1gcz",5,103,0,13,10,0,44,41,1,3,28,0,0,1,0,4,-7.087356916
"1ghv",3,111,0,19,30,0,7,58,3,0,20,0,0,0,0,4,-6.009747093
"1ghw",4,117,0,17,31,0,7,66,2,0,22,0,0,0,0,4,-5.802514434
"1ghy",11,155,0,8,53,0,2,103,3,0,28,1,1,2,0,4,-11.19056355
"1ghz",3,120,0,4,50,0,5,64,3,0,17,0,0,0,0,4,-6.631445068
"1gi1",4,116,0,16,38,0,6,60,3,0,16,0,0,0,0,4,-7.557084275
"1gi4",6,122,0,8,49,0,5,66,3,1,15,0,0,0,0,4,-9.933352091
"1gi6",5,120,0,4,52,0,4,65,3,0,18,0,0,0,0,4,-8.593247567
"1gi8",1,115,0,5,53,0,5,53,0,0,16,0,0,0,0,4,-6.976832832
"1gi9",1,117,0,4,53,0,6,55,0,0,18,0,0,0,0,5,-7.211696511
"1gj4",11,157,0,30,43,0,16,79,3,0,38,1,0,1,0,5,-5.622912797
"1gj6",7,175,0,18,55,0,14,95,4,0,29,1,0,1,0,5,-9.670857391
"1gj7",10,146,0,17,53,0,10,76,4,0,26,1,0,1,0,5,-10.90043783
"1gj8",1,117,0,5,59,0,7,47,0,0,21,0,0,0,0,7,-9.615595348
"1gja",9,156,0,5,73,0,3,84,4,2,18,1,0,1,0,5,-7.488006722
"1gjb",3,119,0,6,57,0,6,53,2,0,18,1,0,1,0,5,-8.772849204
"1gjc",2,113,0,6,53,0,6,50,2,0,17,1,0,1,0,5,-8.772849204
"1gjd",9,173,0,32,62,0,8,80,4,2,27,0,0,0,0,5,-7.211696511
"1gnm",10,170,0,26,31,0,58,65,5,4,17,0,0,0,1,20,-8.634694099
"1gnn",11,200,0,26,39,0,61,85,4,3,15,0,0,0,0,20,-7.847209997
"1gno",9,174,0,24,40,0,60,59,3,4,17,0,0,0,0,20,-10.63794313
"1gny",7,90,0,1,5,0,59,32,5,4,11,0,0,0,0,20,-5.719621371
"1grp",13,104,0,0,0,33,54,30,0,8,1,0,0,0,8,6,-5.139369928
"1gt1",0,38,0,2,0,0,32,4,0,0,14,0,1,3,0,1,-8.289306335
"1gu1",13,139,0,6,29,3,34,80,2,6,10,0,0,0,0,4,-6.244610772
"1gwv",8,133,0,0,0,9,5,127,3,3,17,0,0,0,0,12,-3.550586213
"1gyx",4,66,0,10,1,5,32,22,0,3,18,0,1,0,1,1,-3.426246618
"1gyy",3,74,0,9,4,11,20,33,0,2,24,0,0,1,1,3,-5.028845843
"1gz3",7,148,14,8,33,30,7,63,0,6,12,0,0,0,2,11,-5.111738906
"1gz9",8,139,0,4,22,0,17,104,3,4,13,0,0,0,0,16,-4.849244206
"1gzc",6,104,0,4,18,0,17,71,2,3,12,0,0,0,0,12,-4.821613185
"1h1d",7,94,0,0,5,4,5,87,1,1,22,1,0,1,0,9,-11.35634968
"1h1h",6,68,0,0,2,22,16,34,0,5,3,0,0,0,4,8,-7.211696511
"1h2t",15,331,0,12,23,0,94,217,5,8,58,0,4,0,1,18,-10.90043783
"1h46",0,95,0,0,1,0,29,65,0,0,26,0,3,0,0,6,-4.932137269
"1h6h",10,136,8,1,18,55,21,43,1,8,6,0,0,0,3,20,-7.322220596
"1h9z",0,46,5,0,0,41,0,0,0,0,24,0,0,1,0,5,-7.488006722
"1hbv",3,137,0,19,28,0,43,50,1,2,28,0,0,0,3,15,-8.800480225
"1heg",6,133,0,22,34,0,32,51,3,1,18,0,0,0,1,16,-10.69320517
"1hi3",5,101,0,19,0,21,56,10,1,4,10,2,2,0,3,8,-5.788698924
"1hi5",7,111,0,23,0,22,54,19,0,5,7,0,0,0,5,9,-5.581466265
"1hih",7,136,0,12,50,0,30,51,5,2,25,0,0,0,2,16,-11.121486
"1hii",7,136,0,16,49,0,32,46,5,2,29,0,0,0,2,16,-10.05769169
"1hlk",1,82,0,0,4,2,17,60,0,2,12,1,0,0,5,4,-6.907755279
"1hmr",3,58,0,7,0,3,47,4,0,3,12,0,0,0,1,16,-9.049159415
"1hms",3,56,0,4,0,5,40,10,0,3,15,0,0,0,1,15,-8.800480225
"1hmt",3,59,1,4,0,7,43,7,0,3,14,0,0,0,1,16,-7.999180613
"1hn2",0,36,0,4,0,0,28,4,0,0,13,0,1,2,0,1,-8.289306335
"1hnn",2,112,2,0,0,45,18,49,1,0,27,0,1,0,2,2,-8.620878588
"1hos",5,115,0,26,34,0,25,35,4,2,33,0,0,0,0,20,-11.81226153
"1hpo",4,121,0,17,18,0,26,64,1,5,20,1,0,0,0,7,-12.73790073
"1hps",6,161,0,15,47,0,39,66,3,2,27,1,0,0,0,18,-12.73790073
"1hpv",4,130,0,17,28,0,52,37,2,2,24,0,0,0,0,14,-12.73790073
"1hpx",4,142,0,14,46,0,37,49,2,1,28,0,0,0,0,15,-15.55626489
"1hsh",6,140,0,23,29,0,41,53,3,1,41,0,0,0,2,14,-13.01421095
"1hvh",8,166,0,15,40,0,56,63,3,1,27,0,0,0,0,15,-10.9971464
"1hvi",8,210,0,16,49,0,41,112,3,2,50,2,0,0,0,21,-15.08653753
"1hvj",7,196,0,16,49,0,36,102,2,2,50,2,0,0,0,20,-15.74968204
"1hvk",7,242,0,18,57,0,53,121,4,2,50,2,0,0,0,21,-15.14179957
"1hvl",9,217,0,16,51,0,42,117,4,2,49,2,0,0,0,21,-13.74643301
"1hvr",4,155,0,13,37,0,58,51,2,2,40,0,0,0,0,10,-13.13855054
"1hvs",8,199,0,18,50,0,41,98,3,2,47,2,0,0,0,21,-14.22997587
"1hwr",4,122,0,1,40,0,38,47,2,2,33,0,0,0,0,10,-11.50832029
"1hxb",7,177,0,20,43,0,65,56,3,2,40,0,0,0,2,14,-13.70498647
"1hxw",6,170,0,19,49,0,34,74,4,2,43,1,0,0,0,19,-14.94838242
"1hyo",9,82,0,14,6,24,27,20,0,6,8,0,0,0,4,4,-5.622912797
"1i00",0,60,2,0,2,14,14,28,0,0,26,0,0,1,1,9,-8.759033694
"1i5r",8,269,0,5,78,47,12,135,2,3,66,0,0,0,0,18,-11.770815
"1i7z",0,74,0,2,14,0,44,14,0,1,29,2,0,0,1,5,-8.841926757
"1i80",3,91,0,32,0,0,38,24,2,1,18,0,0,0,0,0,-8.855742268
"1i9l",6,85,0,0,5,2,38,46,0,1,16,0,0,0,0,5,-11.71555295
"1i9m",7,96,0,0,4,0,51,48,1,1,14,1,0,1,0,5,-11.71555295
"1i9n",8,84,0,0,4,3,46,39,0,1,12,0,0,0,0,5,-11.96423214
"1i9o",8,87,0,0,4,3,41,47,1,1,14,0,0,0,0,5,-11.63265989
"1i9p",8,89,4,0,3,5,41,44,1,1,12,0,0,0,0,5,-11.61884438
"1i9q",7,86,0,0,4,3,40,46,0,1,14,0,0,0,1,5,-11.61884438
"1icj",1,82,4,18,8,6,41,6,0,2,14,0,0,0,0,27,-3.067043344
"1if8",7,81,0,0,4,2,47,35,0,1,14,0,0,0,1,7,-13.31815218
"1igb",6,104,0,0,9,0,27,74,1,0,17,0,1,0,4,5,-8.841926757
"1igj",0,81,0,0,13,0,39,29,0,0,20,0,0,0,0,7,-13.81551056
"1iih",7,101,0,20,21,0,16,51,0,8,3,0,0,0,3,5,-3.992682551
"1iiq",9,209,0,40,48,0,79,51,8,3,42,0,0,0,2,22,-10.3340019
"1ik4",16,125,11,5,6,74,28,17,1,11,2,0,0,0,3,4,-10.23729332
"1ikt",0,68,7,0,0,52,9,0,0,0,31,0,0,1,0,13,-4.69727359
"1iy7",14,140,0,6,0,12,31,105,2,5,10,0,0,0,6,6,-8.551801035
"1izh",8,220,0,31,57,0,79,61,4,3,41,0,0,0,0,21,-10.63794313
"1izi",10,189,0,35,48,0,59,57,5,3,37,0,0,0,0,21,-9.104421458
"1j01",10,158,0,0,0,0,45,123,3,4,17,0,0,0,0,6,-8.938635331
"1j14",3,94,0,5,42,0,6,44,3,0,11,0,0,0,0,2,-6.203164241
"1j4r",2,129,0,0,20,12,39,60,0,2,40,0,0,0,0,16,-10.66557415
"1jak",8,145,0,0,0,0,30,123,5,4,28,2,0,0,1,5,-7.695239381
"1jao",7,112,2,4,42,34,10,27,2,3,29,1,1,0,0,8,-8.17878225
"1jfh",4,75,0,2,12,0,3,62,3,1,11,0,0,0,0,12,-2.832179664
"1jgl",6,95,0,2,16,0,54,29,2,2,34,0,2,0,0,2,-12.01949419
"1jlr",14,165,1,12,11,56,69,30,1,9,10,0,2,0,8,11,-4.600565016
"1jmf",7,140,11,9,0,2,62,63,0,6,5,0,0,0,4,5,-7.971549592
"1jmg",12,163,9,13,0,2,80,71,1,9,8,0,0,0,4,5,-8.386014909
"1jmi",15,154,6,9,0,5,65,84,1,8,4,0,0,0,4,5,-8.372199398
"1jn2",1,26,0,1,6,0,0,20,0,1,4,1,0,0,0,7,-5.650543818
"1jn4",10,196,0,23,0,22,86,75,2,6,17,1,1,0,5,14,-6.838677726
"1joc",9,103,0,15,0,0,58,39,3,6,0,0,0,0,4,8,-6.382765878
"1jqe",0,110,6,0,3,57,0,44,0,0,65,2,5,0,1,9,-8.897188799
"1jqy",12,133,1,0,22,11,29,82,4,3,20,0,0,0,0,13,-6.797231195
"1jt1",3,53,0,0,4,36,0,16,0,2,6,0,0,0,1,4,-4.69727359
"1jwt",6,127,0,27,27,0,27,52,1,1,23,0,0,1,1,7,-10.84517579
"1jyq",19,256,0,32,20,62,81,80,3,14,36,2,0,0,4,20,-12.01949419
