"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"1aaq",11,154,0,27,35,0,43,60,7,4,19,0,0,0,2,19,-58.58,5.09,-4.72,-54.83,-0.43,52.57,-78.27,9.78,-11.60502887
"1abf",13,128,0,0,1,46,3,91,3,5,6,0,0,0,0,4,-39.53,0.99,-5.86,-18.12,0,19.49,-22.12,10.26,-7.488006722
"1add",5,133,0,7,7,29,9,86,4,2,24,3,1,0,0,6,-29.86,1.82,-6.9,-23.12,-5.43,66.25,-43.33,8.32,-9.311654116
"1adl",3,57,5,0,2,9,38,6,0,3,16,0,0,0,1,14,-51.58,1.51,-4.69,-45.84,0,58.31,-43.68,13.62,-7.405113659
"1ado",4,74,0,15,10,5,29,19,0,4,3,0,0,0,1,5,-51.07,-3.63,-7.21,-4.29,0,74.98,-23.62,-2.18,-8.289306335
"1af2",7,150,3,13,10,21,83,27,1,3,18,1,0,1,0,5,-25.59,2.49,-2.18,-24.99,-0.5,46.65,-45.62,5.74,-4.282808273
"1af6",18,163,0,0,0,0,93,88,4,5,16,0,0,0,0,13,-45,3.41,-9.62,-19.73,0,35.03,-27.75,10.09,-2.514422922
"1afk",14,171,1,9,0,68,46,61,2,7,11,0,1,0,6,10,-169.05,7.68,-19.8,-8.62,-6.59,160.89,-35.35,7.7,-9.145867989
"1afl",9,166,0,9,0,47,53,66,2,7,14,0,2,0,4,10,-71.15,8.62,-16.67,-7.16,-3.48,95.64,-40.83,8.42,-8.67614063
"1agm",13,213,0,0,44,44,19,119,10,3,27,0,0,0,1,22,-238.44,11.48,-8.36,-49.33,0,178.2,-59.08,16.75,-16.57861267
"1ai4",2,74,0,18,0,4,32,22,0,2,15,0,1,0,0,4,-29.03,2.38,-3.56,-17.45,-0.59,38.75,-26.04,1.54,-3.453877639
"1ai7",0,45,0,8,0,12,18,7,0,0,20,0,0,1,0,1,-0.19,0.04,-0.02,-17.1,-0.3,16.92,-20.83,0.16,-5.650543818
"1aid",1,41,0,5,1,0,25,11,0,0,23,0,0,0,0,7,-10.88,9,-0.07,-59.71,0,22.03,-46.45,8.46,-6.659076089
"1aj7",7,125,0,1,12,0,99,20,0,7,25,1,1,0,3,8,-42.16,3.26,-8.2,-19.06,-2.37,49.89,-41.02,4.61,-5.346602586
"1ajn",1,55,0,12,0,2,28,14,0,1,12,0,1,0,0,3,-4.07,0.09,-3.33,-17.52,-1.45,12.89,-30.24,1.29,-3.633479277
"1ajv",4,169,0,14,46,0,57,56,2,2,44,0,0,0,0,12,16.72,3.84,-2.84,-62.91,-0.33,8.15,-86.81,9.59,-10.66557415
"1ajx",4,152,0,10,32,0,51,63,2,2,46,0,0,0,0,12,-20.74,-1.27,-2.74,-58.69,-1.58,44.23,-76.15,7.24,-10.92806885
"1alw",1,32,0,0,0,33,0,0,0,1,11,0,0,0,1,4,-13.92,2.89,-2.75,-18.41,-0.22,22.08,-28.95,2.14,-9.007712884
"1amw",4,100,15,0,11,24,24,30,1,3,6,0,0,0,2,9,3.92,1.03,-12.77,-10.87,-0.34,-0.11,-44.55,4.32,-6.272241793
"1apb",13,130,0,0,0,49,1,93,3,5,8,0,0,0,0,4,-37.73,0.74,-5.4,-18.12,0,21.74,-23.23,10.15,-8.040627145
"1apv",10,164,0,3,48,0,44,79,4,2,11,0,0,0,0,16,-54.07,3.27,-4.8,-46.02,0,71.34,-72.5,5.83,-12.4339595
"1atl",4,89,1,7,25,31,13,16,1,2,16,1,1,0,3,10,105.06,4.04,-1.42,-31.13,-2.68,-50.83,-45.11,7.35,-8.67614063
"1ax0",6,88,0,4,12,0,17,61,2,3,9,0,0,0,0,6,-49.1,-1.18,-3.72,-18.24,0,30.94,-27.61,4.25,-4.324254805
"1axz",6,76,0,4,10,0,16,52,2,2,8,0,0,0,0,6,-48.16,0.28,-3.4,-15.94,0,30.53,-18.77,4.09,-4.420963379
"1b8n",8,181,2,41,0,20,63,63,6,2,14,0,0,1,0,6,-48.92,3.71,-6.13,-27.48,-0.87,35.56,-45.15,10.92,-14.53391711
"1b8y",3,104,2,10,29,30,14,22,0,2,27,3,1,0,4,6,106.23,6.41,-2.03,-42.27,-3.51,-54.05,-58.39,10.59,-10.84517579
"1bai",10,186,0,17,50,0,52,77,4,4,20,0,0,0,1,29,-60.15,10.07,-4.41,-74.49,0,81.93,-98.09,24.37,-10.63794313
"1bap",13,120,0,0,1,41,4,87,3,5,6,0,0,0,0,4,-39.1,1.19,-5.83,-13.95,0,19.56,-21.24,9.62,-9.463624732
"1bcd",4,71,0,0,8,0,33,34,1,2,1,0,0,0,0,2,-10.01,-2.02,-2.1,-5.42,0,-8.67,-14.33,-1.96,-12.01949419
"1bdq",6,138,0,17,40,0,24,63,3,1,38,0,0,0,0,15,-22.8,8.1,-1.95,-64.22,-0.51,48.46,-73,10.77,-8.759033694
"1bgq",1,75,9,0,0,29,32,6,1,0,21,0,0,0,0,2,-24.4,0.45,-1.89,-39.1,-0.48,20.06,-42.61,2.87,-11.83989255
"1bhf",9,147,0,15,6,53,53,29,1,6,24,2,0,0,4,20,-282.37,2.28,-20.02,-26.74,-0.72,245.06,-49.54,12.69,-6.051193624
"1bhx",6,143,0,37,39,0,17,56,5,1,27,0,0,2,1,9,-190.14,4.4,-8.85,-47.67,-1.53,182.46,-58.47,10.46,-9.449809222
"1bn1",6,87,0,0,4,4,39,46,0,1,12,0,0,1,1,6,12.64,2.46,-2.56,-22.73,-0.6,-23.29,-30.98,2.81,-12.90368686
"1bn3",6,91,0,0,6,6,38,47,0,1,13,0,0,1,1,4,6.03,6.79,-2.29,-26.93,-0.78,-12.26,-37.22,4.49,-13.66353994
"1bn4",7,80,0,0,3,4,39,41,1,2,10,1,0,1,0,7,13.48,2.79,-2.68,-23.6,-0.41,-23.35,-31.82,3.69,-12.86224033
"1bnn",8,85,0,0,4,8,40,41,1,1,10,0,0,1,0,4,9.98,8.8,-2.49,-27.44,-1.22,-18.23,-35.32,6.88,-13.81551056
"1bnq",7,94,0,0,3,7,40,51,1,1,9,1,0,1,0,7,-6.89,4.69,-2.8,-27.44,-0.24,-6.89,-36.88,6.36,-13.11091952
"1bnt",7,84,0,0,3,4,45,39,1,2,4,1,0,2,0,5,4.13,7.11,-2.88,-27.08,-0.58,-16.81,-31.34,7.35,-13.53920035
"1bnu",7,86,0,0,3,4,42,44,1,1,5,1,0,2,0,5,15.29,5.03,-2.77,-30.98,-0.63,-23.73,-37.19,7.09,-13.40104524
"1bnv",8,107,0,0,7,3,54,51,2,2,4,1,0,1,0,5,-6.8,3.35,-3.13,-23.1,-0.81,-5.5,-34.4,5.49,-12.11620276
"1bnw",6,94,0,0,3,7,48,42,1,2,5,0,0,1,1,6,21.42,3.3,-2.56,-23.13,-0.52,-28.43,-30.06,10.91,-12.54448359
"1bp0",15,137,2,8,0,17,69,56,2,9,2,0,0,0,3,5,24.54,1.61,-15.28,-10.24,-0.24,-31.86,-29.99,2.35,-7.460375701
"1bq4",8,157,2,0,0,96,31,36,0,9,2,0,0,0,11,6,-443.03,5.73,-19.8,-2.03,-0.51,471.82,-26.44,5.19,-7.211696511
"1br6",10,165,4,19,16,77,49,10,3,4,24,0,1,0,0,6,59.19,3.12,-4.94,-16.15,-3.51,-54.33,-41.68,8.08,-4.4485944
"1bv7",10,215,0,36,42,0,87,60,4,6,51,0,0,0,0,14,-50.91,-0.49,-4.41,-70.5,-0.41,55.43,-96.12,10.89,-12.84842482
"1bv9",10,222,0,43,36,0,85,68,4,6,47,0,0,0,0,14,-47.38,-0.29,-4.53,-69.46,0,54.35,-96.91,11.14,-12.37869746
"1bwa",10,203,0,32,45,0,81,55,4,6,34,0,0,0,0,14,-47.63,-0.49,-4.55,-65.79,0,57.73,-93.77,12,-10.49978802
"1bwb",12,242,0,42,45,0,113,54,5,6,47,0,0,0,0,14,-56.68,2.6,-5.49,-61.1,0,64.56,-98.08,12.82,-11.63265989
"1bxq",7,178,0,3,39,0,37,106,4,2,25,0,0,0,0,19,60,5.52,-4.51,-49.27,0,2,-92.62,10.95,-10.19584679
"1bxr",18,250,0,12,35,35,116,70,5,12,19,0,0,0,7,11,137.5,6.22,-27.67,-20.93,-0.09,-80.78,-60.09,12.34,-4.69727359
"1byk",16,194,5,7,6,77,29,86,6,9,5,0,0,0,1,13,-73.24,7.18,-17.08,-28.96,0,44.96,-39.39,12.19,-6.907755279
"1bzc",11,171,13,1,15,36,10,107,1,8,37,0,2,0,1,8,-166.29,6.27,-11.65,-27.6,-0.99,168.34,-42.21,6.61,-6.797231195
"1bzh",10,179,9,1,20,34,9,116,2,7,29,0,0,0,2,16,-119.22,17.18,-7.37,-28.04,-0.2,155.64,-49.69,30.02,-9.353100648
"1bzy",18,226,12,7,41,24,58,102,6,8,20,1,2,0,0,7,-66.94,9.78,-11.99,-23.85,-3.2,82.85,-54.72,16.67,-11.52213581
"1c1r",5,119,0,8,46,0,4,66,3,1,13,0,0,0,0,4,-204.82,4.46,-2.82,-19.27,-0.52,278.55,-37.97,8.95,-10.54123456
"1c1u",6,138,0,26,25,0,8,85,3,0,18,1,0,0,0,4,-146.01,4.65,-2.95,-19.92,-0.2,214.74,-38.73,11.7,-11.39779621
"1c1v",11,152,0,38,24,0,8,93,5,0,18,0,1,0,0,7,-229.35,2.29,-3.14,-17.6,-0.96,280.44,-40.38,4.45,-10.55505007
"1c4u",6,161,0,10,63,0,3,91,3,1,32,0,0,0,0,9,-158.38,0.09,-3.13,-45.16,-0.62,137.92,-57.53,10.58,-14.32668445
"1c4v",7,166,0,10,60,0,4,99,4,1,59,0,0,0,0,9,-162.83,2.89,-2.96,-55.36,-0.77,153.16,-61.62,7.36,-14.9207514
"1c5c",7,105,0,0,5,0,46,61,0,6,32,0,2,1,3,3,-64.63,1.66,-9.81,-20.78,-1.19,60.45,-39.54,1.25,-9.615595348
"1c5n",4,88,0,18,30,0,8,36,3,0,6,0,0,0,0,2,-139.14,1.82,-2.39,-23.14,0,145.19,-28.9,2.77,-6.493289962
"1c5o",3,81,0,18,26,0,7,33,3,0,9,0,0,0,0,2,-149.35,1.86,-7.29,-11.29,0,145.09,-22.16,3.82,-4.821613185
"1c5p",3,90,0,4,45,0,5,39,3,0,12,0,0,0,0,2,-219.27,0.48,-7.31,-11.52,0,226.41,-26.9,1.05,-6.465658941
"1c5q",5,94,0,5,48,0,4,42,3,0,10,0,0,0,0,2,-198.51,1.25,-2.48,-24,0,214.08,-32.66,2.29,-8.786664715
"1c5s",6,106,0,5,56,0,6,45,3,0,13,0,0,0,0,2,-189.31,1.38,-2.5,-19.67,0,207.68,-28.47,2.25,-8.289306335
"1c5t",4,88,0,16,28,0,5,43,3,0,8,0,0,0,0,2,-200.19,0.92,-2.62,-17.7,-0.02,205.75,-29.05,1.42,-5.664359329
"1c5x",6,110,0,9,56,0,2,49,4,0,14,0,0,0,0,2,-199.33,2.13,-2.49,-25.75,0,202.14,-31.98,3.22,-9.228761053
"1c5y",6,102,0,8,54,0,2,44,4,0,15,0,0,0,0,2,-196.65,1.87,-2.6,-19.17,0,200.17,-28.22,2.94,-5.802514434
"1c5z",5,89,0,6,48,0,3,37,3,0,11,0,0,0,0,2,-216.39,1.91,-7.78,-11.57,0,220.7,-25.31,3.42,-5.540019734
"1c70",5,173,0,14,48,0,37,79,3,1,51,0,0,0,2,14,-40.12,-0.43,-3.07,-74.01,-0.58,71.9,-88.74,18.67,-14.22997587
"1c83",10,139,8,0,3,32,11,95,0,10,25,0,0,0,2,3,-138.19,4.18,-11.13,-14.06,-0.97,132.55,-38.22,2.8,-6.700522621
"1c84",8,125,7,0,1,30,10,85,1,7,31,0,0,0,2,3,-69.42,4.41,-9.48,-16.49,-0.7,88.18,-40.69,3.31,-6.907755279
"1c86",8,144,8,1,4,35,12,92,0,7,16,0,0,0,2,3,-100.58,2.93,-9.87,-21.96,-0.73,109.23,-38.85,2.61,-6.493289962
"1c87",9,141,10,1,5,34,13,87,0,10,16,0,1,0,2,3,-141.83,3.11,-11.15,-23.07,-0.88,134.9,-38.02,2.28,-5.802514434
"1c88",11,156,9,1,5,34,11,107,1,9,23,0,1,0,3,3,-143.8,2.38,-12.5,-22.46,-0.93,133.1,-37.59,1.57,-7.308405085
"1caq",5,106,4,14,25,32,18,18,0,2,30,4,1,2,4,8,97.58,4.55,-1.85,-49.49,-3.53,-29.48,-69.77,10.41,-10.66557415
"1cbx",8,109,0,2,0,5,21,89,0,6,12,0,1,0,7,5,-4.96,1.02,-13.78,-20.89,-0.13,62.49,-26.27,4.73,-8.772849204
"1ce5",3,97,0,4,44,0,6,46,3,0,13,0,0,0,0,2,-217.78,0.65,-7.35,-11.53,-0.22,227.97,-26.91,1.58,-6.548552004
"1cea",7,81,0,0,1,0,54,33,1,4,19,1,0,0,3,6,-63.09,2.49,-5.78,-18.59,0,58.03,-17.46,1.65,-6.852493237
"1ceb",6,78,0,0,1,0,32,51,1,2,16,0,0,0,4,3,-72.4,1.91,-7.86,-21.88,0,66.78,-13.21,1.55,-8.289306335
"1cet",1,57,2,5,0,23,6,22,0,0,24,0,0,0,1,8,4.2,-1.88,-1.18,-32.49,-0.41,-8.82,-28.84,7.96,-3.992682551
"1cgl",8,143,0,11,31,23,38,48,4,4,26,0,1,0,5,19,104.89,3.17,-4.19,-38.38,-3.11,-42.23,-60.93,8.43,-9.491255753
"1ch8",14,206,23,13,45,62,51,26,2,10,17,0,0,0,4,7,-8.09,5.31,-20.16,-9.57,0,15.93,-57.07,7.61,-9.670857391
"1cil",7,92,0,0,5,5,41,48,1,1,5,0,0,0,1,4,-36.39,2.79,-3.18,-22.93,-0.5,24.47,-39.22,2.68,-13.02802646
"1cim",9,96,0,0,8,4,40,53,0,2,3,0,0,0,0,3,-28.01,2.27,-3,-18.54,-0.53,12.61,-31.66,2.17,-12.18528031
"1cin",10,92,0,0,6,4,42,50,0,2,4,0,0,0,1,3,-21.1,2.33,-2.81,-20.82,-0.53,7.09,-32.91,2.65,-12.06094072
"1ciz",5,98,4,9,26,24,12,28,0,2,28,4,1,0,4,8,113.9,4.65,-0.9,-49.17,-2.98,-29.25,-71.86,9.03,-10.27873986
"1cnw",7,85,0,1,5,6,38,42,2,1,15,0,0,0,0,14,0.09,1.57,-2.73,-24.76,-0.76,-7.46,-33.55,4.58,-10.66557415
"1cnx",6,93,2,1,7,6,41,42,3,3,14,0,0,0,0,12,8.52,1.21,-2.55,-24.39,-0.53,-10.6,-35.6,3.56,-10.18203128
"1cny",6,94,0,1,7,9,39,44,2,2,13,0,0,0,0,16,-2.8,2.02,-2.56,-25.31,-0.73,-0.92,-35.16,4.67,-10.84517579
"1ct8",7,161,0,3,25,0,80,60,0,6,45,1,2,1,0,13,-74.66,0.84,-6.5,-32.57,-4.87,71.06,-65.87,13.14,-9.007712884
"1ctt",7,125,2,11,10,15,72,22,3,2,16,0,0,0,0,5,-33.74,4.47,-2.07,-32.39,0,36.09,-41.33,8.12,-6.244610772
"1ctu",9,161,4,13,11,22,88,32,1,3,19,0,0,0,0,5,-20.49,1.88,-2.88,-25.95,-0.42,59.05,-44.81,4.19,-16.46808859
"1d2e",16,212,34,0,28,87,18,61,2,12,15,0,0,0,1,9,35.03,2.8,-17.2,-8.01,0,-56.93,-48.44,10.76,-8.289306335
"1d4y",6,146,0,16,20,0,35,81,1,4,22,0,0,0,0,13,-18.52,4.55,-2.74,-59.4,-2.33,31.02,-75.63,10.56,-15.33521672
"1d6v",2,121,0,6,0,0,87,30,1,2,65,1,2,1,0,8,27.57,5.93,-2.05,-44.87,-2.44,-0.73,-44.99,7.56,-8.524170014
"1d6w",4,150,0,14,63,0,2,75,1,1,35,0,0,0,0,8,-39.78,5.59,-4.99,-40.29,-1.5,81.55,-65.63,16.01,-8.234044293
"1d7i",1,38,0,0,4,8,15,12,0,1,9,0,0,0,0,2,-20.31,0.54,-0.48,-18.83,0,9.03,-20.74,0.91,-4.973583801
"1d9i",4,131,0,32,33,0,11,59,3,1,37,0,0,0,1,8,-103.86,3.56,-1.7,-42.57,-0.3,121.1,-51.51,13.83,-12.58593012
"1dfo",12,168,0,0,29,0,57,94,5,3,26,0,1,0,1,11,-88.08,7.4,-10.27,-32.03,-0.9,97.13,-67.62,5.18,-9.256392074
"1dhj",7,140,2,37,0,43,45,20,1,4,21,0,0,0,3,11,-47.89,-2.28,-12.74,-24.38,-1.21,50.61,-51.7,4.11,-9.049159415
"1dif",7,232,0,18,53,0,52,116,6,2,46,2,0,0,0,21,-48.7,5.4,-4.01,-72.46,-5.43,65.87,-109.82,23.54,-14.72733425
"1dl7",1,95,0,0,22,0,25,49,0,3,33,3,0,0,1,7,-22.4,1.18,-2.56,-24.39,-2.95,29.31,-42.66,5.6,-8.966266352
"1dqn",15,173,7,14,30,19,44,74,2,7,17,0,3,0,0,7,-58.92,3.62,-12.05,-15.45,-4.65,76.32,-42.92,7.31,-11.05240845
"1dqx",16,215,0,7,9,15,76,124,3,7,16,0,0,0,1,7,-78.68,2.63,-10.46,-16.34,-0.07,86.31,-40.51,4.83,-15.26613917
"1drj",17,154,0,1,0,55,31,84,4,7,18,0,0,0,0,4,-49.86,1.71,-6.69,-16.15,0,21.19,-19.4,1.57,-10.22347781
"1drk",17,151,0,1,0,54,33,80,4,6,20,0,0,0,0,4,-43.68,0.41,-7.38,-16.13,0,19.72,-20.69,5.83,-9.422178201
"1dud",9,129,10,25,0,26,50,27,1,9,18,0,0,0,1,7,-12.78,5.48,-9.43,-14.16,0,7.33,-36.91,3.47,-6.659076089
"1duv",24,258,14,0,33,114,52,69,6,14,7,0,0,0,3,10,-7.76,3.13,-15.79,-14.05,0,0.5,-43.66,4.44,-16.30230246
"1dy4",4,144,0,0,1,0,65,82,3,1,26,2,4,0,4,7,-322.32,2.03,-3.33,-31.13,-7.22,381.66,-49.82,2.46,-6.023562603
"1dzk",0,26,0,2,0,0,22,2,0,0,11,0,1,0,0,3,-1.68,0.1,-0.02,-28.92,-0.02,7.24,-30.27,0.19,-8.42746144
"1e3v",1,42,4,0,0,19,20,0,0,1,12,0,0,0,0,6,73.44,4.94,-1.02,-52.86,0,-28.54,-39.66,6.81,-5.995931582
"1e4h",0,35,0,0,0,0,35,0,0,0,6,0,0,0,0,1,1.5,0.58,0,-44.52,0,8.2,-34.38,0.87,-11.61884438
"1e6q",13,140,0,0,0,0,63,90,6,3,10,0,1,0,0,5,-149.06,2.14,-5.41,-14.88,-2.05,95.52,-29.82,7.38,-4.351885826
"1e6s",13,137,0,0,0,0,70,80,5,4,13,0,0,0,0,6,-36.63,4.07,-4.82,-14.96,0,67.59,-29.92,9.06,-4.4485944
"1ec9",17,211,0,5,21,15,73,114,4,7,6,0,0,0,5,8,8.83,6.48,-10.23,-7.32,0,1.58,-24.21,8.9,-4.282808273
"1ecq",15,193,0,4,11,0,72,121,2,6,9,0,0,0,8,8,125.16,6.76,-12.26,-9.85,0,-44.24,-20.24,15.91,-4.144653167
"1ecv",8,139,8,0,4,34,12,89,0,9,28,0,0,0,2,3,-136.32,3.57,-11.02,-17,-0.71,130.59,-37.63,2.59,-6.700522621
"1efy",3,97,1,17,0,43,38,1,1,2,29,0,2,0,0,3,-33.34,1.33,-1.83,-18.61,-5.75,29.02,-42.52,1.47,-11.35634968
"1egh",11,102,11,5,6,57,23,11,0,11,2,0,0,0,4,3,-98.21,1.03,-14.58,-3.97,0,101.19,-18.72,0.72,-7.874841018
"1eix",20,214,0,10,10,16,78,120,3,9,18,0,0,0,2,7,-69.83,0.55,-18.89,-17.87,0,58.64,-31.89,3.62,-15.27995468
"1ejn",6,166,0,20,80,0,2,70,4,2,21,0,0,0,1,4,-228.1,3.1,-8.71,-38.13,-0.13,265.57,-50.83,5.02,-7.764316934
"1elc",1,159,0,13,31,0,21,95,1,0,32,0,0,0,1,14,-82.02,13,-1.06,-45.13,-0.09,115.47,-55.01,20.15,-9.201130032
"1eld",2,118,0,24,29,0,17,50,2,1,11,0,0,0,0,9,-15.11,3.48,-0.91,-29.52,-0.42,39.47,-49.57,12.51,-9.256392074
"1ele",4,133,0,29,15,0,21,72,2,1,11,0,0,0,0,8,-24.24,0.91,-1,-27.04,-0.44,28.77,-44.13,4.92,-9.463624732
"1elr",12,173,2,0,0,183,0,0,2,10,26,0,0,0,3,22,-289.55,-0.31,-21.11,-20.35,0,248.67,-63.94,13.79,-6.852493237
"1ent",5,146,0,4,48,0,28,71,3,3,25,0,0,0,0,19,72.07,1.72,-2.7,-55.31,-0.06,15.62,-82.31,14.41,-9.615595348
"1epo",9,184,0,3,50,7,52,81,4,2,25,0,0,0,0,17,-60.14,5.31,-4.67,-58.13,0,95.42,-83.42,14.01,-10.9971464
"1erb",0,58,0,0,12,0,25,21,0,1,26,0,0,0,0,6,-4.19,1.73,-0.06,-88.82,0,26.97,-61.66,3.41,-11.19056355
"1ew8",7,83,3,1,0,28,7,51,0,2,7,0,0,0,6,2,222.95,3.27,-6.05,-2.29,0,-122.73,-8.81,3.62,-3.122305386
"1ew9",1,41,1,1,0,16,1,23,0,0,3,0,0,0,3,1,98,1.9,-4.6,-1.3,0,-73.95,-4.24,2.61,-4.4485944
"1ex8",23,309,0,29,37,9,73,184,6,14,29,0,4,0,6,17,-97.43,17.76,-31.35,-17.89,-6.81,87.18,-75.98,23.73,-8.745218183
"1ez9",5,119,1,0,5,43,14,61,5,1,23,0,0,0,0,29,-74.88,0.86,-7.52,-43.88,0,68.18,-65.81,19.41,-7.045910385
"1ezq",5,194,0,4,95,0,5,95,4,1,55,0,2,1,0,12,-249.3,1.73,-8.01,-45.77,-2.66,292.1,-58.19,9.36,-12.50303705
"1f0r",2,131,0,29,36,0,11,57,2,1,43,0,2,1,0,6,-53.28,6.44,-2.86,-42.27,-6.81,90.96,-54.19,6.96,-10.58268109
"1f0s",2,123,0,18,38,0,14,55,0,1,50,0,2,1,0,5,-55.94,5.31,-0.61,-40.5,-7.36,99.39,-52.14,6.4,-10.69320517
"1f0t",5,141,0,4,70,0,4,68,4,2,21,0,0,0,0,8,-283.04,3.95,-8.46,-31.33,-0.42,279.34,-52.21,4.45,-8.289306335
"1f0u",5,159,0,4,83,0,4,73,4,1,24,0,1,0,0,12,-265.95,3.73,-8.22,-33.62,-0.73,334.42,-55.91,9.54,-9.89190556
"1f3e",8,101,0,3,20,25,18,43,2,2,20,0,2,0,0,2,-38.75,1.44,-3.89,-16.5,-3.61,40.87,-33.71,0.97,-9.256392074
"1f4x",8,103,0,19,16,0,56,20,1,4,15,0,0,0,0,9,-40.69,4.81,-2.47,-26.99,0,22.81,-31,9.47,-7.722870402
"1f5l",8,143,0,16,70,0,6,59,5,0,9,0,0,0,1,3,-200.35,1.78,-8.49,-13.63,0,190,-33.27,2.46,-7.294589575
"1f9g",1,65,0,0,0,21,0,45,0,1,1,0,0,0,0,6,-12.3,-0.19,-1.58,-9.18,0,13.65,-16.99,1.34,-1.768385351
"1fao",13,168,0,6,16,0,132,27,0,11,0,0,0,0,6,10,-476.12,2.38,-34.23,-6.57,0,475.72,-23.89,2.41,-10.18203128
"1fcy",6,95,17,5,5,53,7,14,0,3,42,0,0,1,1,3,-38.51,1.02,-5.3,-74.42,-1.89,34.94,-71.08,1.65,-11.770815
"1fdq",2,69,0,1,3,3,49,15,0,2,23,0,0,0,1,14,-18.15,4.46,-3.64,-55.97,0,39.17,-50.62,12.36,-10.04387618
"1fhd",12,157,0,0,0,0,35,134,2,5,12,0,1,1,0,7,-29.33,-0.5,-5.38,-19.62,-3.19,48.29,-41.06,12.54,-9.422178201
"1fiv",13,261,0,35,53,0,58,128,6,5,44,2,0,0,0,23,-82.59,1.43,-7.52,-85.43,-5.34,87.77,-104.66,11.33,-9.104421458
"1fj4",2,78,1,11,17,0,25,26,0,2,24,0,0,0,0,3,-20.33,1.74,-0.95,-43.82,0,10.71,-39.5,2.89,-6.341319346
"1fjs",3,178,0,29,54,0,23,75,3,1,38,0,1,2,0,11,-107.51,3.35,-8.61,-36.06,-1.05,130.77,-62.05,10.11,-13.76024852
"1fkf",3,141,0,0,20,12,52,60,1,2,35,0,0,0,0,10,-38.43,-1.48,-2.37,-56.87,0,40.37,-78.24,9.8,-12.98657992
"1fkg",2,77,0,0,6,13,30,30,0,2,29,0,0,0,0,10,-21.52,2.89,-0.53,-45.89,-0.71,18.97,-49.19,8.76,-11.05240845
"1fkh",2,77,0,0,8,10,25,36,0,2,27,0,0,0,0,10,-28.06,3.05,-1.04,-41.5,-0.76,21.29,-41.91,6.3,-11.2596411
"1fkw",6,115,0,5,6,20,9,81,3,3,21,3,1,0,0,5,-32.85,0.22,-3.67,-18.96,-4.85,25.42,-41.01,6.68,-6.976832832
"1fl3",0,80,0,1,20,0,49,10,0,0,49,0,2,2,0,7,-49.06,3.59,-2.37,-48.77,-4.93,69.3,-56.3,2.34,-9.394547179
