PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa,Experimental
1fd0,-16.046,-17.69,-20.21,-181.524,-21.42350462,-13.66353994,-14.35431547,-11.93660112,-13.31815218,-152.7338745,-11.61
1o3p,-8.27917,-10.14,-12.17,-124.482,-17.67050736,-8.358383888,-8.151151229,-8.869557778,-8.455092461,-49.2728969,-9.2
1gpk,-9.82847,-10.78,-10.18,-101.415,-17.22944791,-8.510354504,-8.455092461,-8.814295736,-8.593247567,-54.32223152,-7.42
1dhi,-8.3078,-13.04,-15.67,-138.934,-17.45879502,-8.897188799,-9.394547179,-8.41364593,-8.91100431,-116.4973588,-10.03
4tmn,-8.70298,-7.45,-9.19,-154.024,-19.97970615,-9.988614133,-11.24582559,-10.08532271,-10.44452598,-23.04291824,-14.05
1rnt,-6.6933,-10.86,-12.63,-105.947,-13.71591133,-7.460375701,-7.833394486,-7.322220596,-7.529453254,-62.35960285,-7.17
1zvx,-6.62999,-11.19,-10.42,-168.756,-18.65053002,-8.897188799,-9.325469627,-8.841926757,-9.021528394,-34.17431393,-12.74
1bma,-5.24327,-9.25,-9.04,-158.416,-19.91717776,-9.297838606,-10.25110883,-9.601779838,-9.726119433,-80.05291528,-6.34
1o0h,-6.1327,-10.44,-18.24,-93.909,-13.95101996,-7.294589575,-7.68142387,-7.128803448,-7.363667127,-110.96717,-8.18
2fdp,-10.49819,-14.1,-15.5,-223.715,-21.72226465,-11.39779621,-12.47540603,-11.57739785,-11.81226153,-145.745729,-10.49
1b8o,-7.75554,-9.84,-14.46,-109.328,-19.99486187,-8.234044293,-8.786664715,-8.068258166,-8.358383888,-101.5290067,-14.7
1if7,-6.50654,-7.19,-7.17,-103.577,-20.19776578,-8.040627145,-9.311654116,-7.943918571,-8.42746144,-72.31746788,-14.53
2flb,-8.1969,-9.99,-10.67,-108.156,-17.43894677,-8.344568377,-8.510354504,-8.745218183,-8.524170014,-26.91958798,-7.93
1re8,-12.47425,-15.8,-18.37,-179.158,-19.81096588,-11.83989255,-11.96423214,-11.54976683,-11.78463051,-153.9193218,-13.15
1vfn,-6.00531,-9.23,-10.94,-58.457,-13.45643182,-6.534736494,-6.880124258,-6.43802792,-6.617629557,-53.34197749,-7.74
2b1v,-8.71645,-9.51,-9.9,-110.799,-17.5780698,-9.17349901,-9.132052479,-8.455092461,-8.92481982,-100.6430952,-7.93
1olu,-6.53242,-8.03,-10.47,-78.15,-12.9781722,-7.156434469,-7.363667127,-7.045910385,-7.18406549,-111.1447059,-6.09
2h3e,-7.1381,-9.83,-14.3,-99.317,-13.89274023,-7.474191212,-8.068258166,-7.529453254,-7.68142387,-68.80073508,-7.87
2rkm,-6.00514,-7.63,-11.8,-103.102,-18.71985635,-7.142618958,-6.465658941,-6.838677726,-6.811046705,-55.61456229,-5.39
1om1,-10.98094,-11.59,-10.5,-106.062,-17.59734795,-9.574148817,-9.643226369,-8.579432057,-9.270207584,-80.61943915,-9.35
1ols,-6.71213,-8.35,-8.52,-70.245,-12.84621169,-7.41892917,-7.68142387,-7.377482638,-7.488006722,-93.51086874,-8.04
1d09,-6.65157,-8,-10.48,-87.268,-14.42474859,-6.6728916,-6.866308747,-6.562367515,-6.700522621,-53.36870458,-10.46
1q7a,-8.03715,-6.08,-5.81,-113.06,-17.13380963,-8.648509609,-9.532702285,-8.800480225,-8.993897373,-54.82682156,-9.93
1elb,-5.8104,-9.6,-9.46,-127.645,-19.87286197,-7.874841018,-9.076790437,-8.054442655,-8.344568377,-85.42656118,-9.88
1ela,-7.70149,-9.49,-8.97,-152.98,-19.74862302,-8.689956141,-9.90572107,-8.731402673,-9.104421458,-84.89046368,-8.79
1x1z,-7.16163,-10.12,-14.18,-103.693,-14.33986842,-7.943918571,-8.689956141,-7.971549592,-8.206413271,-39.71308055,-15.28
1sqa,-7.99499,-9.25,-9.24,-133.431,-18.89171971,-9.17349901,-9.118236968,-9.505071264,-9.270207584,-51.4721421,-12.72
2cer,-8.19025,-9.25,-13.48,-103.589,-18.77781886,-8.261675314,-8.689956141,-8.524170014,-8.496538993,-92.40183493,-12.74
1k9s,-8.0159,-9.62,-10.62,-109.675,-15.69035445,-8.012996124,-8.330752866,-7.874841018,-8.082073676,-86.38139386,-9.01
2ceq,-6.55289,-8.4,-12.21,-70.029,-15.10571218,-7.114987937,-7.515637744,-7.032094874,-7.225512022,-90.8786911,-10.06
4tim,-3.57049,-8.1,-7.82,-48.629,-10.10808444,-6.700522621,-7.156434469,-6.617629557,-6.824862216,-16.40296825,-2.98
2cet,-7.95418,-8.69,-12.16,-109.114,-18.65837013,-8.344568377,-9.132052479,-8.330752866,-8.607063078,-69.50635967,-11.08
5er1,-6.62794,-9.48,-9.97,-162.384,-19.72218935,-8.344568377,-9.739934943,-8.786664715,-8.952450842,-126.4446464,-8.32
1ppm,-8.65256,-13.56,-11.28,-181.703,-21.50035754,-9.491255753,-10.78991375,-9.366916158,-9.878090049,-136.4594786,-8.01
2usn,-7.19741,-7.37,-7.28,-111.978,-18.51758284,-8.41364593,-9.615595348,-8.137335719,-8.717587162,-58.60377724,-8.99
1kv5,-3.75765,-9.16,-12.96,-46.817,-11.39520247,-6.286057304,-6.728153642,-6.203164241,-6.410396899,-18.98822559,-5.83
1y6q,-8.83382,-13.95,-14.95,-115.731,-17.51700408,-8.883373289,-8.759033694,-8.330752866,-8.648509609,-126.9135201,-16.16
1jqd,-7.97548,-10.76,-14.02,-162.267,-16.02701625,-8.316937356,-8.496538993,-8.17878225,-8.330752866,-100.9422295,-7.13
1kv1,-9.1857,-9.45,-9.64,-125.784,-18.01735213,-9.449809222,-10.44452598,-9.767565964,-9.89190556,-97.88225963,-8.21
1hk4,-7.61148,-7.95,-8.34,-80.251,-16.31733147,-8.17878225,-10.19584679,-9.090605947,-9.1596835,-83.15481153,-7.34
1pr5,-7.19688,-8.54,-6.65,-92.601,-15.70451085,-7.874841018,-8.054442655,-7.764316934,-7.902472039,-50.70865971,-5.42
2bok,-8.36658,-13.88,-19.35,-160.022,-18.79051341,-8.717587162,-8.593247567,-8.897188799,-8.731402673,-108.0827648,-9.05
1o3f,-8.69115,-10.03,-9.44,-121.036,-17.66144259,-8.689956141,-8.869557778,-9.104421458,-8.883373289,-28.33232166,-11
1gni,-7.52923,-6.27,-10.42,-137.904,-17.12237462,-9.380731669,-8.855742268,-8.123520208,-8.786664715,-111.3436278,-11.15
1ydt,-8.63146,-13.22,-15.01,-126.596,-20.59448211,-9.698488412,-9.878090049,-9.505071264,-9.698488412,-107.8846329,-10.11
1fzk,-11.04937,-4.46,-2.62,-263.795,-19.81040398,-13.02802646,-13.53920035,-12.91750237,-13.16618156,-209.7596785,-11.61
1jys,-4.8367,-6.82,-5.9,-53.044,-14.92228622,-6.396581388,-6.68670711,-6.286057304,-6.451843431,-23.90329426,-4.86
2drc,-8.65519,-10.24,-10.66,-130.468,-17.27533535,-8.800480225,-9.297838606,-8.316937356,-8.800480225,-105.5106274,-13.66
1y1m,-5.7515,-8.12,-8.99,-70.195,-11.68728388,-7.211696511,-7.819578976,-7.405113659,-7.488006722,-48.28109166,-2.51
1bra,-4.85786,-7.34,-6.08,-66.69,-11.25826322,-6.893939768,-6.9353863,-7.253143043,-7.032094874,-38.04317091,-2.51
1fcx,-15.15661,-15.82,-15.97,-176.744,-21.0071706,-13.30433667,-13.84314158,-11.49450478,-12.87605584,-153.9225007,-9.93
1fcz,-14.63207,-16.76,-19.42,-167.559,-20.76760721,-13.02802646,-13.42867626,-11.53595132,-12.66882318,-155.7675291,-12.74
2g94,-9.66433,-16.52,-17.71,-254.823,-20.1805176,-11.01096191,-12.07475623,-11.93660112,-11.67410642,-201.8213843,-13.15
1f5k,-5.37299,-9.32,-8.62,-68.853,-11.74220217,-6.880124258,-6.963017321,-7.211696511,-7.018279363,-46.85522743,-5.17
2hdq,-4.39642,-9.25,-9.13,-43.868,-9.844658282,-6.272241793,-6.659076089,-6.216979751,-6.382765878,-40.22363868,-1.93
1pxo,-5.01677,-8.6,-8.74,-56.913,-13.09781645,-6.783415684,-6.963017321,-6.755784663,-6.838677726,-65.28338999,-12.02
10gs,-6.75515,-10.29,-9.99,-127.56,-18.48400847,-8.745218183,-10.0715072,-8.399830419,-9.076790437,-109.538673,-8.84
1e5a,-2.28928,-2.39,-0.81,-18.55,-9.591359629,-5.650543818,-7.253143043,-6.106455667,-6.341319346,-24.46813725,-10.56
1bcu,-6.84489,-6.69,-4.94,-68.729,-15.39793641,-7.391298149,-7.336036106,-7.68142387,-7.474191212,16.75346311,-4.53
2ayr,-12.19774,-14.81,-15.64,-185.431,-20.63460688,-12.53066808,-12.91750237,-10.95569987,-12.13001827,-164.5006757,-12.83
3pch,-5.78888,-10.46,-9.47,-55.839,-13.01414687,-7.41892917,-8.206413271,-7.41892917,-7.68142387,-63.43220996,-7.46
1utp,-4.054,-6.61,-5.78,-58.989,-7.562329067,-6.368950367,-6.479474452,-6.548552004,-6.465658941,-7.594839346,-1.99
1v16,-5.18029,-8.02,-10.37,-68.701,-12.99367529,-7.405113659,-7.847209997,-7.570899786,-7.598530807,-28.00678877,-5.35
3pce,-4.98514,-7.29,-7.85,-54.301,-10.86059733,-7.045910385,-7.101172427,-6.963017321,-7.032094874,-38.39600191,-2.76
1q8t,-8.19025,-11.73,-12.06,-111.268,-16.74541184,-8.468907972,-8.551801035,-8.717587162,-8.579432057,-96.2850231,-6.58
1jaq,-6.13475,-9.26,-10.72,-112.353,-14.84326039,-7.543268765,-8.42746144,-7.709054891,-7.888656529,-52.93864125,-6.19
1zs0,-7.22529,-11.4,-7.35,-156.068,-19.00289131,-8.855742268,-8.897188799,-8.717587162,-8.828111247,-34.16189898,-8.5
1m2q,-9.69823,-9,-9.84,-78.877,-15.7010736,-8.496538993,-8.92481982,-8.192597761,-8.537985525,-75.78958571,-8.43
1p1q,-7.06335,-8.04,-8.41,-84.43,-13.31237234,-7.653792849,-8.068258166,-7.68142387,-7.805763465,-81.82669111,-6.76
1det,-6.13021,-10.95,-15.55,-93.73,-14.9031452,-7.142618958,-7.543268765,-7.018279363,-7.239327532,-69.42738426,-5.94
2std,-9.61524,-9.75,-11.1,-104.517,-23.18449206,-9.505071264,-10.25110883,-9.40836269,-9.726119433,-125.0255826,-13.61
1nja,-6.06197,-8.36,-10.33,-75.888,-14.21369542,-7.156434469,-7.515637744,-7.059725895,-7.239327532,-60.62319745,-8.72
1jq9,-6.29493,-7.84,-7.05,-163.314,-18.52163579,-8.841926757,-10.0715072,-8.565616546,-9.1596835,-61.6199629,-11.67
1nje,-6.26376,-8.32,-11.8,-84.356,-14.36704744,-7.225512022,-7.791947955,-7.294589575,-7.43274468,-71.72264516,-5.25
1tsy,-6.76191,-9.39,-11.42,-85.737,-14.53510102,-7.156434469,-7.639977339,-7.128803448,-7.308405085,-75.35167162,-6.85
1fkb,-10.75851,-11.72,-15.43,-184.834,-21.174921,-10.38926394,-13.23525911,-10.34781741,-11.32871866,-143.0169107,-13.4
1v2o,-6.52864,-9.88,-10.32,-116.352,-17.70113613,-8.16496674,-8.703771652,-8.344568377,-8.399830419,-83.3600154,-6.53
4er2,-7.22131,-12.84,-16.31,-192.634,-21.06033116,-9.228761053,-10.8589913,-9.574148817,-9.89190556,-170.4436486,-12.85
1fzj,-9.35345,-4.94,-3.24,-243.726,-18.69607934,-12.13001827,-13.16618156,-11.34253417,-12.21291133,-257.2239984,-11.19
1pz5,-6.20644,-3.5,-1.62,-199.175,-19.55547276,-8.855742268,-8.386014909,-8.41364593,-8.551801035,-160.9254704,-7.46
3gss,-6.15801,-10.19,-11.89,-135.84,-17.3919309,-8.358383888,-9.201130032,-7.985365103,-8.510354504,-125.8241464,-8.04
1e1v,-5.6244,-7.78,-6.43,-100.368,-15.97994773,-7.336036106,-7.211696511,-7.557084275,-7.363667127,-51.4867357,-6.8
2bzz,-7.29608,-11.93,-22.31,-142.206,-16.53336192,-8.234044293,-8.054442655,-7.612346317,-7.971549592,-126.6399964,-8.88
1nfy,-9.16685,-10.63,-11.09,-144.213,-21.06868006,-9.477440243,-9.726119433,-9.256392074,-9.477440243,-69.69257115,-12.28
1j16,-5.4871,-8.29,-8.54,-68.919,-11.45355449,-7.045910385,-7.004463853,-7.322220596,-7.128803448,-49.04163865,-5.31
2cgr,-8.77778,-9.13,-7.88,-117.037,-17.20604972,-8.938635331,-9.601779838,-9.021528394,-9.187314521,-92.53759668,-10.06
1is0,-5.35403,-11.13,-15.12,-147.473,-16.50168701,-8.620878588,-8.731402673,-8.42746144,-8.593247567,-111.4867663,-9.67
2fzc,-6.22925,-5.32,-10.53,-69.882,-14.18911983,-7.059725895,-7.43274468,-6.838677726,-7.101172427,-77.79251481,-3.73
2bak,-12.69085,-16.39,-16.91,-246.729,-20.3852709,-12.4339595,-12.77934727,-11.89515459,-12.36488195,-166.8398721,-10.26
2baj,-11.55632,-11.38,-12.1,-159.14,-20.66242672,-10.65175864,-11.59121336,-11.53595132,-11.2596411,-130.6389361,-11.61
1xd1,-8.5943,-9.49,-19.29,-211.894,-16.48505433,-10.00242964,-10.36163292,-9.40836269,-9.933352091,-131.7071452,-10.94
1a30,-6.57445,-9.57,-10.32,-116.025,-17.10482234,-7.888656529,-8.026811634,-7.66760836,-7.861025507,-74.43135839,-5.94
1xgj,-6.72967,-9.68,-8.38,-70.895,-14.5063151,-7.529453254,-7.985365103,-7.570899786,-7.695239381,-62.03624133,-8.29
1b39,-7.25386,-7.6,-13.4,-132.935,-15.17667163,-8.689956141,-9.228761053,-8.537985525,-8.814295736,-39.7351481,-9.56
1pb9,-4.80237,-7.46,-7.17,-53.048,-12.07063441,-6.548552004,-7.087356916,-6.534736494,-6.728153642,-55.1536467,-5
1bxo,-11.6977,-15.61,-14.05,-178.163,-21.20447365,-10.30637088,-11.89515459,-10.61031211,-10.94188436,-171.9442777,-13.82
2azr,-6.63733,-10.4,-11.62,-86.781,-11.43947864,-7.474191212,-7.861025507,-7.18406549,-7.501822233,-68.15754285,-5.03
1j17,-9.95053,-8.73,-8,-160.461,-20.36941914,-9.712303922,-9.781381475,-9.684672901,-9.726119433,-61.34197342,-7.21
1zc9,-4.48498,-8.8,-8.69,-58.724,-13.81113443,-6.576183026,-6.493289962,-6.576183026,-6.548552004,-38.15966325,-4.45
1nvq,-12.93499,-12.61,-13.15,-178.123,-21.03453111,-10.88662232,-11.75699948,-10.36163292,-10.9971464,-116.2663242,-11.4
1k4g,-8.21939,-10.27,-11.3,-103.707,-15.54626459,-8.17878225,-8.579432057,-7.805763465,-8.192597761,-69.48805285,-8.08
2j77,-6.13751,-7.75,-8.75,-64.505,-15.33544187,-7.059725895,-7.557084275,-7.004463853,-7.211696511,-50.24844416,-6.76
1avn,-2.49013,-5.73,-3.42,-12.951,-13.6436587,-5.595281776,-5.816329945,-5.484757692,-5.636728308,-24.97810276,-5.39
1h23,-9.60878,-4.9,-3.25,-188.746,-22.56853417,-10.7346517,-10.72083619,-9.712303922,-10.38926394,-94.44135667,-11.54
6std,-9.39241,-9.44,-11.22,-105.921,-20.12458486,-9.132052479,-9.960983112,-9.256392074,-9.449809222,-123.4751394,-11.94
2bz6,-7.79065,-11.15,-11.35,-146.943,-18.74638857,-8.537985525,-8.786664715,-8.786664715,-8.703771652,-98.41115695,-9.8
7cpa,-7.70602,-7.98,-10.89,-161.797,-23.87361192,-10.01624515,-11.6464754,-9.947167602,-10.54123456,-78.22331913,-19.29
1vzq,-11.07149,-12.76,-14.41,-170.315,-20.33993246,-9.670857391,-9.89190556,-9.65704188,-9.739934943,-109.7435888,-10.28
2d0k,-8.04494,-10.25,-10.12,-124.175,-16.45831279,-8.689956141,-9.339285137,-8.261675314,-8.759033694,-100.8283041,-6.94
1a08,-4.40235,-9.43,-12.64,-135.07,-17.63843902,-7.598530807,-8.593247567,-7.391298149,-7.861025507,-98.67953571,-7.76
1fkn,-8.40618,-17.84,-16.6,-244.84,-22.1752542,-10.95569987,-11.78463051,-11.70173744,-11.48068927,-195.9674443,-12.16
1pbq,-7.74724,-11.31,-10.17,-83.958,-15.7806437,-8.040627145,-9.035343905,-8.123520208,-8.399830419,-86.74245064,-8.66
1fh7,-7.01976,-8.76,-14.73,-102.051,-13.61694117,-7.557084275,-7.999180613,-7.474191212,-7.68142387,-96.74234165,-7.24
2gss,-5.44059,-9.81,-11.35,-73.842,-13.20971129,-7.17024998,-8.192597761,-7.253143043,-7.543268765,-74.20106883,-6.82
1fh9,-7.65016,-7.5,-13.52,-95.837,-14.66590985,-7.639977339,-8.040627145,-7.515637744,-7.736685912,-102.5894065,-8.88
1fh8,-7.15114,-7.14,-11.64,-102.592,-15.11025553,-7.570899786,-8.012996124,-7.446560191,-7.66760836,-77.47009745,-9.52
1l2s,-7.04065,-8.93,-7.09,-73.907,-15.42995693,-6.866308747,-7.639977339,-7.087356916,-7.197881001,-56.54616785,-6.34
1lol,-7.05343,-10.13,-13.08,-91.188,-13.46813342,-7.211696511,-7.695239381,-7.114987937,-7.336036106,-50.74375223,-8.83
1f4e,-6.28657,-7.28,-5.57,-59.651,-14.57703374,-7.391298149,-8.220228782,-7.446560191,-7.695239381,-40.09133124,-4.09
1f4g,-8.30164,-11.57,-13.79,-138.623,-17.51927799,-8.869557778,-9.062974926,-8.303121845,-8.745218183,-126.3135912,-8.95
1f4f,-8.04736,-9.58,-11.53,-122.607,-16.59260138,-8.537985525,-8.897188799,-8.040627145,-8.496538993,-87.79689643,-6.38
2ctc,-5.76828,-9.15,-7.21,-69.114,-13.12462182,-7.584715296,-8.095889187,-7.543268765,-7.750501423,-21.71849909,-5.37
1syh,-9.42711,-11.8,-14.86,-109.53,-16.46050432,-8.455092461,-8.855742268,-8.41364593,-8.579432057,-107.6180422,-8.72
1m0q,-6.14188,-8.11,-9.22,-99.074,-13.11937602,-7.391298149,-7.570899786,-7.41892917,-7.460375701,-39.88700285,-5.37
1nhu,-6.9145,-6.61,-7.98,-99.583,-19.29869978,-8.303121845,-9.615595348,-7.847209997,-8.593247567,-88.20190816,-7.82
1m0n,-6.45224,-9.13,-9.51,-102.957,-13.51900208,-8.151151229,-8.551801035,-8.399830419,-8.372199398,-55.16722234,-3.07
1trd,-4.95025,-7.17,-7.93,-68.045,-15.43083187,-6.741969152,-7.336036106,-6.714338131,-6.9353863,-39.03877952,-7.46
2c02,-6.44871,-9.43,-11.67,-98.012,-14.04135595,-7.336036106,-7.570899786,-7.101172427,-7.336036106,-60.9687047,-5.58
1n2v,-6.38794,-11.01,-11.29,-85.556,-15.49431246,-6.963017321,-7.612346317,-7.073541406,-7.211696511,-69.05632931,-5.64
