PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa
1b9j,-8.117,-11.2,-15.99,-180.199,-9.80742563786,-9.767565964,-10.22347781,-9.670857391,-9.89190556,-72.61261704
1a1b,-4.68699,-8.63,-12.92,-128.595,-8.65359237104,-7.736685912,-8.772849204,-7.653792849,-8.054442655,-87.75052677
8cpa,-6.84991,-4.16,-8.71,-133.336,-8.6177900321,-9.118236968,-10.37544843,-8.993897373,-9.491255753,-12.76568618
1a69,-8.01951,-9.26,-9.78,-101.953,-7.44833486983,-7.529453254,-7.791947955,-7.377482638,-7.570899786,-83.66353556
2qwb,-5.77522,-7.69,-8.83,-58.702,-6.82186086076,-6.907755279,-7.032094874,-7.142618958,-7.032094874,-47.71603622
2b7d,-8.22152,-10.23,-13.55,-158.113,-10.7372597,-9.256392074,-10.00242964,-9.187314521,-9.491255753,-36.62833447
1tmn,-7.1456,-4.64,-8.28,-125.875,-9.88624027914,-9.007712884,-10.51360353,-8.855742268,-9.463624732,-18.39621548
2brm,-8.05572,-11.99,-12.38,-115.854,-9.63401909862,-8.648509609,-9.615595348,-8.441276951,-8.897188799,-85.9451555
3pcj,-5.53514,-9.04,-8.11,-47.895,-7.56648770008,-6.866308747,-7.211696511,-6.617629557,-6.893939768,-30.43120079
2qwd,-6.16643,-8.56,-12.31,-79.155,-6.5352149192,-6.949201811,-7.225512022,-7.101172427,-7.087356916,-44.62669059
2qwe,-6.38787,-7.54,-13.22,-71.839,-8.05801901498,-6.990648342,-7.128803448,-6.824862216,-6.976832832,-35.28249739
1ttm,-6.1892,-7.19,-5.78,-62.194,-9.11017516331,-7.43274468,-8.510354504,-7.41892917,-7.791947955,-67.45887834
2brb,-7.94424,-9.06,-9.1,-113.955,-9.55952691601,-8.66232512,-9.864274538,-8.330752866,-8.952450842,-84.48649182
3std,-12.65377,-11.4,-9.55,-136.09,-9.88530881768,-12.13001827,-12.37869746,-10.76228272,-11.75699948,-104.1758337
1hfs,-10.06475,-16.24,-13.71,-297.154,-10.985392705,-12.64119216,-13.85695709,-12.15764929,-12.88987135,-92.25933072
2fai,-9.81689,-9.77,-10.24,-121.45,-11.926407863,-9.574148817,-9.65704188,-8.952450842,-9.394547179,-109.1197229
1nny,-9.93468,-13.61,-18.77,-213.837,-9.32007624368,-10.92806885,-11.9089701,-11.01096191,-11.28727213,-132.9386835
1hi4,-6.40453,-8.41,-10.63,-82.058,-7.70725841445,-7.336036106,-7.695239381,-7.17024998,-7.405113659,-69.05297452
1df8,-6.67547,-11.13,-9.57,-103.073,-8.94970381568,-7.971549592,-8.17878225,-7.68142387,-7.943918571,-90.4919164
1s39,-7.5201,-8.98,-7.92,-73.513,-6.75237281785,-7.43274468,-7.971549592,-7.280774064,-7.557084275,-49.45355032
1nc1,-9.66699,-13.48,-15.65,-125.002,-9.35184343628,-8.952450842,-9.035343905,-8.648509609,-8.883373289,-113.7503724
1loq,-7.19066,-10.02,-12.98,-96.257,-6.79560593165,-8.054442655,-8.717587162,-8.040627145,-8.275490824,-50.74011678
2d3z,-8.49507,-4.58,-2.58,-113.285,-9.36195602817,-8.841926757,-9.601779838,-8.42746144,-8.952450842,-103.560118
1tyr,-4.54842,-3.16,-1.21,-64.602,-6.44619416464,-7.239327532,-8.123520208,-7.474191212,-7.612346317,-52.27306824
1mq6,-9.00475,-9.57,-8.52,-188.224,-10.1158677412,-9.753750454,-10.32018639,-9.974798623,-10.01624515,-91.9572165
1u1b,-8.32418,-11.13,-11.96,-187.608,-8.83142604804,-9.380731669,-9.739934943,-9.132052479,-9.422178201,-83.90747432
2d3u,-8.69604,-4.76,-3.17,-114.554,-9.53086413132,-9.145867989,-9.684672901,-8.468907972,-9.104421458,-109.5030697
1g7f,-6.24422,-9.26,-13.87,-154.799,-8.27931311547,-8.358383888,-8.703771652,-8.220228782,-8.42746144,-92.18901782
1fki,-11.40826,-7.76,-7.44,-115.546,-8.88571415676,-9.214945542,-10.66557415,-9.104421458,-9.670857391,-93.29467644
1ftm,-7.08025,-8.09,-9.16,-96.729,-9.42312584832,-7.750501423,-8.095889187,-7.736685912,-7.861025507,-93.21666033
1flr,-11.64875,-12.63,-12.46,-125.257,-9.62306084284,-10.16821577,-11.20437906,-9.684672901,-10.34781741,-94.76405849
1u33,-7.83184,-7.57,-14.22,-130.019,-7.51942059479,-8.441276951,-8.482723483,-8.054442655,-8.330752866,-84.1655965
2d1o,-7.2459,-13.39,-18.16,-189.386,-10.1761095916,-9.629410859,-9.615595348,-9.104421458,-9.449809222,-106.2084532
1uwt,-5.79955,-7.56,-11.38,-74.747,-7.1411387824,-6.714338131,-7.059725895,-6.603814047,-6.797231195,-69.27277942
1b7h,-7.9995,-10.29,-14.65,-209.712,-9.64846322209,-10.16821577,-10.48597251,-10.18203128,-10.27873986,-72.15374524
1apw,-8.51701,-12.24,-13.98,-178.945,-10.4177763903,-8.883373289,-10.51360353,-9.546517796,-9.643226369,-134.8164475
1fd0,-16.046,-17.69,-20.21,-181.524,-11.2244316621,-13.66353994,-14.35431547,-11.93660112,-13.31815218,-152.7338745
1o3p,-8.27917,-10.14,-12.17,-124.482,-8.57752293515,-8.358383888,-8.151151229,-8.869557778,-8.455092461,-49.2728969
1gpk,-9.82847,-10.78,-10.18,-101.415,-8.86277437668,-8.510354504,-8.455092461,-8.814295736,-8.593247567,-54.32223152
1dhi,-8.3078,-13.04,-15.67,-138.934,-9.70214772219,-8.897188799,-9.394547179,-8.41364593,-8.91100431,-116.4973588
4tmn,-8.70298,-7.45,-9.19,-154.024,-8.40589589902,-9.988614133,-11.24582559,-10.08532271,-10.44452598,-23.04291824
1rnt,-6.6933,-10.86,-12.63,-105.947,-7.7269057111,-7.460375701,-7.833394486,-7.322220596,-7.529453254,-62.35960285
1zvx,-6.62999,-11.19,-10.42,-168.756,-8.92462225864,-8.897188799,-9.325469627,-8.841926757,-9.021528394,-34.17431393
1bma,-5.24327,-9.25,-9.04,-158.416,-10.7899220351,-9.297838606,-10.25110883,-9.601779838,-9.726119433,-80.05291528
1o0h,-6.1327,-10.44,-18.24,-93.909,-6.75673545621,-7.294589575,-7.68142387,-7.128803448,-7.363667127,-110.96717
2fdp,-10.49819,-14.1,-15.5,-223.715,-10.9855199822,-11.39779621,-12.47540603,-11.57739785,-11.81226153,-145.745729
1b8o,-7.75554,-9.84,-14.46,-109.328,-10.5755958284,-8.234044293,-8.786664715,-8.068258166,-8.358383888,-101.5290067
1if7,-6.50654,-7.19,-7.17,-103.577,-9.52134804054,-8.040627145,-9.311654116,-7.943918571,-8.42746144,-72.31746788
2flb,-8.1969,-9.99,-10.67,-108.156,-9.23260612434,-8.344568377,-8.510354504,-8.745218183,-8.524170014,-26.91958798
1re8,-12.47425,-15.8,-18.37,-179.158,-9.1440466688,-11.83989255,-11.96423214,-11.54976683,-11.78463051,-153.9193218
1vfn,-6.00531,-9.23,-10.94,-58.457,-6.30643335483,-6.534736494,-6.880124258,-6.43802792,-6.617629557,-53.34197749
2b1v,-8.71645,-9.51,-9.9,-110.799,-11.4464497895,-9.17349901,-9.132052479,-8.455092461,-8.92481982,-100.6430952
1olu,-6.53242,-8.03,-10.47,-78.15,-7.35302116908,-7.156434469,-7.363667127,-7.045910385,-7.18406549,-111.1447059
2h3e,-7.1381,-9.83,-14.3,-99.317,-7.04327055158,-7.474191212,-8.068258166,-7.529453254,-7.68142387,-68.80073508
2rkm,-6.00514,-7.63,-11.8,-103.102,-9.9208776208,-7.142618958,-6.465658941,-6.838677726,-6.811046705,-55.61456229
1om1,-10.98094,-11.59,-10.5,-106.062,-9.92136930448,-9.574148817,-9.643226369,-8.579432057,-9.270207584,-80.61943915
1ols,-6.71213,-8.35,-8.52,-70.245,-8.10684857098,-7.41892917,-7.68142387,-7.377482638,-7.488006722,-93.51086874
1d09,-6.65157,-8,-10.48,-87.268,-7.57616579311,-6.6728916,-6.866308747,-6.562367515,-6.700522621,-53.36870458
1q7a,-8.03715,-6.08,-5.81,-113.06,-8.38747629619,-8.648509609,-9.532702285,-8.800480225,-8.993897373,-54.82682156
1elb,-5.8104,-9.6,-9.46,-127.645,-9.37682754727,-7.874841018,-9.076790437,-8.054442655,-8.344568377,-85.42656118
1ela,-7.70149,-9.49,-8.97,-152.98,-9.21175844557,-8.689956141,-9.90572107,-8.731402673,-9.104421458,-84.89046368
1x1z,-7.16163,-10.12,-14.18,-103.693,-6.96783755553,-7.943918571,-8.689956141,-7.971549592,-8.206413271,-39.71308055
1sqa,-7.99499,-9.25,-9.24,-133.431,-10.6571948467,-9.17349901,-9.118236968,-9.505071264,-9.270207584,-51.4721421
2cer,-8.19025,-9.25,-13.48,-103.589,-9.8247863022,-8.261675314,-8.689956141,-8.524170014,-8.496538993,-92.40183493
1k9s,-8.0159,-9.62,-10.62,-109.675,-7.05612684951,-8.012996124,-8.330752866,-7.874841018,-8.082073676,-86.38139386
2ceq,-6.55289,-8.4,-12.21,-70.029,-7.47584602739,-7.114987937,-7.515637744,-7.032094874,-7.225512022,-90.8786911
4tim,-3.57049,-8.1,-7.82,-48.629,-5.60016741707,-6.700522621,-7.156434469,-6.617629557,-6.824862216,-16.40296825
2cet,-7.95418,-8.69,-12.16,-109.114,-9.82876130798,-8.344568377,-9.132052479,-8.330752866,-8.607063078,-69.50635967
5er1,-6.62794,-9.48,-9.97,-162.384,-9.82696380056,-8.344568377,-9.739934943,-8.786664715,-8.952450842,-126.4446464
1ppm,-8.65256,-13.56,-11.28,-181.703,-8.72784943971,-9.491255753,-10.78991375,-9.366916158,-9.878090049,-136.4594786
2usn,-7.19741,-7.37,-7.28,-111.978,-9.76066143282,-8.41364593,-9.615595348,-8.137335719,-8.717587162,-58.60377724
1kv5,-3.75765,-9.16,-12.96,-46.817,-5.483842935,-6.286057304,-6.728153642,-6.203164241,-6.410396899,-18.98822559
1y6q,-8.83382,-13.95,-14.95,-115.731,-10.5021742844,-8.883373289,-8.759033694,-8.330752866,-8.648509609,-126.9135201
1jqd,-7.97548,-10.76,-14.02,-162.267,-8.33863875988,-8.316937356,-8.496538993,-8.17878225,-8.330752866,-100.9422295
1kv1,-9.1857,-9.45,-9.64,-125.784,-10.0732409118,-9.449809222,-10.44452598,-9.767565964,-9.89190556,-97.88225963
1hk4,-7.61148,-7.95,-8.34,-80.251,-7.42787688372,-8.17878225,-10.19584679,-9.090605947,-9.1596835,-83.15481153
1pr5,-7.19688,-8.54,-6.65,-92.601,-7.36117691061,-7.874841018,-8.054442655,-7.764316934,-7.902472039,-50.70865971
2bok,-8.36658,-13.88,-19.35,-160.022,-10.0020824641,-8.717587162,-8.593247567,-8.897188799,-8.731402673,-108.0827648
1o3f,-8.69115,-10.03,-9.44,-121.036,-7.83755573908,-8.689956141,-8.869557778,-9.104421458,-8.883373289,-28.33232166
1gni,-7.52923,-6.27,-10.42,-137.904,-8.95214941455,-9.380731669,-8.855742268,-8.123520208,-8.786664715,-111.3436278
1ydt,-8.63146,-13.22,-15.01,-126.596,-11.0659173327,-9.698488412,-9.878090049,-9.505071264,-9.698488412,-107.8846329
1fzk,-11.04937,-4.46,-2.62,-263.795,-8.31447414807,-13.02802646,-13.53920035,-12.91750237,-13.16618156,-209.7596785
1jys,-4.8367,-6.82,-5.9,-53.044,-6.28019991937,-6.396581388,-6.68670711,-6.286057304,-6.451843431,-23.90329426
2drc,-8.65519,-10.24,-10.66,-130.468,-9.7038029774,-8.800480225,-9.297838606,-8.316937356,-8.800480225,-105.5106274
1y1m,-5.7515,-8.12,-8.99,-70.195,-7.56290403874,-7.211696511,-7.819578976,-7.405113659,-7.488006722,-48.28109166
1bra,-4.85786,-7.34,-6.08,-66.69,-6.71240321578,-6.893939768,-6.9353863,-7.253143043,-7.032094874,-38.04317091
1fcx,-15.15661,-15.82,-15.97,-176.744,-11.9661205261,-13.30433667,-13.84314158,-11.49450478,-12.87605584,-153.9225007
1fcz,-14.63207,-16.76,-19.42,-167.559,-11.2886298397,-13.02802646,-13.42867626,-11.53595132,-12.66882318,-155.7675291
2g94,-9.66433,-16.52,-17.71,-254.823,-10.2461584296,-11.01096191,-12.07475623,-11.93660112,-11.67410642,-201.8213843
1f5k,-5.37299,-9.32,-8.62,-68.853,-6.43485351041,-6.880124258,-6.963017321,-7.211696511,-7.018279363,-46.85522743
2hdq,-4.39642,-9.25,-9.13,-43.868,-6.45273988376,-6.272241793,-6.659076089,-6.216979751,-6.382765878,-40.22363868
1pxo,-5.01677,-8.6,-8.74,-56.913,-6.42332084552,-6.783415684,-6.963017321,-6.755784663,-6.838677726,-65.28338999
10gs,-6.75515,-10.29,-9.99,-127.56,-9.42052592242,-8.745218183,-10.0715072,-8.399830419,-9.076790437,-109.538673
1e5a,-2.28928,-2.39,-0.81,-18.55,-4.9220797442,-5.650543818,-7.253143043,-6.106455667,-6.341319346,-24.46813725
1bcu,-6.84489,-6.69,-4.94,-68.729,-7.34093416529,-7.391298149,-7.336036106,-7.68142387,-7.474191212,16.75346311
2ayr,-12.19774,-14.81,-15.64,-185.431,-10.6387002593,-12.53066808,-12.91750237,-10.95569987,-12.13001827,-164.5006757
3pch,-5.78888,-10.46,-9.47,-55.839,-6.53249856008,-7.41892917,-8.206413271,-7.41892917,-7.68142387,-63.43220996
1utp,-4.054,-6.61,-5.78,-58.989,-6.47022441843,-6.368950367,-6.479474452,-6.548552004,-6.465658941,-7.594839346
1v16,-5.18029,-8.02,-10.37,-68.701,-7.3625310648,-7.405113659,-7.847209997,-7.570899786,-7.598530807,-28.00678877
3pce,-4.98514,-7.29,-7.85,-54.301,-6.01111025693,-7.045910385,-7.101172427,-6.963017321,-7.032094874,-38.39600191
1q8t,-8.19025,-11.73,-12.06,-111.268,-9.2245920889,-8.468907972,-8.551801035,-8.717587162,-8.579432057,-96.2850231
1jaq,-6.13475,-9.26,-10.72,-112.353,-7.52777738027,-7.543268765,-8.42746144,-7.709054891,-7.888656529,-52.93864125
1zs0,-7.22529,-11.4,-7.35,-156.068,-9.05524625311,-8.855742268,-8.897188799,-8.717587162,-8.828111247,-34.16189898
1m2q,-9.69823,-9,-9.84,-78.877,-8.14255794862,-8.496538993,-8.92481982,-8.192597761,-8.537985525,-75.78958571
1p1q,-7.06335,-8.04,-8.41,-84.43,-9.06061586425,-7.653792849,-8.068258166,-7.68142387,-7.805763465,-81.82669111
1det,-6.13021,-10.95,-15.55,-93.73,-7.7600613443,-7.142618958,-7.543268765,-7.018279363,-7.239327532,-69.42738426
2std,-9.61524,-9.75,-11.1,-104.517,-9.53929228353,-9.505071264,-10.25110883,-9.40836269,-9.726119433,-125.0255826
1nja,-6.06197,-8.36,-10.33,-75.888,-7.0075385061,-7.156434469,-7.515637744,-7.059725895,-7.239327532,-60.62319745
1jq9,-6.29493,-7.84,-7.05,-163.314,-9.01611540647,-8.841926757,-10.0715072,-8.565616546,-9.1596835,-61.6199629
1nje,-6.26376,-8.32,-11.8,-84.356,-7.50141505871,-7.225512022,-7.791947955,-7.294589575,-7.43274468,-71.72264516
1tsy,-6.76191,-9.39,-11.42,-85.737,-6.80370948806,-7.156434469,-7.639977339,-7.128803448,-7.308405085,-75.35167162
1fkb,-10.75851,-11.72,-15.43,-184.834,-8.18041136316,-10.38926394,-13.23525911,-10.34781741,-11.32871866,-143.0169107
1v2o,-6.52864,-9.88,-10.32,-116.352,-9.14183728127,-8.16496674,-8.703771652,-8.344568377,-8.399830419,-83.3600154
4er2,-7.22131,-12.84,-16.31,-192.634,-10.492462146,-9.228761053,-10.8589913,-9.574148817,-9.89190556,-170.4436486
1fzj,-9.35345,-4.94,-3.24,-243.726,-7.72007331924,-12.13001827,-13.16618156,-11.34253417,-12.21291133,-257.2239984
1pz5,-6.20644,-3.5,-1.62,-199.175,-10.706458866,-8.855742268,-8.386014909,-8.41364593,-8.551801035,-160.9254704
3gss,-6.15801,-10.19,-11.89,-135.84,-8.6539305621,-8.358383888,-9.201130032,-7.985365103,-8.510354504,-125.8241464
1e1v,-5.6244,-7.78,-6.43,-100.368,-8.15262369947,-7.336036106,-7.211696511,-7.557084275,-7.363667127,-51.4867357
2bzz,-7.29608,-11.93,-22.31,-142.206,-9.13315495656,-8.234044293,-8.054442655,-7.612346317,-7.971549592,-126.6399964
1nfy,-9.16685,-10.63,-11.09,-144.213,-10.7940800432,-9.477440243,-9.726119433,-9.256392074,-9.477440243,-69.69257115
1j16,-5.4871,-8.29,-8.54,-68.919,-6.22892325996,-7.045910385,-7.004463853,-7.322220596,-7.128803448,-49.04163865
2cgr,-8.77778,-9.13,-7.88,-117.037,-9.32458248387,-8.938635331,-9.601779838,-9.021528394,-9.187314521,-92.53759668
1is0,-5.35403,-11.13,-15.12,-147.473,-8.16681991442,-8.620878588,-8.731402673,-8.42746144,-8.593247567,-111.4867663
2fzc,-6.22925,-5.32,-10.53,-69.882,-7.44911618212,-7.059725895,-7.43274468,-6.838677726,-7.101172427,-77.79251481
2bak,-12.69085,-16.39,-16.91,-246.729,-9.35290180178,-12.4339595,-12.77934727,-11.89515459,-12.36488195,-166.8398721
2baj,-11.55632,-11.38,-12.1,-159.14,-10.5089882331,-10.65175864,-11.59121336,-11.53595132,-11.2596411,-130.6389361
1xd1,-8.5943,-9.49,-19.29,-211.894,-7.82571568482,-10.00242964,-10.36163292,-9.40836269,-9.933352091,-131.7071452
1a30,-6.57445,-9.57,-10.32,-116.025,-8.28574786495,-7.888656529,-8.026811634,-7.66760836,-7.861025507,-74.43135839
1xgj,-6.72967,-9.68,-8.38,-70.895,-8.18542014631,-7.529453254,-7.985365103,-7.570899786,-7.695239381,-62.03624133
1b39,-7.25386,-7.6,-13.4,-132.935,-7.50861735642,-8.689956141,-9.228761053,-8.537985525,-8.814295736,-39.7351481
1pb9,-4.80237,-7.46,-7.17,-53.048,-7.80225948336,-6.548552004,-7.087356916,-6.534736494,-6.728153642,-55.1536467
1bxo,-11.6977,-15.61,-14.05,-178.163,-9.24860916554,-10.30637088,-11.89515459,-10.61031211,-10.94188436,-171.9442777
2azr,-6.63733,-10.4,-11.62,-86.781,-6.7347953348,-7.474191212,-7.861025507,-7.18406549,-7.501822233,-68.15754285
1j17,-9.95053,-8.73,-8,-160.461,-9.05523870063,-9.712303922,-9.781381475,-9.684672901,-9.726119433,-61.34197342
1zc9,-4.48498,-8.8,-8.69,-58.724,-6.60797567322,-6.576183026,-6.493289962,-6.576183026,-6.548552004,-38.15966325
1nvq,-12.93499,-12.61,-13.15,-178.123,-9.69230847082,-10.88662232,-11.75699948,-10.36163292,-10.9971464,-116.2663242
1k4g,-8.21939,-10.27,-11.3,-103.707,-8.50433245423,-8.17878225,-8.579432057,-7.805763465,-8.192597761,-69.48805285
2j77,-6.13751,-7.75,-8.75,-64.505,-7.3643009937,-7.059725895,-7.557084275,-7.004463853,-7.211696511,-50.24844416
1avn,-2.49013,-5.73,-3.42,-12.951,-7.61996229855,-5.595281776,-5.816329945,-5.484757692,-5.636728308,-24.97810276
1h23,-9.60878,-4.9,-3.25,-188.746,-9.98952729925,-10.7346517,-10.72083619,-9.712303922,-10.38926394,-94.44135667
6std,-9.39241,-9.44,-11.22,-105.921,-9.47727123302,-9.132052479,-9.960983112,-9.256392074,-9.449809222,-123.4751394
2bz6,-7.79065,-11.15,-11.35,-146.943,-9.29222088998,-8.537985525,-8.786664715,-8.786664715,-8.703771652,-98.41115695
7cpa,-7.70602,-7.98,-10.89,-161.797,-9.31441094638,-10.01624515,-11.6464754,-9.947167602,-10.54123456,-78.22331913
1vzq,-11.07149,-12.76,-14.41,-170.315,-11.5653646593,-9.670857391,-9.89190556,-9.65704188,-9.739934943,-109.7435888
2d0k,-8.04494,-10.25,-10.12,-124.175,-9.10540037341,-8.689956141,-9.339285137,-8.261675314,-8.759033694,-100.8283041
1a08,-4.40235,-9.43,-12.64,-135.07,-8.96605744439,-7.598530807,-8.593247567,-7.391298149,-7.861025507,-98.67953571
1fkn,-8.40618,-17.84,-16.6,-244.84,-11.1118689051,-10.95569987,-11.78463051,-11.70173744,-11.48068927,-195.9674443
1pbq,-7.74724,-11.31,-10.17,-83.958,-7.36921413289,-8.040627145,-9.035343905,-8.123520208,-8.399830419,-86.74245064
1fh7,-7.01976,-8.76,-14.73,-102.051,-7.4341986912,-7.557084275,-7.999180613,-7.474191212,-7.68142387,-96.74234165
2gss,-5.44059,-9.81,-11.35,-73.842,-7.17517986809,-7.17024998,-8.192597761,-7.253143043,-7.543268765,-74.20106883
1fh9,-7.65016,-7.5,-13.52,-95.837,-6.89242082375,-7.639977339,-8.040627145,-7.515637744,-7.736685912,-102.5894065
1fh8,-7.15114,-7.14,-11.64,-102.592,-7.506447355,-7.570899786,-8.012996124,-7.446560191,-7.66760836,-77.47009745
1l2s,-7.04065,-8.93,-7.09,-73.907,-8.2778108043,-6.866308747,-7.639977339,-7.087356916,-7.197881001,-56.54616785
1lol,-7.05343,-10.13,-13.08,-91.188,-6.52774792016,-7.211696511,-7.695239381,-7.114987937,-7.336036106,-50.74375223
1f4e,-6.28657,-7.28,-5.57,-59.651,-8.17944708338,-7.391298149,-8.220228782,-7.446560191,-7.695239381,-40.09133124
1f4g,-8.30164,-11.57,-13.79,-138.623,-8.36393883082,-8.869557778,-9.062974926,-8.303121845,-8.745218183,-126.3135912
1f4f,-8.04736,-9.58,-11.53,-122.607,-8.36554861134,-8.537985525,-8.897188799,-8.040627145,-8.496538993,-87.79689643
2ctc,-5.76828,-9.15,-7.21,-69.114,-6.89486999439,-7.584715296,-8.095889187,-7.543268765,-7.750501423,-21.71849909
1syh,-9.42711,-11.8,-14.86,-109.53,-8.81000290075,-8.455092461,-8.855742268,-8.41364593,-8.579432057,-107.6180422
1m0q,-6.14188,-8.11,-9.22,-99.074,-7.11472172138,-7.391298149,-7.570899786,-7.41892917,-7.460375701,-39.88700285
1nhu,-6.9145,-6.61,-7.98,-99.583,-10.3013582472,-8.303121845,-9.615595348,-7.847209997,-8.593247567,-88.20190816
1m0n,-6.45224,-9.13,-9.51,-102.957,-7.50236840616,-8.151151229,-8.551801035,-8.399830419,-8.372199398,-55.16722234
1trd,-4.95025,-7.17,-7.93,-68.045,-7.14568929122,-6.741969152,-7.336036106,-6.714338131,-6.9353863,-39.03877952
2c02,-6.44871,-9.43,-11.67,-98.012,-7.7170904528,-7.336036106,-7.570899786,-7.101172427,-7.336036106,-60.9687047
1n2v,-6.38794,-11.01,-11.29,-85.556,-6.48499074301,-6.963017321,-7.612346317,-7.073541406,-7.211696511,-69.05632931
