PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
1w4o,10,209,0,34,0,44,112,29,2,7,7,0,0,0,4,6,-7.211696511
1stc,5,333,0,26,19,2,193,98,2,1,47,0,0,1,1,4,-11.19056355
1v2r,10,272,0,42,60,0,48,132,5,2,25,1,0,0,0,11,-4.904506248
2evl,10,342,5,0,0,262,0,85,4,3,60,0,0,0,0,38,-9.256392074
1vyf,4,169,2,0,0,41,87,43,0,3,17,0,0,0,2,15,-11.121486
1vyg,5,209,6,1,3,39,103,62,0,3,31,0,0,0,2,14,-11.05240845
1upf,4,144,2,0,23,8,0,115,1,2,17,0,1,0,0,0,-6.355134857
1uou,7,218,6,37,0,103,74,5,2,3,15,0,0,1,0,2,-10.63794313
1caq,7,246,5,19,28,69,60,72,1,2,35,4,3,0,4,8,-10.66557415
1o36,0,10,0,0,5,0,0,5,0,0,0,0,0,0,0,9,-8.234044293
1i9m,8,221,0,0,12,23,90,104,2,1,14,0,0,0,0,5,-11.71555295
1i9l,7,221,0,0,27,16,43,142,3,1,22,0,0,0,1,5,-11.71555295
1i9o,8,211,0,0,20,11,44,144,3,1,14,0,0,0,0,5,-11.63265989
1i9n,11,202,0,0,19,13,40,141,3,1,17,0,0,0,0,5,-11.96423214
1i9q,7,213,0,0,26,18,37,139,3,1,16,0,0,0,1,5,-11.61884438
1i9p,11,163,4,0,20,22,23,105,2,1,5,0,0,0,1,5,-11.61884438
1wm1,3,143,1,0,12,67,3,63,1,2,9,0,0,0,2,3,-8.703771652
1hnn,6,205,10,0,2,98,35,66,1,1,36,1,1,0,2,2,-8.620878588
1hi5,7,193,0,6,7,33,87,67,1,5,7,0,0,0,5,9,-5.581466265
1a94,17,447,0,46,54,0,157,207,8,5,29,0,0,0,2,29,-10.84517579
1ikt,3,233,18,0,0,178,40,0,0,1,45,0,0,0,0,13,-4.69727359
1c70,8,412,0,15,52,0,105,248,4,1,59,0,0,0,2,14,-14.22997587
2mas,14,244,0,0,9,55,13,181,4,2,15,1,0,1,2,6,-10.38926394
1dmp,10,397,0,7,51,0,125,224,2,6,50,0,0,0,2,12,-13.19381258
2h4n,6,145,0,1,10,11,51,78,2,1,4,0,0,0,1,3,-12.01949419
1oe8,12,176,6,17,4,32,22,107,3,5,5,0,0,0,4,11,-7.626161828
1mq5,2,240,0,46,24,0,82,90,0,1,46,3,1,0,0,6,-12.4339595
1m5w,15,195,0,0,2,60,78,70,0,8,7,0,0,0,4,7,-5.899223008
1wvj,16,269,5,26,3,75,121,55,1,7,25,1,0,0,2,4,-9.297838606
1gah,20,361,0,0,52,64,42,223,9,4,29,0,0,0,1,22,-16.57861267
1t32,4,295,1,11,19,4,44,220,0,2,49,1,1,0,2,7,-10.25110883
1ui0,10,130,0,2,22,10,44,62,1,4,12,0,1,0,0,0,-9.753750454
1t31,8,299,0,16,27,0,69,195,0,5,45,2,1,0,3,7,-11.93660112
1wvc,22,344,0,13,67,51,35,200,1,9,17,0,0,0,9,11,-6.161717709
1tng,6,104,0,6,34,0,13,57,2,0,6,0,0,0,1,2,-4.047944594
1tnl,5,112,0,6,44,0,8,59,3,0,8,0,0,0,1,2,-2.597315985
1rej,5,320,0,33,19,0,210,63,1,3,33,0,0,0,2,7,-11.46687376
1rek,6,393,2,37,15,21,267,57,2,2,39,0,0,0,2,12,-9.256392074
1tnk,7,127,0,12,47,2,13,60,3,0,12,0,0,0,1,4,-2.058511073
1igj,3,207,0,0,16,0,114,80,1,0,25,0,0,0,0,7,-13.81551056
1c87,13,215,10,1,7,50,17,143,0,10,12,0,1,0,2,3,-5.802514434
1gu1,16,201,0,4,23,6,51,133,3,6,10,0,0,0,0,4,-6.244610772
2ivu,3,281,0,20,6,9,234,15,0,2,31,0,0,0,0,6,-8.883373289
1utn,4,127,0,2,50,0,11,68,2,0,17,0,0,0,1,2,-4.821613185
1gi8,4,167,0,6,50,0,22,93,2,0,12,0,0,0,0,4,-6.976832832
2cht,13,205,10,12,1,31,114,50,1,8,15,0,0,0,3,3,-7.626161828
1njj,9,198,3,8,1,61,80,54,5,0,11,0,0,0,5,15,-2.901257217
2f35,10,207,8,13,13,54,95,34,3,5,17,1,0,0,1,7,-7.460375701
1kll,6,164,1,0,0,36,133,0,0,0,24,2,2,0,1,8,-7.18406549
1utl,2,106,0,6,29,0,20,53,1,0,9,0,0,0,1,4,-3.412431108
1a7x,6,308,0,0,40,11,76,187,2,3,45,0,0,0,0,14,-13.40104524
1utm,2,107,0,4,30,0,18,57,1,0,11,0,0,0,1,3,-4.158468678
1fm9,6,381,25,1,2,248,62,49,1,4,72,0,1,1,2,12,-12.4339595
5abp,15,220,0,0,4,77,3,151,4,5,10,0,0,0,0,6,-9.173499011
1b8n,14,347,2,41,6,50,100,162,6,2,24,0,0,1,0,6,-14.53391711
1qan,16,352,2,13,44,61,75,173,3,6,20,0,0,0,1,11,-6.18934873
1qft,8,163,0,0,0,0,85,86,4,0,17,0,0,0,3,3,-12.11620276
1o2h,9,252,0,10,70,0,18,163,3,0,20,0,0,0,0,6,-9.90572107
1b8y,7,205,4,13,33,56,22,84,1,2,31,3,1,0,5,6,-10.84517579
1sqt,7,227,0,18,68,0,22,126,3,0,12,0,0,0,0,5,-8.565616546
2fw6,17,214,3,8,26,27,21,146,0,12,6,0,0,0,2,6,-4.034129083
1ws5,7,159,0,17,15,0,79,55,3,2,19,0,0,0,0,6,-4.186099699
1eld,8,257,0,37,21,0,93,114,2,1,18,0,0,0,0,9,-9.256392074
1ele,9,258,0,36,23,0,81,127,2,2,14,0,0,0,0,8,-9.463624732
1elc,6,226,0,13,28,0,54,137,1,0,24,0,0,0,1,14,-9.201130032
5yas,8,162,0,6,1,1,73,89,2,1,2,0,0,0,0,4,-4.503856442
1ws4,7,138,0,16,14,0,65,50,1,1,15,0,0,0,0,6,-4.144653167
2dw7,19,175,0,0,0,0,123,71,1,4,5,0,0,0,6,5,-6.493289962
1br6,11,297,10,26,6,132,108,26,4,2,28,0,1,0,2,6,-4.4485944
1tx7,8,160,0,12,45,0,22,89,3,2,14,0,0,0,1,3,-6.355134857
1sqo,7,215,0,17,68,0,21,116,4,0,19,0,0,0,0,4,-10.30637088
1sqn,2,190,10,0,3,155,0,24,0,1,28,0,0,0,0,1,-12.98657992
1elr,13,282,1,0,0,294,0,0,2,10,34,0,0,0,3,22,-6.852493237
2fpz,3,163,0,39,26,1,69,31,2,0,16,0,0,0,0,1,-5.470942181
1n3i,10,267,2,34,0,40,100,101,5,4,24,0,0,1,0,5,-12.28198889
1hmr,4,183,1,7,1,46,103,29,0,3,20,0,0,0,2,16,-9.049159416
1hms,4,180,0,8,4,37,96,39,0,3,27,0,0,0,1,15,-8.800480225
1hmt,4,184,1,8,1,34,109,35,0,3,27,0,0,0,1,16,-7.999180613
1g1d,7,199,0,0,25,21,31,129,3,1,16,0,0,0,1,5,-13.04184197
1fjs,8,252,0,12,75,0,17,156,3,0,41,0,0,1,0,11,-13.76024852
1ppc,11,244,0,14,85,0,15,141,4,2,28,0,0,0,0,10,-8.510354504
1ce5,4,161,0,9,52,0,25,79,3,0,17,0,0,0,0,2,-6.548552005
1v1j,15,222,0,4,23,10,51,149,3,6,12,0,0,0,0,4,-6.659076089
1o3d,10,213,0,8,59,0,16,140,3,0,19,1,0,1,0,5,-9.850459028
1l83,0,103,6,0,0,91,0,6,0,0,24,0,0,0,0,0,-4.69727359
1yds,2,213,0,17,9,0,139,50,0,1,23,0,0,0,2,5,-8.17878225
1tsl,3,113,0,6,5,60,11,34,1,0,16,0,1,2,0,4,-8.496538993
1o3j,7,227,0,29,46,0,37,122,3,0,22,0,0,0,0,4,-9.353100648
2byr,1,236,0,3,18,0,122,94,0,1,50,2,0,0,0,12,-11.81226153
1okl,7,169,0,0,12,10,68,86,2,1,13,1,0,1,0,3,-8.330752867
2c97,9,228,0,10,27,54,29,117,1,7,20,0,2,0,1,6,-8.482723483
2c94,21,387,1,33,42,90,50,192,4,9,28,0,4,0,1,15,-9.422178201
2c92,19,344,2,36,34,66,42,183,4,8,26,0,4,0,1,16,-7.847209997
1fcy,6,294,18,6,5,213,27,31,0,4,48,0,0,1,1,3,-11.770815
1y1z,0,15,0,0,0,7,7,1,0,0,3,0,0,0,0,2,-4.255177252
1f5l,12,235,0,34,60,0,42,111,4,0,10,0,0,0,1,3,-7.294589575
1yid,21,325,14,42,7,72,90,121,3,11,11,0,0,0,8,11,-6.907755279
1o30,11,240,0,10,60,0,21,160,5,1,15,1,0,0,0,9,-9.353100648
1o33,8,226,0,10,61,0,23,140,3,0,19,0,0,0,0,4,-7.93010306
1m2x,6,84,0,0,9,2,0,79,0,2,12,0,0,0,2,4,-5.733436882
1owh,11,209,0,17,50,0,25,128,5,0,17,1,0,0,1,7,-10.22347781
1i5r,14,490,0,6,66,104,30,298,2,5,46,0,0,0,0,18,-11.770815
1owe,9,198,0,14,54,0,20,119,4,1,20,1,0,0,0,4,-8.565616546
1o38,11,239,0,29,52,0,39,130,3,0,24,1,0,1,0,8,-9.422178201
1m2p,4,221,0,4,16,2,162,41,0,1,28,0,0,0,0,3,-8.441276951
1m2r,8,288,0,18,4,0,252,22,0,1,26,0,0,0,0,4,-8.92481982
1fj4,2,141,0,11,17,0,27,88,0,2,28,0,0,0,0,3,-6.341319346
1njc,15,250,2,8,1,16,97,141,3,10,9,0,0,0,4,6,-7.66760836
6tim,10,191,0,26,23,0,52,100,1,9,4,0,0,0,1,6,-4.434778889
1pot,17,250,0,0,8,24,129,106,3,0,37,4,0,0,4,9,-7.584715296
1grp,14,135,0,0,0,52,54,43,0,8,1,0,0,0,8,6,-5.139369928
1njd,20,248,3,8,0,17,94,146,2,9,6,0,0,0,4,5,-7.695239381
1k22,6,87,0,20,13,0,24,36,1,2,3,0,0,0,0,10,-11.60502887
1ceb,8,126,0,0,0,0,77,57,1,4,25,0,0,0,4,3,-8.289306335
1cea,8,131,0,0,0,0,74,65,2,3,22,0,0,0,3,6,-6.852493237
1k21,12,259,0,13,88,0,30,140,4,3,21,0,0,0,2,11,-11.57739785
1utj,3,111,0,0,49,0,10,55,2,0,11,0,0,0,1,2,-5.305156054
4er1,9,348,0,3,51,0,123,180,4,2,43,0,0,0,0,22,-9.145867989
2f7p,13,193,0,0,4,8,0,194,5,1,18,1,0,0,3,7,-9.118236968
1erb,3,233,0,6,10,0,136,84,0,1,44,0,0,0,0,6,-11.19056355
1jfh,6,167,0,0,13,0,0,160,3,1,15,0,0,0,0,12,-2.832179664
1adl,4,173,4,0,5,52,84,32,0,2,22,0,0,0,1,14,-7.405113659
1izh,14,402,0,34,50,0,158,174,5,3,37,0,0,0,0,21,-10.63794313
1mu8,5,273,0,60,17,0,78,123,2,1,46,0,0,0,0,8,-12.4339595
1r6n,4,206,0,0,16,63,0,131,0,3,35,0,2,0,0,5,-10.22347781
2bza,4,107,0,0,45,0,5,61,2,0,10,0,0,0,1,2,-3.868342956
1ucn,16,294,0,4,10,109,42,145,2,7,33,0,4,0,2,9,-7.211696511
1xd0,21,404,0,0,29,39,74,283,4,2,18,0,0,0,2,28,-9.836643517
1c4u,10,302,0,13,58,0,20,221,4,1,30,0,0,0,0,9,-14.32668445
2f7o,11,158,0,0,3,6,0,160,3,0,14,1,0,0,2,5,-10.27873986
1mu6,4,256,0,50,19,0,67,124,2,1,41,0,0,0,0,8,-11.57739785
1ghy,16,252,0,13,68,0,22,165,5,0,32,0,0,0,0,4,-11.19056355
1ghz,6,204,0,18,46,0,38,108,3,0,22,0,0,0,0,4,-6.631445068
1hvr,7,425,0,11,43,0,139,239,2,2,57,0,0,0,0,10,-13.13855054
1mrx,6,321,0,13,47,0,107,160,3,1,31,0,0,0,0,10,-10.03006067
2iuz,1,212,0,0,6,5,64,138,0,1,55,0,8,0,0,3,-7.66760836
1mrw,9,330,0,20,36,0,130,153,3,1,32,0,0,0,0,10,-13.40104524
1pme,1,239,0,25,2,0,182,31,0,2,27,0,0,0,0,4,-12.98657992
1ghv,7,239,0,34,49,0,63,100,3,1,28,0,0,0,0,4,-6.009747093
1ghw,8,234,0,33,45,0,63,101,3,0,30,0,0,0,0,4,-5.802514434
1mrn,13,406,12,3,1,207,46,150,2,8,39,1,3,0,7,20,-6.244610772
1nvs,5,257,0,15,13,0,170,64,1,1,24,0,0,0,0,2,-10.80372926
2bqv,7,363,0,23,56,0,115,176,3,2,37,0,0,0,0,15,-11.121486
1hvi,11,443,0,23,57,0,114,260,4,2,57,2,0,0,0,21,-15.08653753
1hvh,7,390,0,13,47,0,139,198,3,1,41,0,0,0,0,15,-10.9971464
1hvk,14,461,0,19,62,0,116,278,6,2,55,2,0,0,0,21,-15.14179957
1hvj,10,414,0,19,62,0,91,252,3,2,61,1,0,0,0,20,-15.74968204
1hvl,14,424,0,17,67,0,99,255,4,2,58,1,0,0,0,21,-13.74643301
1h22,2,252,6,8,33,56,11,140,0,2,62,4,2,0,0,13,-12.57211461
1oar,3,264,0,0,1,0,254,12,0,1,65,0,9,0,0,3,-10.22347781
1hvs,12,431,0,28,71,0,109,235,5,3,55,1,0,0,0,21,-14.22997587
1pbk,11,273,0,1,33,12,105,133,3,3,28,0,0,0,0,9,-12.50303706
2gst,19,341,5,18,10,72,109,146,3,8,39,0,1,1,3,13,-8.386014909
2gsu,14,252,2,0,15,77,20,152,3,3,26,0,2,2,4,7,-4.95976829
220l,0,92,1,0,0,91,0,0,0,0,23,0,0,0,0,0,-4.69727359
1owd,9,228,0,18,56,0,36,127,4,1,20,0,0,0,1,5,-11.32871866
1vjj,13,276,0,36,2,0,175,76,2,7,9,0,0,0,5,9,-7.971549592
1d3d,1,278,0,29,26,0,72,152,1,0,62,2,0,1,1,10,-12.5582991
2j7h,13,186,0,0,0,0,97,102,3,2,15,3,0,0,5,4,-9.933352091
1qbn,8,229,0,21,37,0,62,117,4,1,23,0,0,1,0,9,-8.082073676
1qbo,6,258,0,9,71,0,22,162,3,0,29,0,0,0,0,8,-10.69320517
1vjc,13,260,5,26,21,48,41,132,2,4,12,0,0,0,5,11,-4.94595278
2iko,6,258,0,0,26,1,75,162,4,0,25,0,0,0,2,7,-7.529453254
1vja,16,321,0,53,56,0,84,144,7,3,20,0,0,0,0,15,-10.63794313
2j7f,11,195,0,0,0,0,53,153,4,3,16,0,1,0,0,6,-8.772849204
1vjd,19,370,10,41,33,75,76,154,4,8,12,0,0,0,3,11,-4.890690738
1w6y,6,152,2,0,0,40,116,0,1,1,16,0,0,0,0,1,-7.405113659
2bq7,1,205,0,20,27,0,60,99,0,1,41,1,0,0,0,6,-9.739934943
1sc8,16,302,0,22,100,0,43,153,6,3,18,0,0,0,0,13,-10.27873986
1d3p,3,317,0,29,30,0,76,185,2,0,77,1,1,2,0,12,-10.2096623
1usn,9,199,0,22,2,17,51,116,1,2,29,1,1,1,0,5,-10.69320517
1h2t,24,549,0,14,31,2,145,381,5,11,56,0,4,0,1,18,-10.90043783
1qbr,12,454,0,33,48,0,183,202,4,6,57,0,0,0,0,14,-14.60299466
1qbs,10,391,0,22,47,0,141,191,3,5,57,0,0,0,0,14,-13.0832885
1qbt,16,526,0,39,51,0,244,208,5,6,63,0,0,0,0,14,-14.67207221
1qbu,8,359,0,17,41,0,130,179,3,4,48,0,0,0,0,12,-14.14708281
1qbv,8,253,0,56,17,0,71,117,2,1,38,0,0,0,0,9,-7.446560191
1g2o,11,286,0,42,0,50,109,96,6,1,21,0,0,1,0,5,-14.57536364
1lpg,6,313,0,12,75,0,73,159,3,0,61,4,1,0,0,11,-9.795196986
1gz3,13,345,20,26,26,51,73,162,0,7,15,0,0,0,2,11,-5.111738906
1y2f,0,139,0,0,2,0,109,28,0,0,34,0,2,0,1,7,-6.797231195
1qin,11,355,1,0,13,55,216,81,2,7,36,0,0,0,5,14,-11.05240845
1lpk,13,326,0,12,91,0,33,203,5,0,39,0,1,1,0,11,-10.43071047
1meu,10,366,0,18,36,0,141,181,2,5,38,0,0,0,0,14,-8.42746144
1li2,2,137,8,0,0,128,0,3,1,0,22,0,0,0,0,1,-5.581466265
1kdk,4,186,0,19,5,0,118,48,2,2,28,0,0,0,0,1,-12.50303706
1li6,2,106,8,0,0,98,0,2,1,0,17,0,0,0,0,0,-5.249894012
1gz9,14,254,0,5,16,0,33,214,3,3,15,0,0,0,0,16,-4.849244206
1bv9,11,459,0,39,44,0,181,206,4,6,53,0,0,0,0,14,-12.37869746
1aj6,2,281,15,0,3,93,18,154,2,0,25,2,2,0,0,12,-8.17878225
1lpz,7,258,0,11,61,0,37,156,3,0,50,0,2,2,0,7,-10.49978802
1mrs,14,283,18,3,1,167,33,75,1,6,27,0,1,0,3,8,-5.470942181
1bv7,11,463,0,42,47,0,182,203,4,7,54,0,0,0,0,14,-12.84842482
1epo,16,294,0,3,48,13,107,139,4,3,19,0,0,0,0,17,-10.9971464
1qiw,5,234,23,0,4,188,16,8,2,0,44,0,0,2,1,19,-10.69320517
2f8g,14,343,0,21,37,0,142,157,3,3,26,0,0,0,0,14,-12.01949419
1os5,2,182,3,0,9,68,0,104,0,1,29,1,1,0,0,10,-9.463624732
1lf2,8,334,0,5,43,0,117,177,3,2,45,0,0,0,0,15,-10.38926394
2euk,10,397,8,0,0,327,0,72,4,3,67,0,0,0,0,45,-9.118236968
1lf9,15,315,0,0,25,64,47,194,4,4,29,0,0,0,1,22,-16.57861267
1vj9,17,345,0,24,94,0,62,182,6,3,22,0,0,0,0,17,-10.43071047
1v2j,6,172,0,32,37,0,43,66,3,0,21,0,0,0,0,2,-4.490040931
1wei,7,130,3,0,0,119,0,15,1,1,6,0,0,0,1,1,-12.4339595
2j79,13,199,0,0,0,0,88,124,2,3,12,0,0,0,0,6,-8.234044293
1nvr,3,296,0,18,24,2,173,82,2,1,33,0,0,0,1,4,-11.20437906
1cin,9,183,0,0,12,10,70,100,1,2,7,0,0,0,0,3,-12.06094072
1cim,11,196,0,0,40,6,49,112,3,2,8,0,0,0,1,3,-12.18528031
1cil,8,153,0,0,16,13,31,101,2,1,3,0,0,0,0,4,-13.02802646
1zpa,8,313,0,16,34,0,95,176,1,3,32,0,0,0,0,19,-11.60502887
1dif,12,462,0,22,51,0,135,266,6,2,53,1,0,0,0,21,-14.72733425
2h5a,16,229,4,4,13,20,97,107,2,9,8,0,0,0,1,5,-7.045910385
1y20,10,163,3,19,2,41,71,37,3,5,18,0,0,0,2,2,-7.349851617
2j75,12,184,0,0,0,0,68,128,7,3,10,2,0,0,2,5,-9.187314521
1gzc,10,186,0,5,11,0,36,144,3,2,10,0,0,0,0,12,-4.821613185
1qb1,9,247,0,10,66,0,22,158,3,2,30,0,0,2,0,10,-9.353100648
1n8v,2,142,8,0,6,104,0,26,1,0,14,0,0,0,0,12,-8.330752867
1oss,6,137,0,7,48,0,21,67,3,0,15,0,0,0,0,2,-6.617629557
1fq5,17,396,0,16,53,0,129,215,4,4,37,0,0,0,0,11,-11.60502887
1j01,9,228,0,0,0,0,61,176,1,4,18,0,0,0,0,6,-8.938635331
1ec9,18,290,0,8,20,15,101,164,4,7,8,0,0,0,5,8,-4.282808273
1we2,8,172,0,0,19,103,0,58,1,4,6,0,0,0,2,4,-6.023562603
1jmf,9,224,0,10,0,5,77,141,1,7,7,0,0,0,4,5,-7.971549592
1jmg,15,223,7,9,0,12,87,123,1,8,6,0,0,0,4,5,-8.386014909
1uxb,6,139,0,0,14,0,78,53,2,1,12,0,0,0,1,16,-2.97033477
1uxa,5,137,0,0,16,0,76,50,2,1,14,0,0,0,1,16,-3.177567428
1jmi,16,243,6,9,0,12,89,143,2,9,5,0,0,0,4,5,-8.372199398
1b6k,10,313,0,18,40,0,122,143,7,2,35,0,0,0,2,14,-12.07475623
1b6j,13,410,0,34,52,0,137,200,7,3,33,0,0,0,2,14,-10.94188436
1ugx,14,175,0,24,15,0,87,63,2,2,12,0,0,0,0,12,-8.16496674
1jzs,9,255,4,34,11,58,81,76,2,2,26,0,0,0,1,20,-9.118236968
1t7j,10,322,0,22,37,0,131,142,3,3,22,0,0,0,0,14,-12.01949419
1b6m,12,311,0,19,31,0,117,156,4,1,37,0,0,0,2,12,-11.60502887
1ofz,6,110,0,0,0,0,116,0,2,3,11,0,0,0,0,4,-6.382765878
2bt9,9,146,0,3,8,0,122,22,2,4,12,0,0,0,0,4,-8.551801035
1ct8,9,272,0,3,19,0,154,105,1,5,43,0,2,1,0,13,-9.007712884
1a4w,5,300,0,49,29,0,83,144,3,2,40,0,0,0,2,13,-8.17878225
1hih,10,293,0,12,50,0,82,159,4,2,29,0,0,0,2,16,-11.121486
2arm,7,112,0,0,30,44,0,45,1,2,9,0,0,0,0,6,-11.23201008
2bvd,13,219,0,0,0,0,100,132,7,3,17,0,0,0,2,10,-8.289306335
1a99,7,153,0,8,4,15,105,28,3,0,25,3,0,0,2,5,-7.874841018
1sgu,10,341,0,15,31,0,100,205,4,2,41,0,0,0,2,14,-7.41892917
2j34,4,187,0,37,25,1,63,65,0,2,38,0,0,0,0,5,-10.80372926
1msn,5,364,0,14,46,0,133,176,2,1,40,0,0,0,0,11,-12.5582991
1sgx,15,314,0,36,5,0,189,99,2,7,10,0,0,0,3,7,-8.012996124
2aac,9,161,0,0,19,0,134,17,2,2,17,0,0,0,0,4,-3.067043344
1h1h,8,123,0,0,8,30,28,65,0,5,1,0,0,0,4,8,-7.211696511
2j4i,3,229,0,39,30,0,64,99,1,2,44,0,0,0,0,10,-12.4339595
1e4h,0,120,0,0,0,0,120,0,0,0,7,0,0,0,0,1,-11.61884438
1efy,5,193,2,15,0,99,76,6,1,3,28,0,3,0,0,3,-11.35634968
1h1p,4,239,0,44,4,0,185,10,2,1,18,0,0,0,0,4,-6.797231195
1h1s,6,276,0,30,8,12,194,38,3,2,34,0,0,0,1,7,-11.35634968
1g46,8,199,0,0,19,11,42,135,3,1,20,0,0,0,0,5,-12.15764929
1gcz,5,236,0,17,10,0,98,116,1,1,37,0,0,1,0,4,-7.087356916
1xhy,13,176,9,10,7,67,48,48,0,9,19,0,0,0,2,4,-8.537985525
1c84,15,212,5,1,10,47,14,150,0,7,19,0,0,0,2,3,-6.907755279
1c86,14,213,5,1,6,50,15,150,0,10,17,0,1,0,2,3,-6.493289962
1d6v,3,244,0,8,0,0,182,57,1,2,66,1,2,0,0,8,-8.524170014
5er2,14,423,0,18,64,9,139,207,5,4,37,0,0,0,0,30,-9.076790437
1c83,14,239,10,1,9,56,14,163,1,11,22,0,1,0,2,3,-6.700522621
2ans,3,199,0,0,0,28,138,36,0,2,20,2,0,1,1,3,-8.17878225
1pfu,5,131,4,27,0,29,64,12,2,0,9,0,0,0,1,5,-3.757818872
1eix,21,334,0,12,10,24,130,179,3,9,16,0,0,0,2,7,-15.27995468
1tvo,4,290,0,26,2,2,219,45,2,2,29,0,0,0,0,3,-9.463624732
1pa9,9,191,9,0,10,36,8,137,0,5,10,0,0,1,1,4,-6.355134857
1o0n,8,193,0,19,0,47,92,43,1,5,5,0,0,0,3,6,-5.650543818
1o0o,10,154,0,22,0,41,83,18,1,7,8,2,2,0,5,8,-7.045910385
1z3t,10,220,0,0,13,0,36,181,1,5,13,0,0,0,0,12,-5.44331116
1z3v,13,221,0,0,16,0,26,192,2,4,14,0,0,0,0,12,-5.678174839
1o0f,12,237,0,7,0,49,123,70,1,8,15,1,1,0,5,8,-7.322220596
1ezq,9,321,0,9,97,0,30,194,4,1,61,1,2,0,1,12,-12.50303706
1kmy,6,181,0,0,0,0,151,36,1,1,30,2,1,1,0,3,-7.045910385
2j47,17,241,0,0,13,0,53,192,6,3,24,0,0,2,0,7,-7.474191212
2a31,7,183,0,14,56,0,33,87,3,1,10,0,0,0,1,4,-1.395366566
1h6h,14,251,11,1,22,108,32,91,1,8,7,0,0,0,3,20,-7.322220596
1hi3,11,160,0,10,1,33,70,57,0,7,6,1,2,0,5,8,-5.788698924
2h6b,11,193,1,4,7,60,58,74,1,5,25,0,0,0,1,3,-7.446560191
2fxu,10,301,10,16,9,107,121,48,1,3,54,0,0,0,0,20,-11.2596411
2fxv,10,331,13,28,7,33,146,114,2,8,25,0,2,0,0,7,-7.391298149
1xzx,13,302,29,13,5,212,41,15,1,6,20,0,0,0,2,7,-14.11945179
2ff1,10,199,0,0,10,81,16,102,3,2,27,2,6,0,1,5,-11.34253417
1rd4,1,260,2,3,6,89,155,6,0,0,39,0,1,1,0,7,-10.69320517
1lee,6,324,0,12,33,0,121,164,2,3,33,0,0,0,0,15,-10.69320517
