PDB,VINA,GlideSP,DSX,RFScore,HMS,Experimental
2fw6,-5.62419,-10.1,-81.522,-5.314997907,-7.474191212,-4.034129083
1ws5,-5.17891,-7.29,-66.276,-6.176963939,-6.741969152,-4.186099699
1ele,-8.24458,-9.2,-145.993,-9.466730601,-10.01624515,-9.463624732
5yas,-4.96257,-7.03,-47.95,-5.751382572,-6.631445068,-4.503856442
1ws4,-4.7919,-7.39,-71.176,-5.984974164,-6.672891599,-4.144653167
2dw7,-4.68811,-5.66,-50.259,-5.767005714,-7.114987937,-6.493289962
1tx7,-6.05932,-9.85,-83.052,-6.641080209,-7.446560191,-6.355134857
1sqo,-8.45803,-8.85,-125.771,-10.08650661,-8.42746144,-10.30637088
1elr,-5.8106,-13.91,-144.464,-8.229076728,-8.192597761,-6.852493237
2fpz,-6.26265,-8.66,-68.044,-6.856197636,-6.963017321,-5.470942181
1n3i,-9.39304,-13.63,-119.44,-9.57148784,-8.607063078,-12.28198889
1hmr,-5.64836,-8.4,-118.711,-9.853469749,-8.980081863,-9.049159416
1hms,-5.71404,-8.4,-123.818,-9.736707752,-8.966266352,-8.800480225
1hmt,-5.50885,-7.64,-112.316,-9.820642547,-9.118236968,-7.999180613
1g1d,-5.89241,-6.33,-78.558,-9.363557608,-8.67614063,-13.04184197
1fjs,-9.02024,-10.96,-161.99,-11.04607343,-9.380731669,-13.76024852
1ppc,-8.00441,-11.14,-145.007,-10.30268144,-10.22347781,-8.510354504
1v1j,-8.18839,-10.2,-93.601,-5.600266739,-8.247859803,-6.659076089
1o3d,-8.43648,-10.34,-118.826,-8.688212906,-8.537985525,-9.850459028
1l83,-5.41438,-5.77,-44.991,-5.237200822,-7.225512022,-4.69727359
1tsl,-7.6972,-6.09,-85.756,-9.038396014,-10.29255537,-8.496538993
1o3j,-7.44915,-8.68,-92.917,-7.222131959,-8.386014909,-9.353100648
2byr,-9.82389,-11.37,-178.293,-9.753162834,-11.27345662,-11.81226153
1okl,-5.27417,-7.53,-71.001,-9.241641977,-8.303121845,-8.330752867
2c97,-7.17058,-12.98,-100.549,-6.92987282,-8.358383888,-8.482723483
2c94,-8.38199,-13.09,-177.39,-8.225896365,-9.574148817,-9.422178201
2c92,-8.1701,-12.65,-150.194,-7.871856407,-9.449809222,-7.847209997
1fcy,-16.38526,-17.39,-174.321,-12.0253051,-14.27142241,-11.770815
1f5l,-7.6545,-8.14,-67.199,-6.116086472,-8.16496674,-7.294589575
1yid,-8.11258,-8.73,-134.565,-7.594521934,-9.242576563,-6.907755279
1o30,-6.78132,-8.52,-107.111,-9.262170752,-8.579432056,-9.353100648
1o33,-7.27951,-10.13,-92.018,-7.071534617,-7.902472039,-7.93010306
1m2x,-4.03475,-7.19,-73.454,-6.856138373,-6.741969152,-5.733436882
1owh,-7.15187,-11.26,-121.207,-9.089663946,-8.537985525,-10.22347781
1i5r,-12.55036,-20.65,-273.557,-10.1220112,-14.27142241,-11.770815
1owe,-7.57091,-9.9,-115.301,-8.164376121,-8.330752866,-8.565616546
1o38,-7.61496,-10.5,-121.087,-9.282323447,-8.620878588,-9.422178201
1m2p,-10.42163,-10.77,-82.697,-8.484668469,-9.270207584,-8.441276951
1m2r,-9.21609,-7.88,-81.423,-8.88040097,-9.132052479,-8.92481982
1fj4,-6.85626,-8.01,-69.671,-7.514118498,-8.040627145,-6.341319346
1njc,-7.30337,-9.41,-97.816,-7.515733125,-8.372199398,-7.66760836
6tim,-4.66701,-6.64,-60.359,-5.651184381,-6.866308747,-4.434778889
1pot,-4.89964,-8.21,-78.937,-7.663243579,-7.239327532,-7.584715296
1grp,-2.85673,-8.19,-34.754,-6.122946429,-7.045910385,-5.139369928
1njd,-8.01427,-10.41,-88.603,-6.839969435,-8.510354504,-7.695239381
1ceb,-5.72482,-8.99,-71.391,-5.500682798,-7.653792849,-8.289306335
1cea,-3.94249,-7.12,-54.604,-5.51528099,-6.755784663,-6.852493237
1utj,-3.82901,-7.7,-63.909,-6.127970934,-6.534736494,-5.305156054
4er1,-10.67991,-13.21,-251.569,-11.51232586,-14.60299466,-9.145867989
2f7p,-7.81682,-7.11,-103.56,-8.150400012,-7.985365103,-9.118236968
1jfh,-4.90181,-7.14,-92.206,-7.590965643,-7.018279363,-2.832179664
1adl,-6.34529,-9.52,-123.481,-10.08961159,-9.339285137,-7.405113659
1izh,-9.94529,-15.86,-234.423,-11.39340111,-13.23525911,-10.63794313
1r6n,-8.61327,-7.98,-121.814,-9.665214772,-11.01096191,-10.22347781
2bza,-3.90734,-6.89,-61.438,-5.567980858,-6.520920983,-3.868342956
1ucn,-7.42528,-8.76,-114.834,-7.13005512,-8.468907972,-7.211696511
1xd0,-9.31969,-9.04,-204.036,-7.551119333,-10.41689496,-9.836643517
2f7o,-6.84958,-7.84,-71.085,-7.508847881,-7.722870402,-10.27873986
1ghz,-6.79318,-10.32,-91.794,-6.806215566,-7.570899786,-6.631445068
1hvr,-14.74934,-13.81,-268.739,-11.64171903,-14.09182077,-13.13855054
1mrx,-11.72968,-13.89,-206.058,-11.71015962,-12.59974563,-10.03006067
2iuz,-9.70516,-11.8,-123.213,-8.171070215,-8.137335719,-7.66760836
1mrw,-11.53395,-13.35,-207.305,-11.68257127,-12.61356114,-13.40104524
1mrn,-9.08822,-11.09,-189.375,-8.452045451,-9.767565964,-6.244610772
2bqv,-11.56041,-15.18,-228.877,-11.08356455,-13.05565748,-11.121486
1hvi,-11.05454,-16.18,-277.79,-10.83242505,-14.18852934,-15.08653753
1hvh,-10.88767,-11.96,-200.863,-11.26534698,-12.9589489,-10.9971464
1hvk,-11.03883,-15.25,-265.842,-11.13969338,-14.2576069,-15.14179957
1hvj,-11.0714,-15.67,-272.456,-11.07343441,-13.98129668,-15.74968204
1hvl,-10.74229,-15.9,-269.01,-11.15176338,-13.8707726,-13.74643301
1oar,-10.69454,-11.24,-102.417,-8.117738228,-10.04387618,-10.22347781
1hvs,-10.66043,-14.86,-269.987,-10.98025487,-13.6082779,-14.22997587
1pbk,-10.77872,-11.95,-173.938,-8.207154528,-13.40104524,-12.50303706
2gst,-8.85235,-15.57,-168.803,-9.255225584,-11.03859294,-8.386014909
2gsu,-5.94183,-5.09,-95.479,-7.404332922,-8.386014909,-4.95976829
220l,-5.26846,-5.73,-45.293,-5.170831669,-7.17024998,-4.69727359
1owd,-8.40508,-10.22,-130.164,-9.773221804,-8.897188799,-11.32871866
1qbn,-7.72749,-10.46,-144.638,-8.938407344,-9.076790437,-8.082073676
1qbo,-8.92482,-11.74,-152.744,-9.666871848,-9.463624732,-10.69320517
1vjc,-6.02857,-8.6,-137.005,-7.294611337,-8.068258166,-4.94595278
2iko,-9.11846,-11.9,-123.765,-9.872587342,-10.36163292,-7.529453254
1vja,-7.33976,-11.95,-170.598,-10.59723305,-8.814295736,-10.63794313
1vjd,-7.91671,-11.04,-171.483,-8.104913443,-9.049159415,-4.890690738
2bq7,-9.00279,-9.52,-166.768,-9.847732185,-9.17349901,-9.739934943
1sc8,-7.49445,-11.38,-167.447,-10.87860273,-8.689956141,-10.27873986
1usn,-6.91757,-6.8,-91.924,-9.868196301,-7.764316934,-10.69320517
1h2t,-9.86749,-13.63,-195.679,-8.142272845,-10.08532271,-10.90043783
1qbr,-13.77194,-16.19,-276.494,-11.36529898,-15.10035304,-14.60299466
1qbt,-14.81036,-17.98,-306.904,-10.55576074,-15.80494408,-14.67207221
1qbu,-12.03413,-12.07,-218.215,-11.32388001,-13.40104524,-14.14708281
1g2o,-9.87677,-12.79,-116.907,-9.785332048,-8.759033694,-14.57536364
1lpg,-8.88969,-10.84,-181.185,-10.42555178,-10.2096623,-9.795196986
1gz3,-8.0615,-11.12,-134.052,-7.911010688,-7.750501423,-5.111738906
1y2f,-4.93098,-8.6,-73.821,-7.277479986,-8.386014909,-6.797231195
1qin,-8.0054,-13.5,-132.71,-8.263280676,-10.26492434,-11.05240845
1lpk,-9.3229,-11.14,-164.333,-10.43197832,-10.61031211,-10.43071047
1meu,-11.65908,-12.79,-213.806,-12.75527847,-13.6082779,-8.42746144
1li2,-5.42351,-7.31,-49.028,-6.055309363,-7.336036106,-5.581466265
1kdk,-12.32075,-12.35,-147.493,-10.24550482,-10.56886558,-12.50303706
1li6,-3.90836,-6.11,-41.848,-5.829586104,-6.700522621,-5.249894012
1gz9,-5.90654,-6.06,-127.111,-7.455606907,-7.902472039,-4.849244206
1lpz,-9.95471,-8.83,-157.096,-9.964556101,-10.48597251,-10.49978802
1mrs,-7.78592,-8.64,-106.731,-7.031016712,-8.841926757,-5.470942181
1epo,-9.83443,-11.05,-194.4,-10.85746471,-10.49978802,-10.9971464
1qiw,-7.39508,-10.92,-151.184,-10.71338066,-11.57739785,-10.69320517
2f8g,-9.05477,-12.15,-198.581,-12.6523055,-11.42542723,-12.01949419
1os5,-7.63804,-10.89,-129.127,-9.341587724,-10.23729332,-9.463624732
1lf2,-9.61753,-11.29,-188.275,-9.935636344,-12.4339595,-10.38926394
1lf9,-8.24647,-9.03,-153.432,-8.772617938,-9.643226369,-16.57861267
1vj9,-8.01416,-12.09,-204.117,-10.72524645,-9.767565964,-10.43071047
1v2j,-5.47029,-8.47,-68.998,-6.144316306,-7.045910385,-4.490040931
1cin,-6.24189,-7.05,-77.427,-11.06390894,-8.16496674,-12.06094072
1cim,-5.96683,-7.51,-61.659,-11.1098713,-8.234044293,-12.18528031
1cil,-5.3628,-7.61,-63.165,-10.7816272,-8.16496674,-13.02802646
1zpa,-8.64857,-10.11,-215.089,-11.32710385,-11.88133908,-11.60502887
1dif,-11.76146,-18.64,-285.409,-11.03665557,-14.5201016,-14.72733425
1y20,-5.16397,-7.19,-61.412,-7.123713561,-7.515637744,-7.349851617
1gzc,-4.48029,-5.53,-81.285,-6.256739438,-6.728153642,-4.821613185
1qb1,-8.23938,-10.08,-145.214,-10.18801191,-9.712303922,-9.353100648
1n8v,-5.18457,-3.01,-87.706,-6.95029584,-7.91628755,-8.330752867
1oss,-4.68335,-8.44,-67.881,-6.327953761,-6.838677726,-6.617629557
1fq5,-14.13216,-16.69,-271.421,-10.85618389,-15.27995468,-11.60502887
1j01,-7.98526,-8.88,-103.534,-7.336414823,-8.275490824,-8.938635331
1ec9,-6.8403,-6.12,-58.433,-6.975093039,-7.336036106,-4.282808273
1we2,-6.0452,-8.3,-70.244,-5.961042759,-7.322220596,-6.023562603
1jmf,-7.30149,-9.1,-84.827,-6.879093695,-7.971549592,-7.971549592
1jmg,-6.55111,-10.33,-85.053,-6.938814604,-8.247859803,-8.386014909
1uxb,-3.65496,-8.17,-63.034,-5.875675402,-6.286057304,-2.97033477
1uxa,-3.67579,-7.45,-67.709,-5.84156859,-6.286057304,-3.177567428
1jmi,-7.75768,-9.68,-90.886,-7.026947174,-8.441276951,-8.372199398
1ugx,-5.66403,-6.34,-92.627,-5.87507424,-6.976832832,-8.16496674
1jzs,-7.22996,-9.03,-184.389,-7.708438731,-9.449809222,-9.118236968
1t7j,-8.92553,-12.18,-189.624,-12.27082189,-10.56886558,-12.01949419
1ofz,-4.63576,-7.71,-39.966,-6.28705006,-7.059725895,-6.382765878
2bt9,-5.88339,-7.33,-73.885,-6.078365806,-7.515637744,-8.551801035
1hih,-9.5765,-13.85,-226.258,-10.32731209,-12.11620276,-11.121486
2arm,-5.23462,-5.42,-63.892,-7.609894324,-7.239327532,-11.23201008
2bvd,-7.46013,-5.88,-118.054,-7.168284596,-7.791947955,-8.289306335
1sgu,-10.63274,-13.98,-219.222,-10.68475888,-12.30961991,-7.41892917
2j34,-9.21829,-9.06,-154.462,-11.32295437,-9.049159415,-10.80372926
1msn,-12.10673,-15.07,-227.72,-12.09897896,-12.71026971,-12.5582991
2aac,-6.71349,-7.92,-64.924,-6.715944956,-7.639977339,-3.067043344
1h1h,-3.77627,-7.73,-41.884,-6.489908276,-6.382765878,-7.211696511
1g46,-5.49424,-7.19,-75.752,-10.2976473,-8.358383888,-12.15764929
1gcz,-8.71325,-7.79,-84.794,-8.377600951,-9.007712884,-7.087356916
1xhy,-7.26915,-10.05,-105.145,-8.952129608,-8.41364593,-8.537985525
5er2,-8.99897,-15.12,-280.689,-11.22972241,-13.33196769,-9.076790437
2ans,-8.4716,-7.76,-82.162,-9.387086804,-9.933352091,-8.17878225
1pfu,-3.72467,-8.02,-55.677,-7.567320187,-6.576183026,-3.757818872
1tvo,-10.0229,-11.88,-113.557,-11.00221113,-9.187314521,-9.463624732
1o0n,-6.15684,-9.43,-100.217,-5.359479509,-7.557084275,-5.650543818
1o0o,-4.05557,-8.83,-59.055,-6.286919523,-6.659076089,-7.045910385
1z3t,-7.57823,-6.28,-88.496,-6.857694975,-8.123520208,-5.44331116
1z3v,-7.34889,-6.59,-85.581,-7.167099772,-8.206413271,-5.678174839
1o0f,-5.51555,-9.7,-83.722,-6.688847814,-7.750501423,-7.322220596
1kmy,-7.44021,-8.82,-63.799,-8.068749054,-8.993897373,-7.045910385
2a31,-4.74878,-6.79,-55.838,-7.21570449,-6.520920983,-1.395366566
1h6h,-4.95985,-7.29,-113.505,-7.011468541,-7.543268765,-7.322220596
1hi3,-5.30721,-8.41,-55.45,-7.114988858,-7.032094874,-5.788698924
2fxv,-9.64766,-10.16,-152.415,-7.09809941,-8.91100431,-7.391298149
1rd4,-10.36315,-9.98,-138.678,-10.14773007,-10.80372926,-10.69320517
1lee,-8.93625,-10.74,-180.25,-10.05264635,-11.88133908,-10.69320517
1j4r,-7.3229,-8.38,-137.694,-9.677251976,-10.23729332,-10.66557415
1sw2,-4.91143,-9.23,-69.255,-7.813132519,-6.589998536,-9.974798623
7abp,-6.74819,-8.28,-50.115,-6.393981224,-7.764316934,-8.92481982
1afk,-6.34178,-8.12,-94.651,-8.01592567,-7.888656529,-9.145867989
1nc3,-9.28425,-10.6,-120.653,-7.029144429,-8.634694099,-6.907755279
2fx6,-5.95605,-7.83,-70.029,-6.760304177,-7.087356916,-5.111738906
1dud,-7.2702,-10.97,-112.916,-6.751690974,-8.537985525,-6.659076089
1r1j,-7.8449,-8.52,-140.381,-10.05304461,-10.36163292,-11.93660112
1r1h,-8.81655,-11.41,-148.086,-9.890946303,-11.60502887,-12.32343542
1af6,-6.86908,-6.19,-93.656,-7.35705127,-7.91628755,-2.514422922
3aid,-4.33383,-9.63,-186.359,-10.27225047,-12.00567867,-9.477440243
1drj,-6.55034,-6.95,-69.594,-6.334944659,-8.16496674,-10.22347781
2bmz,-4.62666,-6.24,-71.903,-5.031709177,-6.589998536,-5.111738906
1bcd,-3.07557,-4.65,-41.933,-8.84318535,-6.672891599,-12.01949419
1jak,-7.10546,-8.36,-79.757,-7.090986198,-7.971549592,-7.695239381
1jao,-5.85461,-7.61,-134.313,-8.537502443,-8.289306335,-8.17878225
1rdi,-4.5305,-6.36,-33.597,-5.905378152,-6.631445068,-2.845995175
1u1w,-7.25661,-9.84,-81.819,-7.456769299,-8.261675314,-8.082073676
1rdj,-4.33041,-6.47,-23.822,-5.624496546,-6.659076089,-2.293374753
1rdl,-4.06251,-6.03,-23.19,-5.645837826,-6.230795262,-3.094674365
1rdn,-4.60456,-4.96,-26.912,-5.899173634,-6.147902198,-2.542053943
2c80,-6.24032,-13.29,-143.194,-8.562271675,-8.316937356,-7.363667127
3gst,-9.17422,-14.07,-171.148,-9.351816661,-10.87280681,-9.284023095
1wht,-6.06336,-7.69,-74.222,-7.562924815,-7.971549592,-5.111738906
1fwv,-3.82215,-6.21,-77.037,-6.138323921,-6.838677726,-5.139369928
2aj8,-7.64367,-10,-95.995,-10.86496469,-8.289306335,-8.565616546
1w8l,-4.29617,-6.17,-52.559,-5.701232029,-7.101172427,-0.676960017
1w8m,-4.60439,-5.83,-54.429,-6.55797018,-6.548552004,-2.210481689
1rql,-3.15971,-2.34,-38.844,-8.271623193,-6.755784663,-3.799265403
1xgi,-7.04764,-7.61,-75.454,-8.921700282,-8.220228782,-6.700522621
1d2e,-7.85638,-11.09,-141.875,-7.639823243,-9.035343905,-8.289306335
1w5v,-12.07182,-17.44,-265.607,-11.94947555,-13.81551056,-11.2596411
1kjr,-6.30007,-8.91,-103.919,-6.935451848,-7.349851617,-8.372199398
1ejn,-9.20972,-10.35,-146.788,-10.38138837,-9.435993711,-7.764316934
1oif,-5.787,-6.11,-70.961,-8.009753593,-7.336036106,-10.66557415
1rzx,-5.23422,-12,-189.585,-9.120968861,-10.08532271,-5.664359329
1ps3,-8.72525,-7.79,-94.919,-6.988793126,-7.888656529,-3.149936407
1ur9,-10.5864,-13.39,-191.44,-8.557388083,-10.7346517,-7.971549592
6abp,-6.06673,-7.41,-46.036,-6.22335678,-7.584715296,-8.786664715
1lzq,-9.43731,-15.59,-226.285,-11.5804564,-11.81226153,-11.59121336
2b07,-7.54139,-10.73,-134.976,-8.555023457,-9.878090049,-8.883373289
1pzp,-6.63271,-8.93,-90.985,-9.042954793,-8.42746144,-4.572933995
1fiv,-11.76821,-18.61,-308.562,-10.14047801,-15.07272202,-9.104421458
1ohr,-10.24545,-12.57,-193.856,-10.86834046,-12.2958044,-12.01949419
1pzo,-6.27079,-5.2,-83.636,-7.672406026,-8.399830419,-4.586749505
1pzi,-6.5165,-7.09,-83.565,-6.099852494,-8.303121845,-5.830145456
1qbq,-6.57795,-8.75,-85.892,-8.854852946,-8.330752866,-11.46687376
1bhf,-5.50174,-14.26,-153.076,-7.928223257,-8.137335719,-6.051193624
1g2l,-9.17675,-13.06,-184.759,-10.69115406,-10.61031211,-10.00242964
1urg,-6.30625,-7.59,-115.75,-7.160175677,-7.750501423,-8.040627145
1g2k,-12.16601,-14.64,-268.182,-12.68474786,-13.15236605,-10.9971464
1syi,-8.67837,-10.29,-113.293,-9.371744937,-8.579432056,-7.515637744
1kav,-8.74441,-9.11,-141.222,-7.772915947,-10.34781741,-8.040627145
2hs2,-9.28641,-11.6,-191.797,-12.74773493,-11.30108764,-11.48068927
2hs1,-8.80115,-12.41,-183.341,-10.90823275,-11.16293253,-11.71555295
1v0k,-4.31835,-6.74,-56.586,-6.181466877,-6.534736494,-7.045910385
1o0m,-6.25299,-11.29,-104.035,-5.560132827,-8.109704698,-7.114987937
1hlk,-6.17094,-4.46,-92.479,-7.146388876,-8.330752866,-6.907755279
2sim,-6.82411,-8.74,-85.011,-7.096051034,-7.501822233,-4.724904611
1yei,-7.68393,-10.45,-123.776,-7.249441085,-8.814295736,-10.30637088
2c1p,-9.03043,-10.04,-116.101,-9.843979093,-9.422178201,-7.460375701
2f1g,-7.98307,-8.68,-150.418,-9.91667206,-9.366916158,-10.41689496
2i0a,-8.77363,-13.53,-199.982,-13.21912505,-11.28727213,-15.74968204
1ua4,-8.35054,-13.37,-103.302,-7.755604281,-8.41364593,-5.830145456
2f81,-9.28583,-11.96,-191.72,-13.13701347,-10.87280681,-14.53391711
2il2,-12.04676,-15.53,-228.6,-10.20361144,-12.97276441,-9.809012496
1gi9,-6.80698,-10.02,-97.036,-8.324949247,-7.501822233,-7.211696511
1rgk,-5.8889,-9.55,-83.732,-7.192178024,-7.377482638,-5.954485051
1rgl,-5.04479,-8.2,-78.606,-7.334161407,-7.045910385,-6.120271177
1hpo,-10.88161,-10.56,-152.962,-10.85543795,-11.06622396,-12.73790073
1gi1,-7.75091,-10.8,-103.426,-6.896940162,-7.584715296,-7.557084275
1y2g,-6.4982,-5.62,-72.055,-6.73281085,-9.311654116,-5.636728308
1gi7,-6.76775,-10.37,-80.493,-7.135671354,-7.736685912,-6.230795262
1gi6,-7.49384,-9.08,-107.743,-7.029691651,-7.722870402,-8.593247567
7upj,-10.69491,-9.75,-147.821,-10.16242723,-11.27345662,-11.72936846
1gi4,-7.17342,-11.24,-94.491,-6.793351004,-8.441276951,-9.933352091
1lkk,-5.81281,-13.64,-162.591,-7.86148688,-8.745218183,-9.463624732
1hpv,-8.88718,-11.81,-180.961,-11.34343112,-11.37016519,-12.73790073
1w3j,-4.78228,-6.05,-62.488,-7.580459946,-7.225512022,-8.731402673
1hps,-9.5005,-12.63,-229.715,-11.39888804,-13.02802646,-12.73790073
1qxk,-8.51294,-11.02,-159.124,-7.896208174,-9.297838606,-6.976832832
1lah,-5.9923,-8.2,-71.519,-7.863331877,-7.239327532,-10.38926394
1ksn,-9.9943,-12.88,-188.688,-10.80877471,-10.81754477,-12.98657992
1abf,-6.37815,-7.61,-51.06,-6.246525514,-7.93010306,-7.488006722
1dqx,-8.26492,-11.66,-106.609,-7.402874493,-9.214945542,-15.26613917
1li3,-6.01335,-7.6,-53.177,-6.586496796,-7.736685912,-5.871591987
1k1n,-6.87167,-10.6,-143.824,-10.83423952,-9.712303922,-9.422178201
1c5c,-8.76387,-11.12,-97.048,-9.155894584,-10.00242964,-9.615595348
1v2q,-7.00624,-9.62,-132.461,-9.086286955,-8.717587162,-5.70580586
1izi,-9.66085,-14.79,-245.393,-11.13630877,-12.4339595,-9.104421458
1c5y,-5.73749,-8.45,-78.419,-6.746899908,-7.266958553,-5.802514434
1dqn,-7.9248,-9.36,-128.584,-7.076571636,-9.062974926,-11.05240845
2hb3,-9.38637,-14.52,-213.906,-14.38880175,-11.43924274,-15.68060448
1c5s,-5.91742,-8.49,-73.901,-6.601599881,-7.266958553,-8.289306335
1v2w,-6.3048,-9.36,-122.926,-9.191428978,-8.579432056,-5.540019734
1c5p,-5.65923,-8.66,-72.393,-6.327356624,-6.797231195,-6.465658941
1c5t,-5.90776,-8.45,-76.644,-6.580467215,-7.18406549,-5.664359329
1oba,-1.84271,-5.48,-39.881,-4.733825308,-5.719621371,-3.370984576
1bgq,-8.41361,-8.97,-88.719,-9.310678253,-9.049159415,-11.83989255
1v2t,-5.7636,-8.1,-108.185,-9.053264398,-8.109704698,-6.507105473
1tnh,-4.31208,-7.97,-68.659,-5.650525439,-6.68670711,-4.655827058
2cji,-9.02012,-7.82,-160.994,-10.80310249,-9.104421458,-11.35634968
1hyo,-5.72813,-7.81,-56.699,-7.640002858,-7.128803448,-5.622912797
