"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy"
"1f4g",18,375,3,6,5,71,45,263,1,15,32,0,0,1,2,12,-5.075973218,5.999774216,-11.03431771,-31.66241027,-0.797703581,-1.934696746,-59.37234535,10.80200028
"1f5k",12,175,0,6,37,0,23,121,2,0,11,0,0,0,0,2,-216.5297152,2.632755514,-7.652747762,-10.93560861,0,211.7666404,-23.39150628,3.85165863
"1fcx",10,292,22,2,4,210,25,39,0,4,42,0,0,1,1,4,-33.63523666,2.778075369,-4.389554765,-79.957604,-1.801642755,37.08996683,-65.49484005,5.681612901
"1fcz",7,276,16,2,4,195,26,40,0,4,40,0,0,1,1,4,-36.23802533,2.307063378,-4.71851558,-76.78030144,-1.409480728,33.80019777,-63.81935723,2.928781941
"1fd0",11,310,24,2,5,227,25,38,0,4,42,0,0,1,1,4,-39.07393564,3.459078152,-4.824090198,-74.2400134,-1.810129998,39.3700236,-65.16980227,6.360243536
"1fh7",24,311,0,0,0,28,129,178,4,4,16,0,0,0,2,7,-120.1507261,1.804810041,-5.170245726,-22.10681245,0,91.40834835,-22.48054665,9.942748982
"1fh8",16,244,0,0,0,0,105,155,3,3,15,0,0,0,2,6,-116.3831367,0.524469591,-4.621357913,-21.35777323,0,107.1833326,-28.16581102,7.260519272
"1fh9",27,342,0,0,0,19,148,202,4,6,15,0,0,0,2,8,-169.5915836,4.378723377,-5.954342556,-19.82583329,0,116.3569984,-21.27146541,10.7843109
"1fkb",18,294,0,0,27,13,90,182,3,6,30,0,0,0,0,9,-54.85489785,4.385692973,-2.802906275,-54.34350272,0,45.55769984,-66.9106989,10.36150513
"1fki",3,157,0,0,6,11,72,71,0,3,25,0,0,0,0,0,-20.23532104,-2.804530646,-0.618261851,-39.64639103,0,16.71092089,-44.63177664,4.956986096
"1fkn",33,490,0,17,67,0,122,317,7,11,28,0,0,0,1,30,-70.299878,3.240663241,-11.5829364,-49.18292803,-0.000254789,46.77707617,-73.88700221,42.04935243
"1flr",7,223,0,2,23,0,93,112,0,1,41,0,6,0,0,3,-3.954769935,3.11665894,-2.205423893,-31.75464263,-7.91019712,34.13958678,-42.29953165,4.356533055
"1ftm",25,276,2,23,2,62,113,99,2,15,15,0,0,0,2,5,-54.72877114,3.587183132,-5.96328996,-19.69843599,-0.092018074,21.13854621,-27.67171249,5.246486337
"1fzj",47,789,15,0,0,405,102,314,11,17,50,0,0,1,1,32,-191.6732942,5.734767717,-11.40976589,-59.88966879,-2.092121116,118.0729779,-93.4238312,15.04560357
"1fzk",29,579,1,0,0,345,93,169,5,15,48,1,2,1,0,25,-142.7659379,8.051420985,-7.113684772,-53.64418392,-3.743082598,104.3271929,-86.39018414,32.96399368
"1g7f",20,329,5,0,13,56,7,268,2,8,30,0,0,0,3,16,-66.47456173,3.530254595,-12.31400616,-25.2037251,-0.495141583,158.43307,-44.08607909,15.15690937
"1g7q",42,633,2,0,0,418,195,60,7,9,36,0,0,0,2,24,-28.64417019,9.170861344,-7.6408684,-38.54590153,-0.11046794,73.68469209,-70.0254855,24.48186908
"1gni",5,141,6,0,0,122,0,18,0,3,31,0,0,0,1,15,143.3069222,5.228699746,-4.997882494,-69.43397464,0,-130.0260749,-40.20887878,13.44793007
"1gpk",8,190,0,8,22,46,13,109,2,2,21,0,0,0,0,1,-23.9215797,1.667820805,-0.985030845,-38.82751403,-0.14130593,61.17659573,-42.94042348,2.603019109
"1h23",6,239,7,9,29,44,14,142,0,2,48,4,2,0,0,15,-35.48411414,6.69659227,-1.390735094,-68.60701468,-2.215626396,104.3572202,-72.05043736,15.72785417
"1ha2",1,184,7,0,0,178,0,0,1,1,28,0,0,1,0,5,-31.95962411,4.673622812,-0.939900051,-36.41317836,-0.516891237,42.76078844,-43.01922641,3.383582176
"1hfs",14,438,2,8,47,77,77,241,2,9,50,1,3,2,4,18,48.8364576,4.000784482,-3.917612142,-68.00056755,-5.272417891,5.7024446,-85.51012756,11.25112282
"1hi4",20,293,0,6,5,54,119,129,1,10,19,3,2,0,3,8,-203.8969985,7.510755476,-13.35365944,-8.750836576,-7.569426262,204.2585005,-33.03275725,7.674218199
"1hk4",5,209,13,0,0,201,0,0,3,1,17,0,1,0,5,7,66.55123418,1.954829784,-1.17222128,-35.4448306,-1.196660608,-45.03152523,-49.19947579,4.204314686
"1if7",9,195,1,0,4,22,75,102,0,3,9,0,0,0,0,7,-2.737799768,6.042268216,-2.788133717,-27.5475629,-0.86350062,0.427877631,-36.89810602,5.665182424
"1is0",15,308,0,13,10,48,116,136,1,9,17,1,0,0,3,19,-256.6887027,3.041076745,-12.98897638,-24.16014695,-0.286017077,266.4754369,-47.41020141,14.14911277
"1j16",9,185,0,4,46,0,27,117,4,0,14,0,0,0,0,2,-326.3463319,1.166638914,-7.110534528,-12.78664189,-0.181525321,326.4741793,-26.33406691,1.661476515
"1j17",4,243,0,30,28,0,63,126,0,2,44,0,0,0,0,4,-88.71352852,-1.147194387,-0.53651338,-43.52371022,-0.69286036,135.2122372,-54.42234799,14.60414084
"1jaq",17,243,1,19,25,74,36,105,3,3,12,0,0,0,1,9,-53.12415042,3.663462953,-3.655717921,-17.36410777,0,49.12429299,-39.16430704,7.662118864
"1jq9",4,85,29,0,0,60,0,0,0,0,6,0,0,0,0,24,-101.8071599,7.968810175,-3.772772746,-32.94426441,0,146.624804,-39.67420102,30.74285926
"1jqd",23,368,3,0,45,46,28,269,6,6,15,0,0,0,1,11,-18.3696944,2.74381799,-5.495764602,-24.06765845,-0.010442379,5.430395671,-51.30015154,13.10234061
"1jys",6,114,0,6,18,0,39,57,0,1,11,0,0,0,0,1,-12.21374323,1.704486362,-1.162281799,-3.78498965,-0.476890176,14.51071228,-22.69642832,1.158272044
"1k9s",15,293,0,36,4,45,94,129,4,1,12,0,0,0,0,6,-49.99238851,3.536654231,-4.192473501,-28.04391678,-0.386428741,52.05348989,-38.33698676,3.498282792
"1kv1",4,194,0,4,9,67,73,45,2,1,14,1,1,0,0,3,-17.59271418,1.759950107,-2.16692491,-44.62018052,-0.025190634,22.97554338,-51.87606812,1.267684621
"1kv5",16,181,0,14,17,0,41,125,0,12,3,0,0,0,3,3,-164.7052235,1.780212887,-13.25511025,-4.0635559,0,169.1439144,-14.20259219,1.412282392
"1l2s",9,179,5,29,7,59,27,61,0,6,14,0,0,2,1,4,-22.71431495,6.113206885,-4.549300075,-19.15713642,-0.89572036,18.10331157,-30.72634031,9.430139429
"1lol",26,317,0,15,17,13,132,166,2,15,4,0,0,0,1,6,-27.11928456,3.047325555,-13.28160695,-10.63188603,-1.5e-05,19.48018501,-27.61752963,5.829620179
"1loq",18,235,0,10,11,0,108,124,2,9,9,0,0,0,1,6,-16.4100071,5.347098313,-9.156962082,-13.3735004,0,12.21337651,-26.59949998,8.147020883
"1m0n",22,290,7,0,15,24,31,235,0,8,20,0,0,0,2,7,-122.6018426,8.545520442,-14.35185031,-19.22726493,-0.136482913,155.2036708,-39.37118885,9.52201759
"1m0q",20,300,9,0,14,28,31,238,0,12,14,1,0,0,2,7,-86.01321538,4.491393508,-15.64731737,-15.88032192,-0.09466858,115.0522944,-30.92755176,4.785282841
"1m2q",12,273,0,0,17,1,186,81,0,1,25,0,0,0,0,3,-3.040225286,0.472573519,-1.781481993,-27.34036874,-0.105822012,8.639883682,-28.78361369,3.493196283
"1mq6",5,290,0,43,21,0,79,152,0,3,40,0,2,2,0,8,-60.58630515,2.226226029,-0.798491396,-60.21138119,-2.199489325,88.44071643,-73.31558636,4.950229708
"1n2v",10,227,0,5,6,47,79,100,2,5,18,0,2,0,0,3,-57.00599949,5.473641883,-3.139251179,-16.98178935,0,34.5052368,-24.98404559,6.370345691
"1nc1",14,152,1,3,4,32,30,96,2,1,11,0,0,0,0,6,-25.66370456,3.938839633,-6.554542113,-45.61258165,-1.123344156,26.41410703,-27.43050975,11.30548738
"1ndw",14,264,0,1,0,109,75,93,4,5,33,1,1,2,0,7,-45.3574384,2.021154945,-4.960854882,-27.3309917,-2.205763768,33.6854791,-30.72010851,6.123184385
"1ndy",9,283,0,3,13,115,80,81,3,3,38,0,0,0,0,7,-41.77761429,3.131579666,-3.981806319,-34.32285772,-1.433274947,43.58378569,-45.20704969,4.585680872
"1ndz",20,494,3,5,22,223,48,213,4,6,59,1,1,0,0,11,-70.41618561,1.836337519,-5.020907869,-41.89258697,-2.452066625,61.08937601,-48.49157234,21.17288455
"1nfy",6,291,0,29,30,0,78,160,2,1,33,0,1,1,0,6,-206.9595859,1.531216083,-2.18629914,-37.39425343,-0.843049278,244.1671,-57.47451782,13.64345461
"1nhu",3,148,0,0,10,90,0,51,0,2,16,0,0,0,0,8,-96.83683931,4.425267135,-1.734696495,-48.44786948,-0.732581618,94.56747478,-37.90884506,5.938829794
"1nja",14,207,1,8,0,5,91,116,1,6,2,0,0,0,2,7,-13.7453365,6.448032143,-8.339945721,-9.951031066,-0.068002076,8.143338935,-29.41760853,6.671462759
"1nje",15,224,5,11,0,30,67,126,2,8,7,0,0,0,2,7,-10.84325178,-2.541002983,-8.399330965,-7.970286844,-9.1e-09,18.5740443,-30.85864202,0.944503404
"1nny",26,434,17,0,23,116,13,291,4,9,31,0,2,0,3,17,-103.9116469,1.112278202,-11.52629792,-33.71988587,-1.277816538,139.6483238,-61.46213421,25.51048603
"1nvq",10,357,0,24,15,2,234,92,2,1,35,0,0,0,1,5,-108.1544761,1.840116536,-1.690161788,-40.68384811,-1.31e-09,104.0244062,-61.0673018,3.99779647
"1o0h",32,454,0,8,0,51,103,324,1,21,12,0,1,0,5,9,-156.1878744,12.78437473,-21.25109128,-8.256629776,-5.498913034,119.5954531,-19.6581296,16.46702612
"1o3f",20,298,0,6,59,0,21,232,4,0,25,1,0,1,0,5,-220.8365744,2.837864496,-2.972929788,-22.32778554,-0.926341053,276.2878505,-35.75107761,6.929356571
"1o3p",27,362,0,26,45,0,55,263,5,3,26,0,0,0,0,6,-241.6059334,6.092956215,-2.667535167,-25.03135545,-0.197630562,286.51962,-41.17293596,9.642737723
"1olu",25,302,0,11,41,15,58,202,4,10,13,0,0,0,4,12,17.55237029,-0.477089393,-6.057735093,-23.35241983,0,-48.80637024,-35.91719652,-0.637412982
"1om1",7,248,0,5,8,0,186,56,0,2,37,0,0,0,1,2,-16.46178022,3.398982846,-3.102673764,-38.9271946,-0.625412023,37.99605424,-41.82508239,6.895536653
"1p1q",25,274,3,27,2,62,113,92,1,11,14,1,0,0,2,5,-47.39203282,1.477499688,-5.740655917,-18.66747647,-0.095150235,20.12816509,-21.90174312,3.395602234
"1pb9",19,206,7,19,6,59,80,54,4,7,12,1,0,0,1,1,-41.074499,1.783278766,-3.184256052,-10.83161481,0,20.9398568,-13.14868876,1.741065278
"1pbq",10,228,0,9,0,49,86,94,0,8,29,0,2,0,1,2,-24.65888067,3.48253476,-9.266465357,-27.71180719,-6.433405629,23.04681923,-33.55798212,4.262432474
"1ppm",14,346,0,2,35,0,102,221,2,5,22,0,0,0,0,17,-4.941938937,5.756236148,-4.317973744,-46.33420396,-0.31638946,13.43491291,-74.13792491,9.21908742
"1pr5",15,237,0,36,0,14,99,103,4,1,20,0,0,0,0,6,-27.47769711,2.058834012,-6.427813681,-19.7791989,-0.288276772,51.38587345,-33.86292753,4.780114249
"1q7a",5,152,3,0,7,66,0,81,0,1,27,0,0,1,0,6,-8.472882906,8.841885749,-0.919287554,-30.10746533,-1.255906167,36.39424858,-34.96179435,10.19413143
"1q8t",4,196,0,18,1,1,123,57,1,3,17,0,0,0,0,4,-37.07493012,4.46177498,-1.185418534,-31.06329065,-3.56e-07,33.88930075,-36.44958627,4.034326723
"1re8",20,444,0,34,22,13,236,159,3,3,35,1,0,0,2,9,-87.86230403,4.53207366,-3.759120192,-43.60979087,-0.128732345,57.562141,-74.40208078,8.67453825
"1rnt",14,289,0,4,26,0,103,170,3,10,14,0,0,0,2,7,-5.445270422,3.221211768,-12.89853417,-6.205746294,-0.973641273,9.087211534,-31.91351517,3.956361096
"1s39",6,201,0,7,7,50,99,44,3,2,28,0,2,0,0,1,-22.23621018,0.65169726,-7.076662968,-15.01870067,-5.218344243,29.69064775,-28.18812242,0.926812656
"1sl3",13,400,0,49,19,0,69,276,2,7,30,0,1,1,0,10,-106.2375857,2.020176532,-2.17822799,-52.13736287,-2.122295705,122.8395692,-68.03352327,10.62598703
"1slg",13,286,0,1,0,0,221,77,3,5,17,1,0,1,0,26,-41.83920099,-3.696506845,-1.711445075,-26.5147807,0.13062333,23.48945283,-30.59514619,18.22162421
"1sqa",8,270,0,5,57,0,46,170,4,1,18,0,1,0,1,8,-295.0134296,10.19715247,-8.728302867,-24.15882262,-0.189132155,321.268932,-53.88553393,11.51449521
"1sv3",8,135,0,0,15,47,0,81,0,2,12,0,0,0,1,2,120.4661952,0.596569702,-0.919250115,-10.44661127,0,-94.6852545,-17.18182977,0.691644936
"1syh",23,317,6,27,4,76,133,94,3,9,27,1,0,0,2,4,-52.46729336,0.374564928,-5.442972939,-26.89617352,-0.001954231,16.79690056,-36.4485832,2.681142292
"1tmn",15,234,0,12,0,77,85,75,3,3,10,0,0,0,6,19,-38.64068289,10.51695629,-3.21386537,-39.8918064,0,93.76250104,-39.99884473,20.21055269
"1trd",16,182,0,19,16,0,73,90,2,11,3,0,0,0,2,4,-93.73033811,2.90159473,-9.50533902,-3.66952432,0,94.29099284,-22.73757984,2.836556213
"1tsy",21,218,5,9,0,26,81,118,2,6,5,0,0,0,2,6,-4.925329057,4.852711458,-6.791014831,-9.928824186,-0.00769884,-7.803650601,-28.96579898,5.950789912
"1ttm",11,176,0,0,7,23,55,102,1,2,16,0,0,0,0,3,-5.409729574,1.692882057,-2.090370467,-18.99223723,-0.002203624,0.025568983,-32.6541539,2.012204908
"1u1b",14,297,0,22,0,41,176,72,3,8,13,0,2,0,7,16,-61.53089893,7.761402419,-7.817308089,-15.64403657,-5.567070203,100.9449831,-63.83430943,9.306969162
"1u2y",13,158,0,0,5,5,25,136,1,1,4,0,0,0,0,6,-39.33100853,2.787572389,-2.788357728,-10.08672813,0,37.08603365,-18.34432301,1.604314621
"1u33",33,411,0,3,19,36,82,304,7,6,19,0,0,0,0,18,-66.46346788,4.440081963,-6.574723678,-38.74175253,0,99.92622007,-45.02068101,15.83730147
"1utp",5,171,0,4,28,0,15,129,2,0,7,0,0,0,1,5,-104.111276,-0.481555468,-1.090047222,-20.5915843,-0.929323767,141.4684852,-27.17350933,-0.182990583
"1uwt",13,251,0,0,0,0,103,161,3,3,17,0,0,0,0,6,-27.1735209,5.96313092,-3.255925487,-17.23649639,0,35.41977633,-25.43994152,14.42662133
"1v16",15,300,0,8,33,1,30,243,1,11,16,0,0,0,4,9,-31.59933977,8.958837941,-13.49242362,-28.11230292,0,78.77112028,-32.55761935,8.050167435
"1v2o",11,223,0,7,66,0,18,143,3,3,15,0,0,0,0,11,-316.6937102,4.97512101,-7.963108726,-22.59285953,-0.031978803,322.0683262,-40.83116632,13.87319509
"1vfn",9,162,0,29,0,0,52,90,2,2,12,0,0,1,0,0,-38.59868227,0.417869653,-1.977927052,-3.08790924,-0.226684816,25.2966424,-20.87754674,0.321004359
"1vzq",16,391,0,34,34,0,58,281,4,3,33,0,0,1,1,7,-189.2317793,8.841165341,-9.122261232,-35.74150417,-0.151178193,178.6032877,-57.20056642,10.84499095
"1x1z",22,343,0,13,10,0,140,202,3,15,8,0,0,0,1,7,-36.52199098,6.207823935,-14.02396713,-12.32684609,0,33.72450452,-22.68777081,10.46110597
"1xd1",32,462,0,0,47,43,57,347,6,4,23,0,0,0,3,34,-42.92520108,1.273511258,-6.557995335,-59.78435066,0,79.6706447,-77.29988629,27.91602079
"1xgj",13,222,4,30,10,79,32,80,0,5,13,0,0,2,1,6,-26.0978896,3.028167576,-5.271998067,-12.87816195,-0.035404407,37.597819,-35.36752617,5.691904618
"1y1m",13,182,0,16,0,34,96,49,3,5,17,1,0,0,2,2,-29.1457771,2.018943489,-4.077998419,-17.45539288,0,12.80483181,-14.45730709,2.603179175
"1y6q",12,298,0,22,23,30,76,159,6,1,22,0,2,0,2,6,-126.9429809,2.633605379,-6.41424498,-53.09487267,-1.567918819,122.809799,-53.95934632,5.37877629
"1ydt",6,301,0,37,9,0,178,83,0,1,36,1,0,0,1,8,16.39297086,4.695374482,-0.932375807,-43.02921766,-5.48e-07,7.537731877,-54.9164507,8.975568236
"1zc9",28,286,14,0,12,27,13,248,0,9,14,0,0,0,0,7,1.690556468,4.075868158,-6.515182032,-14.01081747,-0.147752765,3.071581757,-24.64756756,4.850160093
"1zoe",7,184,0,4,1,1,129,56,1,1,15,0,0,0,0,1,-5.106711287,7.595202491,-0.24330011,-55.34706553,-5e-09,17.63805229,-41.24096074,7.044917676
"1zs0",15,265,5,8,28,73,33,133,0,6,28,2,1,0,3,7,117.7859135,2.657706799,-3.888885427,-33.04596089,-2.717855369,-64.3399233,-52.24368156,6.779997125
"1zvx",14,285,2,16,28,80,27,146,1,7,37,1,2,0,3,7,110.2025449,9.974938213,-4.65306764,-35.38453062,-3.067363738,-66.21588771,-45.21513241,12.90946142
"2aou",6,243,5,0,0,143,17,84,1,0,50,0,4,1,0,7,-10.45904323,5.216686882,-0.777795479,-47.48817026,-5.966331137,65.95896897,-45.41938137,10.16451953
"2aov",7,145,1,0,2,62,3,84,2,0,14,0,1,1,0,3,-5.747820264,-0.005586054,-3.206910651,-29.56762245,-1.682013886,28.62929188,-38.60963651,1.000847004
"2ayr",15,350,17,0,1,269,0,78,1,2,38,0,0,2,1,9,-12.86004321,3.107881917,-2.175614833,-74.39026703,-1.434109118,20.6683937,-66.09990056,10.03638432
"2azr",17,218,8,0,5,45,5,172,0,9,25,0,0,0,3,4,-114.5039929,2.3802418,-10.29033208,-21.01415698,-0.997974183,113.5321853,-28.9085245,2.472865676
"2b1v",3,170,8,0,0,137,0,28,2,1,15,0,0,1,0,4,-16.04149576,3.317449659,-1.751457493,-59.28945969,-0.273143394,19.75672615,-40.40330401,3.250795815
"2b7d",35,460,0,9,70,0,23,393,5,4,25,1,0,1,1,12,-103.6436489,2.048182697,-10.88961412,-19.98094232,-0.757750289,133.1700272,-35.95758104,14.5216902
"2bak",12,396,0,16,18,50,187,137,2,3,47,1,0,1,2,10,-14.34650907,4.84900563,-2.297074578,-72.44713449,-0.927619297,42.61302266,-91.00048393,3.609608151
"2bok",11,318,0,30,28,11,59,201,3,3,37,2,0,0,0,7,-335.0031732,8.377614317,-7.695472191,-41.93355398,0,327.1826782,-60.16174814,10.35827833
"2brb",5,225,0,22,3,9,152,44,0,3,22,0,0,0,0,6,-20.11710578,0.780326754,-1.573399907,-30.62542982,-2.5e-09,25.85926037,-41.70364593,4.854833939
"2brm",7,252,0,25,5,3,157,69,1,2,20,0,0,0,0,6,-30.89253698,0.117147725,-1.609249095,-25.71951006,-5.57e-09,34.72023003,-41.5631148,3.73083355
"2bz6",17,405,0,42,37,0,67,276,5,5,37,0,0,1,1,10,-110.7857351,2.834969497,-11.82655952,-31.01860601,-0.063557006,136.8321836,-60.04649234,8.509118589
"2bzz",38,567,0,16,0,40,188,361,2,23,17,0,2,0,5,22,-240.0287565,7.606956125,-22.75229012,-10.81370343,-10.31071948,228.5175092,-47.75040586,30.77963716
"2c02",10,225,0,1,0,53,85,96,2,9,9,0,1,0,5,9,-122.8324922,8.105454824,-11.26244356,-9.766486304,-4.938476664,132.4423824,-33.52273275,14.76180711
"2ceq",18,240,0,0,0,9,122,127,2,3,25,0,1,0,0,5,-44.77207273,0.874337091,-3.04349051,-19.63620793,-1.556316276,30.26504214,-22.52192242,12.54288059
"2cer",16,278,0,1,0,6,112,175,5,3,27,0,1,0,0,8,-51.63602103,1.430215545,-4.602865445,-30.52769529,-1.411830478,56.97028333,-35.51047925,13.15213397
"2cet",18,290,0,0,0,63,108,137,3,4,32,0,1,0,0,8,-26.43822073,5.605445988,-4.419482231,-29.33051743,-2.812566783,62.05701468,-33.58676316,17.94804836
"2cgr",5,250,0,18,21,0,133,83,2,2,36,0,1,3,1,6,-19.46729337,7.263671083,-7.056794826,-29.03488825,-2.860511961,13.43415804,-53.49043454,6.441955269
"2ctc",10,159,0,0,1,3,23,142,1,4,11,0,0,0,5,4,-8.840209675,2.228874291,-10.59789787,-18.8941134,-0.39539096,21.73328643,-20.02809367,3.595626356
"2d0k",9,294,2,21,0,139,72,69,3,3,20,0,0,0,2,10,-15.6735555,2.287202661,-12.28035753,-19.17109861,-1.854121627,33.84877843,-44.39858456,9.483690374
"2d1o",18,331,1,22,64,41,31,190,5,2,23,0,0,0,1,20,-182.839727,4.261934805,-4.609833025,-51.84355339,-4.66e-07,186.1914251,-58.76664246,10.57488996
"2d3u",6,194,4,0,15,124,0,57,0,2,33,0,2,0,0,5,-61.07976989,0.878164229,-2.333087724,-37.52194958,-4.109338827,68.55937231,-49.06806946,5.204938586
"2d3z",5,182,2,0,13,118,0,54,0,2,28,0,0,0,0,5,-70.44143651,-1.421993083,-3.797781466,-40.75946019,-3.918293291,71.38916173,-37.79393816,3.999566962
"2drc",0,5,0,0,0,1,0,4,0,1,0,0,0,0,0,11,-52.58433842,-2.404269321,-12.1922756,-25.34641113,-1.09403796,37.99271979,-38.35474565,4.636573562
"2er9",25,495,0,10,62,0,114,334,7,6,31,0,0,0,1,34,-75.82866916,12.23660469,-4.827873799,-55.60474903,-0.095831235,88.65476811,-83.80983577,66.89068943
"2f01",10,225,0,1,11,0,144,79,2,7,22,0,0,0,0,5,-56.23021465,0.682816319,-5.225055248,-41.10719536,0,43.37884944,-37.22123345,0.758389782
"2f80",23,388,0,29,37,0,164,181,4,5,25,0,0,0,0,14,-24.96280095,4.908285193,-3.672296345,-57.2185236,-3.07e-07,8.72588719,-61.76805354,7.297267715
