Complex,VINA,GlideSP,HMS,DSX,RFScore,Experimental
1bzc,-9.39299,-9.02,-10.08532271,-141.657,-7.4817,-6.797231195
1bzh,-6.69452,-7.31,-8.980081863,-106.834,-7.87238,-9.353100648
1bzy,-10.7548,-13.2,-10.12676924,-143.785,-8.0943,-11.52213581
1c1r,-8.32485,-9.68,-8.358383888,-113.64,-8.35827,-10.54123456
1c1u,-8.24339,-10.37,-8.040627145,-110.856,-9.86964,-11.39779621
1c1v,-7.81406,-11.51,-8.247859803,-93.907,-9.61241,-10.55505007
1c4u,-9.19215,-11.52,-10.04387618,-180.856,-11.3921,-14.32668445
1c4v,-9.84378,-10.44,-11.43924274,-193.02,-10.846,-14.9207514
1c5c,-9.25945,-11.2,-9.90572107,-96.257,-9.21598,-9.615595348
1c5n,-5.45393,-7.47,-7.847209997,-71.371,-6.57147,-6.493289962
1c5o,-5.04557,-7.81,-6.714338131,-68.949,-6.38699,-4.821613185
1c5p,-5.6309,-8.6,-6.893939768,-73.47,-6.16883,-6.465658941
1c5q,-6.12951,-7.93,-7.93010306,-75.871,-6.3062,-8.786664715
1c5s,-6.08783,-8.48,-7.225512022,-71.637,-6.08754,-8.289306335
1c5t,-6.1693,-8.4,-7.18406549,-78.504,-6.54462,-5.664359329
1c5x,-6.17104,-8.25,-8.040627145,-75.209,-6.602,-9.228761053
1c5y,-6.34499,-8.81,-7.322220596,-71.212,-6.87336,-5.802514434
1c5z,-5.7483,-8.63,-6.963017321,-71.092,-6.28345,-5.540019734
1c70,-11.5166,-15.29,-12.88987135,-245.195,-12.5397,-14.22997587
1c83,-8.58217,-12.27,-8.814295736,-101.421,-7.58783,-6.700522621
1c84,-8.7865,-11.3,-9.546517796,-91.717,-7.4296,-6.907755279
1c86,-7.89746,-12.06,-8.579432056,-103.675,-7.47988,-6.493289962
1c87,-8.00853,-12.38,-8.17878225,-104.748,-7.41978,-5.802514434
1c88,-8.32626,-11.74,-8.441276951,-106.117,-7.98855,-7.308405085
1caq,-10.816,-9.13,-11.3839807,-203.684,-10.3074,-10.66557415
1cbx,-7.22172,-8.89,-8.42746144,-79.465,-7.76981,-8.772849204
1ce5,-5.51112,-8.72,-6.9353863,-74.063,-6.22652,-6.548552004
1cea,-4.06844,-6.07,-6.631445068,-49.125,-5.25952,-6.852493237
1ceb,-5.45634,-9.11,-7.584715296,-66.464,-5.43084,-8.289306335
1cet,-5.01016,-5.31,-8.482723483,-76.893,-6.66677,-3.992682551
1cgl,-7.03421,-5.95,-8.800480225,-190.064,-9.92341,-9.491255753
1ch8,-10.9884,-9.96,-9.809012496,-134.422,-7.30582,-9.670857391
1cil,-5.86434,-7.38,-7.943918571,-83.151,-10.8056,-13.02802646
1cim,-5.48707,-7.3,-7.847209997,-66.951,-11.0654,-12.18528031
1cin,-5.64366,-6.92,-7.750501423,-71.765,-11.108,-12.06094072
1ciz,-10.7226,-8.71,-11.32871866,-192.892,-10.359,-10.27873986
1cnw,-4.51639,-6.52,-6.728153642,-89.156,-9.3114,-10.66557415
1cnx,-4.56372,-5.75,-6.990648342,-90.802,-9.39748,-10.18203128
1cny,-4.08876,-5.36,-7.515637744,-81.209,-9.39109,-10.84517579
1ct8,-8.54823,-11,-10.11295373,-130.902,-8.91745,-9.007712884
1ctt,-8.84366,-8.03,-8.358383888,-106.226,-7.52348,-6.244610772
1ctu,-8.83905,-8.18,-8.316937356,-100.879,-7.57153,-16.46808859
1d2e,-9.61993,-10.54,-9.062974926,-145.365,-7.56842,-8.289306335
1d4y,-10.6825,-13.03,-12.07475623,-194.119,-12.0121,-15.33521672
1d6v,-9.36391,-9.46,-10.32018639,-110.065,-9.4964,-8.524170014
1d6w,-9.53689,-11.47,-9.974798623,-172.445,-10.9137,-8.234044293
1d7i,-2.34715,-6.18,-5.857776477,-34.596,-7.84249,-4.973583801
1d9i,-8.92009,-10.87,-9.629410859,-164.545,-10.6645,-12.58593012
1dfo,-9.53358,-13.29,-10.01624515,-149.36,-8.52027,-9.256392074
1dhj,-8.04483,-10.94,-9.104421458,-124.263,-9.69482,-9.049159415
1dif,-11.2298,-16.96,-13.89840362,-265.328,-11.1754,-14.72733425
1dl7,-4.1043,-8.22,-7.156434469,-91.787,-7.54437,-8.966266352
1dqn,-8.98159,-11.03,-8.800480225,-106.431,-7.09054,-11.05240845
1dqx,-9.45074,-12.11,-9.187314521,-104.866,-7.4934,-15.26613917
1drj,-7.18032,-7.6,-8.247859803,-73.597,-6.33466,-10.22347781
1drk,-7.2595,-7.6,-8.261675314,-73.592,-6.2398,-9.422178201
1dud,-7.36455,-10.08,-7.778132444,-93.314,-6.78695,-6.659076089
1duv,-9.36125,-8.37,-9.1596835,-106.905,-8.11691,-16.30230246
1dy4,-9.14247,-8.25,-9.560333306,-110.938,-9.34428,-6.023562603
1dzk,-4.96457,-6.03,-6.963017321,-53.94,-7.50325,-8.42746144
1e3v,-7.1707,-6.03,-9.919536581,-89.737,-11.1551,-5.995931582
1e4h,-5.99595,-4.22,-8.634694099,-40,-5.73763,-11.61884438
1e6q,-6.68984,-10.82,-7.557084275,-62.074,-7.35847,-4.351885826
1e6s,-6.18695,-7.66,-7.349851617,-66.141,-7.08702,-4.4485944
1ec9,-7.81325,-6.24,-7.66760836,-48.257,-7.04907,-4.282808273
1ecq,-5.85999,-5.51,-7.336036106,-50.407,-6.72058,-4.144653167
1ecv,-8.07231,-10.86,-9.007712884,-87.077,-7.13372,-6.700522621
1efy,-8.35981,-10.06,-8.41364593,-89.89,-9.07962,-11.35634968
1egh,-5.80269,-8.98,-6.907755279,-55.426,-5.90238,-7.874841018
1eix,-9.87827,-11.79,-9.463624732,-114.964,-7.44698,-15.27995468
1ejn,-9.18153,-10.23,-9.118236968,-140.735,-10.4181,-7.764316934
1elc,-6.33708,-8.47,-9.007712884,-152.705,-11.3214,-9.201130032
1eld,-8.28377,-7.39,-9.864274538,-148.81,-9.69814,-9.256392074
1ele,-7.49024,-7.31,-9.518886774,-136.407,-7.71431,-9.463624732
1elr,-5.93918,-14.4,-7.819578976,-132.233,-8.3834,-6.852493237
1ent,-8.28652,-10.85,-10.9971464,-183.044,-9.62196,-9.615595348
1epo,-10.154,-11.29,-11.13530151,-200.12,-10.8319,-10.9971464
1erb,-9.53284,-9.23,-10.41689496,-136.788,-9.4572,-11.19056355
1ew8,-0.33432,-4.26,-6.023562603,0.789,-6.48149,-3.122305386
1ew9,-0.14996,-3.98,-5.553835244,5.4,-6.70901,-4.4485944
1ex8,-11.3333,-14.88,-11.16293253,-177.292,-9.15477,-8.745218183
1ez9,-5.39879,-8.68,-7.460375701,-116.658,-7.8773,-7.045910385
1ezq,-10.2382,-12.04,-11.53595132,-190.153,-10.2061,-12.50303705
1f0r,-9.665,-8.64,-9.076790437,-142.478,-9.82216,-10.58268109
1f0s,-9.29946,-8.32,-8.648509609,-133.415,-9.23794,-10.69320517
1f0t,-7.70404,-9.92,-8.275490824,-134.829,-8.69252,-8.289306335
1f0u,-8.04155,-10.41,-10.04387618,-168.586,-8.39912,-9.89190556
1f3e,-7.77754,-11.85,-8.012996124,-76.54,-6.67116,-9.256392074
1f4x,-5.57315,-6.27,-7.460375701,-107.426,-5.9518,-7.722870402
1f5l,-7.51455,-7.6,-8.054442655,-67.652,-6.07396,-7.294589575
1f9g,-2.79486,-4.74,-5.636728308,-17.696,-5.45687,-1.768385351
1fao,-6.71583,-9.85,-8.192597761,-106.81,-7.33968,-10.18203128
1fcy,-16.1143,-16.99,-14.10563628,-170.698,-12.0255,-11.770815
1fdq,-5.59876,-5.9,-9.214945542,-98.94,-10.0403,-10.04387618
1fhd,-7.77181,-7.58,-8.386014909,-104.938,-6.55637,-9.422178201
1fiv,-11.1511,-17.37,-14.7825963,-288.62,-10.0977,-9.104421458
1fj4,-6.54515,-8.67,-8.068258166,-70.22,-7.43477,-6.341319346
1fjs,-8.96164,-11.4,-9.615595348,-159.215,-11.1474,-13.76024852
1fkf,-11.1435,-13.24,-13.04184197,-197.191,-9.09524,-12.98657992
1fkg,-7.76717,-8.79,-11.05240845,-133.376,-9.21085,-11.05240845
1fkh,-7.27876,-6.67,-10.81754477,-130.672,-9.22623,-11.2596411
1fkw,-7.77183,-8.08,-7.819578976,-94.374,-9.12601,-6.976832832
1fl3,-9.96417,-12.48,-10.05769169,-123.017,-9.8949,-9.394547179
1fm9,-12.8085,-15.91,-14.20234485,-222.19,-10.6485,-12.4339595
1fpc,-8.53472,-9.39,-10.3340019,-152.585,-10.8791,-9.670857391
1fq5,-13.5497,-15.48,-15.25232366,-247.983,-10.8441,-11.60502887
1fv0,-8.74619,-6.21,-9.670857391,-118.985,-8.72558,-8.192597761
1fwu,-3.61414,-4.28,-6.617629557,-56.832,-6.00623,-5.111738906
1fwv,-3.63356,-6.26,-6.451843431,-60.593,-6.04138,-5.139369928
1fzq,-9.30493,-10.77,-8.67614063,-134.416,-7.97627,-10.52741905
1g1d,-5.62237,-6.43,-8.496538993,-86.09,-10.3919,-13.04184197
1g2k,-11.952,-13.58,-13.12473503,-263.257,-12.2424,-10.9971464
1g2l,-9.24092,-12.7,-10.34781741,-181.093,-10.9293,-10.00242964
1g2o,-9.68876,-12.73,-8.648509609,-115.661,-10.6824,-14.57536364
1g30,-8.16685,-12.45,-10.05769169,-156.768,-10.9909,-9.463624732
1g32,-9.65579,-11.83,-10.19584679,-142.693,-10.8246,-8.441276951
1g35,-10.8597,-13.59,-13.29052116,-240.335,-13.3446,-11.24582559
1g36,-8.9591,-9.37,-9.435993711,-144.675,-10.4042,-9.90572107
1g3b,-6.18477,-10.88,-7.874841018,-91.558,-6.60384,-7.93010306
1g3c,-6.48831,-9.94,-7.902472039,-94.279,-6.78906,-8.012996124
1g3d,-6.57815,-8.15,-7.861025507,-88.666,-6.66054,-7.66760836
1g3e,-6.30214,-9.38,-7.736685912,-89.716,-6.74413,-7.43274468
1g45,-5.12195,-6.8,-8.330752866,-76.589,-9.92254,-11.93660112
1g46,-5.39973,-5.73,-8.247859803,-79.367,-10.2582,-12.15764929
1g48,-5.32881,-7.84,-8.234044293,-79.529,-10.2404,-11.61884438
1g4j,-5.19377,-6.01,-7.709054891,-75.811,-10.1337,-12.01949419
1g4o,-4.6539,-6.04,-8.455092461,-79.076,-9.4255,-11.39779621
1g52,-5.84453,-6.72,-8.316937356,-83.497,-10.5868,-13.17999707
1g53,-5.302,-7.35,-8.358383888,-85.752,-10.3458,-12.48922154
1g54,-6.23117,-5.52,-7.888656529,-81.761,-9.95599,-12.18528031
1g7g,-7.52566,-8.86,-9.491255753,-184.178,-8.16442,-9.118236968
1g7v,-3.94507,-3.69,-6.507105473,-55.449,-7.96252,-8.841926757
1g85,-3.93115,-3.51,-7.391298149,-61.797,-5.43189,-7.570899786
1g98,-6.2953,-8.69,-7.598530807,-63.994,-7.70622,-7.874841018
1gaf,-7.34606,-9.48,-8.565616546,-91.404,-6.4573,-11.05240845
1gah,-9.05229,-9.96,-10.15440026,-171.978,-8.09199,-16.57861267
1gai,-8.81783,-10.25,-9.960983112,-168.594,-8.09768,-11.05240845
1gcz,-8.29258,-7.5,-9.049159415,-87.421,-8.61745,-7.087356916
1ghv,-7.36361,-8.21,-8.068258166,-103.679,-7.36477,-6.009747093
1ghw,-8.14066,-10.35,-7.957734081,-109.546,-7.61455,-5.802514434
1ghy,-6.52517,-11.09,-8.455092461,-102.259,-8.10147,-11.19056355
1ghz,-7.09424,-9.46,-7.529453254,-93.196,-6.73653,-6.631445068
1gi1,-7.55197,-9.94,-7.68142387,-104.569,-6.94335,-7.557084275
1gi4,-7.65678,-12.2,-8.206413271,-96.862,-6.87307,-9.933352091
1gi6,-7.40821,-9.7,-7.653792849,-100.461,-7.13286,-8.593247567
1gi8,-7.39893,-9.2,-7.626161828,-90.53,-7.23971,-6.976832832
1gi9,-7.19297,-10.29,-7.515637744,-94.347,-8.10695,-7.211696511
1gj4,-9.27684,-9.03,-10.11295373,-124.702,-8.89113,-5.622912797
1gj6,-9.29795,-8.2,-9.366916158,-126.69,-7.86655,-9.670857391
1gj7,-9.27625,-9.05,-9.40836269,-132.555,-8.53598,-10.90043783
1gj8,-7.3571,-8.78,-8.330752866,-119.347,-8.35103,-9.615595348
1gja,-7.56951,-9.42,-8.17878225,-98.482,-8.35393,-7.488006722
1gjb,-8.46339,-8.71,-9.311654116,-114.204,-9.39555,-8.772849204
1gjc,-8.46712,-8.81,-9.601779838,-115.129,-9.40713,-8.772849204
1gjd,-8.07446,-10.45,-9.297838606,-99.105,-7.99329,-7.211696511
1gnm,-7.8178,-10.35,-9.698488412,-179.013,-10.041,-8.634694099
1gnn,-7.92736,-11.71,-9.933352091,-185.437,-10.1051,-7.847209997
1gno,-7.21993,-11,-10.0715072,-167.551,-9.86841,-10.63794313
1gny,-4.93171,-8.96,-7.087356916,-111.627,-6.90289,-5.719621371
1grp,-5.8612,-7.52,-7.059725895,-30.613,-6.30046,-5.139369928
1gt1,-9.03927,-8.74,-9.284023095,-85.517,-8.41506,-8.289306335
1gu1,-7.96309,-8.47,-7.91628755,-75.51,-5.73165,-6.244610772
1gwv,-5.73337,-6.31,-7.156434469,-87.462,-6.32925,-3.550586213
1gyx,-5.7332,-8.07,-7.557084275,-54.625,-6.17487,-3.426246618
1gyy,-6.29015,-6.72,-7.819578976,-61.18,-6.97057,-5.028845843
1gz3,-8.80687,-10.82,-7.902472039,-141.018,-7.95521,-5.111738906
1gz9,-5.75881,-6.91,-7.626161828,-113.866,-7.08924,-4.849244206
1gzc,-4.5468,-5.83,-6.631445068,-70.828,-6.16269,-4.821613185
1h1d,-6.28107,-4.21,-8.579432056,-74.383,-8.42997,-11.35634968
1h1h,-3.51958,-7.49,-5.857776477,-32.952,-6.17446,-7.211696511
1h2t,-9.49021,-14.11,-9.795196986,-175.106,-8.30476,-10.90043783
1h46,-7.00297,-4.65,-8.206413271,-84.449,-8.80215,-4.932137269
1h6h,-4.53191,-7.74,-7.363667127,-96.276,-6.67753,-7.322220596
1h9z,-8.23166,-8.1,-9.560333306,-97.582,-9.81257,-7.488006722
1hbv,-8.49037,-9.5,-11.28727213,-185.967,-10.3946,-8.800480225
1heg,-7.87438,-10.55,-10.48597251,-187.302,-10.7921,-10.69320517
1hi3,-4.83619,-8.04,-6.728153642,-45.612,-7.07554,-5.788698924
1hi5,-5.71151,-8.25,-7.045910385,-73.31,-7.29435,-5.581466265
1hih,-9.4811,-14.04,-11.74318397,-212.156,-10.4049,-11.121486
1hii,-9.70232,-14.58,-12.46159052,-219.553,-9.3705,-10.05769169
1hlk,-6.69786,-4.38,-7.91628755,-60.902,-6.73163,-6.907755279
1hmr,-5.35156,-7.4,-8.897188799,-110.747,-9.71106,-9.049159415
1hms,-5.47943,-7.1,-8.855742268,-111.067,-9.65467,-8.800480225
1hmt,-5.387,-7.14,-8.897188799,-103.825,-9.80875,-7.999180613
1hn2,-9.18266,-8.64,-9.518886774,-88.557,-8.60141,-8.289306335
1hnn,-8.40428,-7.43,-8.068258166,-73.184,-8.81506,-8.620878588
1hos,-8.78457,-12.97,-12.93131788,-212.176,-10.7,-11.81226153
1hpo,-10.2765,-8.93,-10.84517579,-147.877,-10.5011,-12.73790073
1hps,-9.75639,-13.16,-12.58593012,-219.574,-11.6018,-12.73790073
1hpv,-8.32212,-9.95,-10.76228272,-190.024,-10.6656,-12.73790073
1hpx,-9.04319,-12.21,-11.52213581,-191.733,-12.6033,-15.55626489
1hsh,-10.9755,-13.42,-12.19909582,-224.954,-10.2675,-13.01421095
1hvh,-9.6446,-10.85,-12.58593012,-179.357,-11.2698,-10.9971464
1hvi,-10.8207,-14.24,-13.62209341,-251.161,-11.0839,-15.08653753
1hvj,-10.5063,-14.27,-13.3457832,-246.165,-11.3973,-15.74968204
1hvk,-11.4439,-15.26,-13.95366566,-262.398,-11.1911,-15.14179957
1hvl,-10.3624,-14.42,-13.47012279,-245.059,-11.2615,-13.74643301
1hvr,-14.3285,-12.94,-15.26613917,-256.979,-11.8691,-13.13855054
1hvs,-10.146,-13.66,-12.91750237,-245.299,-11.266,-14.22997587
1hwr,-9.31893,-7.75,-10.88662232,-166.277,-9.83672,-11.50832029
1hxb,-11.6737,-13.64,-13.20762809,-213.31,-11.2226,-13.70498647
1hxw,-9.21962,-16.36,-12.14383378,-232.822,-11.7097,-14.94838242
1hyo,-6.44374,-8.02,-7.045910385,-60.987,-7.28788,-5.622912797
1i00,-5.75184,-6.85,-8.012996124,-79.825,-9.47357,-8.759033694
1i5r,-12.3535,-19.7,-14.40957751,-246.083,-10.0198,-11.770815
1i7z,-8.67525,-7.63,-9.422178201,-113.246,-9.93025,-8.841926757
1i80,-6.11806,-9.45,-7.197881001,-61.973,-7.68138,-8.855742268
1i9l,-4.3574,-5.44,-8.330752866,-73.077,-9.29247,-11.71555295
1i9m,-5.01272,-6.7,-8.316937356,-83.297,-10.4996,-11.71555295
1i9n,-4.13953,-5.6,-8.123520208,-79.613,-9.30498,-11.96423214
1i9o,-4.94086,-5.96,-8.012996124,-86.011,-9.22409,-11.63265989
1i9p,-4.85964,-5.52,-8.026811634,-81.138,-9.59028,-11.61884438
1i9q,-5.28369,-7.15,-8.095889187,-83.025,-10.1413,-11.61884438
1icj,-3.63599,-3.27,-4.766351142,-122.541,-7.31654,-3.067043344
1if8,-5.10845,-5.54,-8.869557778,-89.748,-9.63582,-13.31815218
1igb,-6.06908,-6.1,-8.717587162,-53.689,-7.41775,-8.841926757
1igj,-8.44213,-6.72,-10.70702068,-126.618,-9.14683,-13.81551056
1iih,-5.38192,-8.72,-7.17024998,-60.874,-5.69697,-3.992682551
1iiq,-9.98985,-16.1,-12.9589489,-225.717,-11.0101,-10.3340019
1ik4,-6.85357,-7.82,-7.391298149,-74.318,-7.37679,-10.23729332
1ikt,-6.32987,-6.91,-9.339285137,-141.916,-9.88137,-4.69727359
1iy7,-7.83406,-8.76,-8.510354504,-66.331,-8.07692,-8.551801035
1izh,-10.226,-15.94,-13.41486075,-240.172,-11.1156,-10.63794313
1izi,-9.474,-14.04,-11.93660112,-226.609,-11.6877,-9.104421458
1j01,-7.98048,-8.67,-8.261675314,-96.678,-7.30238,-8.938635331
1j14,-5.52728,-8.6,-6.949201811,-73.212,-6.23768,-6.203164241
1j4r,-7.26902,-9.99,-9.878090049,-154.177,-9.65133,-10.66557415
1jak,-7.85736,-8.43,-8.220228782,-85.398,-7.12105,-7.695239381
1jao,-6.42129,-7.89,-8.220228782,-133.289,-8.47074,-8.17878225
1jfh,-5.16698,-6.52,-7.087356916,-89.354,-7.70666,-2.832179664
1jgl,-12.5862,-13.17,-10.45834149,-135.368,-9.05218,-12.01949419
1jlr,-6.81561,-8.91,-7.999180613,-91.823,-7.57498,-4.600565016
1jmf,-6.61524,-9.06,-7.861025507,-85.391,-6.84507,-7.971549592
1jmg,-6.86433,-10.46,-7.91628755,-87.909,-6.87591,-8.386014909
1jmi,-8.01662,-10.29,-8.068258166,-84.333,-6.92742,-8.372199398
1jn2,-3.03031,-3.35,-6.9353863,-33.255,-6.03081,-5.650543818
1jn4,-8.64679,-11.6,-8.897188799,-170.459,-7.92658,-6.838677726
1joc,-5.22919,-7.91,-7.349851617,-71.997,-5.9269,-6.382765878
1jqe,-8.72933,-8.12,-10.65175864,-133.373,-9.68652,-8.897188799
1jqy,-6.49605,-5.36,-8.66232512,-103.194,-8.78464,-6.797231195
1jt1,-3.38599,-4.19,-6.520920983,-32.808,-6.58524,-4.69727359
1jwt,-8.93559,-8.85,-9.809012496,-156.946,-10.7542,-10.84517579
1jyq,-8.73522,-13.6,-10.87280681,-200.581,-8.59044,-12.01949419
1jzs,-6.43981,-8.68,-8.883373289,-170.609,-7.73826,-9.118236968
1k1i,-7.90997,-9.71,-9.864274538,-125.143,-9.72494,-9.090605947
1k1j,-8.3493,-9.98,-10.11295373,-150.546,-9.8375,-10.43071047
1k1l,-8.23831,-10.39,-9.518886774,-135.943,-9.8772,-9.532702285
1k1m,-8.53232,-10.28,-9.670857391,-145.221,-10.2194,-10.22347781
1k1n,-7.18693,-10.75,-9.491255753,-143.188,-10.8074,-9.422178201
1k21,-8.04817,-10.63,-9.684672901,-141.273,-9.85673,-11.57739785
1k22,-9.02834,-11.43,-9.587964327,-178.119,-11.0648,-11.60502887
1k4h,-7.30595,-11.39,-8.316937356,-94.754,-7.17713,-7.059725895
1kav,-8.75202,-8.79,-10.04387618,-131.116,-7.45663,-8.040627145
1kc7,-4.56109,-7.39,-7.156434469,-41.959,-5.33921,-7.626161828
1kdk,-11.9065,-11.73,-10.45834149,-142.454,-10.1948,-12.50303705
1kel,-7.49124,-9.41,-8.759033694,-90.674,-7.59643,-10.05769169
1kjr,-6.38814,-8.51,-7.391298149,-103.543,-6.65276,-8.372199398
1kmy,-6.72004,-7.7,-8.855742268,-58.408,-8.26337,-7.045910385
1koj,-7.50123,-6.46,-8.068258166,-79.26,-7.59789,-9.256392074
1ksn,-10.0111,-12.98,-10.74846721,-182.626,-9.72591,-12.98657992
1kyv,-9.20061,-10.5,-9.532702285,-127.33,-7.71058,-8.17878225
1kzk,-12.118,-15.11,-12.94513339,-230.923,-12.3655,-14.35431547
1l6m,-2.85198,-4.21,-6.299872814,-25.266,-6.46644,-11.19056355
1l83,-4.97715,-5.75,-7.156434469,-45.24,-5.24142,-4.69727359
1lah,-6.13154,-8.17,-7.336036106,-64.804,-7.73741,-10.38926394
1lbf,-8.02945,-9.28,-9.353100648,-106.281,-7.84128,-10.84517579
1lee,-9.30759,-9.4,-12.11620276,-182.915,-10.0623,-10.69320517
1lf2,-9.21214,-9.37,-12.1714648,-181.135,-9.99563,-10.38926394
1lf9,-8.73548,-9.34,-9.878090049,-147.535,-8.72097,-16.57861267
1lgt,-7.51476,-7.35,-9.270207584,-63.225,-8.41247,-8.42746144
1lgw,-5.83444,-6.87,-7.197881001,-55.857,-6.15268,-5.526204223
1li2,-5.559,-7.24,-7.280774064,-49.01,-5.85479,-5.581466265
1li3,-5.63365,-6.29,-7.557084275,-51.591,-6.58333,-5.871591987
1li6,-3.78899,-6.03,-6.562367515,-42.666,-5.68676,-5.249894012
1lkk,-6.76233,-14.02,-8.496538993,-150.583,-8.01258,-9.463624732
1lkl,-6.75056,-11.4,-7.888656529,-139.184,-7.22864,-8.026811634
1lor,-9.51686,-12.76,-9.339285137,-118.085,-6.7173,-15.27995468
1lpg,-9.00274,-10.78,-10.16821577,-178.483,-10.4822,-9.795196986
1lpk,-9.6939,-10.9,-10.11295373,-168.366,-10.2108,-10.43071047
