PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy
1loq,16,270,0,11,10,0,120,145,2,8,10,0,0,0,1,6,-12.32007846,4.689650258,-10.51404055,-14.12156837,0,12.75375977,-31.22783943,8.566027548
2d3z,5,193,3,0,14,121,0,60,0,3,26,0,0,0,0,5,-85.40641516,-1.04285133,-4.94935023,-41.92965807,-1.816397379,73.86740313,-42.28284895,2.608503384
1tyr,0,99,0,8,0,0,91,0,0,0,17,0,0,0,0,5,22.47769045,2.583375084,0,-39.84089977,0,-12.14042412,-25.35280989,3.872369919
1mq6,3,277,0,8,60,0,34,178,1,2,36,0,1,1,0,8,-59.59796656,2.806553165,-0.739769465,-61.64737429,-1.806047249,101.239794,-72.21240523,5.041828386
1u1b,21,413,1,22,5,72,171,163,3,8,19,0,1,0,7,16,-108.3230996,10.17590823,-11.58950285,-19.69992233,-1.182939788,112.0067954,-65.29471324,11.22671594
2d3u,4,210,3,0,15,125,0,71,0,2,34,0,2,0,0,5,-82.05716915,-0.392470564,-3.009468117,-42.29071096,-3.351199469,72.06780108,-50.46985245,3.238505833
1g7f,27,439,9,1,17,62,22,355,3,17,26,0,0,0,3,16,-191.3104966,2.117841805,-15.74907514,-25.01202567,-1.003581201,178.8965951,-40.12827619,12.52249344
1fki,2,178,0,0,7,14,77,82,0,2,34,0,0,0,0,0,-19.83850935,-2.4869693,-0.554452529,-39.35121484,0,14.13484214,-45.19837256,5.571328011
1ftm,21,273,2,21,2,60,103,106,3,12,12,0,0,0,2,5,-65.85652597,1.360880269,-5.729594513,-19.63948634,-0.087014673,21.26078204,-24.52570113,1.936933293
1flr,9,262,0,7,18,0,138,108,1,5,40,0,7,1,0,3,-39.65817334,3.811500018,-4.217946148,-31.31954955,-6.578025495,27.17204942,-43.97391337,4.365180684
1u33,27,416,0,0,18,44,80,301,6,5,16,0,0,0,0,18,-70.37430107,4.229022854,-6.56911214,-36.24154971,0,76.10899766,-51.31865431,13.3512899
2d1o,23,354,3,20,60,62,28,204,9,2,26,0,0,0,1,20,-197.3629166,8.015270741,-5.409931159,-56.40908369,-8.60E-08,201.8000498,-56.84184225,10.03529791
1uwt,21,234,0,0,0,0,114,141,5,5,14,0,0,0,0,6,-48.18428068,4.773216919,-2.844772249,-16.92416043,0,17.88227424,-23.9750573,8.225739487
1b7h,25,412,3,47,33,101,153,100,9,6,21,2,0,0,3,19,-149.3375776,3.646070789,-9.951892236,-51.64262382,0,193.9305425,-58.79826492,14.34414366
1apw,15,316,0,3,38,2,99,189,5,6,19,0,0,0,0,15,-48.92475389,3.107992119,-3.841264972,-49.79801543,0,32.55835535,-67.91876075,11.28972545
1fd0,12,364,28,6,5,265,27,45,0,4,57,0,0,1,1,4,-40.00210847,3.515638516,-5.438639181,-74.99578736,-1.131312737,33.18431635,-67.8659816,6.052411948
1o3p,19,384,0,56,18,0,114,215,5,2,24,0,0,0,0,6,-256.2324266,4.166219153,-3.274292565,-26.78632229,-2.505577866,279.0071605,-43.64765726,5.737291023
1gpk,8,200,0,0,31,58,3,116,2,1,25,0,0,0,0,1,-23.02634082,0.696199401,-1.099579975,-37.95567323,-0.072746706,50.71311631,-43.57720649,1.248766756
1dhi,28,463,9,30,0,157,80,215,3,13,19,0,0,0,5,11,-97.75609487,-3.306811703,-16.91761224,-25.50781193,-0.954159994,68.28989602,-40.34476405,7.211127609
4tmn,14,323,0,15,0,99,84,139,3,6,34,0,1,0,5,14,134.8562809,14.62220052,-6.143682567,-42.17585488,-4.123249783,-55.56415852,-64.51445394,18.57674772
1rnt,21,339,0,4,28,0,131,197,3,12,17,0,1,0,2,7,-33.42826539,5.837158764,-16.03103997,-6.989250561,-2.143059819,12.51997061,-22.12511653,8.881279788
1zvx,16,274,4,14,23,82,27,140,0,8,27,1,2,0,5,7,90.29848863,10.05568559,-4.613956953,-34.25923734,-2.311446845,-65.45428279,-27.88956423,13.57622993
1bma,6,142,0,27,11,0,49,61,2,1,4,0,0,0,0,11,-98.13449878,5.368322298,-0.966487636,-37.38678942,-3.510337861,109.4664216,-54.88954544,13.70190155
1o0h,34,489,0,8,4,54,85,372,3,22,11,0,1,0,5,9,-213.7157039,9.93535705,-24.15556935,-7.590361881,-2.189818299,141.5051642,-14.75623782,13.94666773
2fdp,17,332,0,7,62,0,110,170,2,3,32,0,0,1,4,15,-91.03194646,4.701027192,-3.646820864,-58.82653464,-0.561720519,80.16993913,-76.54967234,7.46310772
1b8o,16,335,2,32,0,49,121,147,6,4,17,0,0,1,1,5,-141.214411,4.204866859,-5.123137478,-28.36719534,-1.350288761,102.3123745,-31.9912154,13.36769041
1if7,9,224,2,0,19,38,49,125,3,2,19,1,0,1,0,7,-9.350184611,3.690901948,-2.138318023,-27.67733431,-0.517814079,-1.16168164,-35.16303715,5.10464434
2flb,16,296,0,8,68,0,19,217,6,1,23,0,0,0,0,5,-203.3529207,5.057004269,-3.41382583,-15.67240985,-0.196309998,226.4439615,-35.7850874,9.316924102
1re8,17,524,0,43,25,18,248,207,4,4,49,1,1,0,2,9,-92.3964743,5.177366054,-3.794984644,-46.7474089,-0.510130236,60.02383687,-75.67152656,9.336836647
1vfn,8,164,0,28,0,0,81,63,2,3,9,0,0,0,0,0,-43.18728011,0.197599804,-2.021354481,-3.31271699,-0.4235402,22.53191983,-27.12660534,0.149823875
2b1v,2,176,10,0,0,147,0,21,2,1,18,0,0,1,0,4,-16.19917939,2.463746421,-1.730660912,-59.17887248,-0.45115628,18.52887894,-44.07585155,1.863257508
1olu,23,323,0,4,52,15,60,215,3,6,18,0,0,0,4,12,-13.76982976,6.363167175,-5.566780959,-23.43512344,0,-39.41845554,-35.31768334,7.146787071
2h3e,29,322,19,0,12,110,43,167,3,17,3,0,0,0,3,7,-161.4124739,4.555486225,-17.41014337,-9.760611412,0,146.6874678,-31.46046047,7.585953293
2rkm,20,287,2,21,30,65,97,92,4,2,19,0,0,0,3,14,-145.7899897,2.373076296,-5.787986313,0,0,140.4658065,-46.87546915,4.858041579
1om1,5,272,0,3,6,0,223,45,0,4,38,0,0,0,1,2,-41.71168225,2.699323149,-3.750664897,-39.37576901,-0.50320377,45.6359757,-43.61341799,5.048554052
1ols,19,307,0,3,39,4,75,205,2,7,15,0,0,0,5,12,1.96292549,5.980859431,-5.733919671,-24.43182736,-0.439014263,-27.49105276,-43.35883959,7.026008759
1d09,20,276,8,0,21,94,41,132,0,15,10,0,0,0,6,7,-224.6923616,2.752745177,-17.99027688,-11.01450154,0,225.1578848,-27.58219451,6.826252265
1q7a,4,203,0,0,22,63,0,122,0,3,28,1,2,1,0,6,-11.67565879,1.242795831,-1.158002509,-31.87571281,-0.601014796,33.75346025,-44.51268859,1.809100621
1elb,12,310,0,20,30,0,50,222,4,4,24,0,0,0,0,14,-102.211182,9.557843444,-1.90057005,-40.71180634,0,96.70557951,-46.86642581,20.93109167
1ela,17,338,0,0,67,0,14,274,5,1,14,0,0,0,0,11,-74.97346275,-1.406028652,-1.534877897,-31.5314399,-0.704226098,72.89918462,-47.63961303,7.437510899
1x1z,27,323,0,12,11,0,106,221,3,14,7,0,0,0,1,7,-45.88423203,4.97329823,-15.18391125,-11.54542422,0,38.15935515,-10.23216642,8.896064123
1sqa,15,278,0,12,67,0,27,187,7,0,13,1,0,1,1,8,-311.6135131,8.972809159,-10.08670201,-24.85324842,-0.491595524,335.3361672,-48.73605944,12.11451624
2cer,19,269,0,1,0,0,98,189,5,6,16,0,1,1,0,8,-59.64112444,0.029323561,-3.876512181,-28.08248913,-1.273292211,40.3049727,-39.86271315,12.01882298
1k9s,17,322,0,41,7,41,64,186,4,2,20,0,2,0,0,6,-66.01708658,5.045070894,-4.077911376,-28.72215727,-1.819505748,47.57668807,-38.3664918,8.970703646
2ceq,19,233,0,0,0,22,112,118,4,6,20,0,1,1,0,5,-61.34599747,-0.652626049,-3.437372256,-18.94908257,-0.512397184,15.90067206,-21.88188769,10.60578155
4tim,12,234,0,20,22,13,64,127,0,9,10,0,0,0,3,5,-156.4847901,2.998884239,-9.730296811,-9.4834784,0,161.9834576,-5.686744797,2.786713821
2cet,19,294,0,0,0,71,97,145,4,4,23,0,1,1,0,8,-43.65227214,1.203934854,-4.474823661,-27.60573471,-1.747400909,47.88170971,-41.11177274,12.90759229
5er1,10,274,0,16,31,4,99,134,5,1,23,0,0,0,4,19,-27.40120071,1.469021153,-2.239988558,-50.66606772,0,10.90111561,-58.5075262,8.695124396
1ppm,16,366,0,3,39,0,107,233,3,7,21,0,0,0,0,17,-7.644947929,3.912706995,-4.63823711,-49.61537463,-1.545653699,-1.064645582,-75.86332668,5.688368728
2usn,7,198,0,25,4,29,85,62,2,4,31,1,2,0,0,8,-29.39095108,4.27798336,-1.646328527,-27.12778817,-2.248710585,43.85329337,-46.32127562,8.767906292
1kv5,17,196,0,14,18,0,44,137,0,13,3,0,0,0,3,3,-204.7359887,3.744558948,-13.55736957,-4.06234301,0,202.2806957,-2.65777899,3.583285177
1y6q,14,312,0,22,21,38,66,179,6,2,27,0,2,0,2,6,-128.9876998,2.422967327,-6.56108934,-55.32785566,-1.237356171,116.0317097,-53.25419618,4.861360119
1jqd,19,379,3,0,49,52,22,272,5,6,15,0,0,0,1,11,-26.42033881,3.448380908,-6.069236288,-25.84084645,-0.005724394,8.032768427,-54.08723294,12.18447889
1kv1,6,225,0,3,15,62,109,42,3,1,23,0,0,0,0,3,-18.72694165,1.78243559,-2.25768233,-46.58695657,-0.023275623,19.01846902,-51.08830809,1.842675081
1hk4,8,241,36,0,0,210,0,3,2,2,18,0,1,0,4,7,49.16290147,0.029460992,-2.683006514,-36.109855,-1.587194541,-37.00200415,-54.96511476,1.785772974
1pr5,13,264,0,34,5,17,79,142,3,2,24,0,0,0,0,6,-32.45697932,7.89742333,-5.395883253,-23.12914741,-0.260504493,36.00301434,-33.36658298,7.969052399
2bok,14,305,0,31,36,0,52,200,4,4,38,2,0,0,0,7,-351.5468576,4.822225156,-8.238366164,-41.17119462,0,345.0193719,-56.96794355,7.783924184
1o3f,17,305,0,27,47,0,38,210,4,1,25,1,0,1,0,5,-227.0458076,2.791155943,-3.09392771,-24.8867951,-2.188356554,261.8542032,-35.76279389,6.5374723
1gni,4,204,4,0,0,166,0,38,0,3,42,0,0,0,3,15,135.631709,4.199173822,-7.254305866,-69.14942402,0,-125.9380248,-48.83275487,16.42988932
1ydt,11,337,0,28,18,0,161,141,2,2,34,1,0,0,2,8,3.29721496,1.562954063,-0.995071642,-39.30744467,-0.092299851,-14.45397357,-57.89601216,15.2935399
1fzk,37,683,2,0,0,399,129,190,8,15,64,1,1,0,0,25,-156.1610913,6.943947727,-7.842048989,-60.41074667,-3.966220658,104.1920924,-92.49718489,35.73262086
1jys,4,130,0,16,18,4,47,49,1,1,10,0,0,0,0,1,-12.7835222,1.592223771,-0.9655572,-4.22214663,-0.363350319,17.0988239,-24.25976558,1.271403796
2drc,12,354,3,41,0,169,95,58,2,5,26,0,0,0,3,11,-63.67365544,-2.90085712,-13.83683682,-26.09379183,-0.652850991,44.58140698,-42.93404215,4.118586912
1y1m,10,190,0,19,0,36,96,49,3,5,18,1,0,0,2,2,-34.01015403,2.457312189,-4.148862054,-17.4888301,0,19.1238467,-14.21440425,2.669219528
1bra,8,206,0,28,35,0,39,112,4,0,14,0,0,0,0,2,-297.8673487,1.740780786,-4.184750559,-12.43889723,-0.110350345,295.1885437,-20.37114863,1.779692728
1fcx,8,323,22,2,5,222,30,50,0,5,47,0,0,1,1,4,-44.18951734,1.864944563,-4.590620592,-79.80228078,-1.096576909,41.71403551,-67.82248517,3.786831745
1fcz,9,300,19,6,5,212,29,38,0,4,50,0,0,1,1,4,-39.44328836,1.178275484,-5.413368353,-76.44429108,-0.469390694,32.00598336,-67.18144945,1.740339868
2g94,20,445,0,23,66,1,111,264,5,12,37,0,0,0,0,20,-104.7144537,1.272510926,-5.062892118,-60.6936601,0,58.8174088,-91.44029808,20.77778617
1f5k,9,186,0,24,36,0,26,109,5,0,13,0,0,0,0,2,-216.5115426,1.99746623,-7.168098901,-11.47603264,0,207.8389718,-21.53599127,3.101894523
2hdq,7,116,0,0,4,0,15,104,0,6,15,0,1,0,2,1,-71.64465673,0.447012145,-10.27696034,-9.92197657,-1.194829125,68.11205228,-15.74428036,0.252257249
1pxo,16,216,0,2,0,0,96,134,3,4,10,0,0,0,1,3,-44.70394004,6.022248898,-6.245908803,-16.09811914,-4.13E-09,18.18003846,-22.43770936,5.502198972
10gs,17,347,4,14,7,62,64,213,4,8,28,0,1,0,2,14,-73.14971202,0.96260418,-5.532427862,-34.58096784,-0.75436815,49.66131634,-46.14511761,5.36429356
1e5a,0,53,0,0,0,2,51,0,0,1,4,0,0,0,0,1,-3.854513264,0.160875016,-0.131340722,-13.60026386,0,5.576084874,-12.61897929,0.133204683
1bcu,6,185,0,21,26,0,40,104,1,1,23,0,0,0,0,2,-4.730551415,4.050737676,-4.676895345,-21.89182631,0,76.47418701,-32.47218852,3.735511488
2ayr,11,368,15,0,0,285,0,79,1,3,40,0,0,2,1,9,-20.87110548,3.150428694,-1.90068249,-78.57111843,-1.522106686,12.05225522,-76.83834658,8.383254588
3pch,10,178,0,0,1,2,74,111,1,5,13,0,0,0,1,2,-74.70035772,0.621287857,-5.163179861,-22.10224334,-0.612282256,57.1766097,-18.65204437,0.590782006
1utp,6,185,0,11,22,0,18,140,2,0,12,0,0,0,1,5,-107.7332607,0.828570002,-0.9334826,-20.30653733,-0.271976375,144.1462482,-23.32440043,2.447604613
1v16,18,297,0,4,36,1,38,236,1,13,15,0,0,0,4,9,-43.23964359,4.438798475,-14.77227805,-27.63431048,0,84.54074891,-31.34010396,5.0542412
3pce,11,166,0,3,0,0,82,92,1,3,13,0,0,0,0,3,-61.09447826,0.192948564,-2.82165639,-16.36361093,-0.416635971,57.06003909,-14.95260794,1.756580292
1q8t,9,235,0,21,4,13,131,75,2,4,26,0,0,0,1,4,-44.28071972,4.755639793,-1.487581001,-36.08521952,-0.000123766,25.44689014,-44.63390908,3.73210683
1jaq,14,283,8,20,43,91,39,96,4,4,10,0,0,0,1,9,-52.43937548,3.892168918,-4.086953015,-18.49292312,0,54.76238732,-36.57394588,9.029694257
1zs0,13,268,5,8,28,78,35,127,1,7,29,1,2,0,4,7,118.8545472,3.501947965,-4.068015586,-33.70717952,-2.550002939,-67.77288714,-48.42030898,9.686617874
1m2q,8,271,0,6,7,1,139,126,1,3,26,0,0,0,0,3,-15.45046679,0.020944804,-1.975809112,-25.36983902,-0.093555028,4.37523073,-37.29609129,1.275870875
1p1q,21,268,2,21,2,56,110,98,3,11,15,0,0,0,2,5,-55.83626996,0.300928976,-5.456023472,-17.93295412,-0.095169851,20.22161427,-23.02881696,1.63851138
1det,20,280,0,5,28,0,67,200,3,8,15,0,2,0,0,7,3.691448695,1.022375544,-8.288605536,-6.157524252,-1.882121984,-32.40540291,-25.40755384,3.420492418
2std,3,191,3,0,0,51,48,92,1,1,31,0,0,1,0,4,-19.3535013,0.885606746,-0.478373648,-65.17341087,-0.577615741,8.258560838,-48.58684865,1.780184399
1nja,14,256,1,6,3,10,89,161,4,9,7,0,0,0,1,7,-20.5918427,4.113602858,-7.487099244,-12.51467576,-4.30E-06,6.695573538,-30.83875185,6.678524674
1jq9,10,360,43,0,33,168,0,126,3,0,23,0,0,0,1,24,-150.6232482,11.71261213,-4.58377171,-34.54805468,0,178.415495,-62.01819531,22.4249609
1nje,25,259,6,5,0,36,87,150,4,11,5,0,0,0,3,7,-41.38979582,2.882219938,-9.555748732,-11.01261798,-7.36E-05,17.66122704,-30.30785592,3.129266696
1tsy,18,254,4,6,0,24,97,141,3,9,4,0,0,0,2,6,-20.74351327,3.53578174,-8.656400945,-11.2378737,-2.10E-06,-6.022280201,-32.22738316,4.438200961
1fkb,17,316,0,1,32,15,86,199,3,6,35,0,0,0,0,9,-65.01774479,3.144790273,-2.945606605,-54.03619546,0,44.97499829,-69.13715241,7.877740587
1v2o,14,264,0,8,84,0,19,167,6,2,17,0,0,0,0,11,-327.1585681,-3.125978671,-8.762545889,-26.58802639,-0.108922473,327.2987161,-44.91468998,0.101566025
4er2,27,438,0,20,49,5,142,249,7,6,25,0,0,0,2,30,-75.32902822,8.563809616,-4.592510139,-64.11843971,0,45.62225426,-80.58973425,14.41868391
1fzj,45,780,24,0,0,408,111,282,10,17,44,0,0,1,1,32,-210.3186414,3.224732231,-11.44469821,-61.6663459,0.42406335,120.6596547,-99.16152245,13.99269649
1pz5,28,507,0,3,48,0,169,315,6,14,40,2,0,0,1,30,-107.4828884,5.394246133,-8.394895694,-47.54978563,-1.557069044,72.79350243,-77.2667299,18.93810078
3gss,29,456,5,15,10,49,40,366,5,12,34,0,1,0,2,19,-96.5282264,-3.321313744,-7.949892403,-36.07366626,-2.049320866,59.40200088,-39.30372765,16.4020345
1e1v,5,222,0,16,3,7,188,13,2,1,15,0,0,0,0,4,-12.60519695,2.335118579,-1.255644938,-20.24366023,-5.20E-05,14.90767725,-34.62497737,2.535281136
2bzz,46,594,0,19,0,51,191,379,2,23,27,1,2,0,5,22,-292.1493896,8.945334235,-23.92407318,-13.77571868,-3.268472564,238.9115879,-41.37926439,16.13224328
1nfy,9,291,0,32,28,0,89,151,2,1,33,0,0,1,0,6,-209.940738,0.918329355,-2.420978041,-37.07801488,-0.694937947,235.7306575,-56.20688933,11.81406795
1j16,8,198,0,23,33,0,43,107,4,0,19,0,0,0,0,2,-330.0957255,1.909746375,-7.036158065,-12.95100753,-0.203728329,324.3658814,-25.03064701,2.298175571
2cgr,10,271,0,0,32,0,159,90,2,4,39,0,1,3,1,6,-30.42419031,7.980696756,-7.829665807,-27.50042942,-2.540947167,16.72792913,-48.95098989,7.742836056
1is0,19,361,0,11,19,56,135,159,1,14,33,1,0,0,4,19,-347.5883643,4.201754549,-16.47978179,-30.11699671,-0.123424659,319.4768567,-40.85681009,11.45900106
2fzc,20,256,2,0,8,92,46,128,1,14,6,0,0,0,5,9,-204.2340699,3.004200797,-15.05387909,-12.87381479,0,178.1144088,-26.74936053,4.168041092
2bak,9,441,0,18,14,68,215,135,2,3,40,1,0,0,1,10,-25.53202099,3.71188138,-2.576397565,-82.00447324,-0.302905665,41.16632071,-101.3022767,4.097391668
2baj,6,312,2,7,18,88,122,81,2,3,29,0,0,0,0,4,-19.67567762,2.918173859,-1.724018982,-58.45273102,-0.447656719,16.95519395,-70.21221945,2.977211559
