PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
2vl4,15,190,0,0,0,17,90,98,6,2,20,2,0,0,2,5,-68.37251822,2.968799263,-6.038453348,-17.34441525,0,24.37009525,-21.68304122,4.846583895,-8.3
3su3,16,462,0,18,40,0,153,267,2,7,38,0,0,0,0,7,-44.81144107,0.067305965,-2.977785718,-54.72746551,-1.692448327,22.10215326,-82.90339546,16.30729259,-12.61
3gy4,11,201,0,8,51,0,21,132,6,0,13,0,0,0,0,3,-214.9747378,2.026488939,-9.071459541,-11.60145752,-0.562876957,219.9445582,-23.65712915,2.68913597,-7.05
2cbj,13,273,7,0,17,21,82,159,6,3,21,0,0,0,0,8,-44.89642522,2.200341517,-4.596212892,-26.53768623,-1.580903764,39.61527568,-50.32280842,9.405801765,-11.43
2obf,11,303,11,0,5,101,72,125,4,0,50,1,1,0,2,5,-77.01956181,-1.860124732,-1.962173923,-45.252545,-5.19956499,76.21975872,-54.4416559,9.183473229,-12.23
2yki,9,411,36,0,0,196,137,51,2,4,47,0,3,1,0,3,-46.55157082,1.546078354,-2.202105241,-54.50518944,-3.47158141,28.51593395,-69.49949629,5.806748559,-13.07
2v7a,6,325,0,32,21,3,198,77,2,5,33,0,0,0,1,6,-50.74812112,0.456380403,-1.980214593,-42.063733,-0.000194334,34.89832282,-58.69230941,2.53321942,-11.47
3nox,6,245,2,0,0,69,14,166,3,1,19,2,1,1,3,4,-127.2031667,3.670536317,-2.433158688,-38.2626933,-2.305403081,123.7045852,-46.96408936,4.329035953,-11.96
1w4o,18,264,0,32,0,48,133,69,2,12,7,0,0,0,4,6,-122.5770776,-0.00734655,-14.8549442,-6.358217661,-2.30E-07,94.439001,-31.0781081,6.96253901,-7.21
2xy9,27,388,4,12,0,175,55,169,5,7,29,0,0,0,9,16,20.519155,5.701257665,-8.996269978,-37.69911762,-1.348749641,84.72184207,-49.28197682,16.14798765,-12.7
3g2z,6,146,0,19,0,16,36,81,1,7,2,0,0,0,0,1,-37.28051768,1.839895703,-1.67299126,-6.02875591,-9.36E-07,22.62155902,-24.19910635,0.634868631,-3.26
2zjw,19,316,0,0,7,2,200,126,4,4,23,0,0,0,0,4,-46.07215307,0.113965973,-3.283862412,-29.24119366,-0.219804077,21.91036842,-36.23525595,2.495087182,-10.64
3ehy,8,214,2,8,23,55,27,107,1,4,18,0,0,0,5,5,92.96934534,1.80731403,-1.697083122,-20.29905651,-0.366543472,-38.25340117,-32.8804801,5.768150861,-8.08
1q8u,3,211,0,14,4,5,128,63,1,1,26,0,0,0,1,2,22.75954804,0.14174096,-1.087274941,-41.58489492,-0.001649112,-10.51033234,-49.99733827,1.289091776,-8.28
3g0w,4,266,15,0,1,217,0,37,1,0,18,0,0,1,0,3,-19.54564047,0.515827507,-0.673582319,-64.6622456,-0.550930129,19.02190367,-55.95163426,4.074172632,-13.15
3ge7,12,373,0,7,21,91,186,80,7,2,39,0,2,0,2,7,-32.16195025,4.832200517,-8.341386421,-41.80113461,-5.923194608,31.38152831,-63.70349599,6.190002726,-12.02
1oyt,13,367,0,38,31,0,64,247,5,1,40,0,0,0,0,5,-239.8502237,4.524695966,-8.067324935,-40.5029199,-0.264656884,258.2459284,-57.35107378,7.395940101,-10
2weg,10,174,0,0,18,8,51,107,2,1,10,0,0,0,0,2,3.050178593,0.413351807,-2.233449707,-9.86006862,-0.176377137,-15.63370238,-21.96591709,0.716271248,-8.98
1lbk,29,313,0,16,9,40,30,247,4,12,8,0,0,0,4,11,-32.40282781,2.477252227,-7.47950003,-14.05318027,0,-0.801691893,-26.23873912,4.22769347,-4.39
3bfu,16,261,3,19,2,66,87,100,3,10,14,1,0,0,2,4,-53.54735966,1.318377639,-5.261027312,-23.08072237,-0.140681239,18.17672679,-25.71538778,2.141864734,-8.66
1igj,3,206,0,0,15,0,115,79,1,0,26,0,0,0,0,7,-17.22444622,3.91271523,-0.46724499,-68.87849973,0,24.9055912,-49.92149695,4.698064111,-13.82
3ebp,10,274,5,0,9,56,0,214,3,3,55,0,4,0,0,5,-21.23504985,3.860414379,-1.39923296,-38.02544554,-7.48994491,11.98297291,-44.29899909,6.278384498,-8.16
3cft,3,123,0,10,0,0,105,11,0,1,16,0,0,0,1,2,-9.657661523,0.061116792,-0.96915761,-10.21065392,0,11.08445764,-18.27408266,0.179799842,-5.79
3fv1,24,364,9,24,5,96,164,90,5,9,26,0,0,0,4,7,-52.23889956,1.721281439,-9.244696192,-37.44784807,0,19.50684377,-33.2586919,7.252169343,-12.85
2pww,18,501,0,4,44,0,137,334,7,6,41,0,0,1,2,14,-189.8105244,2.694160745,-5.580056414,-54.71207458,-0.182153661,179.7086923,-77.74874805,30.97315935,-10.11
2hb1,12,204,9,0,5,45,5,152,0,10,16,0,0,0,3,4,-114.9574489,0.570752032,-10.82937898,-22.45436063,-0.399931188,109.1616723,-26.71777806,0.884560987,-5.25
