PDB,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
1b5j,29,476,2,46,40,103,193,121,9,7,36,0,0,0,1,19,-128.226873,3.639997639,-8.763604746,-11.36955342,-2.137808399,130.2941996,-65.10725547,10.08776353,-10.26492434
1b74,8,154,10,3,18,56,30,45,2,4,2,0,0,0,0,5,-8.82345696,1.274085123,-1.716978715,-7.84029531,-1.36E-06,6.835598897,-24.70415574,0.939970508,-1.796016373
1bap,12,191,0,0,2,56,18,127,3,4,10,0,0,0,0,4,-47.32447281,1.180790202,-5.199579838,-14.5704549,0,19.43716247,-18.13572898,7.297710507,-9.463624732
1bcd,8,134,0,2,3,0,91,46,1,1,1,1,0,0,1,2,-9.120547538,3.439990421,-3.178206179,-4.95056251,0,1.53778596,-15.51694786,1.251052996,-12.01949419
1bdq,4,281,0,9,30,0,104,142,5,1,34,0,0,0,0,15,-27.32901688,2.561983576,-2.629752746,-66.50846316,-1.244478714,46.08410521,-72.15502573,9.91436372,-8.759033694
1bgq,3,208,13,2,0,99,71,26,1,0,21,0,0,0,0,2,-33.38209506,-0.410652364,-2.008860171,-38.52541231,-0.199050093,21.26930267,-41.09949254,2.72893425,-11.83989255
1bhf,11,264,0,13,10,64,126,62,0,8,27,2,0,0,4,20,-335.5453527,6.828088849,-22.46509664,-31.00603728,-0.446139996,270.459006,-32.83655894,15.8424359,-6.051193624
1bwa,10,430,0,38,38,0,186,178,4,5,45,0,0,0,0,14,-44.46271961,-0.383463261,-4.107580259,-67.34004336,-6.63E-05,49.3779494,-96.51394227,13.01924728,-10.49978802
1bwb,12,492,0,42,39,0,240,183,4,5,48,1,0,0,0,14,-55.65530593,2.153386088,-4.880815876,-64.11103903,-1.490009818,57.50879924,-103.6278952,14.32800324,-11.63265989
1bxq,11,319,0,2,41,0,111,176,4,2,25,0,0,0,0,19,37.46541903,6.071016429,-4.991666341,-50.46174167,-0.033449097,-28.6111569,-82.45935608,10.71579502,-10.19584679
1c5c,8,218,0,0,5,0,99,122,0,7,29,0,1,1,3,3,-91.19134918,1.072922058,-10.57870955,-20.59003919,-1.446817309,75.86139812,-31.15909341,2.059450714,-9.615595348
1c5p,4,137,0,7,49,0,20,65,3,0,14,0,0,0,0,2,-226.5345621,1.028753346,-7.5434768,-12.11242209,-9.31E-07,236.2570431,-24.21548586,1.807260315,-6.465658941
1c5s,6,147,0,9,50,0,20,74,3,0,6,0,0,0,0,2,-203.1951306,1.904756375,-2.407869036,-20.61512202,-0.049973235,220.5494725,-24.90750075,2.679813862,-8.289306335
1c5t,7,152,0,19,32,0,35,73,3,1,10,0,0,0,0,2,-216.9567566,1.46694848,-2.725629523,-19.10914968,-0.250961902,205.1701754,-25.07036327,1.581959691,-5.664359329
1c5y,8,148,0,7,50,0,17,82,3,1,10,0,0,0,0,2,-207.1952356,2.192547546,-2.674893084,-18.86003201,-0.101882597,199.2133874,-21.47489125,2.195935535,-5.802514434
1c87,13,215,10,1,7,50,17,143,0,10,12,0,1,0,2,3,-142.5729488,3.732205915,-11.21561887,-21.52683545,-0.971328855,134.7589632,-35.88529899,2.65554524,-5.802514434
1cea,8,131,0,0,0,0,74,65,2,3,22,0,0,0,3,6,-70.98926638,1.743472215,-6.275186045,-19.22760172,0,60.84588942,-16.43459441,1.500682201,-6.852493237
1ceb,8,126,0,0,0,0,77,57,1,4,25,0,0,0,4,3,-88.08985337,0.918086366,-9.517910993,-24.44047437,0,69.94124841,-12.05189597,1.233738966,-8.289306335
1cil,8,153,0,0,16,13,31,101,2,1,3,0,0,0,0,4,-53.17809722,3.859253486,-3.088333787,-22.64833473,-0.734374624,38.57883058,-30.80144933,4.362034591,-13.02802646
1cim,11,196,0,0,40,6,49,112,3,2,8,0,0,0,1,3,-45.02214751,2.176838085,-3.271130028,-20.15363698,-0.761474485,24.26792202,-28.31475994,2.632804349,-12.18528031
1cin,9,183,0,0,12,10,70,100,1,2,7,0,0,0,0,3,-34.41079988,2.50053003,-2.908180428,-21.83937733,-0.412193531,16.14675737,-34.34308041,2.930136004,-12.06094072
1cny,10,199,0,0,9,50,66,84,2,1,10,1,0,1,0,16,-10.06540317,2.421866239,-2.382722064,-25.30992664,-3.043390992,-0.403371319,-37.31953195,5.0916007,-10.84517579
1d2e,24,344,36,2,25,168,32,105,2,13,15,0,0,0,1,9,-14.64707237,4.921820767,-19.91325389,-7.841012735,-0.002301495,-22.25466157,-32.50656447,10.10187426,-8.289306335
1d7i,2,67,0,0,4,15,15,35,0,1,9,0,0,0,0,2,-23.91955211,0.127850032,-0.482901786,-17.46317151,0,8.442771371,-18.42032553,0.046689085,-4.973583801
1dfo,12,370,0,1,38,1,66,276,5,4,30,0,1,0,3,11,-91.31258628,8.628130486,-10.92618224,-33.60535154,-1.252410412,76.83301654,-57.20339942,8.129511848,-9.256392074
1dif,12,462,0,22,51,0,135,266,6,2,53,1,0,0,0,21,-63.76318339,2.725971038,-4.624091171,-78.14152776,-4.471126365,67.76023077,-113.570037,25.81657806,-14.72733425
1dqn,14,283,11,50,6,33,168,29,3,7,13,0,1,0,0,7,-88.7600371,9.947425605,-15.01899554,-17.4019687,-1.232898744,86.69462302,-19.27246655,15.65254817,-11.05240845
1dqx,19,311,0,11,11,16,126,166,2,9,11,0,0,0,1,7,-117.9792729,3.620719671,-12.5380464,-14.79723774,-0.045658304,102.6386581,-26.11749635,4.496579585,-15.26613917
1drj,23,205,0,0,0,85,43,100,3,7,19,0,0,0,0,4,-45.73527766,1.214638708,-7.076307726,-16.37761467,0,15.26756074,-13.20907996,7.94020095,-10.22347781
1dud,14,235,18,33,0,46,124,28,2,11,14,0,0,0,1,7,-38.91335383,6.518929323,-11.98564231,-14.21807504,-0.000175717,27.15018274,-38.78275196,4.228080914,-6.659076089
1dy4,5,185,0,0,2,0,87,101,4,1,28,2,4,0,3,7,-325.675165,2.652745423,-2.590229816,-30.61096375,-10.97836259,390.4323496,-45.13258723,3.864652683,-6.023562603
1dzk,0,88,0,8,0,0,71,9,0,0,13,0,0,0,0,3,-2.330769972,0.119021763,-0.033797326,-29.95691825,-0.001051871,5.867383508,-30.9693442,0.813453251,-8.42746144
1e6q,14,189,0,0,0,0,103,100,5,4,11,0,1,0,0,5,-177.7108442,3.146771145,-4.976621895,-14.4241076,-1.615915757,102.5817703,-26.30527165,7.384850608,-4.351885826
1ec9,18,290,0,8,20,15,101,164,4,7,8,0,0,0,5,8,9.119918851,3.177306859,-10.63413407,-7.52260317,0,-0.846555149,-21.67469428,9.722037044,-4.282808273
1egh,15,169,9,8,12,79,51,25,0,10,3,0,0,0,3,3,-129.4822197,3.161055735,-14.53073449,-3.96383682,0,126.175325,-3.397379608,2.097929026,-7.874841018
1ejn,12,284,0,25,83,0,24,164,3,2,27,0,0,0,1,4,-228.6070326,4.067179353,-8.80041927,-41.44513237,-0.153862772,246.7906368,-49.62532428,5.029836068,-7.764316934
1ele,9,258,0,36,23,0,81,127,2,2,14,0,0,0,0,8,-28.82558686,0.219461534,-1.265717942,-28.58151384,-0.545312519,27.40801613,-48.26943007,4.433277429,-9.463624732
1elr,13,282,1,0,0,294,0,0,2,10,34,0,0,0,3,22,-350.933035,0.464083473,-21.5455964,-22.20586153,0,273.6745983,-41.71306588,16.61197109,-6.852493237
1epo,16,294,0,3,48,13,107,139,4,3,19,0,0,0,0,17,-52.97875573,2.504701373,-4.395095556,-55.21834469,0,81.6946747,-81.81917754,10.43595524,-10.9971464
1f0s,2,189,0,22,39,0,34,96,1,0,37,0,2,1,0,5,-57.4352505,6.013737757,-0.491252139,-38.43796596,-5.564108411,86.4640418,-49.66860747,7.65779441,-10.69320517
1f0t,7,209,0,11,70,0,23,112,4,1,21,0,0,0,0,8,-310.9929708,4.726956641,-8.569433678,-30.64963324,-0.394237079,297.3765206,-41.36584399,6.217739909,-8.289306335
1f2o,5,126,0,0,12,0,16,103,4,0,4,0,0,0,0,4,2.86437211,-0.214284521,-2.462025678,-17.18130316,0,35.28763021,-19.65268805,1.889971511,-2.638762517
1f3e,11,202,0,10,16,65,66,56,2,1,26,0,2,0,0,2,-35.01265953,2.026737916,-3.907531404,-16.11575835,-3.617728822,22.55761348,-32.32400989,1.92273992,-9.256392074
1f5l,12,235,0,34,60,0,42,111,4,0,10,0,0,0,1,3,-208.3999238,3.542824114,-8.321132787,-14.5487358,-1.05E-08,197.2355413,-28.58123901,4.562531313,-7.294589575
1f9g,6,114,1,0,0,67,0,52,1,4,7,0,0,0,0,6,-19.64005396,-0.646752424,-2.292111546,-10.67138368,0,16.17373893,-16.9243175,0.754854909,-1.768385351
1fao,23,296,0,0,20,0,231,68,0,13,2,0,0,0,8,10,-546.1087006,7.858074642,-38.43445741,-5.652436053,0,544.992286,5.305528879,6.887625271,-10.18203128
1fcy,6,294,18,6,5,213,27,31,0,4,48,0,0,1,1,3,-41.36196853,0.546728416,-5.452115531,-76.52891837,-1.660242326,33.55871859,-69.24263066,1.728760116,-11.770815
1fdq,4,194,5,3,2,46,101,41,0,2,29,0,0,0,2,14,-39.24382549,2.366333424,-6.003361305,-67.74447777,0,38.81705514,-53.27410341,8.380521783,-10.04387618
1fhd,11,236,0,0,1,0,49,197,1,5,13,0,1,1,0,7,-47.22947295,-0.414460845,-5.028500756,-20.30336096,-3.470545952,42.03153001,-35.60296828,8.629259603,-9.422178201
1fiv,16,508,0,44,53,0,167,260,7,5,55,2,0,0,0,23,-87.47084365,6.042335902,-7.84738453,-81.10968073,-6.352245115,87.82785715,-106.6836363,35.22941865,-9.104421458
1fj4,2,141,0,11,17,0,27,88,0,2,28,0,0,0,0,3,-15.67158242,0.600265475,-0.700975922,-43.53634818,0,15.63030817,-42.54922204,0.959337218,-6.341319346
1fjs,8,252,0,12,75,0,17,156,3,0,41,0,0,1,0,11,-99.37416328,-0.472355241,-9.389112958,-30.96604425,-0.707451443,125.5406377,-50.84783434,17.14549881,-13.76024852
1fkf,9,277,0,1,24,13,89,159,2,2,42,0,0,0,0,10,-50.38103949,-0.023809243,-2.523365185,-62.28501165,0,33.94919791,-75.16577767,9.565658001,-12.98657992
1fkg,3,184,0,0,13,13,58,103,0,2,32,0,0,0,0,10,-23.98331764,2.817581084,-0.562231824,-48.13915055,-0.803009076,19.31605727,-50.65285055,8.678581447,-11.05240845
1fkh,1,146,0,0,3,7,55,82,0,1,31,0,0,1,0,10,-24.6074273,2.660696281,-0.816412826,-41.26014354,-0.317787376,19.79316361,-46.85579378,5.711864638,-11.2596411
1fl3,1,244,0,1,29,0,137,78,0,1,62,0,2,2,0,7,-67.87707917,5.730782049,-2.83290948,-51.90807957,-4.944175822,67.39579828,-53.83832567,4.059746422,-9.394547179
1fm9,6,381,25,1,2,248,62,49,1,4,72,0,1,1,2,12,35.13365674,-0.866852053,-1.577945148,-65.72814818,-2.224089828,-40.91223389,-74.91651791,26.72120109,-12.4339595
1fo0,35,758,6,0,19,492,172,104,8,14,72,0,0,0,1,32,-145.1914738,11.421685,-11.33151316,-77.11204264,-1.924532973,104.185038,-125.0612671,17.99743048,-7.722870402
1fq5,17,396,0,16,53,0,129,215,4,4,37,0,0,0,0,11,-74.43542068,-1.76663726,-3.500299233,-72.95997213,-1.421747855,74.8294767,-93.98786426,17.46728029,-11.60502887
1fv0,3,266,7,0,39,96,0,127,1,1,26,0,0,0,0,4,70.47864018,3.196734566,-1.912629087,-25.18203248,-0.306999942,-21.90150808,-50.7817667,4.727955506,-8.192597761
1fwv,5,154,0,0,24,0,24,111,3,4,7,0,0,0,0,17,-36.16245133,-0.802933757,-4.866025254,-14.52528319,0,18.27077208,-22.1744459,8.797567644,-5.139369928
1fzq,16,331,32,4,24,86,28,173,2,11,13,0,0,0,2,9,-149.7059553,4.544579761,-19.13729889,-6.060479608,-0.000426762,125.1309051,-22.64282241,6.05428714,-10.52741905
1g1d,7,199,0,0,25,21,31,129,3,1,16,0,0,0,1,5,-6.208294381,0.101732409,-2.152169794,-20.37994155,-0.844193894,-1.333840184,-31.8677651,2.481430864,-13.04184197
1g2k,7,420,0,15,47,0,147,218,2,3,43,0,0,0,0,13,3.978753191,5.959159837,-3.207492625,-62.29318734,-0.769308262,10.07868644,-92.71224702,11.6573855,-10.9971464
1g2l,9,319,0,43,45,0,79,161,4,1,58,0,2,2,0,13,-196.7592907,4.359441313,-8.630918614,-44.49466969,-3.231114734,204.4181816,-59.14188926,7.724087547,-10.00242964
1g2o,11,286,0,42,0,50,109,96,6,1,21,0,0,1,0,5,-106.228594,4.628937812,-2.419256433,-30.38137851,-0.529252539,90.10553863,-41.25453166,8.275204214,-14.57536364
1g35,8,376,0,21,45,0,125,193,2,3,35,0,0,0,0,16,4.829967756,5.787317392,-3.632518086,-63.52701359,-0.224744655,5.074648089,-91.76150078,10.07519232,-11.24582559
1g36,6,252,0,33,45,0,75,105,3,0,39,0,0,3,0,7,-232.284863,3.222484808,-7.707797879,-32.02389074,-1.477101508,256.0961347,-51.05499671,7.4540444,-9.90572107
1g3b,11,193,0,9,55,0,26,114,4,0,14,0,0,0,1,6,-157.5878779,6.150576187,-8.770289449,-14.58525671,0,202.911057,-29.83328955,3.16471109,-7.93010306
1g3d,10,163,0,11,46,0,18,98,3,0,16,0,0,0,1,6,-151.6021591,3.427646976,-7.702661403,-15.55990965,0,189.2229968,-30.43047736,5.858467015,-7.66760836
1g3e,10,178,0,9,60,0,21,98,4,0,24,0,0,0,0,6,-142.2847583,2.798608646,-9.214959385,-15.88149403,-0.036463728,167.6706779,-30.74071624,-1.697815069,-7.43274468
1g45,9,173,0,0,19,0,54,109,1,2,11,0,0,0,1,5,-6.652654672,0.935315894,-2.052449044,-18.13168072,-0.65384323,-3.453292756,-31.39514897,2.190056544,-11.93660112
1g46,8,199,0,0,19,11,42,135,3,1,20,0,0,0,0,5,-9.32707739,1.86693546,-2.209336937,-17.96872082,-2.53E-05,-0.681209225,-21.77235782,5.702232898,-12.15764929
1g48,7,195,0,0,24,15,25,138,3,1,18,0,0,0,1,5,-21.37358229,0.060236972,-2.538695127,-18.57714821,-0.540908702,6.832068263,-31.08603996,4.388000142,-11.61884438
1g4j,8,197,0,0,22,14,28,141,3,1,11,0,0,0,1,5,-5.342114647,1.118416424,-2.111072256,-17.45737241,-0.645631865,-2.150456576,-28.47868882,4.512280249,-12.01949419
1g4o,8,191,0,0,23,10,36,130,3,1,19,0,0,0,1,5,-10.49493927,-0.435560084,-2.149652332,-18.83013212,-0.385214278,5.842368957,-30.13104973,2.116775627,-11.39779621
1g52,8,216,0,0,19,22,49,134,3,1,22,0,0,0,0,5,4.10778971,0.31085552,-1.952689685,-20.92420984,-0.548980208,-10.85413365,-30.04230593,3.384874546,-13.17999707
1g53,8,179,0,0,19,21,23,124,2,1,9,0,0,1,1,5,-17.93108935,1.509453093,-2.610097914,-16.91318771,-0.003526846,2.306127322,-28.54506278,3.807968653,-12.48922154
1g54,9,219,1,0,19,43,45,120,3,1,11,0,0,1,0,5,5.122065038,1.178818352,-1.775155232,-15.41493385,-0.578143781,-10.27751884,-29.09498696,4.414810557,-12.18528031
1g7g,19,312,7,0,14,43,6,261,2,8,29,0,1,0,4,19,-201.5818626,8.864744567,-18.04090937,-38.38476744,-0.728265265,187.1970025,-53.82010946,16.46098897,-9.118236968
1g7v,18,310,0,2,33,22,58,213,0,11,10,0,0,0,5,16,-253.3847944,8.188908152,-18.37459098,-19.8295696,0,252.2916608,-35.06122847,11.13367874,-8.841926757
1g85,3,77,0,3,0,0,70,7,0,0,6,0,0,0,0,6,-1.781609011,0.854504102,0,-35.73416657,0,7.227933579,-29.33600787,0.839202706,-7.570899786
1g98,19,235,0,6,41,63,14,130,1,11,1,0,0,0,2,9,-258.6188839,6.155893547,-16.65907481,-12.30583629,0,255.2692216,-6.215114375,15.84822004,-7.874841018
1gaf,7,218,0,3,23,0,90,109,0,6,37,0,1,0,2,8,-67.86297165,-1.155104613,-6.556815811,-22.73174229,-0.913848836,59.88654332,-34.03857505,1.308683065,-11.05240845
1gah,20,361,0,0,52,64,42,223,9,4,29,0,0,0,1,22,-233.9488804,7.8503005,-8.643936127,-49.67710827,0,167.3616708,-52.45940522,22.24433754,-16.57861267
1gai,21,348,0,0,52,65,42,210,9,4,29,0,0,0,1,22,-250.8897134,15.01489978,-9.142277438,-49.34682132,0,174.1160097,-55.9134013,26.6872769,-11.05240845
1gcz,5,236,0,17,10,0,98,116,1,1,37,0,0,1,0,4,-20.62853678,1.497578066,-0.967230025,-32.05015199,-0.521632724,14.02999801,-39.38614406,1.509171183,-7.087356916
1ghz,6,204,0,18,46,0,38,108,3,0,22,0,0,0,0,4,-230.5632785,5.063280309,-3.592655563,-14.2563139,-1.817565935,213.9456637,-26.01599067,9.959673159,-6.631445068
1gi1,8,198,0,10,58,0,15,123,3,0,17,0,0,0,0,4,-243.5835639,1.456174106,-3.677433856,-14.69180589,-5.292801698,242.1675831,-30.5541663,2.526767572,-7.557084275
1gi4,10,229,0,29,48,0,39,123,3,0,29,0,0,0,0,4,-227.8237591,4.522311018,-2.942151159,-15.96515681,-0.219103366,291.9049016,-26.46588864,7.340525809,-9.933352091
1gi6,6,202,0,5,57,0,19,127,3,0,13,0,0,0,0,4,-227.9961878,2.132121334,-3.098149375,-16.67797343,-0.305840814,251.5509994,-32.49695198,4.058595079,-8.593247567
1gi7,9,238,0,32,61,0,37,117,5,0,26,0,0,0,0,4,-222.1833009,7.652876185,-3.492933648,-14.59837145,-0.405651042,210.4515306,-24.34458435,11.74757066,-6.230795262
1gi8,4,167,0,6,50,0,22,93,2,0,12,0,0,0,0,4,-219.0117206,3.172054169,-3.434854511,-13.79339342,-1.550968172,239.1121024,-30.39265087,10.41457494,-6.976832832
1gi9,5,185,0,6,59,0,18,107,3,1,17,0,0,0,0,5,-240.8862274,4.35203266,-3.580934903,-15.33933336,-0.319073498,255.3287945,-30.33314501,11.56852159,-7.211696511
1gj6,9,252,0,36,46,0,52,127,4,1,26,1,0,0,0,5,-201.4937503,2.790585843,-2.610929836,-34.29030982,-1.688105125,237.2562553,-42.82248721,5.832288679,-9.670857391
1gj7,11,225,0,20,50,0,35,131,3,1,21,1,0,1,0,5,-210.4208796,4.699083826,-2.910531862,-32.62633264,-0.826385744,256.1100936,-46.53096704,6.889807295,-10.90043783
1gj8,5,218,0,7,66,0,28,122,3,1,19,0,0,0,0,7,-211.3414576,3.772374561,-3.647324863,-24.36111772,-0.42044527,272.8088864,-43.70663307,13.12607528,-9.615595348
1gja,14,236,0,10,63,0,23,154,5,2,18,1,0,1,0,5,-222.6549346,6.808563378,-8.377324901,-18.9809595,-0.891957885,224.0675716,-36.63720063,13.68770267,-7.488006722
1gjb,7,200,0,5,54,0,28,120,2,1,16,1,0,1,0,5,-227.1367797,4.663072127,-3.65004039,-22.94530472,-0.727861875,260.517386,-37.51351517,13.07421532,-8.772849204
1gjc,5,199,0,6,53,0,29,116,2,1,14,1,0,1,0,5,-225.0579292,4.436116534,-3.615578805,-21.79727285,-0.392363028,267.9140336,-36.18990728,13.52778244,-8.772849204
1gjd,8,202,0,30,33,0,38,109,3,0,16,0,0,0,0,5,-209.8060285,3.414077954,-7.806657914,-28.04500831,-2.344024783,229.4656693,-43.80204195,4.709016425,-7.211696511
1gnm,21,382,0,30,39,0,164,170,8,4,22,0,0,0,1,20,-59.66478859,3.901203571,-10.30779002,-64.38536499,0,58.08475945,-77.21105158,10.15675285,-8.634694099
1gnn,17,393,0,33,56,0,143,178,7,3,16,0,0,0,0,20,-53.81291237,3.268626646,-8.370853573,-56.26079523,0,33.41566925,-69.17282489,15.0824747,-7.847209997
1gno,15,353,0,25,42,0,140,161,5,2,18,0,0,0,0,20,-63.49393716,10.28960121,-7.866797859,-56.97542938,0,31.02710687,-64.81717905,14.8199009,-10.63794313
1gny,13,171,0,0,13,0,63,108,4,3,13,0,0,0,0,20,-110.4124162,5.622424853,-7.179985957,-25.29341354,0,54.66590741,-33.16194523,12.70959809,-5.719621371
1grp,14,135,0,0,0,52,54,43,0,8,1,0,0,0,8,6,143.0591987,4.64309557,-18.85462803,-6.28804273,0,-95.08934468,-18.6666783,7.26384423,-5.139369928
1gt1,1,142,0,0,0,0,125,18,0,0,20,1,2,1,0,1,-5.319031563,1.366328007,0,-28.45941751,-7.131738176,14.06816059,-34.27375138,0.965587339,-8.289306335
1gu1,16,201,0,4,23,6,51,133,3,6,10,0,0,0,0,4,-23.79736518,-0.377032331,-6.422122504,-20.63091988,0,7.345019281,-24.45277221,4.443941618,-6.244610772
1gyx,4,102,0,11,0,5,60,30,0,3,21,0,1,1,1,1,-14.67757973,0.351972025,-6.067000593,-11.66201924,-2.006302331,0.866913524,-16.98858008,0.255788193,-3.426246618
1gyy,3,138,0,9,9,11,43,69,0,3,29,0,0,1,1,3,-23.08520234,1.246121558,-8.290460609,-18.28517022,-0.786180056,-2.806019333,-17.65650661,2.031078512,-5.028845843
1gz3,13,345,20,26,26,51,73,162,0,7,15,0,0,0,2,11,-115.2376978,5.783331678,-15.41763264,-9.733795252,0,138.3329893,-44.23620988,13.79858862,-5.111738906
1gz9,14,254,0,5,16,0,33,214,3,3,15,0,0,0,0,16,-122.866477,1.242931371,-6.115483016,-27.28641672,0,56.27211121,-28.44189539,12.16461139,-4.849244206
1gzc,10,186,0,5,11,0,36,144,3,2,10,0,0,0,0,12,-96.22325147,-0.302099854,-4.697149245,-19.81504806,0,41.36194575,-18.86211413,5.491220764,-4.821613185
1h0a,21,225,0,0,6,158,0,82,0,13,0,0,0,0,9,9,-479.457749,5.899180126,-40.18668885,-4.530236778,0,459.6991129,6.168058368,12.72355148,-7.515637744
1h1h,8,123,0,0,8,30,28,65,0,5,1,0,0,0,4,8,-287.1405987,2.285596899,-18.98878606,-1.236659935,-0.418481955,285.9395508,-12.60102996,4.091077693,-7.211696511
1h2t,24,549,0,14,31,2,145,381,5,11,56,0,4,0,1,18,-80.73216951,6.028284154,-15.42694805,-27.76883639,-10.44741699,76.18599622,-62.26827395,11.58498024,-10.90043783
1h46,0,154,0,0,2,0,28,124,0,0,34,1,3,0,0,6,-6.556569352,6.095440886,-0.345149994,-28.28176139,-11.77654926,105.1737776,-50.25878623,4.619980169,-4.932137269
1h6h,14,251,11,1,22,108,32,91,1,8,7,0,0,0,3,20,-162.0781131,4.44531852,-20.48884113,-16.29339562,0,144.8644547,-18.1040468,9.720655106,-7.322220596
1h9z,0,218,1,0,15,164,0,38,0,0,40,0,0,1,0,5,-21.51926768,0.219876312,-0.753518853,-35.24351346,-0.81046332,36.21879578,-49.82571311,0.815458023,-7.488006722
