PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
2x8z,14,152,0,1.2,0,48.19,7.83,42.77,0,5,6,0,0,0,3,3,395.7860142,1.570511573,-5.470461508,-15.57100298,0,-340.6182209,-26.04281751,4.122680988,-11
2xb8,27,467,0,0.61,14.37,0,12.15,72.87,4,6,39,0,1,0,0,7,-44.43568805,-0.443254995,-5.799307909,-37.92140357,-2.516986447,34.86038665,-45.61911378,6.692812452,-10.49
2xy9,33,531,1.42,4.43,0,59.57,23.05,11.52,5,5,29,0,2,0,9,16,51.55791871,5.616386485,-7.583467363,-39.92810407,-2.364040723,44.01862495,-58.3626317,13.80301972,-12.7
2y5h,8,461,0,7.89,11.94,10.66,23.67,45.84,0,1,43,2,0,0,0,6,-161.2160358,6.211934459,-0.40399709,-61.73649243,-2.42E-05,199.5643401,-69.44484104,7.374437974,-8
2yki,19,549,9.86,0.53,0.18,53.87,33.63,1.94,2,3,49,0,2,2,0,3,-45.70409902,2.5503474,-1.80549294,-55.80629561,-2.756524433,27.42437488,-66.68681352,6.109243684,-13.07
2ymd,20,359,0,8.18,7.12,0,39.31,45.38,5,1,27,4,0,1,0,4,-176.5148309,5.834069942,-1.114506557,-36.70618019,-0.255752243,193.1209764,-28.08373344,6.089962046,-4.37
2zcr,26,494,7.5,0,0,85.19,0,7.31,0,5,32,0,0,0,6,10,118.8479096,5.640831192,-4.254617689,-49.39519797,-0.273970979,-64.42476564,-55.22775284,6.172730045,-9.49
2zjw,8,264,0,2.57,5.15,0,86.03,6.25,1,3,20,0,0,0,0,4,-23.87099447,3.579825121,-1.085936053,-33.77388687,-0.53004342,21.17300705,-41.33888985,2.511585438,-10.64
2zx6,16,474,0,0.2,1.84,4.49,37.76,55.71,3,2,30,1,0,0,2,7,-94.75454781,2.624492456,-3.547687698,-34.13599903,-4.91330126,84.17030631,-46.83067732,11.46083948,-14.64
3b3s,11,200,0,0,5.69,0,13.27,81.04,2,0,14,0,0,0,0,4,4.873650811,-1.30411288,-2.606790802,-16.50062799,0,33.62435274,-24.80955607,-0.440681964,-3.52
3bfu,12,288,1.33,6,1.33,26.33,33.33,31.67,3,6,15,1,0,0,2,4,-37.66956786,1.283790606,-4.65566266,-24.75228336,-0.10795397,19.0417456,-33.32025177,1.277298598,-8.66
3bpc,24,273,0,0,6.4,0,64.98,28.62,3,10,7,0,0,0,2,15,-96.40728807,0.229936989,-13.38376369,-12.12665189,0,92.40379927,-23.18542503,11.11745734,-6.63
3cft,8,182,0,16.84,0,0,83.16,0,0,1,15,0,0,0,1,2,-8.363849927,0.157894001,-2.384816063,-10.28089143,0,12.71127296,-18.61412128,0.603014868,-5.79
3cyx,46,875,0,6.84,9.66,0,38.44,45.06,3,2,54,0,0,0,2,14,-9.084421906,3.383186296,-4.641724871,-80.03034351,-0.095363544,13.47001849,-91.0621845,12.57346384,-11.05
3d4z,16,263,0,0,5.38,0,5.02,89.61,6,1,14,0,1,0,0,5,0.452803163,0.206902502,-4.494397415,-17.59326298,-1.397145168,-20.04056731,-25.54448173,4.189194941,-6.76
3ebp,8,324,2.71,0,8.13,21.39,0,67.77,2,0,55,0,4,0,1,5,-7.544825639,5.935496622,-0.487400397,-42.06003301,-7.020372633,14.68882701,-49.49714902,9.843394046,-8.16
3ehy,12,263,2.91,6.55,9.82,34.91,17.09,28.73,0,2,13,2,1,0,5,5,80.18100196,0.057805137,-0.501335969,-19.73281018,-0.504190465,-53.89737813,-34.84391136,2.845911138,-8.08
3f3e,16,294,21.29,0,5.81,65.16,0,7.74,4,2,12,0,0,0,0,4,-13.18018766,1.23849731,-1.495137561,-23.9756047,0,35.32014906,-23.30193079,1.757384748,-10.64
3f80,12,228,0,0,8.33,5,0.42,86.25,1,3,11,0,0,0,2,7,4.936896553,0.069035645,-2.253536952,-12.53094227,0,33.86593344,-25.86297133,1.657617862,-5.83
3fv1,34,524,2.87,5.2,1.61,19.89,45.34,25.09,5,9,26,0,0,0,4,7,-45.31054083,1.56880987,-7.548870828,-38.49029859,0,15.02009458,-34.79051479,4.705770072,-12.85
3g0w,24,412,7.11,0,0.23,83.49,0,9.17,1,1,19,0,0,1,0,3,-24.31317086,1.058937532,-0.975472368,-65.74276007,-0.467468639,19.75354099,-55.75195646,4.151538922,-13.15
3g2z,9,155,0,10.37,1.22,13.41,26.83,48.17,1,1,10,0,0,0,0,1,-23.32087297,1.572074502,-0.869212101,-8.08291862,-0.679687858,15.06323754,-25.22783772,1.328409064,-3.26
3gcs,12,533,0,4.04,4.77,24.95,45.32,20.92,3,1,47,1,0,0,0,6,-17.07243767,0.284018481,-2.341902805,-49.49052286,-0.316358165,20.73124718,-64.57836368,3.364698258,-10.02
3ge7,24,509,0,3.94,6.19,24.2,47.65,18.01,5,1,37,0,2,0,2,7,-31.68542617,3.635198444,-8.430225174,-41.72249834,-6.423931515,32.46424675,-59.59861962,3.607016514,-12.02
3gy4,15,253,0,5.22,33.21,0,14.18,47.39,5,1,17,0,0,0,0,3,-208.4752325,3.309939908,-8.102958077,-12.20929937,-0.707228108,198.3946611,-20.66774351,3.944873226,-7.05
3i3b,12,256,0,0,0.37,0,26.49,73.13,1,1,12,0,0,0,0,5,-16.24522471,-0.498393301,-1.547846312,-15.4263786,0,65.01891205,-26.6850522,3.909565988,-3.08
3imc,17,278,4.75,3.05,13.22,23.05,11.86,44.07,0,1,21,1,0,1,0,1,-7.380179928,0.605038887,-0.437731563,-19.3610688,-0.775211273,4.805913503,-29.27068193,0.8576174,-4.09
3jvs,12,388,0.25,0,26,5.5,0,68.25,2,0,32,0,0,0,0,5,-14.53854573,1.506125839,-0.521002039,-30.70621831,-0.150815958,7.466937026,-41.31997816,7.385524618,-9.04
3myg,11,461,0,5.51,9.53,4.03,59.75,21.19,2,2,28,0,0,0,0,9,-24.24795273,1.750790982,-2.880071433,-40.01484486,-0.000488901,25.29859442,-54.9462566,4.929039936,-14.78
3nox,13,293,2.29,0.65,0,37.91,18.3,40.85,3,0,14,2,1,1,3,4,-112.8640656,2.858906888,-2.292615076,-37.04570497,-2.651960282,111.1377269,-40.9610622,3.747649157,-11.96
3nw9,23,634,0,1.52,12.02,7.91,11.87,66.67,3,4,39,0,0,4,0,10,-47.16071249,3.013362057,-4.813273677,-50.90219308,-2.766997016,65.10244058,-75.46549156,14.03364738,-12.43
3su3,19,622,0,6.86,11.08,0,39.78,42.28,2,3,33,0,0,0,0,7,-12.5022052,0.979716782,-1.400072861,-56.1723343,-2.011679597,6.777767425,-74.24240133,11.87552021,-12.61
3u9q,20,355,6.67,0,3.2,70.13,0,20,0,4,21,0,0,0,2,8,-0.285653601,3.029404323,-3.323307772,-43.01222139,0,2.101689842,-35.17122391,3.515783697,-9.16
3udh,10,226,0,0.42,13.56,0,58.9,27.12,3,0,20,1,1,0,2,0,-107.9359659,1.949565427,-2.312043211,-20.59792198,-0.853455074,95.62831434,-24.82934337,2.078030356,-3.94
3uex,28,545,0,0,1.4,0,90.05,8.55,0,1,35,0,0,0,2,16,78.49472234,1.880223442,-4.523927664,-81.07073834,0,-60.44049763,-46.29147229,2.364997699,-9.56
3zsx,23,358,6.04,0,13.65,58.27,0,22.05,1,4,25,0,0,0,1,10,-46.38015005,0.972972346,-3.959974433,-30.01924435,-0.65118855,43.66477328,-42.81556938,8.696020387,-4.53
