PDB,VINA,GlideSP,HMS,DSX,RFScore,Experimental
1ppm,-8.65787,-11.82,-11.52213581,-182.61,-11.19157331,-8.012996124
1pr5,-7.32368,-7.52,-8.040627145,-97.633,-8.118181802,-5.415680139
1pxo,-6.08506,-8.89,-7.722870402,-68.952,-7.11962059,-12.01949419
1pz5,-6.22445,-11.5,-8.634694099,-169.142,-10.46165216,-7.460375701
1q7a,-7.86452,-4.41,-9.463624732,-108.963,-9.166750291,-9.933352091
1q8t,-7.38045,-8.07,-8.330752866,-93.92,-8.725060094,-6.576183026
1re8,-12.42246,-13.76,-11.95041663,-175.368,-10.32864968,-13.15236605
1rnt,-6.98398,-11.62,-8.565616546,-112.151,-7.308597804,-7.17024998
1s39,-7.08933,-9.58,-8.012996124,-70.376,-7.644238219,-10.63794313
1sl3,-10.5618,-11.77,-10.40307945,-187.62,-11.39994885,-16.37138001
1slg,-5.08363,-9.18,-8.634694099,-109.76,-8.819830965,-5.388049118
1sqa,-7.41353,-9.07,-9.132052479,-136.38,-9.777990759,-12.72408522
1sv3,-4.95407,-6.08,-7.363667127,-56.699,-6.059989675,-6.548552004
1syh,-9.26436,-10.53,-8.993897373,-117.035,-8.525126804,-8.717587162
1tmn,-6.33794,-3.89,-9.864274538,-126.828,-10.09217654,-10.08532271
1trd,-5.06173,-6.81,-7.43274468,-66.698,-8.178939164,-7.460375701
1tsy,-6.68703,-8.92,-7.847209997,-83.013,-7.308522026,-6.852493237
1ttm,-6.13409,-5.24,-8.66232512,-64.038,-9.925046674,-10.15440026
1tyr,-4.54842,-3.05,-8.123520208,-64.602,-5.661982753,-9.670857391
1u1b,-8.5394,-10.68,-9.809012496,-191.585,-9.153957055,-10.77609824
1u2y,-5.18957,-5.26,-6.672891599,-40.198,-7.599248081,-2.403898837
1u33,-7.8457,-6.96,-8.772849204,-127.441,-9.416383883,-6.355134857
1utp,-3.74153,-6.29,-6.451843431,-67.308,-4.375327385,-1.98943352
1uwt,-6.18,-7.03,-7.598530807,-76.467,-7.470043618,-8.247859803
1v16,-5.65209,-6.06,-8.068258166,-78.707,-6.841196263,-5.346602586
1v2o,-6.63248,-9.17,-8.67614063,-125.161,-9.625915205,-6.534736494
1vfn,-5.98293,-8.31,-6.990648342,-58.091,-6.998690995,-7.736685912
1vzq,-10.84226,-10.48,-9.947167602,-172.523,-10.70358205,-10.27873986
1x1z,-7.40617,-9.52,-8.883373289,-96.167,-7.684304746,-15.27995468
1xd1,-8.65829,-9.72,-10.55505007,-213.25,-8.674859205,-10.94188436
1xgj,-6.96125,-7.49,-7.93010306,-70.385,-7.605028773,-8.289306335
1y1m,-5.85725,-7.25,-7.778132444,-70.723,-6.000939135,-2.514422922
1y6q,-9.02437,-12.45,-8.800480225,-120.766,-9.066855796,-16.16414735
1ydt,-9.88257,-10.54,-10.18203128,-144.929,-10.71757128,-10.11295373
1zc9,-5.32021,-6.82,-6.976832832,-64.122,-7.075253029,-4.4485944
1zoe,-5.83721,-5.42,-8.703771652,-51.271,-8.632999781,-10.22347781
1zs0,-7.01327,-7.64,-9.021528394,-145.511,-9.953299007,-8.496538993
1zvx,-6.76462,-7.87,-9.477440243,-154.772,-9.683169605,-12.73790073
2aou,-9.6186,-7.93,-10.63794313,-117.26,-10.50334424,-10.67938966
2aov,-10.23843,-8.95,-9.836643517,-76.13,-7.874375284,-9.726119433
2ayr,-12.16862,-13.13,-13.05565748,-187.922,-10.78822923,-12.83460931
2azr,-6.50895,-8.28,-8.275490824,-85.377,-6.005955894,-5.028845843
2b1v,-9.42003,-10.07,-9.297838606,-113.004,-9.22599354,-7.93010306
2b7d,-8.64509,-9.14,-10.52741905,-150.261,-10.44448829,-12.01949419
2baj,-11.53659,-10.72,-11.68792193,-153.538,-10.86364288,-11.60502887
2bak,-12.63945,-12.63,-12.79316278,-231.71,-10.41311745,-10.26492434
2bok,-8.39708,-12.12,-8.745218183,-154.347,-10.12694517,-9.049159415
2brb,-8.14838,-6.93,-9.380731669,-116.305,-8.990751863,-6.714338131
2brm,-8.47326,-9.09,-9.505071264,-114.892,-8.973383634,-8.137335719
2bz6,-8.0551,-10.31,-8.993897373,-147.941,-9.912130397,-9.795196986
2bzz,-8.05224,-10.32,-9.366916158,-164.309,-8.693420178,-8.883373289
2c02,-6.20367,-7.89,-7.805763465,-83.688,-7.305594265,-5.581466265
2ceq,-6.47563,-8.58,-8.040627145,-75.358,-8.065436078,-10.05769169
2cer,-8.71577,-9.89,-9.284023095,-117.309,-9.714611516,-12.73790073
2cet,-8.04194,-8.99,-9.325469627,-108.949,-9.684811627,-11.08003947
2cgr,-8.74892,-7.71,-9.712303922,-115.136,-9.089299376,-10.05769169
2ctc,-4.75105,-8.12,-7.515637744,-68.804,-6.880329084,-5.374233607
2d0k,-7.98202,-8.04,-9.256392074,-120.938,-8.664373243,-6.9353863
2d1o,-7.10857,-11.68,-10.11295373,-184.226,-10.03977435,-10.63794313
2d3u,-8.67459,-8.77,-9.947167602,-109.121,-9.571904393,-9.560333306
2d3z,-8.80834,-9.8,-9.726119433,-109.742,-8.750100195,-9.17349901
2drc,-8.65519,-10.35,-9.587964327,-130.468,-9.050917547,-13.66353994
2er9,-8.92761,-15.58,-13.51156933,-268.834,-10.7106012,-10.22347781
2f01,-6.77606,-12.69,-8.386014909,-107.128,-8.65198751,-17.96016373
2f80,-9.24921,-11.58,-11.48068927,-192.152,-12.27497141,-11.30108764
2fai,-9.81689,-9.76,-9.65704188,-121.45,-9.370605194,-8.620878588
2fdp,-11.22908,-14.78,-12.94513339,-234.626,-11.30232752,-10.48597251
2flb,-7.83071,-7.57,-8.537985525,-109.325,-9.10897198,-7.93010306
2fzc,-5.37196,-4.56,-7.308405085,-59.121,-7.561977765,-3.730187851
2g5u,-3.53042,-3.77,-8.537985525,-36.173,-6.617627307,-11.72936846
2g8r,-5.0748,-4.32,-7.045910385,-83.339,-7.592713245,-5.512388713
2g94,-10.18772,-14.95,-12.80697829,-253.143,-10.82776877,-13.15236605
2gss,-5.31473,-5.47,-8.192597761,-63.663,-6.821453734,-6.824862216
2h3e,-7.49628,-7.96,-8.040627145,-96.135,-7.360697175,-7.874841018
2hdq,-4.40153,-7.41,-6.92157079,-43.941,-5.385480943,-1.934171478
2i0d,-8.79553,-12.25,-11.37016519,-208.588,-12.91633182,-16.71676778
2j77,-6.20214,-7.33,-7.66760836,-73.29,-8.521255291,-6.755784663
2j78,-6.4858,-6.66,-7.626161828,-77.42,-8.024302174,-8.869557778
2qwb,-6.10585,-6.96,-7.322220596,-67.278,-6.472586646,-3.785449893
2qwd,-6.45173,-6.85,-7.515637744,-78.389,-8.044581208,-6.700522621
2qwe,-7.16546,-6.69,-8.068258166,-76.899,-8.397724416,-10.3340019
2rkm,-6.03311,-5.42,-7.626161828,-108.449,-9.921445892,-5.388049118
2std,-9.82733,-7.92,-10.23729332,-100.408,-12.06757875,-13.6082779
2usn,-6.732,-6.8,-9.463624732,-108.785,-9.641424172,-8.993897373
3gss,-6.67242,-9.44,-9.712303922,-134.005,-9.579704772,-8.040627145
3pce,-5.03956,-5.69,-7.142618958,-57.868,-5.352528708,-2.763102112
3pch,-5.43423,-8.96,-8.192597761,-54.646,-7.122432283,-7.460375701
3pcj,-5.48746,-6.96,-7.280774064,-46.519,-8.220064343,-9.974798623
3std,-12.68896,-11.92,-12.4339595,-137.294,-11.10269279,-15.34903223
4er2,-7.56183,-12.36,-12.0333097,-196.624,-10.95306504,-12.84842482
4tim,-3.88129,-8.05,-7.225512022,-52.847,-5.251601395,-2.984150281
4tln,-5.02869,-3.76,-7.142618958,-57.341,-7.475392142,-5.139369928
4tmn,-8.67913,-6.12,-10.96951538,-159.642,-10.36205074,-14.05037424
5er1,-6.73207,-9.49,-10.23729332,-165.328,-10.60987418,-8.316937356
6rnt,-6.0455,-7.01,-7.557084275,-82.818,-6.859513037,-3.274276002
6std,-9.96861,-8.6,-10.22347781,-108.715,-10.74311597,-11.93660112
7cpa,-7.71343,-6.58,-11.9089701,-162.787,-12.37771822,-19.28645274
8cpa,-6.65992,-3.8,-10.45834149,-133.43,-11.69970557,-12.64119216
