PDB,VINA,GlideSP,HMS,DSX,RFScore,Experimental
1b5j,-9.1477,-11.81,-10.05769169,-182.424,-11.11572677,-10.26492434
1b74,-4.18437,-5.28,-6.548552004,-54.593,-7.783524177,-1.796016373
1b8n,-9.70761,-10.24,-9.021528394,-117.787,-8.961123369,-14.53391711
1b8y,-8.57463,-7.72,-10.00242964,-171.869,-9.222707096,-10.84517579
1bai,-8.88069,-14.34,-13.12473503,-286.705,-10.84961609,-10.63794313
1bap,-6.02419,-7.31,-7.501822233,-50.592,-5.107414019,-9.463624732
1bcd,-4.04829,-2.96,-6.507105473,-38.731,-8.361169095,-12.01949419
1bdq,-8.56402,-9.03,-11.49450478,-191.949,-11.57469461,-8.759033694
1bgq,-10.64434,-8.98,-9.463624732,-100.004,-10.00734658,-11.83989255
1bhf,-6.17836,-11.76,-8.952450842,-152.59,-7.445457766,-6.051193624
1bhx,-9.2708,-11.87,-10.03006067,-157.574,-11.19001646,-9.449809222
1bp0,-7.32468,-9.83,-8.358383888,-90.231,-7.117229043,-7.460375701
1bq4,-8.06808,-12.39,-9.132052479,-68.079,-8.5559318,-7.211696511
1br6,-7.73005,-8.69,-9.325469627,-103.597,-8.347665885,-4.4485944
1bv7,-14.14102,-16.94,-15.00364447,-282.36,-12.72311334,-12.84842482
1bv9,-13.36932,-16.1,-14.68588772,-276.186,-12.71238835,-12.37869746
1bwa,-13.0746,-16.12,-14.42339302,-280.692,-12.58822191,-10.49978802
1bwb,-14.87144,-17.68,-15.26613917,-302.379,-11.64283589,-11.63265989
1bxq,-8.5934,-11.7,-11.75699948,-185.648,-10.73407928,-10.19584679
1byk,-8.95607,-8.13,-9.947167602,-144.674,-9.872886769,-6.907755279
1bzc,-8.97866,-9.5,-10.52741905,-159.814,-8.19262912,-6.797231195
1bzh,-6.97174,-8.08,-9.850459028,-147.163,-8.899955849,-9.353100648
1bzy,-8.44599,-9.55,-9.809012496,-139.81,-9.438464231,-11.52213581
1c1r,-7.36249,-10.09,-8.92481982,-121.983,-8.770834481,-10.54123456
1c5c,-8.69531,-10.56,-9.919536581,-92.016,-9.058532318,-9.615595348
1c5p,-5.40224,-8.6,-6.990648342,-64.867,-5.560801663,-6.465658941
1c5q,-5.78434,-7.15,-8.054442655,-72.468,-7.587838224,-8.786664715
1c5s,-5.388,-8.59,-7.322220596,-71.214,-7.258517773,-8.289306335
1c5t,-6.00508,-9.72,-7.460375701,-71.78,-7.225012726,-5.664359329
1c5x,-5.62534,-7.6,-8.095889187,-81.867,-7.758268204,-9.228761053
1c5y,-5.91538,-8.52,-7.488006722,-74.108,-7.428311648,-5.802514434
1c5z,-4.9631,-8.5,-6.976832832,-69.327,-5.537295953,-5.540019734
1c70,-11.95572,-13.64,-13.64972443,-248.114,-11.77861596,-14.22997587
1c83,-6.95659,-11.37,-8.814295736,-88.212,-6.646935786,-6.700522621
1c84,-8.33423,-10.84,-9.767565964,-97.876,-7.106485817,-6.907755279
1c86,-7.56636,-11.77,-8.607063078,-98.916,-7.023878432,-6.493289962
1c87,-7.17452,-10.68,-8.192597761,-100.165,-7.381165067,-5.802514434
1caq,-10.29883,-7.16,-11.37016519,-200.977,-10.80990847,-10.66557415
1ce5,-5.5069,-8.93,-7.045910385,-69.773,-5.438188086,-6.548552005
1cea,-3.94249,-6.93,-6.755784663,-54.604,-5.847417333,-6.852493237
1ceb,-5.34984,-8.54,-7.778132444,-70.102,-5.36644442,-8.289306335
1cil,-5.97761,-6.59,-8.344568377,-89.069,-9.943708505,-13.02802646
1cim,-6.54572,-7.46,-8.247859803,-77.381,-9.646171683,-12.18528031
1cin,-6.75682,-6.58,-8.220228782,-82.928,-9.746939254,-12.06094072
1ciz,-10.12719,-7.14,-11.45305825,-196.597,-10.65468108,-10.27873986
1cnw,-4.2715,-5.11,-6.893939768,-93.475,-9.257294227,-10.66557415
1cnx,-4.90552,-6.08,-7.557084275,-96.925,-9.428600571,-10.18203128
1cny,-4.86265,-5.47,-7.971549592,-98.477,-9.348017998,-10.84517579
1ct8,-8.30772,-10.03,-10.472157,-136.362,-10.41664475,-9.007712884
1d2e,-8.02146,-8.92,-9.076790437,-142.561,-8.451694537,-8.289306335
1d4y,-10.49903,-11.27,-12.10238725,-173.106,-10.8113218,-15.33521672
1d6v,-10.27217,-8.89,-10.87280681,-127.732,-10.33638231,-8.524170014
1d7i,-1.72013,-5.37,-5.843960966,-26.794,-7.531354795,-4.973583801
1dfo,-9.44602,-12.36,-10.87280681,-161.311,-10.64773142,-9.256392074
1dhj,-8.47767,-9.81,-9.242576563,-126.664,-11.37119767,-9.049159416
1dif,-11.36882,-15.32,-14.395762,-270.325,-11.62191188,-14.72733425
1dl7,-4.70301,-8.86,-7.059725895,-110.752,-7.375898777,-8.966266352
1dqn,-7.23738,-9.3,-9.076790437,-114.092,-7.680136857,-11.05240845
1dqx,-8.65999,-11.66,-9.366916158,-109.493,-10.59316499,-15.26613917
1drj,-6.89798,-7.16,-8.275490824,-74.556,-4.856970665,-10.22347781
1drk,-6.87602,-6.98,-8.192597761,-77.241,-4.96517927,-9.422178201
1dud,-6.68499,-8.79,-8.012996124,-100.966,-6.779035016,-6.659076089
1duv,-8.54876,-7.47,-9.380731669,-112.295,-8.791913458,-16.30230246
1dy4,-8.67726,-7.87,-9.380731669,-107.342,-7.96843562,-6.023562603
1dzk,-5.0039,-6.07,-7.059725895,-57.906,-6.668192268,-8.42746144
1e3v,-8.61269,-7.62,-10.66557415,-115.861,-9.654907844,-5.995931582
1e4h,-6.04796,-4.51,-8.689956141,-40.717,-5.195445207,-11.61884438
1e6q,-6.42388,-9.64,-7.764316934,-66.423,-7.231469573,-4.351885826
1e6s,-6.84558,-7.28,-7.639977339,-74.711,-7.156327567,-4.4485944
1ec9,-6.63466,-6.3,-7.43274468,-60.805,-6.303035645,-4.282808273
1ecq,-5.35733,-4.1,-7.322220596,-66.843,-5.341963659,-4.144653167
1ecv,-6.99845,-10.84,-9.049159415,-78.101,-6.516338898,-6.700522621
1efy,-8.79026,-9.3,-8.593247567,-96.913,-8.049893043,-11.35634968
1egh,-3.7364,-8.97,-7.045910385,-55.402,-6.228488568,-7.874841018
1eix,-9.83736,-12.22,-9.601779838,-113.793,-10.83501302,-15.27995468
1ejn,-9.8135,-9.98,-9.670857391,-161.732,-11.31965908,-7.764316934
1elc,-6.29892,-5.67,-8.689956141,-142.417,-10.43342246,-9.201130032
1eld,-8.56542,-8.12,-10.27873986,-150.171,-9.444414987,-9.256392074
1ele,-8.28229,-7.89,-10.15440026,-146.506,-8.319794402,-9.463624732
1elr,-5.42584,-10.36,-7.985365103,-125.799,-9.931500977,-6.852493237
1ent,-8.95048,-11.08,-11.81226153,-193.433,-11.14918241,-9.615595348
1epo,-10.51619,-10.46,-11.09385498,-201.328,-11.36685269,-10.9971464
1erb,-10.53144,-9.8,-10.52741905,-149.634,-9.907456298,-11.19056355
1ez9,-5.80204,-8.18,-7.722870402,-132.535,-9.118728844,-7.045910385
1ezq,-9.88738,-11.77,-11.6464754,-186.869,-11.5356727,-12.50303706
1f0r,-9.29752,-7.58,-9.076790437,-139.043,-10.99642385,-10.58268109
1f0s,-8.7878,-7.42,-8.772849204,-121.103,-10.45863668,-10.69320517
1f0t,-7.78374,-9.87,-9.118236968,-143.534,-10.00364909,-8.289306335
1f0u,-7.9549,-9.17,-10.30637088,-157.297,-10.42035436,-9.89190556
1f3e,-7.67158,-10.61,-8.068258166,-69.089,-6.866075513,-9.256392074
1f4x,-5.78918,-7.53,-7.488006722,-108.378,-6.129584732,-7.722870402
1f5l,-7.88788,-7.09,-8.068258166,-71.847,-7.142031091,-7.294589575
1f9g,-4.57793,-4.31,-6.424212409,-26.399,-5.630354448,-1.768385351
1fao,-5.22699,-7.89,-8.634694099,-106.679,-7.822813223,-10.18203128
1fcy,-16.40335,-16.6,-14.31286894,-178.379,-11.98164337,-11.770815
1fdq,-7.24814,-8,-9.974798623,-139.404,-10.48485438,-10.04387618
1fhd,-7.88643,-7.82,-8.524170014,-106.088,-6.681520352,-9.422178201
1fiv,-11.85473,-16.98,-15.19706161,-314.848,-11.24575145,-9.104421458
1fj4,-7.53628,-7.55,-7.957734081,-77.512,-8.669763851,-6.341319346
1fjs,-8.84758,-9.77,-9.698488412,-166.379,-11.99358181,-13.76024852
1fkf,-11.8031,-10.87,-13.35959871,-193.741,-10.48358197,-12.98657992
1fkg,-7.95229,-8.98,-10.81754477,-140.129,-9.620429856,-11.05240845
1fkh,-8.09901,-8.16,-11.10767049,-142.679,-9.605521078,-11.2596411
1fl3,-11.20416,-10.46,-10.18203128,-145.359,-9.201202179,-9.394547179
1fm9,-12.95665,-15.5,-14.49247058,-223.28,-11.71057538,-12.4339595
1fo0,-12.37377,-19.34,-15.8325751,-313.693,-10.94768043,-7.722870402
1fq5,-14.62269,-17.31,-15.77731306,-269.13,-11.89517742,-11.60502887
1fv0,-9.13913,-6.36,-9.698488412,-120.173,-8.559499345,-8.192597761
1fwv,-3.75689,-6.59,-6.880124258,-75.779,-5.446029362,-5.139369928
1fzq,-7.42619,-8.39,-8.537985525,-131.735,-8.010087728,-10.52741905
1g1d,-6.56698,-6.54,-8.772849204,-87.242,-9.625512736,-13.04184197
1g2k,-11.88407,-12.82,-13.0832885,-258.691,-11.321384,-10.9971464
1g2l,-9.02901,-10.61,-10.44452598,-175.089,-12.09015039,-10.00242964
1g2o,-9.83858,-10.94,-8.745218183,-118.327,-8.608761075,-14.57536364
1g35,-10.87776,-13.08,-12.75171625,-244.998,-10.2849847,-11.24582559
1g36,-9.45289,-10.37,-9.560333306,-145.12,-11.35717493,-9.90572107
1g3b,-5.28371,-10.32,-8.399830419,-84.225,-6.889049999,-7.93010306
1g3d,-6.52066,-7.96,-8.261675314,-83.576,-6.905439799,-7.66760836
1g3e,-6.53093,-7.95,-8.206413271,-91.942,-6.680904435,-7.43274468
1g45,-6.18733,-6.28,-8.620878588,-81.974,-9.687971738,-11.93660112
1g46,-6.16585,-6.33,-8.42746144,-82.825,-9.644470072,-12.15764929
1g48,-5.82207,-5.49,-8.399830419,-68.868,-9.59611118,-11.61884438
1g4j,-6.33425,-6.12,-7.971549592,-84.976,-9.548717532,-12.01949419
1g4o,-6.23838,-6.31,-8.772849204,-83.76,-9.591721379,-11.39779621
1g52,-6.8083,-7.04,-8.634694099,-89.464,-9.669637788,-13.17999707
1g53,-6.76869,-6.69,-8.634694099,-90.997,-9.483427271,-12.48922154
1g54,-6.39968,-6.09,-8.109704698,-88.449,-9.530104355,-12.18528031
1g7g,-8.05566,-10.23,-10.18203128,-190.184,-7.554519667,-9.118236968
1g7v,-5.38128,-7.97,-7.943918571,-113.093,-8.455682614,-8.841926757
1g85,-4.25701,-3.53,-7.501822233,-60.3,-5.800320846,-7.570899786
1g98,-5.75843,-8.53,-8.303121845,-79.732,-7.643023464,-7.874841018
1gaf,-6.0733,-9.64,-8.607063078,-92.913,-7.261487074,-11.05240845
1gah,-9.14877,-9.91,-10.61031211,-191.637,-8.650914317,-16.57861267
1gai,-8.90339,-8.43,-10.40307945,-185.585,-8.640847414,-11.05240845
1gcz,-8.71325,-7.7,-9.007712884,-84.794,-6.94820054,-7.087356916
1ghz,-7.0619,-8.65,-7.750501423,-85.864,-7.287970367,-6.631445068
1gi1,-7.53724,-8.59,-7.888656529,-94.884,-7.483655597,-7.557084275
1gi4,-6.92936,-9.1,-8.537985525,-88.801,-7.660384371,-9.933352091
1gi6,-7.0259,-9.74,-7.902472039,-90.061,-8.340027679,-8.593247567
1gi7,-5.46374,-6.02,-7.211696511,-58.037,-6.495952511,-6.230795262
1gi8,-7.53127,-10.52,-8.206413271,-99.366,-8.556858433,-6.976832832
1gi9,-7.07778,-9.13,-7.957734081,-97.222,-8.674778244,-7.211696511
1gj6,-9.23377,-9.12,-9.560333306,-126.55,-10.72503122,-9.670857391
1gj7,-8.95061,-9.33,-9.353100648,-135.911,-11.47326482,-10.90043783
1gj8,-7.72998,-8.78,-8.703771652,-120.762,-10.40251532,-9.615595348
1gja,-7.98797,-10.22,-8.468907972,-100.766,-8.304043623,-7.488006722
1gjb,-8.47253,-10.03,-9.076790437,-127.864,-11.30084604,-8.772849204
1gjc,-8.47151,-9.95,-9.311654116,-124.847,-11.23619314,-8.772849204
1gjd,-8.45346,-9.35,-9.587964327,-105.16,-8.916747241,-7.211696511
1gnm,-8.36647,-11.7,-10.01624515,-206.569,-11.48643852,-8.634694099
1gnn,-8.67512,-12.64,-11.32871866,-203.274,-11.45094003,-7.847209997
1gno,-8.24065,-10.98,-10.74846721,-186.651,-11.50225156,-10.63794313
1gny,-5.51263,-7.38,-7.557084275,-128.294,-9.144921345,-5.719621371
1grp,-2.85673,-8.19,-7.045910385,-34.754,-4.831125222,-5.139369928
1gt1,-9.40025,-8.56,-9.505071264,-85.964,-9.912410634,-8.289306335
1gu1,-7.56662,-9.57,-8.289306335,-80.711,-5.253432595,-6.244610772
1gyx,-5.28702,-8.02,-7.861025507,-57.004,-5.313068195,-3.426246618
1gyy,-6.02393,-6.69,-8.012996124,-69.104,-5.715767691,-5.028845843
1gz3,-6.74032,-8.4,-7.819578976,-138.365,-10.21914135,-5.111738906
1gz9,-5.74116,-5.61,-7.957734081,-119.718,-5.794553951,-4.849244206
1gzc,-4.49544,-5.61,-6.852493237,-81.898,-4.992459169,-4.821613185
1h0a,-6.21684,-8.83,-8.786664715,-76.364,-7.839158277,-7.515637744
1h1h,-5.05173,-7.64,-7.93010306,-91.578,-7.870351438,-7.211696511
1h2t,-9.47461,-13.13,-9.878090049,-189.941,-10.63810477,-10.90043783
1h46,-7.70927,-4.78,-8.303121845,-104.75,-7.913591135,-4.932137269
1h6h,-5.31911,-6.39,-7.888656529,-120.079,-6.353158814,-7.322220596
1h9z,-9.31455,-7.16,-9.753750454,-94.076,-9.828689928,-7.488006722
1hbv,-9.25326,-11.86,-12.21291133,-202.07,-11.35271048,-8.800480225
1heg,-9.52389,-12.94,-11.770815,-219.173,-11.2902245,-10.69320517
1hi3,-5.10735,-7.65,-7.18406549,-68.393,-7.896880211,-5.788698924
1hi5,-4.7733,-6.45,-7.073541406,-70.847,-7.798309307,-5.581466265
1hih,-9.69495,-11.71,-11.75699948,-227.172,-11.31266023,-11.121486
1hii,-9.93818,-12.92,-12.66882318,-228.709,-11.65923245,-10.05769169
1hlk,-7.25032,-4.33,-8.468907972,-82.415,-6.759065302,-6.907755279
1hmr,-5.41592,-6.73,-8.91100431,-112.796,-9.263921527,-9.049159416
1hms,-5.72722,-6.71,-8.952450842,-118.634,-9.415157158,-8.800480225
1hmt,-5.7128,-6.58,-9.353100648,-117.999,-9.323742227,-7.999180613
1hn2,-9.67598,-8.06,-9.491255753,-91.673,-9.810682425,-8.289306335
1hnn,-8.33933,-8.2,-8.192597761,-73.632,-8.839995261,-8.620878588
1hos,-9.22208,-10.36,-12.54448359,-220.026,-11.22878739,-11.81226153
1hpo,-10.80092,-7.83,-10.98333089,-149.565,-10.62242371,-12.73790073
1hps,-9.98872,-13.02,-12.88987135,-240.832,-11.62872411,-12.73790073
1hpv,-9.12185,-10.29,-11.41161172,-184.363,-11.35724861,-12.73790073
1hpx,-9.28798,-10.23,-11.96423214,-183.284,-13.64462605,-15.55626489
1hsh,-11.21007,-12.04,-12.5582991,-224.066,-11.73423378,-13.01421095
1hvh,-10.91761,-11.29,-13.24907463,-198.973,-11.45330182,-10.9971464
1hvi,-11.07096,-15.16,-14.27142241,-273.716,-11.69256256,-15.08653753
1hvj,-11.14057,-14.66,-14.03655873,-269.905,-11.37321315,-15.74968204
1hvk,-10.75835,-14.75,-14.21616036,-265.837,-11.63710019,-15.14179957
1hvl,-10.20641,-13.67,-13.62209341,-252.139,-11.53536093,-13.74643301
1hvr,-14.74934,-14.07,-14.09182077,-268.739,-10.63263537,-13.13855054
1hvs,-10.66043,-14.94,-13.6082779,-269.987,-11.68094786,-14.22997587
1hwr,-8.8644,-8.03,-10.88662232,-162.244,-9.898294082,-11.50832029
1hxb,-11.67487,-12.56,-13.66353994,-225.016,-11.40701971,-13.70498647
1hxw,-9.52515,-13.06,-11.89515459,-228.126,-12.96865963,-14.94838242
1hyo,-5.49381,-7.07,-7.211696511,-51.698,-5.984604797,-5.622912797
1i00,-6.51486,-5.17,-8.482723483,-102.707,-11.10127253,-8.759033694
1i5r,-13.15156,-19.01,-14.58917915,-269.288,-11.91353889,-11.770815
1i7z,-9.55847,-8.02,-9.684672901,-127.47,-9.53804029,-8.841926757
1i80,-5.93487,-7.4,-7.253143043,-59.267,-6.271355273,-8.855742268
1i9l,-6.10313,-6.41,-8.634694099,-83.979,-9.598106447,-11.71555295
1i9m,-5.75682,-6.04,-8.689956141,-82.291,-9.597829983,-11.71555295
1i9n,-6.08423,-5.74,-8.455092461,-80.292,-9.454842059,-11.96423214
1i9o,-6.4304,-6.05,-8.358383888,-85.219,-9.4264825,-11.63265989
1i9p,-5.67722,-5.2,-8.206413271,-78.118,-9.401118604,-11.61884438
1i9q,-6.33173,-5.88,-8.372199398,-86.069,-9.5419728,-11.61884438
1if8,-6.56715,-6.7,-9.40836269,-103.094,-9.430250603,-13.31815218
1igj,-9.64407,-7.76,-11.19056355,-140.235,-11.02578247,-13.81551056
1iih,-3.92131,-7.54,-7.114987937,-43.012,-6.244192198,-3.992682551
1iiq,-10.20216,-14.87,-13.0832885,-237.918,-11.38608956,-10.3340019
1ik4,-4.88529,-7.42,-7.349851617,-71.297,-6.787647375,-10.23729332
1ikt,-7.35595,-8.29,-9.781381475,-151.875,-9.338041741,-4.69727359
1izh,-10.22763,-14.66,-13.6082779,-231.945,-11.5098839,-10.63794313
1izi,-9.79369,-13.93,-12.50303706,-243.788,-11.24940627,-9.104421458
1j01,-8.11127,-7.66,-8.289306335,-105.28,-5.754326226,-8.938635331
1j14,-5.33278,-8.26,-7.004463853,-70.448,-5.419439057,-6.203164241
1j4r,-7.32776,-7.49,-10.2096623,-135.933,-9.523872405,-10.66557415
1jak,-7.31319,-7.73,-8.17878225,-80.227,-7.556876728,-7.695239381
1jao,-5.90285,-7.63,-8.247859803,-132.285,-8.681558667,-8.17878225
1jet,-8.02818,-10.92,-9.422178201,-167.589,-11.13772751,-10.01624515
1jeu,-8.39399,-10.61,-9.974798623,-186.282,-10.20381143,-9.422178201
1jev,-9.52947,-11.96,-10.94188436,-221.987,-11.86929682,-9.518886774
1jfh,-5.1085,-4.85,-7.336036106,-92.212,-8.453638609,-2.832179664
1jlr,-8.69393,-11.16,-9.17349901,-143.699,-9.50533468,-4.600565016
1jmf,-6.53153,-8.32,-8.344568377,-82.528,-7.100301359,-7.971549592
1jmg,-7.07532,-9.84,-8.206413271,-82.456,-7.146034843,-8.386014909
1jmi,-7.86531,-9.23,-8.455092461,-92.526,-7.54281009,-8.372199398
1jn2,-4.65635,-3.38,-8.358383888,-75.356,-6.421158187,-5.650543818
1jn4,-8.64404,-10.54,-9.104421458,-168.891,-10.30937299,-6.838677726
1joc,-4.20453,-7.09,-7.045910385,-67.487,-6.186294815,-6.382765878
1jq8,-7.0982,-6.95,-9.947167602,-140.04,-11.0057309,-8.289306335
1jqe,-8.25062,-5.43,-10.40307945,-120.329,-10.24815324,-8.897188799
1jqy,-7.7175,-6.64,-9.560333306,-120.084,-7.847756916,-6.797231195
1jyq,-8.03666,-11.9,-11.42542723,-214.263,-10.75171471,-12.01949419
1jzs,-7.22996,-9.23,-9.449809222,-184.389,-9.79909024,-9.118236968
1k1i,-8.75578,-10.38,-10.69320517,-148.669,-12.36328948,-9.090605947
1k1j,-8.06887,-8.87,-10.23729332,-150.599,-12.63357981,-10.43071047
1k1l,-7.78948,-9.65,-9.698488412,-134.919,-11.6666769,-9.532702285
1k1m,-8.70527,-9.59,-9.850459028,-137.903,-12.43990201,-10.22347781
1k1n,-6.74736,-10.23,-9.518886774,-138.275,-12.72428647,-9.422178201
1k4h,-8.01635,-11.18,-8.869557778,-106.656,-8.859817966,-7.059725895
1kav,-8.99849,-8.9,-10.48597251,-142.193,-7.69301274,-8.040627145
1kc7,-2.9348,-6.53,-7.087356916,-40.323,-6.007356048,-7.626161828
1kdk,-12.35003,-11.47,-10.55505007,-143.404,-9.561546308,-12.50303706
1kel,-6.8253,-8.94,-8.993897373,-92.599,-8.772124351,-10.05769169
1kjr,-6.88689,-6.28,-7.695239381,-103.536,-8.008595353,-8.372199398
1kmy,-7.78335,-8.19,-9.062974926,-67.916,-8.479217435,-7.045910385
1koj,-6.67161,-5.65,-8.524170014,-78.803,-8.191931253,-9.256392074
1ksn,-10.00556,-10.43,-10.87280681,-175.281,-11.73057226,-12.98657992
1kyv,-8.82754,-10.9,-9.380731669,-120.05,-10.72759211,-8.17878225
1kzk,-12.5992,-12.47,-13.26289014,-223.013,-11.86061627,-14.35431547
1l83,-5.41438,-5.77,-7.225512022,-44.991,-5.288331675,-4.69727359
1laf,-6.61072,-8.1,-8.16496674,-97.062,-6.606393639,-10.84517579
1lag,-5.05793,-8.62,-7.653792849,-81.246,-6.777916638,-8.703771652
1lah,-5.65349,-8.2,-7.322220596,-75.055,-6.059751071,-10.38926394
1lbf,-7.43794,-8.27,-9.712303922,-110.529,-8.913825788,-10.84517579
1lee,-8.93058,-10.14,-12.11620276,-175.358,-11.03522886,-10.69320517
1lf2,-9.22227,-10.24,-12.28198889,-184.192,-10.98878249,-10.38926394
1lf9,-9.28692,-8.71,-10.37544843,-171.161,-8.671337515,-16.57861267
1lgt,-8.4686,-7.99,-9.284023095,-76.494,-8.898825345,-8.42746144
1lgw,-5.8743,-6.94,-7.294589575,-58.961,-6.156674235,-5.526204223
1li2,-5.46502,-6.68,-7.336036106,-47.481,-5.623398147,-5.581466265
1li3,-6.01335,-7.6,-7.736685912,-53.177,-5.978808438,-5.871591987
1li6,-3.90836,-6.11,-6.700522621,-41.848,-5.705177328,-5.249894012
1lkk,-6.04839,-9.91,-9.394547179,-159.795,-7.924127128,-9.463624732
1lkl,-5.45807,-8.03,-8.17878225,-134.749,-7.767528963,-8.026811634
1lor,-9.16771,-11.27,-9.546517796,-112.781,-11.01881235,-15.27995468
1lpg,-8.88969,-10.84,-10.2096623,-181.185,-12.01405824,-9.795196986
1lpk,-9.3229,-11.14,-10.61031211,-164.333,-11.68822449,-10.43071047
1lpz,-9.95471,-8.83,-10.48597251,-157.096,-12.02067956,-10.49978802
1lyb,-8.39308,-12.23,-12.37869746,-212.586,-11.71089068,-15.77731306
1lyx,-3.59658,-7.89,-7.114987937,-51.541,-6.526786164,-6.272241793
1lzq,-9.72327,-13.38,-12.14383378,-233.123,-11.45507317,-11.59121336
1m0o,-7.74008,-8.83,-10.11295373,-120.173,-10.12627541,-3.191382939
1m1b,-4.68614,-7.78,-7.488006722,-34.776,-7.866833548,-6.43802792
1m2p,-10.37048,-8.53,-9.201130032,-80.907,-8.25112764,-8.441276951
1m2r,-9.14008,-8.1,-9.17349901,-86.888,-8.299867447,-8.92481982
1m2x,-3.31803,-3.98,-6.659076089,-61.576,-6.900430493,-5.733436882
1m5w,-5.15874,-6.88,-7.059725895,-53.301,-5.728036566,-5.899223008
1m9n,-10.43432,-12.58,-9.974798623,-162.933,-8.595719622,-9.560333306
1mai,-4.82129,-8.66,-7.764316934,-87.773,-7.404295817,-9.228761053
1mes,-11.27055,-12.46,-12.80697829,-217.008,-10.60590611,-10.63794313
1met,-12.60829,-14.13,-13.84314158,-220.721,-10.63119494,-12.98657992
1meu,-11.65908,-12.79,-13.6082779,-213.806,-10.68947798,-8.42746144
1mfi,-7.85104,-7.96,-8.482723483,-84.271,-6.265958722,-7.722870402
1mmq,-7.90035,-7.76,-9.505071264,-160.313,-8.814419109,-10.38926394
1moq,-6.48472,-8.38,-8.441276951,-99.734,-7.163595278,-4.780166653
1mq5,-9.77615,-7.15,-10.37544843,-171.826,-11.50785333,-12.4339595
1mrn,-8.78928,-9.08,-9.739934943,-184.154,-10.06930224,-6.244610772
1mrs,-7.09175,-8.8,-8.731402673,-115.948,-10.88853327,-5.470942181
1mrw,-11.21381,-9.93,-12.61356114,-194.847,-11.71864855,-13.40104524
1mrx,-11.49471,-10.26,-12.62737665,-189.431,-12.0509871,-10.03006067
1msm,-12.50631,-12.52,-13.06947299,-223.815,-11.84544915,-14.47865506
1msn,-11.80593,-11.54,-12.76553176,-219.611,-11.85415246,-12.5582991
1n1m,-6.27533,-8.09,-7.91628755,-81.972,-6.366926001,-7.874841018
