PDB,VINA,GlideSP,HMS,DSX,RFScore
1ftm,-7.30018,-8.27,-8.344568377,-92.433,-8.99603503329
1fzj,-10.1737,-17.31,-13.8707726,-241.819,-8.09853258658
1fzk,-10.96841,-15.61,-13.81551056,-247.569,-8.17724910595
1g7f,-6.25887,-7.25,-9.049159415,-148.686,-8.25938443886
1g7q,-8.82199,-10.64,-10.61031211,-181.075,-8.01297406822
1gni,-7.13315,-5.29,-9.40836269,-139.292,-8.97564729542
1gpk,-9.91459,-9.47,-8.468907972,-102.917,-8.91854222913
1h23,-10.0317,-12.69,-11.32871866,-202.267,-10.1770209505
1ha2,-9.38686,-7.25,-9.822828007,-105.23,-9.97128972969
1hfs,-9.94995,-13.63,-13.71880198,-281.932,-10.9525361973
1hi4,-6.82675,-8.66,-8.082073676,-99.291,-7.73980610838
1hk4,-7.87449,-8.13,-10.5964966,-82.346,-7.64408810232
1if7,-5.32272,-5.53,-9.1596835,-81.53,-9.415263691
1is0,-5.39298,-10.31,-8.938635331,-140.462,-8.27288435207
1j16,-5.21943,-7.41,-7.004463853,-69.288,-6.38194753904
1j17,-10.71152,-7.33,-9.809012496,-166.077,-8.74808253326
1jaq,-6.18182,-6.66,-8.441276951,-107.804,-7.57691915132
1jq9,-6.29493,-7.4,-10.0715072,-163.314,-9.01611540647
1jqd,-8.46691,-9.9,-8.731402673,-160.346,-8.27911417212
1jys,-4.8367,-6.9,-6.68670711,-53.044,-6.28019991937
1k4g,-8.88702,-10.45,-8.703771652,-110.021,-8.60209929624
1k9s,-7.74503,-9.69,-8.455092461,-109.355,-6.97967964287
1kv1,-9.49377,-9.46,-10.51360353,-128.216,-10.123415162
1kv5,-2.92901,-7.87,-7.004463853,-44.791,-5.54072360683
1l2s,-7.00296,-8.09,-8.537985525,-75.661,-8.28384680086
1lol,-6.67604,-9.55,-7.543268765,-88.407,-6.45095256385
1loq,-7.19066,-10.24,-8.717587162,-96.257,-6.79560593165
1m0n,-5.88435,-8.12,-8.441276951,-97.234,-7.46329676075
1m0q,-5.74194,-7.73,-7.861025507,-96.041,-7.08154239122
1m2q,-9.20386,-7.7,-8.841926757,-74.761,-8.17070831781
1mq6,-8.96448,-8.16,-10.65175864,-177.803,-9.89493016218
1n2v,-7.54523,-9.45,-7.902472039,-83.106,-6.75900841273
1nc1,-9.73782,-10.85,-9.007712884,-126.114,-9.45201463765
1ndw,-7.22302,-8.05,-8.745218183,-81.083,-9.10748978049
1ndy,-7.30388,-9.16,-9.767565964,-90.265,-10.6368857556
1ndz,-10.86651,-10.84,-11.14911702,-160.597,-9.48367339695
1nfy,-9.6191,-8.81,-10.15440026,-144.728,-10.9440460288
1nhu,-6.60796,-5.46,-10.22347781,-97.095,-10.1703478329
1nja,-5.90212,-6.69,-7.709054891,-80.622,-7.39727338028
1nje,-6.43535,-8.08,-7.985365103,-80.099,-7.55690137273
1nny,-10.84708,-14.09,-12.48922154,-230.973,-9.36476340571
1nvq,-12.53099,-11.42,-11.70173744,-175.766,-9.61316355549
1o0h,-6.09239,-7.36,-7.791947955,-93.428,-6.78365328997
1o3f,-8.66683,-8.58,-8.814295736,-114.298,-7.70224045498
1o3p,-9.0474,-8.83,-8.66232512,-126.003,-9.11644459554
1ols,-6.83242,-8.01,-7.68142387,-77.282,-7.98412861431
1olu,-6.09553,-7.62,-7.557084275,-74.412,-7.42113005721
1om1,-10.53008,-10.36,-9.850459028,-101.844,-10.0499265446
1p1q,-7.30246,-7.94,-8.234044293,-88.204,-8.767530732
1pb9,-4.90651,-7.91,-6.990648342,-56.69,-7.81578026302
1pbq,-7.74571,-9.18,-8.938635331,-78.105,-7.20313832982
1ppm,-8.65787,-11.82,-11.52213581,-182.61,-8.89546263479
1pr5,-7.32368,-7.52,-8.040627145,-97.633,-7.3422105172
1pxo,-6.08506,-8.89,-7.722870402,-68.952,-6.44019603114
1pz5,-6.22445,-11.5,-8.634694099,-169.142,-10.6097166743
1q7a,-7.86452,-4.41,-9.463624732,-108.963,-8.39984242811
1q8t,-7.38045,-8.07,-8.330752866,-93.92,-9.75696778799
1re8,-12.42246,-13.76,-11.95041663,-175.368,-9.16448525139
1rnt,-6.98398,-11.62,-8.565616546,-112.151,-7.65925345849
1s39,-7.08933,-9.58,-8.012996124,-70.376,-6.80726230181
1sl3,-10.5618,-11.77,-10.40307945,-187.62,-10.857190112
1slg,-5.08363,-9.18,-8.634694099,-109.76,-9.21836432255
1sqa,-7.41353,-9.07,-9.132052479,-136.38,-10.418330321
1sv3,-4.95407,-6.08,-7.363667127,-56.699,-6.81420402606
1syh,-9.26436,-10.53,-8.993897373,-117.035,-8.83194726036
1tmn,-6.33794,-3.89,-9.864274538,-126.828,-9.73732108236
1trd,-5.06173,-6.81,-7.43274468,-66.698,-6.99302283387
1tsy,-6.68703,-8.92,-7.847209997,-83.013,-6.81552707843
1ttm,-6.13409,-5.24,-8.66232512,-64.038,-8.77490569354
1tyr,-4.54842,-3.05,-8.123520208,-64.602,-6.44619416464
1u1b,-8.5394,-10.68,-9.809012496,-191.585,-8.76997465708
1u2y,-5.18957,-5.26,-6.672891599,-40.198,-6.78845967456
1u33,-7.8457,-6.96,-8.772849204,-127.441,-7.55982481198
1utp,-3.74153,-6.29,-6.451843431,-67.308,-6.53828861519
1uwt,-6.18,-7.03,-7.598530807,-76.467,-7.10771833588
1v16,-5.65209,-6.06,-8.068258166,-78.707,-7.62056642561
1v2o,-6.63248,-9.17,-8.67614063,-125.161,-9.20984873716
1vfn,-5.98293,-8.31,-6.990648342,-58.091,-6.35812293629
1vzq,-10.84226,-10.48,-9.947167602,-172.523,-11.6453610706
1x1z,-7.40617,-9.52,-8.883373289,-96.167,-6.8935334941
1xd1,-8.65829,-9.72,-10.55505007,-213.25,-7.84791306563
1xgj,-6.96125,-7.49,-7.93010306,-70.385,-8.17568148457
1y1m,-5.85725,-7.25,-7.778132444,-70.723,-7.45793081261
1y6q,-9.02437,-12.45,-8.800480225,-120.766,-10.3948245437
1ydt,-9.88257,-10.54,-10.18203128,-144.929,-11.1767260167
1zc9,-5.32021,-6.82,-6.976832832,-64.122,-6.67235209284
1zoe,-5.83721,-5.42,-8.703771652,-51.271,-9.05009702812
1zs0,-7.01327,-7.64,-9.021528394,-145.511,-8.80572069857
1zvx,-6.76462,-7.87,-9.477440243,-154.772,-9.0037226354
2aou,-9.6186,-7.93,-10.63794313,-117.26,-9.90574595443
2aov,-10.23843,-8.95,-9.836643517,-76.13,-8.68208070785
2ayr,-12.16862,-13.13,-13.05565748,-187.922,-10.6321632203
2azr,-6.50895,-8.28,-8.275490824,-85.377,-6.98816022895
2b1v,-9.42003,-10.07,-9.297838606,-113.004,-11.5266165921
2b7d,-8.64509,-9.14,-10.52741905,-150.261,-11.1792017646
2baj,-11.53659,-10.72,-11.68792193,-153.538,-10.5595401072
2bak,-12.63945,-12.63,-12.79316278,-231.71,-9.29138034645
2bok,-8.39708,-12.12,-8.745218183,-154.347,-10.0585688086
2brb,-8.14838,-6.93,-9.380731669,-116.305,-9.7124756703
2brm,-8.47326,-9.09,-9.505071264,-114.892,-9.96917977795
2bz6,-8.0551,-10.31,-8.993897373,-147.941,-9.88929636163
2bzz,-8.05224,-10.32,-9.366916158,-164.309,-8.92476478866
2c02,-6.20367,-7.89,-7.805763465,-83.688,-7.68711401851
2ceq,-6.47563,-8.58,-8.040627145,-75.358,-7.59720892643
2cer,-8.71577,-9.89,-9.284023095,-117.309,-9.79535166618
2cet,-8.04194,-8.99,-9.325469627,-108.949,-9.76675453349
2cgr,-8.74892,-7.71,-9.712303922,-115.136,-9.38163409524
2ctc,-4.75105,-8.12,-7.515637744,-68.804,-7.07065472305
2d0k,-7.98202,-8.04,-9.256392074,-120.938,-9.16650821868
2d1o,-7.10857,-11.68,-10.11295373,-184.226,-10.141945676
2d3u,-8.67459,-8.77,-9.947167602,-109.121,-9.48805354823
2d3z,-8.80834,-9.8,-9.726119433,-109.742,-9.29205069604
2drc,-8.65519,-10.35,-9.587964327,-130.468,-9.7038029774
2er9,-8.92761,-15.58,-13.51156933,-268.834,-10.2179811356
2f01,-6.77606,-12.69,-8.386014909,-107.128,-8.8590625264
2f80,-9.24921,-11.58,-11.48068927,-192.152,-11.5584598358
2fai,-9.81689,-9.76,-9.65704188,-121.45,-11.926407863
2fdp,-11.22908,-14.78,-12.94513339,-234.626,-10.9701313455
2flb,-7.83071,-7.57,-8.537985525,-109.325,-9.29805791151
2fzc,-5.37196,-4.56,-7.308405085,-59.121,-7.75208401068
2g5u,-3.53042,-3.77,-8.537985525,-36.173,-5.88117079191
2g8r,-5.0748,-4.32,-7.045910385,-83.339,-7.06349789632
2g94,-10.18772,-14.95,-12.80697829,-253.143,-9.98701064106
2gss,-5.31473,-5.47,-8.192597761,-63.663,-7.17404360556
2h3e,-7.49628,-7.96,-8.040627145,-96.135,-7.17114382526
2hdq,-4.40153,-7.41,-6.92157079,-43.941,-6.30419656685
2i0d,-8.79553,-12.25,-11.37016519,-208.588,-13.6185778232
2j77,-6.20214,-7.33,-7.66760836,-73.29,-7.37845794473
2j78,-6.4858,-6.66,-7.626161828,-77.42,-7.11402307983
2qwb,-6.10585,-6.96,-7.322220596,-67.278,-6.93765417098
2qwd,-6.45173,-6.85,-7.515637744,-78.389,-6.65030011772
2qwe,-7.16546,-6.69,-8.068258166,-76.899,-8.45320970537
2rkm,-6.03311,-5.42,-7.626161828,-108.449,-10.1160645355
2std,-9.82733,-7.92,-10.23729332,-100.408,-9.48868330526
2usn,-6.732,-6.8,-9.463624732,-108.785,-9.80360786842
3gss,-6.67242,-9.44,-9.712303922,-134.005,-9.00530516537
3pce,-5.03956,-5.69,-7.142618958,-57.868,-5.97096001487
3pch,-5.43423,-8.96,-8.192597761,-54.646,-6.76655038992
3pcj,-5.48746,-6.96,-7.280774064,-46.519,-7.68621401273
3std,-12.68896,-11.92,-12.4339595,-137.294,-9.83561185794
4er2,-7.56183,-12.36,-12.0333097,-196.624,-10.4207039236
4tim,-3.88129,-8.05,-7.225512022,-52.847,-5.75705505855
4tln,-5.02869,-3.76,-7.142618958,-57.341,-7.38245979545
4tmn,-8.67913,-6.12,-10.96951538,-159.642,-8.39279879501
5er1,-6.73207,-9.49,-10.23729332,-165.328,-9.78194135424
6rnt,-6.0455,-7.01,-7.557084275,-82.818,-7.31480127182
6std,-9.96861,-8.6,-10.22347781,-108.715,-9.43430315311
7cpa,-7.71343,-6.58,-11.9089701,-162.787,-9.59379947258
8cpa,-6.65992,-3.8,-10.45834149,-133.43,-8.6960654913
