PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
1vyg,5,242,5,1,0,42,151,48,0,5,37,0,0,0,2,14,-11.05240845
1upf,4,127,3,0,12,9,0,107,0,2,19,0,1,0,0,0,-6.355134857
1uou,6,209,7,32,0,111,62,3,2,2,13,0,0,1,0,2,-10.63794313
1caq,7,251,4,17,29,63,63,82,1,2,33,4,3,2,4,8,-10.66557415
1o36,1,10,0,0,4,0,0,7,0,0,0,0,0,0,0,9,-8.234044293
1i9m,8,207,0,0,11,19,73,112,2,2,14,1,0,1,0,5,-11.71555295
1i9l,10,225,0,0,20,16,55,144,3,1,24,0,0,0,0,5,-11.71555295
1i9o,9,230,0,0,16,22,53,148,2,1,16,0,0,0,0,5,-11.63265989
1i9n,10,210,0,0,19,13,45,143,3,1,20,0,0,0,0,5,-11.96423214
1i9q,10,230,0,0,20,21,53,146,3,1,17,0,0,0,0,5,-11.61884438
1i9p,8,187,0,0,19,14,43,119,3,1,12,0,0,0,0,5,-11.61884438
1wm1,3,147,1,0,17,72,0,60,1,2,14,0,0,0,2,3,-8.703771652
1hnn,6,199,9,0,1,95,38,62,2,1,30,2,1,0,2,2,-8.620878588
1hi5,11,200,0,17,7,29,95,63,0,6,9,0,0,0,5,9,-5.581466265
1a94,23,518,0,48,48,0,171,274,10,7,31,0,0,0,2,29,-10.84517579
1ikt,3,236,15,0,0,183,41,0,0,1,43,0,0,0,0,13,-4.69727359
1c70,8,425,0,13,50,0,98,272,4,2,53,0,0,0,2,14,-14.22997587
2mas,17,250,0,0,9,52,16,190,3,2,14,1,0,1,3,6,-10.38926394
1dmp,10,397,0,7,51,0,125,224,2,6,50,0,0,0,2,12,-13.19381258
2h4n,6,145,0,1,10,11,51,78,2,1,4,0,0,0,1,3,-12.01949419
1oe8,16,207,12,17,4,38,26,126,3,6,8,0,0,0,4,11,-7.626161828
1mq5,3,248,0,46,27,0,86,92,0,1,50,3,1,0,0,6,-12.4339595
1m5w,15,214,0,8,12,16,102,91,1,8,6,0,0,0,4,7,-5.899223008
1wvj,17,280,6,30,3,79,123,56,2,7,24,1,0,0,2,4,-9.297838606
1gah,23,374,0,0,57,59,42,239,11,5,33,0,0,0,1,22,-16.57861267
1t32,7,302,2,15,14,25,55,198,0,3,47,1,2,0,2,7,-10.25110883
1ui0,8,124,0,7,20,8,54,43,1,2,9,0,1,0,0,0,-9.753750454
1t31,8,291,0,18,24,0,66,191,0,5,42,1,1,0,3,7,-11.93660112
1wvc,17,327,0,6,66,50,27,195,1,10,13,0,0,0,10,11,-6.161717709
1tng,5,112,0,7,37,0,14,59,2,0,8,0,0,0,1,2,-4.047944594
1tnl,7,123,0,7,49,1,10,63,4,0,8,0,0,0,1,2,-2.597315985
1rej,10,334,0,34,26,0,216,68,2,3,35,0,0,0,2,7,-11.46687376
1rek,10,441,1,37,25,28,281,79,3,3,50,0,0,0,2,12,-9.256392074
1tnk,7,126,0,11,49,2,12,59,3,0,11,0,0,0,1,4,-2.058511073
1igj,3,207,0,0,16,0,114,80,1,0,25,0,0,0,0,7,-13.81551056
1c87,16,217,10,1,6,51,16,149,0,11,18,0,1,0,2,3,-5.802514434
1gu1,16,204,0,4,23,5,53,135,4,6,10,0,0,0,0,4,-6.244610772
2ivu,3,308,0,22,6,8,256,19,0,1,34,0,0,0,0,6,-8.883373289
1utn,6,118,0,4,46,0,11,63,3,0,13,0,0,0,1,2,-4.821613185
1gi8,14,231,0,14,62,0,37,132,5,2,18,1,0,1,0,4,-6.976832832
2cht,13,205,10,12,1,31,114,50,1,8,15,0,0,0,3,3,-7.626161828
1njj,16,186,0,2,0,0,78,122,5,0,11,0,0,0,2,15,-2.901257217
2f35,16,238,13,23,3,68,117,30,3,8,17,1,0,0,1,7,-7.460375701
1kll,5,172,0,0,0,34,142,1,2,0,25,2,2,0,1,8,-7.18406549
1utl,4,121,0,6,40,0,13,66,3,0,11,0,0,0,1,4,-3.412431108
1a7x,7,314,0,0,39,13,83,186,2,3,43,0,0,0,0,14,-13.40104524
1utm,6,113,0,5,34,0,12,68,3,0,7,0,0,0,1,3,-4.158468678
1fm9,4,400,21,2,2,278,62,39,0,3,72,0,1,1,2,12,-12.4339595
5abp,19,226,0,0,3,78,3,161,5,4,12,0,0,0,0,6,-9.173499011
1b8n,15,361,0,40,11,42,110,173,5,2,25,0,0,1,0,6,-14.53391711
1qan,17,351,1,17,50,53,73,174,4,5,21,0,0,0,0,11,-6.18934873
1qft,8,163,0,0,0,0,85,86,4,0,17,0,0,0,3,3,-12.11620276
1o2h,11,294,0,15,86,3,24,177,6,0,25,0,0,0,0,6,-9.90572107
1b8y,6,198,5,15,28,58,25,73,0,1,26,3,1,0,4,6,-10.84517579
1sqt,8,220,0,18,59,0,25,126,4,0,13,0,0,0,0,5,-8.565616546
2fw6,18,221,3,8,32,26,19,151,0,11,8,0,0,0,2,6,-4.034129083
1ws5,7,154,0,18,16,0,75,52,3,2,18,0,0,0,0,6,-4.186099699
1eld,7,267,0,39,21,0,98,116,3,1,21,0,0,0,0,9,-9.256392074
1ele,9,294,0,49,19,0,113,122,3,1,15,0,0,0,0,8,-9.463624732
1elc,5,209,0,8,32,0,49,125,0,0,28,0,0,0,1,14,-9.201130032
5yas,4,176,0,6,2,4,71,97,2,1,0,0,0,0,0,4,-4.503856442
1ws4,8,137,0,16,13,0,65,51,2,1,15,0,0,0,0,6,-4.144653167
2dw7,14,171,0,0,0,0,116,69,1,4,4,0,0,0,7,5,-6.493289962
1br6,12,302,10,27,5,126,106,40,4,5,22,0,2,0,1,6,-4.4485944
1tx7,9,198,0,13,66,0,31,97,4,2,14,0,0,0,1,3,-6.355134857
1sqo,8,206,0,16,56,0,26,116,5,0,11,0,0,0,0,4,-10.30637088
1sqn,2,192,10,0,3,156,0,25,0,1,28,0,0,0,0,1,-12.98657992
1elr,17,261,3,0,0,275,0,0,2,10,27,0,0,0,3,22,-6.852493237
2fpz,5,164,0,14,63,5,16,71,3,1,14,0,0,0,0,1,-5.470942181
1n3i,11,276,1,35,0,41,99,111,5,3,24,0,0,1,0,5,-12.28198889
1hmr,6,186,2,6,0,32,114,38,0,4,23,0,0,0,2,16,-9.049159416
1hms,5,186,0,6,5,33,106,41,0,4,23,0,0,0,2,15,-8.800480225
1hmt,5,199,1,8,1,33,123,38,0,4,24,0,0,0,2,16,-7.999180613
1g1d,8,220,0,0,20,20,54,134,3,1,20,0,0,0,0,5,-13.04184197
1fjs,11,285,0,8,66,7,23,192,3,3,35,1,0,1,0,11,-13.76024852
1ppc,15,269,0,50,53,0,71,110,5,2,29,0,0,0,0,10,-8.510354504
1ce5,7,175,0,10,64,0,30,78,4,0,19,0,0,0,0,2,-6.548552005
1v1j,15,210,0,4,22,8,48,143,3,6,10,0,0,0,0,4,-6.659076089
1o3d,9,270,0,14,81,1,25,158,5,0,30,1,0,1,0,5,-9.850459028
1l83,0,103,6,0,0,91,0,6,0,0,24,0,0,0,0,0,-4.69727359
1yds,5,235,0,11,14,0,137,78,2,1,27,0,0,0,2,5,-8.17878225
1tsl,4,125,0,10,7,70,14,28,1,0,21,0,1,1,0,4,-8.496538993
1o3j,13,246,0,12,72,0,31,144,3,0,24,0,0,0,0,4,-9.353100648
2byr,1,245,0,2,18,0,113,113,0,1,51,0,0,0,0,12,-11.81226153
1okl,8,175,0,0,9,8,89,77,1,2,16,1,0,0,0,3,-8.330752867
2c97,12,207,0,16,27,49,20,107,1,7,12,0,2,0,1,6,-8.482723483
2c94,19,404,4,34,34,109,48,194,4,8,31,0,4,0,1,15,-9.422178201
2c92,21,397,2,36,41,90,55,194,4,10,26,0,4,0,1,16,-7.847209997
1fcy,8,302,20,6,5,222,26,31,0,3,48,0,0,1,1,3,-11.770815
1y1z,0,14,0,0,0,7,6,1,0,0,4,0,0,0,0,2,-4.255177252
1f5l,11,249,0,55,55,0,103,47,4,0,12,0,0,0,1,3,-7.294589575
1yid,21,285,9,34,6,54,75,128,3,8,11,1,0,0,7,11,-6.907755279
1o30,15,262,0,13,65,0,30,169,5,1,16,1,0,1,0,9,-9.353100648
1o33,11,236,0,13,72,0,31,131,3,0,19,0,0,1,0,4,-7.93010306
1m2x,6,84,0,0,5,1,0,84,0,1,15,0,0,0,3,4,-5.733436882
1owh,12,225,0,17,52,0,34,134,5,1,19,0,0,0,1,7,-10.22347781
1i5r,14,529,0,3,79,120,20,321,2,6,54,0,0,0,0,18,-11.770815
1owe,9,215,0,15,55,0,30,124,4,1,26,1,0,0,0,4,-8.565616546
1o38,11,277,0,14,82,1,27,164,3,0,35,1,0,1,0,8,-9.422178201
1m2p,2,229,0,4,11,2,122,92,0,2,33,0,0,0,0,3,-8.441276951
1m2r,8,304,0,25,4,0,261,22,1,1,30,0,0,0,0,4,-8.92481982
1fj4,2,153,1,8,19,6,26,95,0,2,28,0,0,0,0,3,-6.341319346
1njc,13,239,2,9,0,19,112,110,3,8,7,0,0,0,4,6,-7.66760836
6tim,14,208,0,30,26,0,66,100,2,8,4,0,0,0,1,6,-4.434778889
1pot,13,251,0,1,26,22,112,103,5,0,38,4,0,0,4,9,-7.584715296
1grp,14,135,0,0,0,52,54,43,0,8,1,0,0,0,8,6,-5.139369928
1njd,17,255,1,9,0,19,95,148,3,10,6,0,0,0,4,5,-7.695239381
1k22,3,97,0,0,37,0,0,63,1,1,3,0,0,0,1,9,-11.60502887
1ceb,10,118,0,0,1,0,57,70,2,5,18,0,0,0,4,3,-8.289306335
1cea,8,131,0,0,0,0,74,65,2,3,22,0,0,0,3,6,-6.852493237
1k21,13,265,0,57,55,0,75,91,5,3,20,0,0,0,1,11,-11.57739785
1utj,6,110,0,2,46,0,11,57,3,0,11,0,0,0,1,2,-5.305156054
4er1,9,335,0,3,49,0,122,170,4,2,42,0,0,0,0,22,-9.145867989
2f7p,14,185,0,0,6,7,1,185,3,0,22,0,0,0,3,7,-9.118236968
1erb,3,217,0,7,9,0,126,78,0,0,41,0,0,0,0,6,-11.19056355
1jfh,6,162,0,0,19,0,0,149,3,1,10,0,0,0,0,12,-2.832179664
1adl,3,174,4,0,8,41,99,25,0,2,28,0,0,0,1,14,-7.405113659
1izh,16,414,0,35,55,0,155,185,6,3,42,0,0,0,0,21,-10.63794313
1mu8,5,285,0,61,21,0,81,127,2,1,45,0,0,0,0,8,-12.4339595
1r6n,4,207,0,0,16,64,0,131,0,3,36,0,2,0,0,5,-10.22347781
2bza,6,117,0,2,48,0,12,61,3,0,13,0,0,0,1,2,-3.868342956
1ucn,16,282,0,2,10,103,39,144,2,7,28,0,4,0,2,9,-7.211696511
1xd0,19,383,0,0,25,33,67,277,7,4,17,0,0,0,2,28,-9.836643517
1c4u,8,305,0,14,58,0,27,214,4,1,29,0,0,0,0,9,-14.32668445
2f7o,12,181,0,0,4,7,0,182,4,0,21,0,0,0,3,5,-10.27873986
1mu6,4,268,0,49,21,0,70,132,2,1,40,0,1,0,0,8,-11.57739785
1ghy,19,264,0,12,68,0,37,166,4,0,26,0,1,0,0,4,-11.19056355
1ghz,9,237,0,12,70,0,31,133,4,0,19,0,0,0,0,4,-6.631445068
1hvr,7,425,0,11,43,0,139,239,2,2,57,0,0,0,0,10,-13.13855054
1mrx,6,336,0,11,54,0,111,166,3,1,35,0,0,0,0,10,-10.03006067
2iuz,3,207,0,0,5,5,59,141,0,3,51,0,11,0,0,3,-7.66760836
1mrw,7,337,0,15,50,0,116,163,3,1,31,0,0,0,0,10,-13.40104524
1pme,3,255,0,26,2,1,187,42,0,2,27,0,0,0,0,4,-12.98657992
1ghv,10,223,0,10,60,0,39,124,3,1,25,1,3,0,0,4,-6.009747093
1ghw,9,236,0,35,45,0,58,107,3,0,31,0,1,0,0,4,-5.802514434
1mrn,17,453,11,2,4,267,42,144,2,8,42,2,2,0,8,20,-6.244610772
1nvs,3,267,0,18,13,1,183,55,1,1,27,0,0,0,0,2,-10.80372926
2bqv,8,400,0,24,37,0,121,226,1,4,44,0,0,0,0,15,-11.121486
1hvi,12,444,0,24,59,0,106,267,4,2,57,2,0,0,0,21,-15.08653753
1hvh,10,386,0,25,37,0,144,190,5,1,44,0,0,0,0,15,-10.9971464
1hvk,14,458,0,23,61,0,111,277,6,2,53,2,0,0,0,21,-15.14179957
1hvj,11,426,0,21,67,0,87,262,4,2,66,1,0,0,0,20,-15.74968204
1hvl,12,412,0,20,54,0,87,263,6,2,51,2,0,0,0,21,-13.74643301
1h22,10,285,10,9,37,62,4,173,2,3,55,4,2,0,0,13,-12.57211461
1oar,2,250,0,0,1,0,236,15,0,1,60,0,9,0,0,3,-10.22347781
1hvs,12,431,0,28,71,0,109,235,5,3,55,1,0,0,0,21,-14.22997587
1pbk,9,260,0,0,33,10,89,137,3,3,24,0,0,0,0,9,-12.50303706
2gst,19,362,5,17,11,78,86,184,4,7,38,0,0,1,3,13,-8.386014909
2gsu,13,267,2,0,14,90,25,149,3,3,24,0,2,2,4,7,-4.95976829
220l,0,92,1,0,0,91,0,0,0,0,23,0,0,0,0,0,-4.69727359
1owd,9,242,0,19,55,0,37,140,4,1,27,1,1,0,1,5,-11.32871866
1vjj,15,282,0,37,2,0,185,73,2,7,9,0,0,0,5,9,-7.971549592
1d3d,1,296,0,28,28,0,78,163,1,0,70,2,0,1,1,10,-12.5582991
2j7h,20,185,0,0,0,0,92,113,7,2,16,4,0,0,5,9,-9.933352091
1qbn,12,285,0,10,83,0,29,175,6,2,32,0,0,0,0,9,-8.082073676
1qbo,11,293,0,11,100,0,35,158,6,0,37,0,0,0,0,8,-10.69320517
1vjc,12,290,10,25,27,50,43,147,3,2,18,0,0,0,4,11,-4.94595278
2iko,9,257,0,0,31,0,90,145,4,0,24,0,0,0,2,7,-7.529453254
1vja,19,322,0,23,91,0,47,180,7,2,19,1,0,0,0,15,-10.63794313
2j7f,9,218,0,2,0,0,112,113,5,5,14,0,1,0,0,6,-8.772849204
1vjd,22,370,13,38,36,79,72,154,2,6,13,0,0,0,4,11,-4.890690738
1w6y,6,152,2,0,0,40,116,0,1,1,16,0,0,0,0,1,-7.405113659
2bq7,1,182,0,23,25,0,60,75,0,1,35,2,0,0,0,6,-9.739934943
1sc8,14,301,0,31,86,0,53,145,5,3,14,0,0,0,0,13,-10.27873986
1d3p,3,324,0,29,29,0,83,186,2,0,80,2,1,1,0,12,-10.2096623
1usn,8,187,0,24,3,24,76,68,1,2,28,1,1,0,0,5,-10.69320517
1h2t,20,538,0,14,28,3,151,362,5,9,58,0,4,0,1,18,-10.90043783
1qbr,12,454,0,33,48,0,183,202,4,6,57,0,0,0,0,14,-14.60299466
1qbs,10,391,0,22,47,0,141,191,3,5,57,0,0,0,0,14,-13.0832885
1qbt,16,526,0,39,51,0,244,208,5,6,63,0,0,0,0,14,-14.67207221
1qbu,8,359,0,17,41,0,130,179,3,4,48,0,0,0,0,12,-14.14708281
1qbv,6,261,0,73,16,0,76,102,2,1,42,0,0,0,0,9,-7.446560191
1g2o,11,292,0,42,0,51,110,100,4,2,23,0,0,1,0,5,-14.57536364
1lpg,6,313,0,12,75,0,73,159,3,0,61,4,1,0,0,11,-9.795196986
1gz3,12,322,3,10,49,10,44,218,0,8,12,0,0,0,1,11,-5.111738906
1y2f,5,173,0,0,2,0,119,57,1,0,35,0,2,0,2,7,-6.797231195
1qin,15,332,0,0,13,14,207,113,2,10,35,0,0,0,5,14,-11.05240845
1lpk,13,326,0,12,91,0,33,203,5,0,39,0,1,1,0,11,-10.43071047
1meu,10,366,0,18,36,0,141,181,2,5,38,0,0,0,0,14,-8.42746144
1li2,2,141,9,0,0,131,0,3,1,0,23,0,0,0,0,1,-5.581466265
1kdk,5,195,0,17,5,0,119,59,2,2,29,0,0,0,0,1,-12.50303706
1li6,2,106,8,0,0,98,0,2,1,0,17,0,0,0,0,0,-5.249894012
1gz9,18,267,0,5,22,0,39,219,5,4,15,0,0,0,0,16,-4.849244206
1bv9,14,469,0,44,46,0,176,217,4,6,55,0,0,0,0,14,-12.37869746
1aj6,2,263,16,0,2,95,16,136,2,0,22,2,2,0,0,12,-8.17878225
1lpz,7,258,0,11,61,0,37,156,3,0,50,0,2,2,0,7,-10.49978802
1mrs,16,312,24,2,3,178,28,93,1,5,26,0,2,0,3,8,-5.470942181
1bv7,12,466,0,43,48,0,175,212,4,7,58,0,0,0,0,14,-12.84842482
1epo,17,333,0,2,58,11,118,161,6,2,31,0,0,0,0,17,-10.9971464
1qiw,5,234,23,0,4,188,16,8,2,0,44,0,0,2,1,19,-10.69320517
2f8g,11,334,0,22,47,0,115,161,3,4,24,0,0,0,0,14,-12.01949419
1os5,2,227,3,0,10,92,0,124,0,2,39,0,1,0,0,10,-9.463624732
1lf2,7,351,0,4,49,0,112,193,3,3,46,0,0,0,0,15,-10.38926394
2euk,10,398,6,0,1,313,0,88,4,4,67,0,0,0,0,45,-9.118236968
1lf9,21,343,0,0,39,69,53,203,5,5,34,0,0,0,1,22,-16.57861267
1vj9,18,357,0,32,85,0,66,192,6,2,21,0,0,0,0,17,-10.43071047
1v2j,9,171,0,28,42,0,43,67,3,0,18,0,0,0,0,2,-4.490040931
1wei,9,151,0,0,0,121,0,39,4,2,4,0,0,0,1,1,-12.4339595
2j79,14,204,0,0,0,0,102,116,3,3,13,0,0,0,0,6,-8.234044293
1nvr,4,278,0,17,23,2,168,72,2,1,32,0,0,0,1,4,-11.20437906
1cin,9,202,0,0,13,13,74,111,2,1,5,1,0,1,0,3,-12.06094072
1cim,12,192,0,0,31,5,53,115,4,1,4,0,0,0,0,3,-12.18528031
1cil,8,200,0,1,7,9,90,101,2,0,10,1,0,1,1,4,-13.02802646
1zpa,6,327,0,24,37,0,90,182,2,3,29,0,0,0,0,19,-11.60502887
1dif,13,457,0,21,63,0,129,257,6,2,49,1,0,0,0,21,-14.72733425
2h5a,18,236,4,6,17,18,99,110,1,9,6,0,0,0,1,5,-7.045910385
1y20,11,170,3,20,2,42,78,36,3,5,19,1,0,0,2,2,-7.349851617
2j75,14,176,0,0,0,0,66,124,6,3,10,2,0,0,2,5,-9.187314521
1gzc,10,185,0,5,11,0,34,145,3,2,11,0,0,0,0,12,-4.821613185
1qb1,11,272,0,12,74,0,28,169,4,2,35,0,0,2,0,10,-9.353100648
1n8v,2,145,8,0,6,107,0,26,1,0,18,0,0,0,0,12,-8.330752867
1oss,5,157,0,10,59,0,21,72,3,0,15,0,0,0,0,2,-6.617629557
1fq5,17,416,0,14,54,0,137,228,3,5,38,0,0,0,0,11,-11.60502887
1j01,11,217,0,0,0,0,58,170,2,4,15,0,0,0,0,6,-8.938635331
1ec9,16,295,0,8,19,17,119,148,3,7,7,0,0,0,6,8,-4.282808273
1we2,6,160,0,0,22,84,0,60,0,4,6,0,0,0,2,4,-6.023562603
1jmf,13,245,0,9,9,3,58,179,1,8,7,0,0,0,4,5,-7.971549592
1jmg,16,227,5,5,0,9,96,128,1,9,5,0,0,0,4,5,-8.386014909
1uxb,5,138,0,0,15,0,83,45,2,1,13,0,0,0,1,16,-2.97033477
1uxa,6,131,0,0,16,0,73,48,2,1,11,0,0,0,1,16,-3.177567428
1jmi,19,248,1,9,0,15,87,155,1,9,5,0,0,0,4,5,-8.372199398
1b6k,13,335,0,21,35,0,132,160,6,2,37,0,0,0,2,14,-12.07475623
1b6j,12,411,0,32,51,0,158,182,6,3,33,0,0,0,2,14,-10.94188436
1ugx,13,210,0,21,18,0,103,81,3,2,20,0,0,0,0,12,-8.16496674
1jzs,9,255,4,34,11,58,81,76,2,2,26,0,0,0,1,20,-9.118236968
1t7j,12,358,0,21,42,0,119,188,3,4,30,0,0,0,0,14,-12.01949419
1b6m,11,314,0,16,36,0,105,168,4,1,40,0,0,0,2,12,-11.60502887
1ofz,6,114,0,0,0,0,120,0,2,3,12,0,0,0,0,4,-6.382765878
2bt9,9,139,0,2,7,0,116,23,1,4,9,0,0,0,0,4,-8.551801035
1ct8,11,275,0,3,22,0,129,132,1,7,43,1,2,2,0,13,-9.007712884
1a4w,8,334,0,60,25,0,100,157,5,1,39,0,0,0,2,13,-8.17878225
1hih,9,314,0,13,56,0,78,176,5,2,25,0,0,0,2,16,-11.121486
2arm,4,153,2,0,30,61,0,64,1,1,20,1,0,0,0,6,-11.23201008
2bvd,14,224,0,0,0,0,106,132,8,4,18,0,0,0,2,10,-8.289306335
1a99,7,177,0,8,13,18,106,39,5,0,23,3,0,0,2,5,-7.874841018
1sgu,9,345,0,11,32,0,108,203,3,2,50,0,0,0,2,14,-7.41892917
2j34,3,198,0,39,25,0,68,69,0,2,41,0,0,0,0,5,-10.80372926
1msn,7,357,0,16,54,0,128,166,4,1,37,0,0,0,0,11,-12.5582991
1sgx,16,321,0,36,7,0,189,105,2,6,11,1,0,0,3,7,-8.012996124
2aac,10,157,0,0,17,0,131,19,2,3,17,0,0,0,0,4,-3.067043344
1h1h,20,234,1,5,12,87,42,107,0,12,3,0,0,0,4,8,-7.211696511
2j4i,1,228,0,41,34,0,68,86,1,2,47,0,0,0,0,10,-12.4339595
1e4h,0,119,0,0,0,0,119,0,0,0,7,0,0,0,0,1,-11.61884438
1efy,4,198,2,15,0,102,76,7,1,3,29,0,3,0,0,3,-11.35634968
1h1p,4,227,0,42,3,0,178,8,2,1,18,0,0,0,0,4,-6.797231195
1h1s,5,280,0,35,4,15,191,40,3,2,30,0,0,0,1,7,-11.35634968
1g46,8,203,0,0,19,10,47,135,3,1,23,0,0,0,0,5,-12.15764929
1gcz,5,236,0,17,10,0,98,116,1,1,37,0,0,1,0,4,-7.087356916
1xhy,14,184,10,12,7,63,59,47,0,9,23,0,0,0,3,4,-8.537985525
1c84,16,231,13,0,15,63,13,143,1,8,19,0,1,0,3,3,-6.907755279
1c86,17,218,10,1,6,52,15,151,0,11,17,0,1,0,2,3,-6.493289962
1d6v,4,236,0,9,0,0,176,55,2,2,63,1,2,0,0,8,-8.524170014
5er2,20,445,0,21,66,0,144,234,4,5,36,0,0,0,0,30,-9.076790437
1c83,18,237,10,1,7,55,15,167,1,12,22,0,0,0,2,3,-6.700522621
2ans,2,183,0,0,0,30,108,47,0,2,21,2,0,1,1,3,-8.17878225
1pfu,7,130,4,25,0,16,73,19,2,1,10,0,0,0,1,5,-3.757818872
1eix,20,360,0,12,11,27,143,187,2,12,15,0,0,0,2,7,-15.27995468
1tvo,7,277,0,26,2,4,228,24,3,2,29,0,0,0,0,3,-9.463624732
1pa9,10,195,9,0,10,35,6,145,0,5,10,0,0,0,1,4,-6.355134857
1o0n,10,215,0,28,0,44,118,35,1,6,6,0,0,0,4,6,-5.650543818
1o0o,13,191,0,11,0,50,73,70,0,7,6,1,2,0,5,8,-7.045910385
1z3t,15,224,0,0,14,0,37,188,4,4,11,0,0,0,0,12,-5.44331116
1z3v,18,236,0,0,14,0,35,205,4,6,13,0,0,0,0,12,-5.678174839
1o0f,15,232,0,7,0,45,124,71,3,9,15,1,1,0,5,8,-7.322220596
1ezq,9,310,0,5,89,0,26,199,4,0,55,1,2,0,0,12,-12.50303706
1kmy,5,195,0,0,0,0,163,37,1,1,33,2,1,1,0,3,-7.045910385
2j47,14,228,0,0,13,0,50,179,6,2,24,0,0,2,0,7,-7.474191212
2a31,10,194,0,14,57,0,28,105,5,1,12,0,0,0,1,4,-1.395366566
1h6h,18,273,11,2,19,122,35,102,1,10,13,0,0,0,4,20,-7.322220596
1hi3,11,221,0,10,2,30,86,104,0,6,15,2,2,0,5,8,-5.788698924
2h6b,11,196,1,4,8,61,52,81,1,5,23,0,0,0,1,3,-7.446560191
2fxu,8,320,12,16,10,120,112,58,2,5,47,0,0,0,0,20,-11.2596411
2fxv,16,346,15,33,8,39,163,104,2,8,29,0,2,0,0,7,-7.391298149
1xzx,13,308,30,15,7,209,45,15,1,7,23,0,0,0,2,7,-14.11945179
2ff1,10,209,0,0,10,85,16,108,2,2,29,1,3,0,1,5,-11.34253417
1rd4,1,260,2,3,6,89,155,6,0,0,39,0,1,1,0,7,-10.69320517
1lee,5,316,0,13,29,0,147,132,2,3,35,0,0,0,0,15,-10.69320517
