PDB,VINA,GlideSP,GlideXP,DSX,RFScore,MMGbsa,HPS,HMS,HSS,XAvg ,Experimental
1LBK,-5.4891,-7.96,-8.05,-101.323,-7.23359,-64.199,-7.184,-7.515,-7.349,-7.349,-4.393332357
3SU3,-11.449,-9.8,-8.96,-197.858,-11.4068,-138.571,-10.38,-11.53,-11.27,-11.06,-12.61356114
2XB8,-10.502,-10.93,-9.16,-131.49,-7.988457,-101.875,-9.449,-9.739,-8.952,-9.38,-10.48597251
3ZSX,-7.7413,-8.84,-7.31,-138.61,-8.98015,-79.1883,-8.8,-9.864,-8.731,-9.132,-4.531487463
3UEX,-6.0777,-2.67,-7.74,-94.944,-8.694221,-111.951,-9.201,-8.648,-7.681,-8.51,-9.560333306
3EHY,-4.5502,-4.16,-4.03,-101.741,-5.662661,-29.2408,-7.266,-7.336,-7.336,-7.308,-8.082073676
3CFT,-4.0445,-4.63,-2.85,-38.442,-5.566555,-26.7745,-6.479,-7.28,-6.272,-6.672,-5.788698924
1W4O,-6.6107,-10.51,-13.97,-108.142,-7.026993,-74.2036,-7.626,-8.095,-7.626,-7.778,-7.211696511
1JYQ,-7.7716,-10.92,-15.29,-210.372,-11.14013,-123.884,-10.7,-11.3,-10.33,-10.78,-12.01949419
3CYX,-11.685,-13.45,-8.14,-230.703,-11.17114,-168.06,-11.92,-13.29,-12.14,-12.44,-11.05240845
3I3B,-6.4966,-5.58,-7.18,-53.448,-7.308921,4.616016,-7.018,-7.363,-6.907,-7.101,-3.080858854
2VL4,-7.6241,-8.92,-10.63,-85.034,-7.587252,-85.0264,-7.391,-7.805,-7.211,-7.474,-8.303121845
3NOX,-7.5016,-6.13,-8.24,-89.113,-10.39001,-81.8187,-8.358,-9.38,-8.759,-8.828,-11.96423214
2OBF,-11.113,-12.81,-14.65,-124.288,-10.77349,-108.78,-9.988,-10.49,-9.449,-9.974,-12.22672684
3G0W,-11.633,-11.84,-12.42,-130.888,-11.1627,-126.438,-10.03,-10.32,-9.615,-9.988,-13.15236605
1SLN,-6.9592,-8.73,-12.87,-185.774,-9.343927,-78.2577,-9.408,-10.11,-9.242,-9.587,-9.17349901
2JDU,-5.9931,-4.97,-3.74,-57.684,-5.431174,-7.02385,-6.576,-7.446,-6.811,-6.949,-9.284023095
