PDB,VINA,GlideSP,GlideXP,DSX,RFScore,MMGbsa,HPS,HMS,HSS,XAvg ,Experimental
2qwe,-7.16546,-6.69,-8.88,-76.899,-8.397724416,-18.04713327,-7.639977339,-8.068258166,-7.612346317,-7.778132444,-10.3340019
2cet,-8.04194,-8.99,-12.93,-108.949,-9.684811627,-51.56435498,-8.551801035,-9.325469627,-8.510354504,-8.800480225,-11.08003947
2j77,-6.20214,-7.33,-8.68,-73.29,-8.521255291,-42.26084956,-7.128803448,-7.66760836,-7.101172427,-7.294589575,-6.755784663
2j78,-6.4858,-6.66,-9.46,-77.42,-8.024302174,-53.50499487,-7.197881001,-7.626161828,-7.101172427,-7.308405085,-8.869557778
1m0n,-5.88435,-8.12,-7.34,-97.234,-6.882969566,-59.10589476,-8.247859803,-8.441276951,-8.551801035,-8.41364593,-3.067043344
1m0q,-5.74194,-7.73,-7.72,-96.041,-6.953402993,-45.46372673,-7.557084275,-7.861025507,-7.584715296,-7.66760836,-5.374233607
1zc9,-5.32021,-6.82,-6.47,-64.122,-7.075253029,-41.80122147,-6.907755279,-6.976832832,-6.9353863,-6.9353863,-4.4485944
1fkn,-8.47772,-14.73,-14.09,-234.36,-11.05768841,-153.1090926,-11.28727213,-12.2958044,-11.89515459,-11.82607704,-12.15764929
2fdp,-11.22908,-14.78,-17.26,-234.626,-11.30232752,-168.9674132,-11.93660112,-12.94513339,-12.18528031,-12.35106644,-10.48597251
2g94,-10.18772,-14.95,-14.75,-253.143,-10.82776877,-197.4474505,-11.770815,-12.80697829,-12.65500767,-12.40632848,-13.15236605
1ols,-6.83242,-8.01,-11.03,-77.282,-6.726316103,-68.41142348,-7.294589575,-7.68142387,-7.308405085,-7.43274468,-8.040627145
1olu,-6.09553,-7.62,-8.86,-74.412,-6.814602386,-90.71124931,-7.114987937,-7.557084275,-7.004463853,-7.225512022,-6.092640156
1v16,-5.65209,-6.06,-7.96,-78.707,-6.841196263,-43.72885145,-7.598530807,-8.068258166,-7.695239381,-7.791947955,-5.346602586
1k4g,-8.88702,-10.45,-10.57,-110.021,-8.364977121,-77.77808972,-8.330752866,-8.703771652,-7.93010306,-8.316937356,-8.082073676
1n2v,-7.54523,-9.45,-8.67,-83.106,-8.104919743,-64.24977085,-7.557084275,-7.902472039,-7.750501423,-7.736685912,-5.636728308
1s39,-7.08933,-9.58,-8.95,-70.376,-7.644238219,-51.81216362,-7.41892917,-8.012996124,-7.294589575,-7.570899786,-10.63794313
1kv1,-9.49377,-9.46,-9.83,-128.216,-9.439278264,-97.41024703,-9.546517796,-10.51360353,-9.822828007,-9.960983112,-8.206413271
2baj,-11.53659,-10.72,-11.15,-153.538,-10.86364288,-121.2015707,-10.69320517,-11.68792193,-11.41161172,-11.2596411,-11.60502887
2bak,-12.63945,-12.63,-13.1,-231.71,-10.41311745,-150.8512563,-12.33725093,-12.79316278,-11.70173744,-12.28198889,-10.26492434
1ndw,-7.22302,-8.05,-8.49,-81.083,-8.817781806,-69.46352704,-8.607063078,-8.745218183,-7.847209997,-8.399830419,-7.225512022
1ndy,-7.30388,-9.16,-9.81,-90.265,-10.10707204,-75.81478258,-8.91100431,-9.767565964,-8.399830419,-9.035343905,-8.524170014
1ndz,-10.86651,-10.84,-11.62,-160.597,-10.36803876,-100.9247128,-10.81754477,-11.14911702,-10.3340019,-10.76228272,-11.20437906
1l2s,-7.00296,-8.09,-6.26,-75.661,-8.123656557,-53.98893236,-7.584715296,-8.537985525,-7.764316934,-7.957734081,-6.341319346
1xgj,-6.96125,-7.49,-6.04,-70.385,-7.605028773,-51.02266992,-7.529453254,-7.93010306,-7.557084275,-7.66760836,-8.289306335
2hdq,-4.40153,-7.41,-6.56,-43.941,-5.385480943,-42.52500568,-6.451843431,-6.92157079,-6.451843431,-6.603814047,-1.934171478
1q8t,-7.38045,-8.07,-8.42,-93.92,-8.725060094,-70.50105618,-8.330752866,-8.330752866,-8.510354504,-8.386014909,-6.576183026
1re8,-12.42246,-13.76,-16.76,-175.368,-10.32864968,-132.2680996,-11.78463051,-11.95041663,-11.35634968,-11.68792193,-13.15236605
1ydt,-9.88257,-10.54,-12.29,-144.929,-10.71757128,-106.930951,-10.09913822,-10.18203128,-9.836643517,-10.04387618,-10.11295373
1fzj,-10.1737,-17.31,-20.36,-241.819,-9.472873418,-202.5233749,-13.20762809,-13.8707726,-12.18528031,-13.0832885,-11.19056355
1fzk,-10.96841,-15.61,-18.67,-247.569,-10.35310213,-172.792651,-13.27670565,-13.81551056,-13.17999707,-13.41486075,-11.60502887
1g7q,-8.82199,-10.64,-14.1,-181.075,-9.37241323,-123.0694615,-9.933352091,-10.61031211,-10.22347781,-10.26492434,-8.372199398
1m2q,-9.20386,-7.7,-7.15,-74.761,-8.281278315,-67.17662077,-8.441276951,-8.841926757,-8.095889187,-8.455092461,-8.42746144
1om1,-10.53008,-10.36,-9.64,-101.844,-9.500340811,-74.83475288,-9.601779838,-9.850459028,-8.731402673,-9.394547179,-9.353100648
1zoe,-5.83721,-5.42,-5.35,-51.271,-8.632999781,-87.61689814,-7.308405085,-8.703771652,-7.736685912,-7.91628755,-10.22347781
1g7f,-6.25887,-7.25,-9.9,-148.686,-8.255335244,-84.33729124,-8.634694099,-9.049159415,-8.386014909,-8.689956141,-7.557084275
1nny,-10.84708,-14.09,-19.68,-230.973,-11.32479983,-131.8692907,-11.6464754,-12.48922154,-11.66029091,-11.92278561,-10.58268109
2azr,-6.50895,-8.28,-13.14,-85.377,-6.005955894,-73.23192289,-7.750501423,-8.275490824,-7.488006722,-7.833394486,-5.028845843
2er9,-8.92761,-15.58,-11.25,-268.834,-10.7106012,-148.2352873,-12.15764929,-13.51156933,-12.4339595,-12.6964542,-10.22347781
4er2,-7.56183,-12.36,-14.14,-196.624,-10.95306504,-158.3258753,-10.40307945,-12.0333097,-10.77609824,-11.06622396,-12.84842482
5er1,-6.73207,-9.49,-8.93,-165.328,-10.60987418,-129.1123164,-9.201130032,-10.23729332,-9.670857391,-9.698488412,-8.316937356
1apw,-8.46231,-11.12,-12.49,-177.353,-11.3939582,-135.9697548,-9.560333306,-10.87280681,-10.16821577,-10.19584679,-11.05240845
1bxo,-11.87348,-14.52,-9.08,-183.232,-11.09288654,-142.4563801,-11.34253417,-12.59974563,-11.61884438,-11.85370806,-13.81551056
1ppm,-8.65787,-11.82,-7.86,-182.61,-11.19157331,-125.8179653,-10.19584679,-11.52213581,-10.14058475,-10.61031211,-8.012996124
1nja,-5.90212,-6.69,-7.09,-80.622,-7.601750629,-42.71451607,-7.253143043,-7.709054891,-7.211696511,-7.391298149,-8.717587162
1nje,-6.43535,-8.08,-10.04,-80.099,-7.554552946,-59.61644192,-7.363667127,-7.985365103,-7.43274468,-7.584715296,-5.249894012
1tsy,-6.68703,-8.92,-11.3,-83.013,-7.308522026,-65.75036485,-7.294589575,-7.847209997,-7.308405085,-7.474191212,-6.852493237
1tmn,-6.33794,-3.89,-6.87,-126.828,-10.09217654,-34.72344595,-8.593247567,-9.864274538,-8.441276951,-8.966266352,-10.08532271
4tln,-5.02869,-3.76,-5.33,-57.341,-7.475392142,-30.68827197,-6.68670711,-7.142618958,-6.866308747,-6.893939768,-5.139369928
4tmn,-8.67913,-6.12,-6.87,-159.642,-10.36205074,-22.7106899,-10.05769169,-10.96951538,-10.19584679,-10.40307945,-14.05037424
1fh7,-7.13129,-8.25,-14.27,-101.078,-7.437918652,-73.33227918,-7.626161828,-8.137335719,-7.570899786,-7.778132444,-7.239327532
1fh8,-7.0902,-7.85,-11.25,-108.16,-8.021195203,-67.68546622,-7.612346317,-8.151151229,-7.529453254,-7.764316934,-9.518886774
1fh9,-8.11814,-6.76,-11.31,-104.385,-7.89694542,-92.42376007,-7.833394486,-8.316937356,-7.736685912,-7.957734081,-8.883373289
1d09,-7.09793,-8.01,-9.87,-81.064,-7.117675849,-57.41923902,-7.336036106,-7.791947955,-7.336036106,-7.488006722,-10.45834149
2fzc,-5.37196,-4.56,-8.73,-59.121,-7.561977765,-61.86754967,-6.880124258,-7.308405085,-6.68670711,-6.963017321,-3.730187851
2h3e,-7.49628,-7.96,-10.53,-96.135,-7.360697175,-49.45604005,-7.515637744,-8.040627145,-7.557084275,-7.709054891,-7.874841018
2ctc,-4.75105,-8.12,-8.73,-68.804,-6.880329084,-32.98814077,-7.474191212,-7.515637744,-7.294589575,-7.43274468,-5.374233607
7cpa,-7.71343,-6.58,-8.13,-162.787,-12.37771822,-78.76038524,-10.37544843,-11.9089701,-10.22347781,-10.83136028,-19.28645274
8cpa,-6.65992,-3.8,-4.59,-133.43,-11.69970557,-13.59693347,-9.090605947,-10.45834149,-9.132052479,-9.560333306,-12.64119216
1b39,-6.5096,-7.32,-14.58,-126.367,-7.96661352,-47.13090337,-8.551801035,-9.062974926,-8.399830419,-8.67614063,-9.560333306
1e1v,-6.48856,-6.99,-7.71,-93.781,-7.868861918,-50.10096351,-7.584715296,-7.308405085,-7.764316934,-7.557084275,-6.797231195
1pxo,-6.08506,-8.89,-9.45,-68.952,-7.11962059,-64.22331473,-7.391298149,-7.722870402,-7.391298149,-7.501822233,-12.01949419
1BCU,-7.34364,-6.47,-4.39,-80.094,-8.634155464,3.477562335,-7.543268765,-7.639977339,-7.833394486,-7.66760836,-4.531487463
1SL3,-10.5618,-11.77,-12.93,-187.62,-11.39994885,-105.9129561,-10.11295373,-10.40307945,-10.19584679,-10.23729332,-16.37138001
1VZQ,-10.84226,-10.48,-10.58,-172.523,-10.70358205,-89.2759997,-9.739934943,-9.947167602,-9.726119433,-9.809012496,-10.27873986
1NVQ,-12.53099,-11.42,-12.5,-175.766,-10.99397596,-112.8146289,-10.78991375,-11.70173744,-10.29255537,-10.92806885,-11.39779621
2BRB,-8.14838,-6.93,-8.27,-116.305,-8.990751863,-78.00285357,-8.883373289,-9.380731669,-8.620878588,-8.966266352,-6.714338131
2BRM,-8.47326,-9.09,-9.24,-114.892,-8.973383634,-83.14392828,-9.007712884,-9.505071264,-8.759033694,-9.090605947,-8.137335719
1JQD,-8.46691,-9.9,-12.03,-160.346,-8.275286691,-90.43748452,-8.537985525,-8.731402673,-8.399830419,-8.565616546,-7.128803448
2AOU,-9.6186,-7.93,-5.56,-117.26,-10.50334424,-62.17095749,-9.850459028,-10.63794313,-9.726119433,-10.0715072,-10.67938966
2AOV,-10.23843,-8.95,-7.83,-76.13,-7.874375284,-74.46402629,-9.062974926,-9.836643517,-8.952450842,-9.284023095,-9.726119433
1PB9,-4.90651,-7.91,-9.08,-56.69,-6.358740643,-52.12711175,-6.493289962,-6.990648342,-6.465658941,-6.645260578,-5.001214822
1PBQ,-7.74571,-9.18,-8.09,-78.105,-8.154249196,-70.26401726,-7.91628755,-8.938635331,-8.054442655,-8.303121845,-8.66232512
1Y1M,-5.85725,-7.25,-8.43,-70.723,-6.000939135,-42.30856716,-7.18406549,-7.778132444,-7.377482638,-7.446560191,-2.514422922
1B8O,-8.38505,-10.43,-13.94,-108.13,-10.28426765,-102.2640103,-8.42746144,-9.090605947,-8.316937356,-8.607063078,-14.69970323
1VFN,-5.98293,-8.31,-7.2,-58.091,-6.998690995,-43.3911589,-6.617629557,-6.990648342,-6.534736494,-6.714338131,-7.736685912
1FTM,-7.30018,-8.27,-7.1,-92.433,-7.042814765,-76.86623861,-7.971549592,-8.344568377,-7.971549592,-8.095889187,-10.51360353
1P1Q,-7.30246,-7.94,-9.23,-88.204,-7.169925243,-75.07606865,-7.847209997,-8.234044293,-7.847209997,-7.971549592,-6.755784663
1SYH,-9.26436,-10.53,-11.62,-117.035,-8.525126804,-95.30637952,-8.565616546,-8.993897373,-8.537985525,-8.703771652,-8.717587162
1FCX,-15.57873,-16.26,-19.35,-184.697,-11.03587465,-156.1792262,-13.37341422,-13.98129668,-11.60502887,-12.98657992,-9.933352091
1FCZ,-14.60515,-15.73,-18.76,-170.433,-10.83582308,-153.9307897,-13.06947299,-13.44249177,-11.53595132,-12.68263869,-12.73790073
1FD0,-16.03525,-16.39,-19.61,-184.189,-11.21804845,-151.2103694,-13.69117096,-14.36813098,-11.95041663,-13.33196769,-11.60502887
1F4E,-6.5472,-6.64,-4.92,-73.11,-7.836451985,-37.1671602,-7.639977339,-8.220228782,-7.847209997,-7.902472039,-4.089391125
1F4F,-8.32736,-9.02,-7.52,-110.396,-9.017133877,-64.7228735,-8.786664715,-9.228761053,-8.275490824,-8.759033694,-6.382765878
1F4G,-9.07296,-9.51,-9.57,-153.448,-9.152602639,-93.7506077,-9.40836269,-9.753750454,-8.883373289,-9.339285137,-8.952450842
1F5K,-5.20772,-8.99,-7.39,-66.442,-6.015185755,-41.3245422,-6.852493237,-6.880124258,-7.156434469,-6.963017321,-5.167000949
1O3P,-9.0474,-8.83,-8.38,-126.003,-9.448087988,-13.3961029,-8.703771652,-8.66232512,-9.242576563,-8.869557778,-9.201130032
1SQA,-7.41353,-9.07,-9.06,-136.38,-9.777990759,-46.3683178,-8.92481982,-9.132052479,-9.353100648,-9.132052479,-12.72408522
2AYR,-12.16862,-13.13,-13.88,-187.922,-10.78822923,-151.2134178,-12.59974563,-13.05565748,-11.03859294,-12.22672684,-12.83460931
2B1V,-9.42003,-10.07,-10.85,-113.004,-9.22599354,-104.536709,-9.394547179,-9.297838606,-8.620878588,-9.104421458,-7.93010306
2FAI,-9.81689,-9.76,-10.03,-121.45,-9.370605194,-109.1197229,-9.574148817,-9.65704188,-8.952450842,-9.394547179,-8.620878588
1AVN,-2.68785,-5.86,-3.26,-17.975,-7.266730361,-20.55480964,-5.650543818,-5.913038519,-5.553835244,-5.70580586,-5.388049118
1IF7,-5.32272,-5.53,-5.23,-81.53,-10.54591526,-52.91086414,-7.764316934,-9.1596835,-7.861025507,-8.261675314,-14.53391711
1TTM,-6.13409,-5.24,-5.11,-64.038,-9.925046674,-67.18543773,-7.41892917,-8.66232512,-7.322220596,-7.791947955,-10.15440026
1MQ6,-8.96448,-8.16,-6.88,-177.803,-11.21554742,-92.57842952,-9.670857391,-10.65175864,-9.947167602,-10.08532271,-15.40429427
1NFY,-9.6191,-8.81,-9.53,-144.728,-11.13975737,-67.02650437,-9.781381475,-10.15440026,-9.560333306,-9.836643517,-12.28198889
2BOK,-8.39708,-12.12,-15.99,-154.347,-10.12694517,-90.81513628,-8.869557778,-8.745218183,-9.035343905,-8.883373289,-9.049159415
1HFS,-9.94995,-13.63,-13.08,-281.932,-11.50254484,-114.4236683,-12.87605584,-13.71880198,-12.47540603,-13.02802646,-12.01949419
2D1O,-7.10857,-11.68,-15.8,-184.226,-10.03977435,-107.5056883,-9.726119433,-10.11295373,-9.201130032,-9.684672901,-10.63794313
2USN,-6.732,-6.8,-6.92,-108.785,-9.641424172,-62.62356197,-8.358383888,-9.463624732,-8.040627145,-8.620878588,-8.993897373
2B7D,-8.64509,-9.14,-10.28,-150.261,-10.44448829,-47.54325164,-9.491255753,-10.52741905,-9.339285137,-9.781381475,-12.01949419
2BZ6,-8.0551,-10.31,-12.54,-147.941,-9.912130397,-76.0186827,-8.800480225,-8.993897373,-9.007712884,-8.92481982,-9.795196986
2FLB,-7.83071,-7.57,-6.31,-109.325,-9.10897198,-20.7496485,-8.565616546,-8.537985525,-8.952450842,-8.689956141,-7.93010306
1LOL,-6.67604,-9.55,-9.42,-88.407,-7.13153621,-53.12756855,-7.156434469,-7.543268765,-7.018279363,-7.239327532,-8.828111247
1LOQ,-7.19066,-10.24,-13.14,-96.257,-7.763455055,-50.74011678,-8.054442655,-8.717587162,-8.040627145,-8.275490824,-5.111738906
1X1Z,-7.40617,-9.52,-12.65,-96.167,-7.684304746,-52.15031776,-8.17878225,-8.883373289,-8.17878225,-8.41364593,-15.27995468
1KV5,-2.92901,-7.87,-6.39,-44.791,-6.054841112,-23.17131768,-6.479474452,-7.004463853,-6.424212409,-6.631445068,-5.830145455
1TRD,-5.06173,-6.81,-6.96,-66.698,-8.178939164,-45.51001071,-6.824862216,-7.43274468,-6.811046705,-7.018279363,-7.460375701
4TIM,-3.88129,-8.05,-7.63,-52.847,-5.251601395,-24.49344626,-6.755784663,-7.225512022,-6.672891599,-6.880124258,-2.984150281
1BRA,-4.06883,-7.78,-6.94,-60.794,-5.940028843,-36.00079112,-6.755784663,-6.852493237,-7.073541406,-6.893939768,-2.514422922
1J16,-5.21943,-7.41,-6.6,-69.288,-6.070096856,-40.62667487,-7.004463853,-7.004463853,-7.280774064,-7.101172427,-5.305156054
1J17,-10.71152,-7.33,-5.11,-166.077,-10.64427304,-54.44060862,-9.753750454,-9.809012496,-9.753750454,-9.781381475,-7.211696511
1O3F,-8.66683,-8.58,-7.71,-114.298,-9.063400171,-12.00788628,-8.786664715,-8.814295736,-9.104421458,-8.897188799,-10.9971464
1UTP,-3.74153,-6.29,-5.88,-67.308,-4.375327385,-23.95319293,-6.603814047,-6.451843431,-6.963017321,-6.672891599,-1.98943352
1V2O,-6.63248,-9.17,-11,-125.161,-9.625915205,-63.33965751,-8.275490824,-8.67614063,-8.372199398,-8.441276951,-6.534736494
1JYS,-4.8367,-6.9,-6.01,-53.044,-7.818104798,-23.90329426,-6.396581388,-6.68670711,-6.286057304,-6.451843431,-4.863059716
1NC1,-9.73782,-10.85,-14.19,-126.114,-9.819404154,-103.4317509,-8.92481982,-9.007712884,-8.634694099,-8.855742268,-8.455092461
1Y6Q,-9.02437,-12.45,-13.72,-120.766,-9.066855796,-124.0130623,-8.92481982,-8.800480225,-8.386014909,-8.703771652,-16.16414735
1BMA,-5.62703,-7.8,-7.96,-146.197,-10.50070987,-69.37717743,-9.242576563,-10.26492434,-9.601779838,-9.698488412,-6.341319346
1ELA,-7.97656,-9.19,-10.29,-155.059,-10.36015866,-95.25924584,-8.966266352,-10.27873986,-9.049159415,-9.435993711,-8.786664715
1ELB,-5.41564,-4.23,-4.26,-101.676,-10.41548152,-50.7706144,-7.695239381,-9.214945542,-7.957734081,-8.289306335,-9.878090049
1A69,-8.67085,-7.83,-7.39,-103.264,-7.848177005,-75.79691323,-7.943918571,-8.303121845,-7.819578976,-8.026811634,-7.322220596
1K9S,-7.74503,-9.69,-9.8,-109.355,-8.405436263,-68.71206359,-8.040627145,-8.455092461,-7.943918571,-8.151151229,-9.007712884
1PR5,-7.32368,-7.52,-5.78,-97.633,-8.118181802,-42.23614904,-7.847209997,-8.040627145,-7.750501423,-7.888656529,-5.415680139
3PCE,-5.03956,-5.69,-5.64,-57.868,-5.352528708,-35.8965943,-7.087356916,-7.142618958,-7.142618958,-7.128803448,-2.763102112
3PCH,-5.43423,-8.96,-8.04,-54.646,-7.122432283,-51.02221295,-7.377482638,-8.192597761,-7.391298149,-7.653792849,-7.460375701
3PCJ,-5.48746,-6.96,-6.87,-46.519,-8.220064343,-28.10982038,-6.907755279,-7.280774064,-6.645260578,-6.949201811,-9.974798623
1FLR,-11.33178,-10.94,-7.07,-118.613,-9.191063219,-86.09718835,-10.08532271,-11.13530151,-9.615595348,-10.27873986,-13.81551056
1PZ5,-6.22445,-11.5,-9.23,-169.142,-10.46165216,-103.1876988,-8.883373289,-8.634694099,-8.468907972,-8.66232512,-7.460375701
2CGR,-8.74892,-7.71,-6.62,-115.136,-9.089299376,-84.96148968,-9.145867989,-9.712303922,-9.118236968,-9.325469627,-10.05769169
10GS,-7.37179,-8.88,-9.85,-135.583,-9.714496632,-104.4833583,-9.284023095,-10.54123456,-8.869557778,-9.560333306,-8.841926757
2GSS,-5.31473,-5.47,-5.4,-63.663,-6.821453734,-61.43647037,-7.253143043,-8.192597761,-7.211696511,-7.557084275,-6.824862216
3GSS,-6.67242,-9.44,-7.64,-134.005,-9.579704772,-106.9070035,-8.828111247,-9.712303922,-8.455092461,-9.007712884,-8.040627145
2STD,-9.82733,-7.92,-9.62,-100.408,-12.06757875,-112.8773608,-9.505071264,-10.23729332,-9.40836269,-9.712303922,-13.6082779
3STD,-12.68896,-11.92,-10.05,-137.294,-11.10269279,-105.5356381,-12.24054235,-12.4339595,-10.78991375,-11.82607704,-15.34903223
6STD,-9.96861,-8.6,-9.9,-108.715,-10.74311597,-127.5659521,-9.491255753,-10.22347781,-9.463624732,-9.726119433,-11.93660112
1JAQ,-6.18182,-6.66,-8.42,-107.804,-7.738195743,-48.7993609,-7.529453254,-8.441276951,-7.722870402,-7.902472039,-6.18934873
1ZS0,-7.01327,-7.64,-7.12,-145.511,-9.953299007,-45.07861846,-9.021528394,-9.021528394,-8.814295736,-8.952450842,-8.496538993
1ZVX,-6.76462,-7.87,-7.36,-154.772,-9.683169605,-38.4843865,-9.090605947,-9.477440243,-9.021528394,-9.201130032,-12.73790073
1DHI,-8.24977,-10.64,-10.84,-120.035,-9.138789062,-89.25902081,-8.841926757,-9.394547179,-8.386014909,-8.869557778,-10.03006067
2D0K,-7.98202,-8.04,-7.36,-120.938,-8.664373243,-90.2989735,-8.648509609,-9.256392074,-8.16496674,-8.689956141,-6.9353863
2DRC,-8.65519,-10.35,-10.72,-130.468,-9.050917547,-105.5106274,-9.035343905,-9.587964327,-8.579432056,-9.062974926,-13.66353994
1DF8,-6.6856,-9.93,-8.83,-103.045,-8.582073477,-87.02658536,-7.943918571,-8.054442655,-7.598530807,-7.874841018,-13.40104524
1SLG,-5.08363,-9.18,-9.54,-109.76,-8.819830965,-73.72724724,-7.695239381,-8.634694099,-6.976832832,-7.764316934,-5.388049118
2F01,-6.77606,-12.69,-14.71,-107.128,-8.65198751,-105.956253,-8.109704698,-8.386014909,-7.847209997,-8.109704698,-17.96016373
1O0H,-6.09239,-7.36,-6.87,-93.428,-7.30466465,-70.39326378,-7.405113659,-7.791947955,-7.225512022,-7.474191212,-8.17878225
1U1B,-8.5394,-10.68,-12.35,-191.585,-9.153957055,-80.56865234,-9.463624732,-9.809012496,-9.228761053,-9.505071264,-10.77609824
2G8R,-5.0748,-4.32,-2.89,-83.339,-7.592713245,-20.41174295,-6.976832832,-7.045910385,-6.866308747,-6.963017321,-5.512388713
1HI4,-6.82675,-8.66,-9.55,-99.291,-7.643937696,-71.75102108,-7.66760836,-8.082073676,-7.529453254,-7.764316934,-6.203164241
2BZZ,-8.05224,-10.32,-14.22,-164.309,-8.693420178,-99.03988534,-9.256392074,-9.366916158,-8.759033694,-9.132052479,-8.883373289
2C02,-6.20367,-7.89,-8.76,-83.688,-7.305594265,-46.21760402,-7.501822233,-7.805763465,-7.294589575,-7.529453254,-5.581466265
1E5A,-2.25156,-2.19,-0.87,-16.733,-5.025088506,-22.81591296,-5.595281776,-7.225512022,-6.009747093,-6.272241793,-10.55505007
1TYR,-4.54842,-3.05,-2.25,-64.602,-5.661982753,-52.27306824,-7.239327532,-8.123520208,-7.474191212,-7.612346317,-9.670857391
2G5U,-3.53042,-3.77,-1.75,-36.173,-6.617627307,-42.51767218,-6.341319346,-8.537985525,-6.43802792,-7.101172427,-11.72936846
1JQ9,-6.29493,-7.4,-6.62,-163.314,-9.703880992,-61.6199629,-8.841926757,-10.0715072,-8.565616546,-9.1596835,-11.67410642
1Q7A,-7.86452,-4.41,-4.28,-108.963,-9.166750291,-43.30249402,-8.800480225,-9.463624732,-8.91100431,-9.062974926,-9.933352091
1SV3,-4.95407,-6.08,-4.63,-56.699,-6.059989675,-11.86314076,-6.783415684,-7.363667127,-6.631445068,-6.92157079,-6.548552004
1A08,-4.22348,-8.27,-10.94,-126.178,-9.199983153,-79.65297113,-7.66760836,-8.620878588,-7.41892917,-7.902472039,-7.764316934
1A1B,-4.66979,-7.96,-11.02,-123.594,-8.423079918,-78.14699096,-7.819578976,-8.814295736,-7.695239381,-8.109704698,-8.841926757
1IS0,-5.39298,-10.31,-12.47,-140.462,-8.740000234,-96.21854697,-8.772849204,-8.938635331,-8.67614063,-8.786664715,-9.670857391
1A30,-6.57445,-9.53,-10.17,-116.025,-8.961582135,-74.43135839,-8.17878225,-8.344568377,-7.971549592,-8.16496674,-5.94066954
2F80,-9.24921,-11.58,-12.15,-192.152,-12.27497141,-147.9718588,-10.48597251,-11.48068927,-10.3340019,-10.76228272,-11.30108764
2I0D,-8.79553,-12.25,-10.78,-208.588,-12.91633182,-139.6539587,-10.51360353,-11.37016519,-10.41689496,-10.76228272,-16.71676778
