PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds,Experimental
1o3p,-234.9818144,8.670060035,-2.407138794,-30.21596592,-0.670753875,288.1507418,-39.57370276,12.35320998,9,147,0,26,45,0,26,59,3,0,26,0,0,0,0,6,-9.2
1olu,32.85451279,0.231643527,-4.955811915,-22.98790551,0,-42.17825421,-34.81285588,-1.92395614,13,139,0,11,41,0,23,77,2,7,13,0,0,0,4,12,-6.09
1om1,-17.60777262,3.130497536,-3.044435861,-38.67611313,-0.616896952,34.01430252,-39.74565084,6.116325152,2,83,0,5,8,0,55,17,0,2,37,0,0,0,1,2,-9.35
1p1q,-40.43440778,0.068499168,-4.645995405,-18.42508624,-0.110097761,20.22627685,-25.60650112,2.088005939,13,162,3,27,2,49,72,22,1,7,14,1,0,0,2,5,-6.76
1pb9,-41.81847527,1.747097666,-3.105887166,-10.83015882,0,25.41987792,-12.08293376,1.62764886,15,138,7,19,6,52,52,17,4,7,12,1,0,0,1,1,-5
1pbq,-14.00108485,0.55804576,-7.067220122,-27.17096725,-6.428580912,17.61091635,-32.39084012,0.582879409,3,100,0,9,0,21,46,27,0,5,29,0,2,0,1,2,-8.66
1ppm,5.654738763,5.217604408,-4.04766782,-47.26674277,-0.204954774,0.67931473,-69.10415221,8.53499965,11,162,0,2,35,0,49,87,2,4,22,0,0,0,0,17,-8.01
1pr5,-22.14349145,1.953057362,-5.75941986,-19.77827566,-0.269702456,49.48449511,-33.90952515,4.608058587,8,141,0,36,0,14,52,47,4,0,20,0,0,0,0,6,-5.42
1pxo,-17.43757694,3.67877019,-3.667672769,-20.45611843,-0.009791256,15.05538672,-29.80152052,2.333380996,2,56,0,6,11,0,26,15,1,1,15,0,0,0,0,3,-12.02
1q7a,2.324379424,4.37087809,-0.343639592,-30.62461354,-1.230001695,24.79215082,-36.60333875,6.008964021,0,52,3,0,7,18,0,24,0,0,27,0,0,1,0,6,-9.93
1q8t,-18.09277522,3.5859339,-0.592230324,-31.96937129,-7.26E-07,27.40751944,-40.67916886,3.056810515,1,56,0,18,1,0,29,9,0,2,17,0,0,0,0,4,-6.58
1re8,-80.83133843,3.39416278,-3.245380099,-44.03442767,-0.023459868,67.78611663,-68.0890631,7.208675367,10,176,0,34,22,7,80,43,3,2,35,1,0,0,2,9,-13.15
1rnt,8.576263608,1.614047605,-10.21824878,-6.430937632,-1.206322594,-5.732407026,-32.14821867,2.655609688,10,145,0,4,26,0,63,62,3,5,14,0,0,0,2,7,-7.17
1s39,-20.86481328,0.70532816,-7.07346627,-15.01971108,-5.259562003,27.29919284,-26.98511242,0.98055836,6,117,0,7,7,27,50,32,3,2,28,0,2,0,0,1,-10.64
1sl3,-78.11624662,2.328966212,-0.753660062,-51.71562888,-2.496314581,103.2615129,-65.43382277,10.04148912,5,147,0,49,19,0,21,63,2,1,30,0,1,1,0,10,-16.37
1slg,-39.94006663,4.013921395,-1.419955037,-27.06831582,-1.207721472,24.77765393,-32.635073,20.68339904,7,125,0,1,0,0,123,8,1,4,17,1,0,1,0,26,-5.39
1sqa,-289.2123935,10.42988258,-8.542644631,-24.22964823,-0.190178935,321.0435113,-53.45761553,11.8865062,5,171,0,5,57,0,6,108,4,1,18,0,1,0,1,8,-12.72
1sv3,151.2919586,0.066028007,-0.258929971,-10.65723504,0,-128.3983156,-17.90547057,0.180699287,1,37,0,0,15,14,0,9,0,0,12,0,0,0,1,2,-6.55
1syh,-48.43968793,0.751443128,-4.935453082,-26.82616057,-0.001623018,22.33642195,-33.9812348,2.97260579,18,194,6,27,4,60,90,25,3,7,27,1,0,0,2,4,-8.72
1tmn,-40.71652179,6.491373729,-3.199593106,-39.7734393,0,79.58822673,-42.44768579,13.92006444,13,149,0,12,0,56,54,40,2,3,10,0,0,0,6,19,-10.09
1trd,-87.5329204,2.89096545,-7.8845404,-3.63359647,0,87.14754464,-23.54290271,2.605258004,9,107,0,19,16,0,39,42,2,9,3,0,0,0,2,4,-7.46
1tsy,-6.733690547,4.661745538,-6.52548185,-9.868121036,-0.004811145,-6.785369141,-26.10550267,5.745638735,12,137,5,9,0,19,55,61,2,5,5,0,0,0,2,6,-6.85
1ttm,-0.691023023,1.867911527,-2.069243315,-19.68539987,-0.005085874,-8.476309777,-30.08032927,2.308977521,7,82,0,0,7,10,29,43,1,2,16,0,0,0,0,3,-10.15
1u1b,-58.6237841,5.465436587,-7.29519645,-15.97413409,-5.970156007,96.13153899,-62.06166003,7.533588799,8,164,0,22,0,30,79,41,3,6,13,0,2,0,7,16,-10.78
1u2y,-26.13826223,1.155587199,-1.297840979,-9.94399404,0,32.87492051,-18.59594731,0.097437381,1,57,0,0,5,5,24,24,0,1,4,0,0,0,0,6,-2.4
1u33,-37.20669648,4.558243703,-5.32138026,-38.25085771,0,70.41265941,-47.04764201,12.00732644,11,191,0,3,19,30,54,96,4,4,19,0,0,0,0,18,-6.36
1utp,-103.6372738,0.442142492,-1.240905077,-21.7284066,-2.254333823,132.2650295,-22.43648373,1.990283823,2,68,0,4,28,0,4,34,1,0,7,0,0,0,1,5,-1.99
1uwt,-26.1854376,6.28787892,-2.985474205,-17.22589697,0,31.67870653,-22.09119252,14.61078002,11,174,0,0,0,0,73,112,3,3,17,0,0,0,0,6,-8.25
1v16,-20.15486117,8.725484941,-11.01677455,-26.96057485,0,42.1377725,-36.81941935,8.398308186,10,133,0,8,33,0,24,78,1,7,16,0,0,0,4,9,-5.35
1v2o,-314.7214075,5.26636006,-7.62682632,-22.40316562,-0.03077905,315.329228,-38.59433852,13.70348473,7,137,0,7,66,0,4,67,3,2,15,0,0,0,0,11,-6.53
1vfn,-26.01363886,0.134832752,-1.529064847,-3.09549811,-0.262703169,21.64466658,-24.73852674,0.024254241,4,85,0,29,0,0,17,43,2,1,12,0,0,1,0,0,-7.74
1vzq,-178.5446148,6.859355541,-7.774855289,-35.13134147,-0.14733493,180.7632598,-56.82490342,7.165877092,8,154,0,34,34,0,13,81,3,1,33,0,0,1,1,7,-10.28
1x1z,-17.89249932,6.335788515,-9.780305834,-12.00608853,0,14.15524658,-28.72240785,8.062763269,14,165,0,13,10,0,57,99,2,9,8,0,0,0,1,7,-15.28
1xd1,-37.09130748,2.778666148,-6.111748367,-60.42464766,0,75.2857715,-79.68019929,28.91138075,16,271,0,0,47,38,54,148,6,3,23,0,0,0,3,34,-10.94
1xgj,-30.3190434,3.129608716,-3.364157493,-12.71124576,-0.066197115,37.81373608,-34.52174461,3.807871984,7,117,4,30,10,57,7,16,0,4,13,0,0,2,1,6,-8.29
1y1m,-24.64773263,1.158338229,-3.72923783,-17.4229877,0,15.06301439,-15.35433509,1.976233962,9,108,0,16,0,30,61,10,3,4,17,1,0,0,2,2,-2.51
1y6q,-125.9177678,3.050648829,-6.228058199,-53.15980147,-1.693948378,120.965822,-53.87343396,5.293390869,5,147,0,22,23,17,41,49,5,1,22,0,2,0,2,6,-16.16
1ydt,18.37776636,6.531519682,-1.153007654,-45.74664224,-1.81E-06,-8.761298023,-58.67770677,3.360545625,3,108,0,37,9,0,48,17,0,1,36,1,0,0,1,8,-10.11
1zc9,17.77148957,2.186404818,-2.530480089,-12.85934907,-0.161502179,-5.463962213,-27.17127054,4.958765204,10,101,14,0,12,16,12,57,0,2,14,0,0,0,0,7,-4.45
1zoe,6.084084333,1.542614231,0,-58.35103384,-3.70E-09,6.405415903,-39.95871607,1.628234447,0,45,0,4,1,0,33,7,0,0,15,0,0,0,0,1,-10.22
1zs0,125.3175442,4.722690066,-1.425720927,-32.61922703,-2.829828235,-76.93258831,-52.20592829,6.823992543,4,111,5,8,28,40,12,22,0,3,28,2,1,0,3,7,-8.5
1zvx,125.1185316,4.782734941,-1.607368336,-34.19313461,-4.780747489,-79.32822511,-49.12835012,8.997488906,5,128,2,16,28,43,13,31,1,2,37,1,2,0,3,7,-12.74
2aou,0.85257043,4.799122982,-0.094667894,-47.75278522,-6.319314098,59.05940664,-46.50929532,10.12429612,1,116,5,0,0,76,4,32,0,0,50,0,4,1,0,7,-10.68
2aov,-4.416125964,-0.151259305,-2.709787355,-29.73834183,-1.495865012,24.59301239,-38.76979924,0.660969641,6,78,1,0,2,31,1,49,1,0,14,0,1,1,0,3,-9.73
2ayr,-3.992867498,2.329009467,-1.954346564,-74.21032649,-1.438389381,19.5749715,-69.53530199,8.240381209,6,103,17,0,1,78,0,13,1,1,38,0,0,2,1,9,-12.83
2azr,-101.0128091,1.52661543,-8.595500197,-22.30459173,-0.898443655,101.5332365,-32.40600728,5.223991117,7,99,8,0,5,30,4,59,0,6,25,0,0,0,3,4,-5.03
2b1v,-16.77380362,3.616596259,-1.805601998,-59.22071071,-0.283515563,20.73870499,-40.28922301,3.546279989,3,54,8,0,0,42,0,7,2,1,15,0,0,1,0,4,-7.93
2b7d,-72.61042756,8.572851407,-8.514524723,-22.19978602,-1.175649241,114.9819672,-40.78387294,15.49895958,10,186,0,9,70,0,6,111,4,0,25,1,0,1,1,12,-12.02
2bak,-7.590451473,5.05908683,-1.507517386,-72.98928775,-0.919819773,36.16553176,-87.8174839,3.841294356,4,132,0,16,18,15,44,43,1,2,47,1,0,1,2,10,-10.26
2bok,-321.4372881,6.929653317,-6.46864643,-42.385587,0,326.1019907,-56.82582014,8.215564743,4,141,0,30,28,9,17,61,2,1,37,2,0,0,0,7,-9.05
2brb,-10.35143814,0.164914054,-0.662276551,-30.75472952,0,20.50723954,-41.45489793,2.30934599,1,67,0,22,3,0,37,6,0,2,22,0,0,0,0,6,-6.71
2brm,-22.5782936,0.718861725,-0.927054724,-26.03956821,-1.12E-09,26.63688154,-38.4778418,3.227009609,2,76,0,25,5,0,41,7,1,1,20,0,0,0,0,6,-8.14
2bz6,-96.08564822,1.796001837,-8.499634321,-31.33066451,-0.07860481,118.8112391,-48.34498804,7.394232701,6,172,0,42,37,0,18,81,5,0,37,0,0,1,1,10,-9.8
2bzz,-185.178278,10.6201562,-14.71444728,-13.37126382,-12.32500885,194.2848465,-52.86900966,21.30157552,10,195,0,16,0,32,91,66,1,6,17,0,2,0,5,22,-8.88
2c02,-111.6700564,6.047159737,-9.458926662,-10.27419411,-4.714405411,122.5308398,-34.05792185,9.828046508,5,115,0,1,0,21,34,64,1,6,9,0,1,0,5,9,-5.58
2ceq,-40.43879583,0.880710371,-2.973310854,-19.59208332,-1.512814313,27.31116005,-21.35518075,12.11999535,15,169,0,0,0,0,93,91,2,3,25,0,1,0,0,5,-10.06
2cer,-52.06227523,0.885655835,-4.57769508,-31.06951943,-1.274252325,51.61790581,-31.93825945,12.44406757,14,173,0,1,0,0,71,115,5,3,27,0,1,0,0,8,-12.74
2cet,-32.41373393,4.058300188,-4.235162731,-30.67355037,-2.981500489,64.61142004,-30.55218916,14.27199592,13,158,0,0,0,2,65,104,3,3,32,0,1,0,0,8,-11.08
2cgr,-24.95171617,6.992470513,-6.817297683,-29.18701146,-2.884141613,19.12632104,-50.09899714,6.230752967,4,155,0,18,21,0,107,13,2,1,36,0,1,3,1,6,-10.06
