PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds,Experimental
1awi,1.082496868,9.675422203,-1.335098535,-72.50586104,0,5.303013878,-77.88724526,10.72867594,7,148,4,0,7,111,8,25,0,4,45,0,0,0,0,10,-5.595281776
1b32,-126.0441534,1.808699845,-7.370150583,-19.99797924,0,166.2645393,-62.38579368,6.452875738,18,246,2,34,25,39,100,64,5,4,27,0,0,0,1,19,-9.809012496
1b3f,-116.8816408,1.927185915,-8.372724769,-10.56932052,-1.488451658,165.996864,-65.96563958,5.073025073,17,281,2,34,29,44,105,84,7,4,32,0,0,1,2,18,-9.518886774
1b3g,-115.8995795,2.628478622,-7.216697264,-16.574089,0,160.9751284,-59.86902168,7.759617108,15,242,2,36,26,30,93,70,7,4,25,0,0,0,1,18,-9.256392074
1b3h,-110.5181973,5.423825238,-7.099105928,-16.33559859,-0.415127145,160.9307583,-66.18099317,11.06528426,19,240,2,35,25,40,88,69,8,3,30,0,0,0,1,18,-8.579432057
1b3l,-194.1155264,3.038476796,-8.849037201,-3.4054021,0,174.4730377,-50.7996247,6.154537503,17,214,2,32,25,22,90,60,7,4,16,0,0,0,1,16,-8.137335719
1b40,-185.0379486,2.985070372,-8.942353167,-16.58030755,-1.611953951,181.6004711,-65.53264008,6.833352383,18,277,2,35,24,46,105,83,9,3,36,0,0,1,1,18,-10.05769169
1b46,-172.3377849,4.063785923,-8.875233343,-13.43753889,0,162.0326439,-61.56104855,6.022562397,16,222,2,44,12,24,102,54,7,5,20,0,0,0,1,15,-7.294589575
1b51,-190.2725203,2.779764288,-9.364432576,-6.97109708,0,175.5132023,-55.70662919,9.268933833,18,240,2,34,26,32,97,67,4,5,18,0,0,0,1,18,-10.18203128
1b58,-126.1222488,2.01761567,-7.56303834,-16.10037739,-1.352900633,170.896321,-68.09686525,5.616197994,19,267,2,32,30,39,101,82,9,4,30,0,0,1,1,19,-9.104421458
1b5i,-184.7067016,4.764328828,-9.559684324,-6.96526322,-1.625750135,177.0554074,-61.9575746,10.06841342,18,256,2,32,30,34,96,80,7,4,22,0,0,0,1,18,-9.739934943
1b5j,-111.4086869,1.059376632,-8.94937322,-10.7317093,-2.24683285,141.7942717,-67.05839836,7.002534441,18,274,2,36,24,49,107,74,10,5,24,0,0,0,1,19,-10.26492434
1b74,6.594913562,3.992731498,-1.205429507,-6.45633156,-0.29670942,-1.802901284,-23.68397258,2.914984965,4,79,7,0,16,28,7,25,1,1,1,0,0,0,0,5,-1.796016373
1b8n,-40.74288826,2.642614557,-5.649283651,-27.45604586,-0.903436766,37.87479662,-45.41074796,10.65533551,8,181,2,41,0,20,63,63,6,2,14,0,0,1,0,6,-14.53391711
1b8y,97.07784767,4.478490069,-0.915760808,-42.22403837,-4.400414971,-62.24500349,-55.54670257,10.77352531,3,104,2,10,29,30,14,22,0,2,27,3,1,0,4,6,-10.84517579
1bai,-42.65515873,9.448921968,-3.613434974,-75.30310341,0,72.85858469,-96.46905151,23.31670682,10,186,0,17,50,0,52,77,4,4,20,0,0,0,1,29,-10.63794313
1bap,-35.02511913,1.344797642,-5.296246455,-13.93615897,0,21.9578224,-20.87491194,8.943848888,13,120,0,0,1,41,4,87,3,5,6,0,0,0,0,4,-9.463624732
1bcd,-12.05347737,-2.897021637,-1.816362887,-5.08637471,0,-6.005701865,-16.52271622,-1.713083997,4,71,0,0,8,0,33,34,1,2,1,0,0,0,0,2,-12.01949419
1bdq,-22.4824187,6.408107599,-1.945610699,-64.08778769,-0.441095304,45.46723486,-72.14160639,9.412733734,6,138,0,17,40,0,24,63,3,1,38,0,0,0,0,15,-8.759033694
1bgq,-12.95587395,0.060422172,-1.443829089,-39.19387619,-0.492823283,21.33728131,-43.61304621,2.530088912,1,75,9,0,0,29,32,6,1,0,21,0,0,0,0,2,-11.83989255
1bhf,-200.0123914,2.268890573,-11.91857292,-29.50006067,-0.738830883,202.5344758,-52.84059195,11.57522093,9,147,0,15,6,53,53,29,1,6,24,2,0,0,4,20,-6.051193624
1bhx,-174.963028,4.053308978,-7.17563683,-48.00289753,-1.526836962,171.4668173,-52.45661899,10.59448361,6,143,0,37,39,0,17,56,5,1,27,0,0,2,1,9,-9.449809222
1bp0,27.6624354,1.745706335,-14.43216793,-10.28621523,-0.31608747,-35.7707682,-29.13481502,2.464018269,15,137,2,8,0,17,69,56,2,9,2,0,0,0,3,5,-7.460375701
1bq4,-443.0283881,5.733900048,-19.80385715,-2.03168767,-0.511829527,471.8201655,-26.4382079,5.190898452,8,157,2,0,0,96,31,36,0,9,2,0,0,0,11,6,-7.211696511
1br6,56.05574678,2.172981796,-4.939707729,-17.32213684,-4.11010633,-47.6937396,-43.51088439,6.93225908,10,165,4,19,16,77,49,10,3,4,24,0,1,0,0,6,-4.4485944
1bv7,-47.74364013,-0.454920619,-4.425625866,-70.38282797,-0.39488276,52.69585158,-94.71049947,10.83740823,10,215,0,36,42,0,87,60,4,6,51,0,0,0,0,14,-12.84842482
1bv9,-46.99278896,0.364414779,-4.443785901,-69.1059375,-2.34E-05,55.14660372,-92.38474211,11.47918863,10,222,0,43,36,0,85,68,4,6,47,0,0,0,0,14,-12.37869746
1bwa,-45.20919843,-0.057909007,-4.345430509,-66.1382286,-3.50E-10,54.53892058,-90.17614353,12.73776869,10,203,0,32,45,0,81,55,4,6,34,0,0,0,0,14,-10.49978802
1bwb,-55.0411059,2.728960679,-5.514333954,-61.13063418,-4.58E-07,63.59657623,-94.82553069,13.02179623,12,242,0,42,45,0,113,54,5,6,47,0,0,0,0,14,-11.63265989
1bxq,90.13350337,7.159165004,-3.043431409,-50.46141282,-0.002044787,-31.52362902,-79.90846715,11.91215472,7,178,0,3,39,0,37,106,4,2,25,0,0,0,0,19,-10.19584679
1byk,-41.34368712,4.358928425,-13.96952702,-28.89526399,0,34.59217894,-40.46739684,6.914325583,16,194,5,7,6,77,29,86,6,9,5,0,0,0,1,13,-6.907755279
1bzc,-160.6083284,6.263134133,-10.81241845,-27.68250988,-0.983053647,161.8091148,-42.47607686,6.728790911,11,171,13,1,15,36,10,107,1,8,37,0,2,0,1,8,-6.797231195
1bzh,-128.2278178,20.0659396,-9.453292982,-27.43372143,-0.205942793,158.8796917,-50.56666808,31.97550753,10,179,9,1,20,34,9,116,2,7,29,0,0,0,2,16,-9.353100648
1bzy,-67.36473853,8.527510088,-10.09378365,-23.494254,-3.371906258,70.47351528,-46.04448881,17.15811295,18,226,12,7,41,24,58,102,6,8,20,1,2,0,0,7,-11.52213581
1c1r,-193.3562773,4.786860419,-2.401903403,-19.837971,-0.462114797,250.8940288,-37.59152537,10.14884587,5,119,0,8,46,0,4,66,3,1,13,0,0,0,0,4,-10.54123456
1c5c,-52.7027666,1.191602768,-8.906123152,-20.93715181,-1.183256404,56.58160121,-38.52296974,1.271511443,7,105,0,0,5,0,46,61,0,6,32,0,2,1,3,3,-9.615595348
1c5p,-213.954832,0.899685795,-6.702784499,-11.76104144,-1.03E-05,218.0682208,-24.28068804,1.586123322,3,90,0,4,45,0,5,39,3,0,12,0,0,0,0,2,-6.465658941
1c5q,-196.3986448,1.319520413,-2.35065592,-24.08709568,-9.00E-11,204.369682,-29.39286411,2.289004363,5,94,0,5,48,0,4,42,3,0,10,0,0,0,0,2,-8.786664715
1c5s,-184.8767694,1.569921237,-2.361581912,-19.74281811,-4.33E-07,192.1322251,-26.43768676,2.437675313,6,106,0,5,56,0,6,45,3,0,13,0,0,0,0,2,-8.289306335
1c5t,-193.7089943,1.848062417,-2.438522622,-17.94076137,-8.04E-05,195.4610737,-25.80780742,3.077319951,4,88,0,16,28,0,5,43,3,0,8,0,0,0,0,2,-5.664359329
1c5x,-194.4421262,2.326107135,-2.354979721,-25.32772936,-1.10E-05,196.30204,-29.55620864,3.386981907,6,110,0,9,56,0,2,49,4,0,14,0,0,0,0,2,-9.228761053
1c5y,-195.4025204,2.108085129,-2.455165319,-18.74209196,-7.30E-08,197.7040974,-25.95635843,3.037613074,6,102,0,8,54,0,2,44,4,0,15,0,0,0,0,2,-5.802514434
1c5z,-213.418357,2.13330325,-7.351510658,-11.67347208,0,215.8199313,-23.3379352,3.31273642,5,89,0,6,48,0,3,37,3,0,11,0,0,0,0,2,-5.540019734
1c70,-19.6761384,-0.15848556,-2.388155047,-75.02298305,-0.585944803,60.73164342,-86.06890396,17.87364891,5,173,0,14,48,0,37,79,3,1,51,0,0,0,2,14,-14.22997587
1c83,-133.321121,4.305417098,-10.16536735,-14.10348507,-0.906889058,127.8303548,-38.23308004,3.154872484,10,139,8,0,3,32,11,95,0,10,25,0,0,0,2,3,-6.700522621
1c84,-66.88094508,4.616863134,-8.525097618,-16.56350731,-0.689969942,83.44944122,-40.80059822,3.722675999,8,125,7,0,1,30,10,85,1,7,31,0,0,0,2,3,-6.907755279
1c86,-91.76915256,3.406041384,-8.811843392,-22.31979458,-0.743330481,100.1773516,-38.11442585,3.316826976,8,144,8,1,4,35,12,92,0,7,16,0,0,0,2,3,-6.493289962
1c87,-137.4179225,3.519791245,-10.32091085,-23.07867304,-0.875440055,128.3992833,-38.32693132,2.600608422,9,141,10,1,5,34,13,87,0,10,16,0,1,0,2,3,-5.802514434
1caq,98.56949436,5.33575605,-0.852287473,-50.45409176,-4.704081088,-52.91239223,-66.66942723,13.58559413,5,106,4,14,25,32,18,18,0,2,30,4,1,2,4,8,-10.66557415
1ce5,-212.7960051,0.985029137,-6.90979357,-11.63499856,-0.213108216,221.5604524,-24.95805399,2.159033247,3,97,0,4,44,0,6,46,3,0,13,0,0,0,0,2,-6.548552005
1cea,-63.08750586,2.487552088,-5.778720149,-18.58578597,0,58.03173343,-17.45756458,1.654492478,7,81,0,0,1,0,54,33,1,4,19,1,0,0,3,6,-6.852493237
1ceb,-68.70461848,1.954466019,-7.291567406,-22.04074381,0,65.57899323,-15.43991159,1.432408958,6,78,0,0,1,0,32,51,1,2,16,0,0,0,4,3,-8.289306335
1cil,-22.31384515,3.166444945,-2.597007053,-23.47292803,-0.544550345,13.78984807,-34.49585087,2.739693199,7,92,0,0,5,5,41,48,1,1,5,0,0,0,1,4,-13.02802646
1cim,-19.49040308,2.821679025,-2.612627356,-19.16534184,-0.614014899,8.614368303,-28.62448836,2.273248293,9,96,0,0,8,4,40,53,0,2,3,0,0,0,0,3,-12.18528031
1cin,-13.51969682,2.81296553,-2.600254616,-21.33216505,-0.589366085,3.855748649,-30.81927998,3.032336211,10,92,0,0,6,4,42,50,0,2,4,0,0,0,1,3,-12.06094072
1ciz,122.6625195,4.854069923,-0.409429986,-50.02038033,-2.867057488,-43.1450953,-68.13029216,9.163373471,5,98,4,9,26,24,12,28,0,2,28,4,1,0,4,8,-10.27873986
1cnw,4.757815802,1.867029603,-2.511261544,-22.26789962,-0.357896828,-9.833111751,-32.08499935,2.698836974,7,85,0,1,5,6,38,42,2,1,15,0,0,0,0,14,-10.66557415
1cnx,11.84853027,1.630526643,-2.501548585,-23.99681182,-0.635908193,-13.50959672,-34.02706518,3.314925512,6,93,2,1,7,6,41,42,3,3,14,0,0,0,0,12,-10.18203128
1cny,-1.678587796,1.667451531,-2.48356324,-25.50239047,-0.416125693,-2.005120381,-33.63260383,3.912517843,6,94,0,1,7,9,39,44,2,2,13,0,0,0,0,16,-10.84517579
1ct8,-55.99695318,0.403490535,-3.324534283,-33.10843314,-4.637235251,65.26078983,-57.71922731,10.60928856,7,161,0,3,25,0,80,60,0,6,45,1,2,1,0,13,-9.007712884
1d2e,77.39998938,3.334819167,-14.2055623,-8.566688898,-0.001835628,-70.15763956,-44.55196167,7.209726712,16,212,34,0,28,87,18,61,2,12,15,0,0,0,1,9,-8.289306335
1d4y,-9.872921417,3.501341403,-2.32570904,-59.48067438,-2.5422151,20.60703858,-72.17153271,9.071821691,6,146,0,16,20,0,35,81,1,4,22,0,0,0,0,13,-15.33521672
1d6v,20.04339303,6.692030645,-1.244431624,-45.82414356,-2.591290198,11.89735032,-47.33655553,8.00707068,2,121,0,6,0,0,87,30,1,2,65,1,2,1,0,8,-8.524170014
1d7i,-10.6751856,0.470286341,-0.237770957,-19.32021077,0,9.682046395,-18.9425293,0.659121487,1,38,0,0,4,8,15,12,0,1,9,0,0,0,0,2,-4.973583801
1dfo,-51.53505592,11.89926044,-6.244677664,-31.81048831,-0.92664251,64.57694919,-60.3784473,8.947468912,12,168,0,0,29,0,57,94,5,3,26,0,1,0,1,11,-9.256392074
1dhj,-32.66544059,-2.533010379,-10.64305491,-24.73529363,-1.157078868,31.23644594,-43.34649539,4.065168417,7,140,2,37,0,43,45,20,1,4,21,0,0,0,3,11,-9.049159416
1dif,-36.34998923,4.937422557,-3.39186696,-72.16988115,-5.234688384,56.01546804,-101.8641588,23.01025195,7,232,0,18,53,0,52,116,6,2,46,2,0,0,0,21,-14.72733425
1dl7,-20.53777063,1.008881241,-2.074193977,-24.35812137,-2.9120347,26.98297525,-41.30623073,5.448505263,1,95,0,0,22,0,25,49,0,3,33,3,0,0,1,7,-8.966266352
1dqn,-30.44562774,3.181357875,-7.718101122,-15.26391598,-4.754094368,46.4971342,-38.63389919,7.739962744,15,173,7,14,30,19,44,74,2,7,17,0,3,0,0,7,-11.05240845
1dqx,-72.81197082,2.223496029,-8.726926984,-16.4282976,-0.079260743,79.31731189,-39.52482994,4.492004463,16,215,0,7,9,15,76,124,3,7,16,0,0,0,1,7,-15.26613917
1drj,-50.69587265,0.398134478,-7.366687117,-16.1536074,0,24.94026644,-19.54367921,6.608259408,17,154,0,1,0,55,31,84,4,7,18,0,0,0,0,4,-10.22347781
1drk,-47.74067254,0.065499181,-7.397614723,-16.13847853,0,22.848332,-19.72568801,6.649344938,17,151,0,1,0,54,33,80,4,6,20,0,0,0,0,4,-9.422178201
1dud,2.336200208,5.687911816,-7.671116185,-14.29155267,-3.17E-05,-1.359124833,-37.2841093,3.341173106,9,129,10,25,0,26,50,27,1,9,18,0,0,0,1,7,-6.659076089
1duv,-1.516884582,3.133421476,-15.26888794,-13.95795468,0,3.554387919,-43.38227757,4.340881371,24,258,14,0,33,114,52,69,6,14,7,0,0,0,3,10,-16.30230246
1dy4,-325.9123252,2.030704346,-3.329872213,-31.12769271,-7.221562277,382.9811495,-47.93547381,2.456651454,4,144,0,0,1,0,65,82,3,1,26,2,4,0,4,7,-6.023562603
1dzk,-1.680218453,0.102362441,-0.017177488,-28.91944772,-0.016255448,7.243164661,-30.26660497,0.186959858,0,26,0,2,0,0,22,2,0,0,11,0,1,0,0,3,-8.42746144
1e3v,81.40148988,5.015595653,-0.53667158,-53.8522977,0,-35.39303431,-38.47788613,6.48274464,1,42,4,0,0,19,20,0,0,1,12,0,0,0,0,6,-5.995931582
1e4h,3.486124951,0.53623087,0,-44.54203246,0,8.021517154,-33.31676339,0.910777701,0,35,0,0,0,0,35,0,0,0,6,0,0,0,0,1,-11.61884438
1e6q,-156.0513692,3.492387174,-4.354930345,-15.24652443,-2.239241372,120.3442449,-24.63684499,8.620677041,13,140,0,0,0,0,63,90,6,3,10,0,1,0,0,5,-4.351885826
1e6s,-37.09383879,3.190658907,-4.39963946,-14.97863852,0,57.25481958,-26.2585854,6.680220422,13,137,0,0,0,0,70,80,5,4,13,0,0,0,0,6,-4.4485944
1ec9,14.88679291,6.587409087,-9.174099751,-7.28018647,0,-12.66993707,-22.74171629,8.011673097,17,211,0,5,21,15,73,114,4,7,6,0,0,0,5,8,-4.282808273
1ecq,133.8419545,6.629257775,-10.7785482,-9.86253338,0,-55.91512136,-18.0734731,15.89109469,15,193,0,4,11,0,72,121,2,6,9,0,0,0,8,8,-4.144653167
1ecv,-130.2566673,3.948285446,-10.16929456,-17.05729986,-0.689551756,122.4569489,-37.94581116,2.955050986,8,139,8,0,4,34,12,89,0,9,28,0,0,0,2,3,-6.700522621
1efy,-26.75805535,1.079531644,-1.235272337,-18.79516883,-6.075561271,24.41909452,-38.31810308,0.752468402,3,97,1,17,0,43,38,1,1,2,29,0,2,0,0,3,-11.35634968
1egh,-90.39106628,0.932832833,-12.33019667,-3.93285829,0,92.9487129,-18.96038538,0.890778035,11,102,11,5,6,57,23,11,0,11,2,0,0,0,4,3,-7.874841018
1eix,-60.92171842,5.270509404,-16.31780739,-17.52872237,-3.00E-09,50.79833241,-35.45224765,-1.3159183,20,214,0,10,10,16,78,120,3,9,18,0,0,0,2,7,-15.27995468
1ejn,-228.3875941,2.947602392,-8.018586798,-38.93457653,-0.131158346,264.8741911,-44.68555269,4.478471887,6,166,0,20,80,0,2,70,4,2,21,0,0,0,1,4,-7.764316934
1elc,-80.35599705,11.16422344,-0.479734,-46.76872308,-0.09391674,107.1886885,-48.01779274,16.8578987,1,159,0,13,31,0,21,95,1,0,32,0,0,0,1,14,-9.201130032
1eld,-24.91816218,3.755378507,-0.939253821,-28.35473688,-0.322190963,39.75652085,-45.30589837,11.59152874,2,118,0,24,29,0,17,50,2,1,11,0,0,0,0,9,-9.256392074
1ele,-23.86956697,2.696488794,-0.882307214,-26.99078918,-0.6964146,31.1140043,-42.77473033,7.012070501,4,133,0,29,15,0,21,72,2,1,11,0,0,0,0,8,-9.463624732
1elr,-218.6233668,0.56904171,-14.08403188,-22.44193527,0,206.8770608,-48.10261221,14.69451613,12,173,2,0,0,183,0,0,2,10,26,0,0,0,3,22,-6.852493237
1ent,86.04062934,1.944850613,-2.049364309,-56.60422046,-0.092622548,-10.61266352,-79.09788904,14.07592501,5,146,0,4,48,0,28,71,3,3,25,0,0,0,0,19,-9.615595348
1epo,-51.14961611,6.061316485,-4.407913497,-58.82126168,0,78.92669959,-76.00218745,14.78415931,9,184,0,3,50,7,52,81,4,2,25,0,0,0,0,17,-10.9971464
1erb,-4.359204608,1.769041164,-0.056643109,-88.85213406,0,25.38798565,-61.26820324,3.428407518,0,58,0,0,12,0,25,21,0,1,26,0,0,0,0,6,-11.19056355
1ez9,-53.2038235,7.239727318,-3.971323696,-46.33062604,0,51.24296862,-52.63172826,3.822293338,5,119,1,0,5,43,14,61,5,1,23,0,0,0,0,29,-7.045910385
1ezq,-238.7147309,1.541930478,-7.022354462,-45.3053377,-2.802447111,280.6049073,-57.35823136,8.206692808,5,194,0,4,95,0,5,95,4,1,55,0,2,1,0,12,-12.50303706
1f0r,-43.68839861,5.782128613,-3.14052559,-43.07972501,-7.001963757,93.48841819,-54.61401368,6.799304391,2,131,0,29,36,0,11,57,2,1,43,0,2,1,0,6,-10.58268109
1f0s,-51.03159634,5.460363439,-0.354903965,-41.6470536,-7.566283579,93.20564738,-52.84040416,6.865154443,2,123,0,18,38,0,14,55,0,1,50,0,2,1,0,5,-10.69320517
1f0t,-269.644893,5.741425152,-7.74214048,-31.90495044,-0.434603548,270.1610729,-48.9032459,7.590327881,5,141,0,4,70,0,4,68,4,2,21,0,0,0,0,8,-8.289306335
1f0u,-249.4084662,4.106307569,-7.214539324,-35.50532119,-1.951375232,291.7060372,-52.41653448,9.892947861,5,159,0,4,83,0,4,73,4,1,24,0,1,0,0,12,-9.89190556
1f3e,-28.67894408,2.12954804,-3.394005003,-16.61934531,-2.925348636,26.14792118,-30.96265663,1.766081487,8,101,0,3,20,25,18,43,2,2,20,0,2,0,0,2,-9.256392074
1f4x,-40.68719911,4.805438415,-2.469920889,-26.9877951,0,22.80884878,-30.99703019,9.472772547,8,103,0,19,16,0,56,20,1,4,15,0,0,0,0,9,-7.722870402
1f5l,-196.3522452,1.993086126,-7.850906408,-13.8636494,-2.57E-09,187.6470872,-29.84804018,3.192641131,8,143,0,16,70,0,6,59,5,0,9,0,0,0,1,3,-7.294589575
1f9g,-12.04631172,0.217793851,-1.298285741,-10.10750766,0,12.33935949,-15.56085263,1.406627159,1,65,0,0,0,21,0,45,0,1,1,0,0,0,0,6,-1.768385351
1fao,-423.7817538,1.753314469,-24.74894094,-6.731052326,0,420.9633411,-29.9630889,2.583760286,13,168,0,6,16,0,132,27,0,11,0,0,0,0,6,10,-10.18203128
1fcy,-28.43556542,0.957140501,-4.455515136,-74.40625053,-1.908272437,27.36898646,-71.50179944,1.526412064,6,95,17,5,5,53,7,14,0,3,42,0,0,1,1,3,-11.770815
1fdq,-13.82566621,3.920671146,-2.536983659,-56.54112036,0,34.76008807,-47.53578535,12.1237488,2,69,0,1,3,3,49,15,0,2,23,0,0,0,1,14,-10.04387618
1fhd,-21.85438279,-1.088529815,-5.082731381,-19.90543837,-3.199561735,42.90936069,-37.28961892,10.51170396,12,157,0,0,0,0,35,134,2,5,12,0,1,1,0,7,-9.422178201
1fiv,-64.71110035,0.829520577,-6.998938498,-86.31236284,-5.612716139,82.68128327,-106.1708705,11.20938302,13,261,0,35,53,0,58,128,6,5,44,2,0,0,0,23,-9.104421458
1fj4,-11.01590223,1.230474873,-0.492906586,-43.72579579,0,10.15702304,-38.57364915,1.727752345,2,78,1,11,17,0,25,26,0,2,24,0,0,0,0,3,-6.341319346
1fjs,-97.28809669,6.394561184,-6.871602878,-38.04715237,-0.959003402,119.3270008,-57.74648315,11.55104398,3,178,0,29,54,0,23,75,3,1,38,0,1,2,0,11,-13.76024852
1fkf,-15.08004904,-2.398512314,-1.350584019,-57.84766945,0,23.42368893,-70.80845631,8.999487416,3,141,0,0,20,12,52,60,1,2,35,0,0,0,0,10,-12.98657992
1fkg,-21.13835725,2.65358988,-0.527531585,-45.7634572,-0.689942481,17.21388938,-47.21365896,8.759624133,2,77,0,0,6,13,30,30,0,2,29,0,0,0,0,10,-11.05240845
1fkh,-19.56871057,4.275853686,-0.503266065,-48.18989501,-0.803128489,16.1582039,-49.10376956,6.631041161,2,77,0,0,8,10,25,36,0,2,27,0,0,0,0,10,-11.2596411
