PDB,VINA,GlideSP,DSX,RFScore,HMS,Exprerimental
1o3p,-7.25467,-6.06,-102.698,-8.75275594543,-8.593247567,-9.2
1gpk,-10.13177,-9.01,-103.619,-8.92080106511,-8.468907972,-7.42
1dhi,-7.62755,-8.19,-113.06,-9.62721676784,-8.993897373,-10.03
4tmn,-8.07321,-5.1,-158.886,-8.43891496925,-10.81754477,-14.05
1rnt,-5.81815,-10.25,-94.993,-7.83593852407,-7.847209997,-7.17
1zvx,-8.11369,-7.27,-146.357,-9.27568313175,-9.726119433,-12.74
1bma,-4.88166,-6.95,-158.232,-10.8029451375,-10.26492434,-6.34
1o0h,-6.58359,-7.52,-98.83,-6.88438432652,-7.695239381,-8.18
2fdp,-10.49827,-14.05,-222.989,-10.9855199822,-12.47540603,-10.49
1b8o,-9.54712,-10.17,-103.134,-9.66743830755,-8.855742268,-14.7
1if7,-4.54487,-5.17,-88.688,-9.74630691999,-8.993897373,-14.53
2flb,-6.86009,-7.31,-111.915,-9.43920701915,-9.104421458,-7.93
1re8,-12.24898,-12.33,-179.353,-9.41946309318,-11.71555295,-13.15
1vfn,-4.56941,-7.62,-53.441,-6.37099991316,-6.838677726,-7.74
2b1v,-7.73525,-9.35,-112.373,-11.5629882262,-9.104421458,-7.93
1olu,-6.5358,-7.39,-81.035,-7.03547764562,-7.791947955,-6.09
2h3e,-6.83389,-7.47,-99.196,-7.20426651182,-7.999180613,-7.87
2rkm,-6.51324,-6.78,-101.21,-9.25325806848,-6.949201811,-5.39
1om1,-9.30741,-10.33,-100.543,-9.88174895304,-9.726119433,-9.35
1d09,-7.10031,-8.16,-97.843,-7.69319167016,-6.976832832,-10.46
1q7a,-5.43721,-3.49,-88.006,-8.39206067226,-9.40836269,-9.93
1elb,-4.73604,-3.85,-93.506,-10.1930681738,-9.311654116,-9.88
1ela,-6.70771,-7,-135.137,-9.19330875226,-9.560333306,-8.79
1x1z,-7.22886,-9.75,-89.978,-6.70386161484,-8.689956141,-15.28
1sqa,-8.18727,-8.87,-133.763,-10.5273493102,-8.869557778,-12.72
2cer,-7.4965,-8.7,-110.931,-9.45702312156,-9.297838606,-12.74
1k9s,-8.52852,-8.99,-108.119,-7.05333703741,-8.261675314,-9.01
2ceq,-5.07291,-7.36,-75.429,-7.44022476898,-7.598530807,-10.06
2cet,-7.3568,-8.22,-112.952,-9.86866607744,-9.380731669,-11.08
5er1,-6.00129,-6.15,-151.626,-9.80819620881,-9.187314521,-8.32
1ppm,-8.57732,-11.2,-167.722,-8.71877699129,-11.05240845,-8.01
2usn,-6.16916,-6.35,-109.912,-9.73357105868,-9.587964327,-8.99
1kv5,-4.21476,-7.64,-51.351,-5.51360638017,-6.769600173,-5.83
1y6q,-8.86552,-12.16,-118.193,-10.2394739629,-8.800480225,-16.16
1jqd,-7.10038,-9.39,-149.025,-8.48337738133,-8.386014909,-7.13
1kv1,-8.92924,-8.58,-122.114,-10.0631726282,-10.32018639,-8.21
1hk4,-4.64108,-5.17,-53.56,-7.15228076999,-9.643226369,-7.34
1pr5,-7.63537,-7.13,-93.493,-7.2557387761,-7.888656529,-5.42
2bok,-8.55429,-11.11,-156.886,-9.76060139633,-8.648509609,-9.05
1o3f,-7.62625,-7.85,-118.153,-7.82156501966,-8.759033694,-11
1gni,-6.17972,-3.78,-105.482,-8.99750925537,-8.607063078,-11.15
1ydt,-8.34381,-9.44,-124.85,-10.900755587,-9.491255753,-10.11
1fzk,-9.55661,-13.63,-214.075,-7.93377841273,-12.79316278,-11.61
1jys,-4.14936,-5.97,-47.634,-7.06773861015,-6.589998536,-4.86
2drc,-0.34753,-10.04,-124.074,-9.48104674731,-8.966266352,-13.66
1y1m,-5.98642,-7.17,-71.848,-7.29548501855,-7.833394486,-2.51
1bra,-4.70416,-7.13,-61.661,-6.42450102373,-6.755784663,-2.51
1fcx,-15.08813,-14.25,-175.251,-12.0593170437,-13.82932607,-9.93
1fcz,-14.13091,-14.73,-163.76,-11.4378516297,-13.30433667,-12.74
2g94,-7.92131,-14.3,-237.293,-10.2405974563,-11.88133908,-13.15
1f5k,-5.20541,-8.68,-71.028,-6.3076646966,-6.92157079,-5.17
2hdq,-3.998,-5.91,-36.327,-6.38249413087,-6.728153642,-1.93
1pxo,-5.11201,-8,-63.132,-6.53503812957,-7.336036106,-12.02
10gs,-6.6313,-7.61,-118.337,-9.44132495181,-9.781381475,-8.84
1e5a,-2.3052,-2.42,-16.697,-4.84572049631,-7.294589575,-10.56
1bcu,-6.6084,-5.54,-78.328,-7.06318944362,-7.142618958,-4.53
2ayr,-10.46512,-12,-182.563,-10.6070811608,-12.77934727,-12.83
3pch,-3.6636,-7.63,-45.441,-6.713572233,-7.999180613,-7.46
1utp,-3.39539,-5.45,-54.071,-6.45775131498,-6.134086688,-1.99
1v16,-6.65766,-6.11,-81.227,-7.54052185739,-7.999180613,-5.35
3pce,-3.44931,-5.19,-44.891,-5.82867294776,-7.101172427,-2.76
1q8t,-6.37514,-7.23,-84.051,-9.4744724389,-8.16496674,-6.58
1jaq,-5.52731,-7.43,-97.628,-7.63849840154,-8.16496674,-6.19
1zs0,-7.84247,-7.42,-140.379,-9.27177859215,-9.1596835,-8.5
1m2q,-8.53282,-6.94,-67.483,-8.24202128027,-8.91100431,-8.43
1p1q,-7.49651,-6.61,-78.41,-9.3779435402,-7.971549592,-6.76
1det,-5.68204,-7.84,-76.375,-7.68774372534,-7.280774064,-5.94
2std,-9.16379,-7.5,-93.161,-9.44438985737,-10.23729332,-13.61
1nja,-5.84104,-6.4,-67.291,-7.05343686502,-7.239327532,-8.72
1jq9,-2.02908,-6.97,-108.891,-8.95300739587,-9.90572107,-11.67
1nje,-5.98597,-6.34,-66.628,-7.10168833145,-7.197881001,-5.25
1tsy,-5.95354,-7.49,-76.896,-6.88458050974,-7.501822233,-6.85
1fkb,-10.5304,-9.27,-164.526,-8.17797108348,-13.24907463,-13.4
1v2o,-5.40952,-8.24,-96.841,-7.80774684626,-8.026811634,-6.53
4er2,-6.3529,-10.28,-189.821,-10.3662873907,-10.44452598,-12.85
1fzj,-9.06284,-15.03,-216.708,-7.67943165619,-12.98657992,-11.19
3gss,-6.03621,-8.53,-118.922,-8.80291748848,-9.17349901,-8.04
1e1v,-5.24185,-7.02,-100.95,-8.36718390728,-7.584715296,-6.8
2bzz,-6.55559,-8.89,-128.15,-9.10557597386,-7.833394486,-8.88
1nfy,-8.26138,-8.47,-142.174,-11.2566053766,-9.850459028,-12.28
1j16,-5.50114,-7.45,-70.889,-6.29964347696,-6.949201811,-5.31
2cgr,-9.40272,-7.2,-119.14,-9.53175908035,-9.518886774,-10.06
1is0,-5.39847,-8.84,-122.585,-8.34325015801,-8.330752866,-9.67
2fzc,-3.89524,-3.87,-42.131,-7.61005799641,-6.479474452,-3.73
2bak,-10.19146,-11.97,-205.958,-9.10537321351,-11.92278561,-10.26
1xd1,-7.78886,-9.05,-222.442,-8.0016296848,-10.52741905,-10.94
1a30,-5.91256,-8.73,-106.796,-8.51726143663,-7.819578976,-5.94
1xgj,-5.87791,-7.07,-70.439,-8.12111988872,-7.819578976,-8.29
1b39,-7.01859,-7.41,-111.439,-7.55700019543,-8.745218183,-9.56
1pb9,-4.85584,-5.97,-53.008,-7.57423540263,-7.087356916,-5
1bxo,-11.52041,-13.64,-175.36,-9.24459019165,-11.66029091,-13.82
2azr,-6.56402,-9.83,-78.593,-6.87041293505,-7.874841018,-5.03
1j17,-9.68114,-7.48,-159.97,-8.55497208978,-9.726119433,-7.21
1zc9,-3.56322,-5.25,-59.221,-6.59936026601,-6.603814047,-4.45
1nvq,-12.62328,-11.17,-172.801,-9.54649991778,-11.6464754,-11.4
2j77,-5.49563,-5.94,-74.135,-7.43946215971,-7.805763465,-6.76
1avn,-1.83285,-4.99,-7.977,-7.7789625754,-5.44331116,-5.39
1h23,-9.66911,-11.62,-169.719,-10.0208774558,-11.121486,-11.54
6std,-9.50048,-8.24,-102.843,-9.36264854709,-10.62412762,-11.94
2bz6,-8.09081,-8.62,-140.76,-9.38731140444,-8.745218183,-9.8
7cpa,-8.11603,-7.79,-156.18,-9.28273135484,-11.60502887,-19.29
1vzq,-10.8026,-10.75,-171.638,-11.4414755917,-9.988614133,-10.28
2d0k,-6.96893,-6.52,-101.233,-9.02643686079,-8.828111247,-6.94
1a08,-5.17208,-8.06,-109.942,-8.85643492068,-8.234044293,-7.76
1fkn,-6.95242,-13.9,-225.136,-10.9063429228,-11.86752357,-12.16
1pbq,-7.73995,-8.76,-72.56,-7.05586781617,-8.897188799,-8.66
1fh7,-6.0738,-7.72,-99.059,-7.50447336765,-8.082073676,-7.24
2gss,-4.87328,-4.49,-53.719,-7.13731143304,-7.778132444,-6.82
1fh9,-7.03769,-8.1,-104.679,-6.85648506898,-8.468907972,-8.88
1fh8,-6.74759,-8,-103.699,-7.58386432675,-8.054442655,-9.52
1l2s,-6.31249,-6.59,-71.499,-8.25007248272,-7.695239381,-6.34
1lol,-7.28581,-8.67,-90.856,-6.83047619666,-7.764316934,-8.83
1f4e,-6.47632,-4.95,-64.155,-7.47690902408,-8.068258166,-4.09
1f4g,-8.38567,-9.15,-116.685,-8.30364402835,-9.049159415,-8.95
1f4f,-6.93869,-6.84,-85.201,-8.35334015168,-8.372199398,-6.38
2ctc,-5.68687,-8.14,-61.843,-6.7563281203,-7.902472039,-5.37
1syh,-9.11669,-10.95,-116.817,-8.44581821365,-8.772849204,-8.72
1m0q,-5.59464,-6.82,-94.634,-7.02803077418,-8.372199398,-5.37
1nhu,-6.03019,-5.51,-86.551,-10.0075619746,-9.960983112,-7.82
1m0n,-5.73651,-7.44,-86.418,-7.54711241512,-7.985365103,-3.07
1trd,-4.16625,-6.6,-48.161,-8.06641063736,-6.68670711,-7.46
2c02,-6.09909,-7.02,-70.32,-7.45238803361,-7.087356916,-5.58
1n2v,-5.97037,-7.35,-72.596,-6.46097708307,-7.639977339,-5.64
