PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa,Experimental
1w3l,-7.74415,-5.31,-11.23,-122.475,-8.564456557,-8.17878225,-8.579432057,-7.971549592,-8.234044293,-40.50675972,-8.68
3cyx,-11.28341,-11.93,-8.99,-221.116,-11.36238379,-11.70173744,-13.31815218,-11.88133908,-12.2958044,-149.1244889,-11.05
3jvs,-7.52033,-4.4,-4.25,-115.406,-8.186956848,-9.007712884,-10.25110883,-9.076790437,-9.449809222,-75.57638055,-9.04
3gcs,-10.92496,-11.35,-10.94,-161.501,-11.13952675,-10.34781741,-11.16293253,-10.2096623,-10.56886558,-105.815336,-10.02
1lor,-7.14527,-9.57,-12.36,-90.256,-6.355710503,-7.93010306,-8.703771652,-7.957734081,-8.192597761,-47.68536637,-15.28
2jdu,-5.62287,-5.21,-4.13,-59.141,-6.847355569,-6.589998536,-7.446560191,-6.783415684,-6.9353863,-8.04379388,-9.28
2zcr,-8.7322,-8.02,-11.87,-101.618,-10.16952384,-10.18203128,-10.69320517,-9.532702285,-10.12676924,-47.58451124,-9.49
2y5h,-7.63962,-9.85,-13.53,-146.412,-9.548414205,-8.510354504,-8.620878588,-8.855742268,-8.66232512,-85.4430197,-8
3d4z,-5.78696,-6.92,-7.92,-72.792,-7.078637052,-7.363667127,-7.902472039,-7.336036106,-7.529453254,-54.26360602,-6.76
3udh,-7.11374,-8.19,-8.25,-80.843,-4.885169409,-7.750501423,-8.109704698,-7.488006722,-7.778132444,-59.41076402,-3.94
1sln,-6.96917,-8.48,-11.9,-187.787,-10.23202731,-9.546517796,-10.29255537,-9.256392074,-9.698488412,-76.5583866,-9.17
3i3b,-5.04844,-5.66,-7.03,-51.893,-4.340718872,-7.142618958,-7.653792849,-7.101172427,-7.294589575,8.188940018,-3.08
3imc,-5.76948,-6.75,-5.08,-77.257,-4.928155285,-7.101172427,-7.101172427,-7.142618958,-7.114987937,-45.08712106,-4.09
3su3,-11.91146,-10.87,-9.9,-192.368,-11.38870791,-10.61031211,-12.0333097,-11.48068927,-11.37016519,-135.8369585,-12.61
3gy4,-5.78856,-8.38,-8.81,-75.77,-6.330981838,-6.990648342,-7.128803448,-7.18406549,-7.101172427,-40.0028922,-7.05
2cbj,-9.30992,-8.68,-7.41,-146.344,-9.545002464,-9.270207584,-9.65704188,-9.684672901,-9.532702285,-62.0098147,-11.43
2obf,-10.01331,-12.56,-14.21,-124.917,-11.3037462,-9.947167602,-10.45834149,-9.380731669,-9.933352091,-91.25004191,-12.23
2yki,-15.31229,-16.13,-17.52,-181.756,-12.23986969,-12.47540603,-13.20762809,-11.19056355,-12.28198889,-128.9722214,-13.07
2v7a,-9.51171,-9.69,-10.75,-147.107,-11.53073228,-9.353100648,-10.09913822,-9.242576563,-9.560333306,-92.15220832,-11.47
3nox,-6.32704,-6.58,-8.48,-96.864,-11.65425169,-8.441276951,-9.325469627,-8.745218183,-8.841926757,-76.61349395,-11.96
1w4o,-0.13361,-8.19,-8.39,-91.261,-6.276466346,-7.253143043,-7.861025507,-7.225512022,-7.446560191,-49.90088747,-7.21
3g2z,-3.97494,-5.35,-3.68,-37.157,-5.028879618,-6.382765878,-6.493289962,-6.493289962,-6.451843431,-41.24172975,-3.26
2zjw,-7.86869,-6.84,-11.28,-63.033,-9.87633705,-8.137335719,-8.551801035,-7.474191212,-8.054442655,-66.51540363,-10.64
3ehy,-5.12183,-4.68,-4.42,-99.933,-7.423676315,-7.405113659,-7.68142387,-7.446560191,-7.515637744,-37.17154954,-8.08
1q8u,-7.95571,-8.04,-9.12,-97.362,-8.838443485,-8.703771652,-9.17349901,-8.41364593,-8.759033694,-70.20264059,-8.28
3g0w,-10.93256,-11.26,-11.75,-129.714,-12.29922402,-9.753750454,-10.0715072,-9.366916158,-9.739934943,-117.6680122,-13.15
3ge7,-8.99468,-10.8,-12.32,-138.842,-11.77116084,-9.532702285,-9.601779838,-9.297838606,-9.477440243,-83.52799344,-12.02
1oyt,-10.60324,-10.9,-13.9,-158.012,-11.65811359,-9.435993711,-9.587964327,-9.601779838,-9.546517796,-81.26001396,-10
2weg,-4.5241,-5.73,-4.12,-61.811,-8.754467668,-6.6728916,-7.322220596,-6.6728916,-6.893939768,-42.51597564,-8.98
1lbk,-4.88545,-6.35,-5.97,-85.14,-6.370319024,-6.949201811,-7.018279363,-7.004463853,-6.990648342,-50.36362125,-4.39
3bfu,-6.11202,-7.46,-6.2,-82.087,-8.710809733,-7.308405085,-7.722870402,-7.253143043,-7.43274468,-74.35461812,-8.66
1igj,-8.25479,-6.78,-7.5,-134.545,-10.12393956,-9.297838606,-10.63794313,-8.703771652,-9.546517796,-87.80771142,-13.82
3ebp,-8.98529,-7.27,-6.52,-88.744,-8.599039555,-8.938635331,-9.615595348,-8.386014909,-8.980081863,-78.02970555,-8.16
3cft,-3.48664,-3.84,-3.09,-31.22,-5.757482153,-6.18934873,-7.405113659,-6.051193624,-6.548552004,-26.99028239,-5.79
3fv1,-9.64581,-8.87,-9.71,-135.8,-10.67275883,-8.731402673,-9.380731669,-8.703771652,-8.938635331,-99.16621251,-12.85
2hb1,-5.56891,-8.98,-11.84,-71.828,-5.812427195,-6.92157079,-7.501822233,-6.949201811,-7.128803448,-59.13743672,-5.25
