PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
1utp,2,68,0,4,28,0,4,34,1,0,7,0,0,0,1,5,-1.99
1v16,10,133,0,8,33,0,24,78,1,7,16,0,0,0,4,9,-5.35
3pce,4,82,0,2,0,1,57,26,1,0,25,0,0,1,0,3,-2.76
1q8t,1,56,0,18,1,0,29,9,0,2,17,0,0,0,0,4,-6.58
1jaq,6,129,1,19,25,49,14,27,2,2,12,0,0,0,1,9,-6.19
1zs0,4,111,5,8,28,40,12,22,0,3,28,2,1,0,3,7,-8.5
1m2q,4,109,0,0,17,1,70,25,0,1,25,0,0,0,0,3,-8.43
1p1q,13,162,3,27,2,49,72,22,1,7,14,1,0,0,2,5,-6.76
1det,8,118,0,5,24,0,36,61,4,3,10,0,1,0,0,7,-5.94
2std,1,48,1,0,0,10,17,21,0,0,22,0,0,1,0,4,-13.61
1nja,8,113,1,8,0,0,68,44,1,4,2,0,0,0,2,7,-8.72
1jq9,2,43,29,0,0,16,0,0,0,0,6,0,0,0,0,24,-11.67
1nje,10,119,5,11,0,18,41,54,2,6,7,0,0,0,2,7,-5.25
1tsy,12,137,5,9,0,19,55,61,2,5,5,0,0,0,2,6,-6.85
1fkb,6,117,0,0,27,13,43,40,3,2,30,0,0,0,0,9,-13.4
1v2o,7,137,0,7,66,0,4,67,3,2,15,0,0,0,0,11,-6.53
4er2,11,178,0,12,50,0,61,66,4,4,15,0,0,0,1,30,-12.85
1fzj,14,312,15,0,0,251,60,0,5,8,50,0,0,1,1,32,-11.19
1pz5,8,205,0,3,54,0,95,61,2,2,39,1,0,0,1,30,-7.46
3gss,9,171,8,10,9,64,17,72,2,8,37,0,1,0,2,19,-8.04
1e1v,6,96,0,38,1,0,59,4,2,1,23,0,0,0,0,4,-6.8
2bzz,10,195,0,16,0,32,91,66,1,6,17,0,2,0,5,22,-8.88
1nfy,1,156,0,29,30,0,39,59,0,1,33,0,1,1,0,6,-12.28
1j16,3,99,0,4,46,0,9,43,3,0,14,0,0,0,0,2,-5.31
2cgr,4,155,0,18,21,0,107,13,2,1,36,0,1,3,1,6,-10.06
1is0,11,151,0,13,10,40,67,32,1,8,17,1,0,0,3,19,-9.67
2fzc,16,144,0,0,9,86,35,30,1,7,3,0,0,0,5,9,-3.73
2bak,4,132,0,16,18,15,44,43,1,2,47,1,0,1,2,10,-10.26
2baj,3,109,2,11,19,40,21,19,2,1,27,0,0,0,0,4,-11.61
1xd1,16,271,0,0,47,38,54,148,6,3,23,0,0,0,3,34,-10.94
1a30,11,126,0,13,27,0,47,50,4,4,10,0,0,0,1,14,-5.94
1xgj,7,117,4,30,10,57,7,16,0,4,13,0,0,2,1,6,-8.29
1b39,15,156,0,16,24,0,53,78,3,6,13,0,0,0,7,11,-9.56
1pb9,15,138,7,19,6,52,52,17,4,7,12,1,0,0,1,1,-5
1bxo,10,176,0,3,37,0,50,96,4,5,22,0,0,0,0,10,-13.82
2azr,7,99,8,0,5,30,4,59,0,6,25,0,0,0,3,4,-5.03
1j17,0,125,0,30,28,0,30,37,0,0,44,0,0,0,0,4,-7.21
1zc9,10,101,14,0,12,16,12,57,0,2,14,0,0,0,0,7,-4.45
1nvq,6,135,0,24,15,0,70,32,2,1,35,0,0,0,1,5,-11.4
1k4g,4,101,0,10,30,13,22,30,4,2,10,0,2,0,0,5,-8.08
2j77,15,149,0,0,0,0,69,95,4,3,16,2,0,0,3,5,-6.76
1avn,2,34,0,0,0,0,22,14,0,2,1,0,0,0,0,3,-5.39
1h23,3,135,7,9,29,13,11,69,0,2,48,4,2,0,0,15,-11.54
6std,0,78,4,0,0,37,26,11,0,0,33,0,0,1,0,4,-11.94
2bz6,6,172,0,42,37,0,18,81,5,0,37,0,0,1,1,10,-9.8
7cpa,14,196,0,9,0,6,32,163,1,8,14,0,1,0,9,15,-19.29
1vzq,8,154,0,34,34,0,13,81,3,1,33,0,0,1,1,7,-10.28
2d0k,5,117,2,21,0,57,35,7,2,2,20,0,0,0,2,10,-6.94
1a08,10,129,0,17,4,39,62,17,1,6,17,1,0,0,2,19,-7.76
1fkn,16,215,0,17,67,0,66,81,4,6,28,0,0,0,1,30,-12.16
1pbq,3,100,0,9,0,21,46,27,0,5,29,0,2,0,1,2,-8.66
1fh7,9,180,0,0,0,0,79,110,2,4,16,0,0,0,2,7,-7.24
2gss,1,47,0,0,4,24,9,11,0,1,16,0,1,0,1,6,-6.82
1fh9,16,212,0,0,0,0,77,151,3,4,15,0,0,0,2,8,-8.88
1fh8,11,154,0,0,0,0,57,108,2,3,15,0,0,0,2,6,-9.52
1l2s,7,102,5,29,7,45,6,17,0,4,14,0,0,2,1,4,-6.34
1lol,14,142,0,15,17,0,50,74,2,8,4,0,0,0,1,6,-8.83
1f4e,2,40,0,0,1,18,4,19,0,1,16,0,1,0,1,3,-4.09
1f4g,5,108,3,6,5,34,30,35,0,6,32,0,0,1,2,12,-8.95
1f4f,1,79,2,0,7,24,0,47,0,2,27,0,0,1,1,9,-6.38
2ctc,8,84,0,0,1,1,13,77,1,4,11,0,0,0,5,4,-5.37
1syh,18,194,6,27,4,60,90,25,3,7,27,1,0,0,2,4,-8.72
1m0q,9,148,9,0,14,17,30,87,0,6,14,1,0,0,2,7,-5.37
1nhu,2,57,0,0,10,30,0,19,0,2,16,0,0,0,0,8,-7.82
1m0n,8,147,7,0,15,15,29,89,0,4,20,0,0,0,2,7,-3.07
1trd,9,107,0,19,16,0,39,42,2,9,3,0,0,0,2,4,-7.46
2c02,5,115,0,1,0,21,34,64,1,6,9,0,1,0,5,9,-5.58
1n2v,4,85,0,5,6,24,31,23,1,2,18,0,2,0,0,3,-5.64
