PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa,Exprerimental
1gpk,-10.13177,-9.01,-7.61,-103.619,-8.076511565,-8.551801035,-8.468907972,-8.869557778,-8.634694099,-52.36034533,-7.42
1dhi,-7.62755,-8.19,-8.36,-113.06,-10.4867471,-8.593247567,-8.993897373,-8.040627145,-8.551801035,-80.73191307,-10.03
4tmn,-8.07321,-5.1,-6.82,-158.886,-11.39441509,-9.684672901,-10.81754477,-9.850459028,-10.11295373,-19.58931604,-14.05
1rnt,-5.81815,-10.25,-12.29,-94.993,-7.574351383,-7.391298149,-7.847209997,-7.294589575,-7.515637744,-45.54582347,-7.17
1zvx,-8.11369,-7.27,-4.86,-146.357,-9.65104915,-9.17349901,-9.726119433,-9.187314521,-9.366916158,-39.13655911,-12.74
1bma,-4.88166,-6.95,-6.71,-158.232,-10.37099062,-9.505071264,-10.26492434,-9.560333306,-9.781381475,-69.44981582,-6.34
1o0h,-6.58359,-7.52,-7.3,-98.83,-7.805060026,-7.322220596,-7.695239381,-7.142618958,-7.377482638,-52.219517,-8.18
2fdp,-10.49827,-14.05,-15.46,-222.989,-11.55917929,-11.39779621,-12.47540603,-11.57739785,-11.81226153,-146.178202,-10.49
1b8o,-9.54712,-10.17,-13.25,-103.134,-8.058324176,-8.275490824,-8.855742268,-8.137335719,-8.41364593,-95.1373956,-14.7
1if7,-4.54487,-5.17,-4.99,-88.688,-9.47746442,-7.612346317,-8.993897373,-7.501822233,-8.040627145,-62.32460828,-14.53
2flb,-6.86009,-7.31,-7.7,-111.915,-9.992790987,-8.510354504,-9.104421458,-8.883373289,-8.828111247,-0.027434454,-7.93
1re8,-12.24898,-12.33,-13.25,-179.353,-10.17813263,-11.3839807,-11.71555295,-11.27345662,-11.45305825,-125.0433899,-13.15
1vfn,-4.56941,-7.62,-6.45,-53.441,-6.606242506,-6.465658941,-6.838677726,-6.396581388,-6.562367515,-33.85993107,-7.74
2b1v,-7.73525,-9.35,-10.08,-112.373,-9.596532246,-9.187314521,-9.104421458,-8.41364593,-8.897188799,-94.01755365,-7.93
1olu,-6.5358,-7.39,-7.3,-81.035,-6.990467129,-7.294589575,-7.791947955,-7.322220596,-7.460375701,-71.84867115,-6.09
2h3e,-6.83389,-7.47,-10.26,-99.196,-7.21408018,-7.446560191,-7.999180613,-7.488006722,-7.639977339,-43.55716294,-7.87
2rkm,-6.51324,-6.78,-10.98,-101.21,-8.324000627,-7.253143043,-6.949201811,-7.045910385,-7.087356916,-55.40287907,-5.39
1om1,-9.30741,-10.33,-9.71,-100.543,-8.713169957,-9.546517796,-9.726119433,-8.607063078,-9.284023095,-62.54606925,-9.35
1d09,-7.10031,-8.16,-11.79,-97.843,-6.372115328,-6.6728916,-6.976832832,-6.645260578,-6.769600173,-46.97152356,-10.46
1q7a,-5.43721,-3.49,-2.76,-88.006,-7.949647094,-8.303121845,-9.40836269,-8.41364593,-8.703771652,-37.31418521,-9.93
1elb,-4.73604,-3.85,-5.81,-93.506,-9.786269995,-8.026811634,-9.311654116,-8.026811634,-8.455092461,-34.81332842,-9.88
1ela,-6.70771,-7,-6.65,-135.137,-9.420860616,-8.689956141,-9.560333306,-8.565616546,-8.938635331,-76.93063563,-8.79
1x1z,-7.22886,-9.75,-11.94,-89.978,-6.298318109,-7.93010306,-8.689956141,-7.957734081,-8.192597761,-47.91026644,-15.28
1sqa,-8.18727,-8.87,-9.31,-133.763,-12.12428253,-8.980081863,-8.869557778,-9.353100648,-9.062974926,-44.15908701,-12.72
2cer,-7.4965,-8.7,-11.52,-110.931,-9.972353409,-8.42746144,-9.297838606,-8.648509609,-8.786664715,-68.41843991,-12.74
1k9s,-8.52852,-8.99,-8.52,-108.119,-7.616595295,-7.888656529,-8.261675314,-7.764316934,-7.971549592,-55.45477221,-9.01
2ceq,-5.07291,-7.36,-10.91,-75.429,-7.279451233,-7.156434469,-7.598530807,-7.087356916,-7.280774064,-57.68031468,-10.06
2cet,-7.3568,-8.22,-11.69,-112.952,-9.742815521,-8.524170014,-9.380731669,-8.565616546,-8.828111247,-32.18641522,-11.08
5er1,-6.00129,-6.15,-6.68,-151.626,-11.24037077,-8.054442655,-9.187314521,-8.455092461,-8.565616546,-94.77228621,-8.32
1ppm,-8.57732,-11.2,-8.24,-167.722,-10.09860686,-9.284023095,-11.05240845,-9.145867989,-9.822828007,-109.0718596,-8.01
2usn,-6.16916,-6.35,-6.03,-109.912,-9.10238367,-8.316937356,-9.587964327,-7.999180613,-8.634694099,-64.15053253,-8.99
1kv5,-4.21476,-7.64,-6.07,-51.351,-6.573941265,-6.313688325,-6.769600173,-6.230795262,-6.43802792,-26.99688946,-5.83
1y6q,-8.86552,-12.16,-12.74,-118.193,-9.295079678,-8.841926757,-8.800480225,-8.42746144,-8.689956141,-116.856539,-16.16
1jqd,-7.10038,-9.39,-11.12,-149.025,-9.397488289,-8.109704698,-8.386014909,-7.971549592,-8.16496674,-75.56756936,-7.13
1kv1,-8.92924,-8.58,-8.48,-122.114,-9.974993705,-9.270207584,-10.32018639,-9.574148817,-9.726119433,-91.17724609,-8.21
1hk4,-4.64108,-5.17,-5.11,-53.56,-7.890127949,-7.68142387,-9.643226369,-8.579432057,-8.634694099,-63.52863473,-7.34
1pr5,-7.63537,-7.13,-5.47,-93.493,-7.547597625,-7.750501423,-7.888656529,-7.598530807,-7.750501423,-30.42286212,-5.42
2bok,-8.55429,-11.11,-15.56,-156.886,-11.51626513,-8.814295736,-8.648509609,-8.92481982,-8.786664715,-94.08569807,-9.05
1o3f,-7.62625,-7.85,-8.81,-118.153,-10.03315321,-8.593247567,-8.759033694,-8.938635331,-8.759033694,-13.86449349,-11
1gni,-6.17972,-3.78,-8.7,-105.482,-9.10715831,-8.897188799,-8.607063078,-7.888656529,-8.455092461,-94.15815556,-11.15
1ydt,-8.34381,-9.44,-11.04,-124.85,-10.99422765,-9.228761053,-9.491255753,-9.007712884,-9.242576563,-89.42937046,-10.11
1fzk,-9.55661,-13.63,-12.73,-214.075,-10.96486002,-11.97804765,-12.79316278,-12.11620276,-12.2958044,-146.5597121,-11.61
1jys,-4.14936,-5.97,-5.36,-47.634,-5.800793674,-6.313688325,-6.589998536,-6.203164241,-6.368950367,-24.11913399,-4.86
2drc,-0.34753,-10.04,-10.25,-124.074,-10.54510244,-8.565616546,-8.966266352,-8.026811634,-8.524170014,-93.9833583,-13.66
1y1m,-5.98642,-7.17,-8.38,-71.848,-6.766618424,-7.239327532,-7.833394486,-7.41892917,-7.488006722,-44.93294044,-2.51
1bra,-4.70416,-7.13,-6.43,-61.661,-5.382129349,-6.783415684,-6.755784663,-7.073541406,-6.880124258,-32.86720125,-2.51
1fcx,-15.08813,-14.25,-14.91,-175.251,-12.01959089,-13.23525911,-13.82932607,-11.46687376,-12.83460931,-144.4012133,-9.93
1fcz,-14.13091,-14.73,-17.45,-163.76,-11.68642019,-12.9589489,-13.30433667,-11.39779621,-12.5582991,-145.0302096,-12.74
2g94,-7.92131,-14.3,-14.32,-237.293,-11.81900119,-10.88662232,-11.88133908,-11.81226153,-11.53595132,-169.2975849,-13.15
1f5k,-5.20541,-8.68,-8.62,-71.028,-5.55131317,-6.811046705,-6.92157079,-7.17024998,-6.963017321,-42.50740478,-5.17
2hdq,-3.998,-5.91,-4.49,-36.327,-6.028891311,-6.272241793,-6.728153642,-6.203164241,-6.396581388,-31.0146347,-1.93
1pxo,-5.11201,-8,-8.51,-63.132,-6.693742181,-7.101172427,-7.336036106,-7.114987937,-7.18406549,-52.63853169,-12.02
10gs,-6.6313,-7.61,-7.46,-118.337,-8.905824261,-8.496538993,-9.781381475,-8.123520208,-8.800480225,-77.92662511,-8.84
1e5a,-2.3052,-2.42,-0.47,-16.697,-5.773869705,-5.636728308,-7.294589575,-6.065009135,-6.327503836,-23.98536731,-10.56
1bcu,-6.6084,-5.54,-3.9,-78.328,-6.201822143,-7.308405085,-7.142618958,-7.66760836,-7.363667127,21.84408308,-4.53
2ayr,-10.46512,-12,-13.45,-182.563,-12.01070583,-12.13001827,-12.77934727,-10.81754477,-11.9089701,-129.227251,-12.83
3pch,-3.6636,-7.63,-6.15,-45.441,-6.422935509,-7.266958553,-7.999180613,-7.239327532,-7.501822233,-38.27287732,-7.46
1utp,-3.39539,-5.45,-5.18,-54.071,-5.402411242,-6.355134857,-6.134086688,-6.534736494,-6.341319346,-18.59023099,-1.99
1v16,-6.65766,-6.11,-7.41,-81.227,-6.980414042,-7.529453254,-7.999180613,-7.653792849,-7.722870402,-44.08823696,-5.35
3pce,-3.44931,-5.19,-5.94,-44.891,-6.120785918,-7.128803448,-7.101172427,-6.949201811,-7.059725895,-24.43819125,-2.76
1q8t,-6.37514,-7.23,-7.32,-84.051,-7.58068745,-7.91628755,-8.16496674,-8.137335719,-8.082073676,-60.34009304,-6.58
1jaq,-5.52731,-7.43,-9.43,-97.628,-7.429553889,-7.266958553,-8.16496674,-7.239327532,-7.557084275,-56.17643909,-6.19
1zs0,-7.84247,-7.42,-7.26,-140.379,-9.634859214,-9.076790437,-9.1596835,-8.966266352,-9.062974926,-35.97305855,-8.5
1m2q,-8.53282,-6.94,-6.84,-67.483,-8.286412967,-8.537985525,-8.91100431,-8.137335719,-8.524170014,-59.3196654,-8.43
1p1q,-7.49651,-6.61,-6.53,-78.41,-6.932949379,-7.709054891,-7.971549592,-7.736685912,-7.805763465,-68.92731237,-6.76
1det,-5.68204,-7.84,-10.57,-76.375,-7.762531136,-6.907755279,-7.280774064,-6.769600173,-6.990648342,-41.84806267,-5.94
2std,-9.16379,-7.5,-9.24,-93.161,-9.392897023,-9.284023095,-10.23729332,-9.339285137,-9.615595348,-102.9466488,-13.61
1nja,-5.84104,-6.4,-6.24,-67.291,-7.362202453,-6.880124258,-7.239327532,-6.797231195,-6.963017321,-41.75033637,-8.72
1jq9,-2.02908,-6.97,-5.45,-108.891,-11.53436898,-9.187314521,-9.90572107,-8.828111247,-9.311654116,-23.35729663,-11.67
1nje,-5.98597,-6.34,-8.12,-66.628,-7.58763618,-6.838677726,-7.197881001,-6.68670711,-6.907755279,-36.57059487,-5.25
1tsy,-5.95354,-7.49,-9.06,-76.896,-5.936623437,-7.032094874,-7.501822233,-6.990648342,-7.17024998,-51.36123093,-6.85
1fkb,-10.5304,-9.27,-11.36,-164.526,-9.760414442,-10.23729332,-13.24907463,-10.15440026,-11.21819457,-120.4182382,-13.4
1v2o,-5.40952,-8.24,-9.23,-96.841,-8.278277873,-7.280774064,-8.026811634,-7.18406549,-7.501822233,-62.78092899,-6.53
4er2,-6.3529,-10.28,-5.51,-189.821,-11.23327512,-8.565616546,-10.44452598,-8.91100431,-9.311654116,-141.6793562,-12.85
1fzj,-9.06284,-15.03,-16.47,-216.708,-10.94078419,-11.83989255,-12.98657992,-11.17674804,-12.00567867,-162.6530789,-11.19
3gss,-6.03621,-8.53,-8.08,-118.922,-9.170166172,-8.344568377,-9.17349901,-7.91628755,-8.482723483,-92.22004535,-8.04
1e1v,-5.24185,-7.02,-7.43,-100.95,-6.569290506,-7.639977339,-7.584715296,-7.861025507,-7.695239381,-44.09215807,-6.8
2bzz,-6.55559,-8.89,-10.72,-128.15,-10.84911966,-7.985365103,-7.833394486,-7.377482638,-7.722870402,-73.55300492,-8.88
1nfy,-8.26138,-8.47,-7.97,-142.174,-10.4471933,-9.532702285,-9.850459028,-9.270207584,-9.560333306,-65.15796537,-12.28
1j16,-5.50114,-7.45,-8.06,-70.889,-5.488131157,-6.976832832,-6.949201811,-7.239327532,-7.059725895,-42.83104959,-5.31
2cgr,-9.40272,-7.2,-7.13,-119.14,-10.80788266,-8.869557778,-9.518886774,-8.91100431,-9.104421458,-87.82037245,-10.06
1is0,-5.39847,-8.84,-8.99,-122.585,-8.325043475,-8.054442655,-8.330752866,-8.054442655,-8.151151229,-79.14398683,-9.67
2fzc,-3.89524,-3.87,-4.81,-42.131,-6.686930585,-6.327503836,-6.479474452,-6.023562603,-6.272241793,-41.11603396,-3.73
2bak,-10.19146,-11.97,-12.99,-205.958,-11.79578311,-11.49450478,-11.92278561,-11.17674804,-11.53595132,-129.6001934,-10.26
1xd1,-7.78886,-9.05,-16.59,-222.442,-9.783448275,-10.29255537,-10.52741905,-9.753750454,-10.19584679,-105.243464,-10.94
1a30,-5.91256,-8.73,-10.66,-106.796,-7.443771155,-7.584715296,-7.819578976,-7.474191212,-7.626161828,-66.12503034,-5.94
1xgj,-5.87791,-7.07,-6.33,-70.439,-8.724188981,-7.308405085,-7.819578976,-7.322220596,-7.474191212,-40.03904359,-8.29
1b39,-7.01859,-7.41,-12.12,-111.439,-9.630870237,-8.358383888,-8.745218183,-8.137335719,-8.41364593,-45.44188359,-9.56
1pb9,-4.85584,-5.97,-4.73,-53.008,-7.244247806,-6.548552004,-7.087356916,-6.534736494,-6.728153642,-40.67047963,-5
1bxo,-11.52041,-13.64,-11.17,-175.36,-10.85001812,-10.01624515,-11.66029091,-10.37544843,-10.69320517,-136.7657816,-13.82
2azr,-6.56402,-9.83,-10.77,-78.593,-6.933923439,-7.529453254,-7.874841018,-7.211696511,-7.543268765,-62.1574999,-5.03
1j17,-9.68114,-7.48,-7,-159.97,-10.47184317,-9.698488412,-9.726119433,-9.670857391,-9.698488412,-47.58672134,-7.21
1zc9,-3.56322,-5.25,-5.47,-59.221,-7.808914564,-6.714338131,-6.603814047,-6.68670711,-6.6728916,-28.2286697,-4.45
1nvq,-12.62328,-11.17,-12.03,-172.801,-11.69131022,-10.72083619,-11.6464754,-10.26492434,-10.88662232,-105.1239568,-11.4
2j77,-5.49563,-5.94,-8.34,-74.135,-7.32809172,-7.197881001,-7.805763465,-7.197881001,-7.391298149,-19.76454811,-6.76
1avn,-1.83285,-4.99,-3.22,-7.977,-6.058324379,-5.277525033,-5.44331116,-5.125554417,-5.277525033,-12.69626348,-5.39
1h23,-9.66911,-11.62,-13.67,-169.719,-11.61317583,-10.92806885,-11.121486,-9.864274538,-10.63794313,-110.4636715,-11.54
6std,-9.50048,-8.24,-8.62,-102.843,-10.06896422,-9.491255753,-10.62412762,-9.491255753,-9.864274538,-114.7708525,-11.94
2bz6,-8.09081,-8.62,-9.46,-140.76,-10.54803791,-8.648509609,-8.745218183,-8.772849204,-8.717587162,-63.73229907,-9.8
7cpa,-8.11603,-7.79,-9.7,-156.18,-9.747601938,-9.739934943,-11.60502887,-9.629410859,-10.32018639,-69.26325746,-19.29
1vzq,-10.8026,-10.75,-11.8,-171.638,-12.02001825,-9.781381475,-9.988614133,-9.753750454,-9.850459028,-90.80043418,-10.28
2d0k,-6.96893,-6.52,-6.77,-101.233,-9.418243827,-8.234044293,-8.828111247,-7.750501423,-8.275490824,-69.29207286,-6.94
1a08,-5.17208,-8.06,-10.47,-109.942,-8.048961275,-7.43274468,-8.234044293,-7.128803448,-7.598530807,-77.98297971,-7.76
1fkn,-6.95242,-13.9,-15.13,-225.136,-10.59231388,-10.34781741,-11.86752357,-10.94188436,-11.05240845,-130.0410149,-12.16
1pbq,-7.73995,-8.76,-6.94,-72.56,-7.218609797,-7.861025507,-8.897188799,-7.999180613,-8.247859803,-68.88973038,-8.66
1fh7,-6.0738,-7.72,-12.33,-99.059,-5.672959776,-7.598530807,-8.082073676,-7.529453254,-7.736685912,-63.95836631,-7.24
2gss,-4.87328,-4.49,-4.83,-53.719,-6.655941177,-6.741969152,-7.778132444,-6.769600173,-7.087356916,-54.92071103,-6.82
1fh9,-7.03769,-8.1,-12.65,-104.679,-6.041921516,-7.93010306,-8.468907972,-7.861025507,-8.082073676,-89.84848858,-8.88
1fh8,-6.74759,-8,-12.21,-103.699,-6.15353241,-7.543268765,-8.054442655,-7.460375701,-7.68142387,-66.83738594,-9.52
1l2s,-6.31249,-6.59,-5.93,-71.499,-9.177636602,-6.783415684,-7.695239381,-7.045910385,-7.17024998,-47.44045181,-6.34
1lol,-7.28581,-8.67,-8.37,-90.856,-7.79655602,-7.197881001,-7.764316934,-7.142618958,-7.363667127,-47.68959401,-8.83
1f4e,-6.47632,-4.95,-3.74,-64.155,-7.855935413,-7.515637744,-8.068258166,-7.349851617,-7.639977339,-27.12662798,-4.09
1f4g,-8.38567,-9.15,-9.25,-116.685,-9.662072064,-8.855742268,-9.049159415,-8.220228782,-8.703771652,-69.57397845,-8.95
1f4f,-6.93869,-6.84,-7.13,-85.201,-9.026515947,-8.068258166,-8.372199398,-7.446560191,-7.957734081,-48.10886633,-6.38
2ctc,-5.68687,-8.14,-6.51,-61.843,-6.205557233,-7.460375701,-7.902472039,-7.41892917,-7.598530807,-45.54323731,-5.37
1syh,-9.11669,-10.95,-13.64,-116.817,-7.738728766,-8.510354504,-8.772849204,-8.482723483,-8.593247567,-91.09629431,-8.72
1m0q,-5.59464,-6.82,-7.38,-94.634,-7.710829987,-7.985365103,-8.372199398,-8.17878225,-8.17878225,-19.45980792,-5.37
1nhu,-6.03019,-5.51,-4.55,-86.551,-9.259378834,-7.833394486,-9.960983112,-7.557084275,-8.455092461,-85.79263301,-7.82
1m0n,-5.73651,-7.44,-6.8,-86.418,-8.706136308,-7.902472039,-7.985365103,-7.888656529,-7.91628755,-25.62917549,-3.07
1trd,-4.16625,-6.6,-6.24,-48.161,-6.784200142,-6.327503836,-6.68670711,-6.216979751,-6.410396899,-32.55544988,-7.46
2c02,-6.09909,-7.02,-7.93,-70.32,-7.938997716,-6.907755279,-7.087356916,-6.659076089,-6.880124258,-41.59750503,-5.58
1n2v,-5.97037,-7.35,-6.15,-72.596,-6.43234133,-7.059725895,-7.639977339,-7.156434469,-7.280774064,-44.87397686,-5.64
